1661 - LAIRD RD west of RIDGEWAY DR,1661,1E
1656 - LAIRD RD east of RIDGEWAY DR,1656,1E
1662 - LAIRD RD at COLONIAL DR,1662,1E
1663 - LAIRD RD at TURNSTONE CRES,1663,1E
1664 - LAIRD RD at WINSTON CHURCHILL BLVD,1664,1E
1047 - WINSTON CHURCHILL BLVD south of LAIRD RD,1047,1E
0548 - DUNDAS ST W at WINSTON CHURCHILL BLVD,548,1E
0501 - DUNDAS ST at WOODCHESTER DR,501,1E
0675 - DUNDAS ST at LIRUMA RD,675,1E
0522 - DUNDAS ST east of LIRUMA RD,522,1E
0523 - DUNDAS ST at DUNWIN DR,523,1E
0524 - DUNDAS ST at FIFTH LINE WEST,524,1E
0534 - DUNDAS ST W west of ERIN MILLS PKY,534,1E
0535 - DUNDAS ST W east of ERIN MILLS PKY,535,1E
0536 - DUNDAS ST W at SIR JOHNS HOMESTEAD,536,1E
0537 - DUNDAS ST W at MISSISSAUGA RD,537,1E
1099 - SOUTH COMMON CENTRE BUS TERMINAL PLATFORM A,1099,1E
0964 - BURNHAMTHORPE RD at ERIN MILLS PKY,964,1E
0968 - SOUTH MILLWAY at SANDERLING CRES (north leg),968,1E
1030 - THE COLLEGEWAY at SOUTH MILLWAY,1030,1E
1054 - THE COLLEGEWAY south of SOUTH MILLWAY,1054,1E
1055 - THE COLLEGEWAY at BROAD HOLLOW GATE,1055,1E
0910 - UNIVERSITY of TORONTO at MISSISSAUGA CAMPUS,910,1E
1003 - MISSISSAUGA RD at THE COLLEGEWAY,1003,1E
0992 - MISSISSAUGA RD at DUNDAS ST,992,1E
0520 - DUNDAS ST at NANTICOKE RD,520,1E
0629 - DUNDAS ST at ROBINSON ST,629,1E
0639 - DUNDAS ST at DUNDAS CRES,639,1E
0640 - DUNDAS ST at CREDIT WOODLANDS,640,1E
0670 - DUNDAS ST at CORNERBROOK PLACE,670,1E
0641 - DUNDAS ST at OLD CARRIAGE RD,641,1E
0642 - DUNDAS ST at GLENGARRY RD,642,1E
0643 - DUNDAS ST at CEDARGLEN GATE,643,1E
0644 - DUNDAS ST at WOLFEDALE RD,644,1E
0645 - DUNDAS ST at MAVIS RD,645,1E
4000 - DUNDAS ST at ELMCREEK RD,4000,1E
3026 - DUNDAS ST at CLAYHILL RD,3026,1E
0646 - DUNDAS ST at MASON HEIGHTS,646,1E
0747 - DUNDAS ST at ARGYLE RD,747,1E
0748 - DUNDAS ST at CONFEDERATION PKY,748,1E
0749 - DUNDAS ST at HURONTARIO ST,749,1E
0750 - DUNDAS ST at JAGUAR VALLEY,750,1E
0751 - DUNDAS ST at CAMILLA RD,751,1E
0752 - DUNDAS ST at EDENHURST DR,752,1E
0753 - DUNDAS ST at CLIFF RD,753,1E
0754 - DUNDAS ST at HENSALL CIRCLE,754,1E
0855 - DUNDAS ST at CAWTHRA RD,855,1E
0856 - DUNDAS ST east of CAWTHRA RD,856,1E
0857 - DUNDAS ST at HAINES RD,857,1E
0826 - DUNDAS ST east of HAINES RD,826,1E
0858 - DUNDAS ST at TOMKEN RD,858,1E
0859 - DUNDAS ST at STANFIELD RD,859,1E
0860 - DUNDAS ST at ARENA RD,860,1E
0861 - DUNDAS ST at BLUNDELL RD,861,1E
0862 - DUNDAS ST at DIXIE RD,862,1E
0831 - DUNDAS ST east of DIXIE RD,831,1E
0863 - DUNDAS ST at NEILCO CRT,863,1E
1191 - DUNDAS ST at JARROW AVE,1191,1E
0864 - DUNDAS ST at MATTAWA AVE,864,1E
0865 - DUNDAS ST at CORAM WAY,865,1E
0866 - DUNDAS ST at WHARTON WAY,866,1E
0867 - DUNDAS ST at SUMMERVILLE CRT,867,1E
0868 - DUNDAS ST FIRST STOP east of SOUTHCREEK RD,868,1E
0869 - DUNDAS ST SECOND STOP east of SOUTHCREEK RD,869,1E
9160 - DUNDAS ST at WEST MALL CRES,9160,1E
9026 - DUNDAS ST at CLOVERDALE MALL,9026,1E
9001 - DUNDAS ST at BILLINGHAM RD,9001,1E
9002 - DUNDAS ST at PAULART DR,9002,1E
9003 - DUNDAS ST at SHORNCLIFFE RD,9003,1E
9004 - DUNDAS ST at WILMAR RD,9004,1E
9005 - DUNDAS ST at SUBWAY CR,9005,1E
9006 - DUNDAS ST at ACORN AVE,9006,1E
9007 - DUNDAS ST at AUKLAND RD,9007,1E
9008 - DUNDAS ST W at SUMMERLAND TERRACE,9008,1E
9009 - DUNDAS ST W at MICHAEL POWER PLACE,9009,1E
9010 - DUNDAS ST W at MABELLE AVE,9010,1E
9011 - DUNDAS ST W at CORDOVA AVE,9011,1E
9014 - DUNDAS ST at ISLINGTON AVE,9014,1E
9098 - ISLINGTON AVE south of DUNDAS ST,9098,1E
9080 - ISLINGTON AVE at CENTRAL PARK ROADWAY,9080,1E
9000 - ISLINGTON SUBWAY DROP OFF,9000,1E
0801 - ISLINGTON SUBWAY BUS TERMINAL PLATFORM D,801,1E
0801 - ISLINGTON SUBWAY BUS TERMINAL PLATFORM D,801,1W
0310 - BLOOR ST W at GREEN LANES,310,1W
9013 - BLOOR ST W at RESURRECTION RD,9013,1W
0811 - DUNDAS ST at AUKLAND RD,811,1W
9015 - DUNDAS ST at ACORN AVE,9015,1W
9016 - DUNDAS ST at POPLAR AVE,9016,1W
9017 - DUNDAS ST at WILMAR RD,9017,1W
9018 - DUNDAS ST at SHAVER AVE,9018,1W
9019 - DUNDAS ST at PAULART DR,9019,1W
0815 - DUNDAS ST at BILLINGHAM RD,815,1W
9020 - DUNDAS ST west of THE EAST MALL,9020,1W
0871 - DUNDAS ST at NEILSON DR,871,1W
0872 - DUNDAS ST west of NEILSON DR,872,1W
0873 - DUNDAS ST at SOUTHCREEK RD,873,1W
0874 - DUNDAS ST at UNIVERSAL DR,874,1W
0875 - DUNDAS ST at WHARTON WAY,875,1W
3536 - DUNDAS ST west of WHARTON WAY,3536,1W
0876 - DUNDAS ST at TREADWELLS DR,876,1W
0877 - DUNDAS ST at MATTAWA AVE,877,1W
1192 - DUNDAS ST at JARROW AVE,1192,1W
0878 - DUNDAS ST at NEILCO CRT,878,1W
1354 - DUNDAS ST at DIXIE RD,1354,1W
1377 - DUNDAS ST FIRST STOP west of DIXIE RD,1377,1W
1378 - DUNDAS ST at QUEEN FREDERICA DR,1378,1W
1379 - DUNDAS ST at ARENA RD,1379,1W
