CITY CENTRE BUS TERMINAL PLATFORM H,8:16:00 AM,8:52:00 AM,9:28:00 AM,10:04:00 AM,10:40:00 AM,11:16:00 AM,11:52:00 AM,12:28:00 PM,1:04:00 PM,1:40:00 PM,2:16:00 PM,2:52:00 PM,3:28:00 PM,4:04:00 PM,4:40:00 PM,5:16:00 PM,5:52:00 PM,6:28:00 PM,7:04:00 PM,7:40:00 PM,8:16:00 PM
HURONTARIO ST at EGLINTON AVE E,8:21:00 AM,8:57:00 AM,9:33:00 AM,10:10:00 AM,10:46:00 AM,11:22:00 AM,11:58:00 AM,12:34:00 PM,1:11:00 PM,1:47:00 PM,2:23:00 PM,2:59:00 PM,3:35:00 PM,4:11:00 PM,4:47:00 PM,5:23:00 PM,5:59:00 PM,6:35:00 PM,7:11:00 PM,7:47:00 PM,8:23:00 PM
BRISTOL RD W at HURONTARIO ST,8:24:00 AM,9:00:00 AM,9:36:00 AM,10:13:00 AM,10:49:00 AM,11:25:00 AM,12:01:00 PM,12:37:00 PM,1:14:00 PM,1:50:00 PM,2:26:00 PM,3:02:00 PM,3:38:00 PM,4:14:00 PM,4:50:00 PM,5:26:00 PM,6:02:00 PM,6:38:00 PM,7:14:00 PM,7:50:00 PM,8:26:00 PM
BRISTOL RD W at MCLAUGHLIN RD,8:27:00 AM,9:03:00 AM,9:39:00 AM,10:16:00 AM,10:52:00 AM,11:28:00 AM,12:04:00 PM,12:40:00 PM,1:17:00 PM,1:53:00 PM,2:29:00 PM,3:05:00 PM,3:41:00 PM,4:17:00 PM,4:53:00 PM,5:29:00 PM,6:05:00 PM,6:41:00 PM,7:17:00 PM,7:53:00 PM,8:29:00 PM
BRISTOL RD W at MAVIS RD,8:30:00 AM,9:06:00 AM,9:42:00 AM,10:19:00 AM,10:55:00 AM,11:31:00 AM,12:07:00 PM,12:43:00 PM,1:20:00 PM,1:56:00 PM,2:32:00 PM,3:08:00 PM,3:44:00 PM,4:20:00 PM,4:56:00 PM,5:32:00 PM,6:08:00 PM,6:43:00 PM,7:19:00 PM,7:55:00 PM,8:31:00 PM
BRISTOL RD W at CREDITVIEW RD,8:34:00 AM,9:10:00 AM,9:46:00 AM,10:23:00 AM,10:59:00 AM,11:35:00 AM,12:11:00 PM,12:48:00 PM,1:25:00 PM,2:01:00 PM,2:37:00 PM,3:13:00 PM,3:49:00 PM,4:25:00 PM,5:01:00 PM,5:37:00 PM,6:13:00 PM,6:48:00 PM,7:24:00 PM,8:00:00 PM,8:36:00 PM
BRISTOL RD W at BATHGATE RD,8:34:00 AM,9:10:00 AM,9:46:00 AM,10:23:00 AM,10:59:00 AM,11:35:00 AM,12:11:00 PM,12:49:00 PM,1:26:00 PM,2:02:00 PM,2:38:00 PM,3:14:00 PM,3:50:00 PM,4:26:00 PM,5:02:00 PM,5:38:00 PM,6:14:00 PM,6:48:00 PM,7:24:00 PM,8:00:00 PM,8:36:00 PM
BRITANNIA RD at QUEEN ST N,8:41:00 AM,9:17:00 AM,9:53:00 AM,10:30:00 AM,11:06:00 AM,11:42:00 AM,12:18:00 PM,12:56:00 PM,1:33:00 PM,2:09:00 PM,2:45:00 PM,3:21:00 PM,3:57:00 PM,4:33:00 PM,5:09:00 PM,5:45:00 PM,6:21:00 PM,6:55:00 PM,7:31:00 PM,8:07:00 PM,8:43:00 PM
BRITANNIA RD at ERIN MILLS PKY,8:43:00 AM,9:19:00 AM,9:55:00 AM,10:32:00 AM,11:08:00 AM,11:44:00 AM,12:20:00 PM,12:58:00 PM,1:35:00 PM,2:11:00 PM,2:47:00 PM,3:23:00 PM,3:59:00 PM,4:35:00 PM,5:11:00 PM,5:47:00 PM,6:23:00 PM,6:57:00 PM,7:33:00 PM,8:09:00 PM,8:45:00 PM
BRITANNIA RD FIRST STOP west of ERIN MILLS PKY,8:43:00 AM,9:19:00 AM,9:55:00 AM,10:32:00 AM,11:08:00 AM,11:44:00 AM,12:20:00 PM,12:58:00 PM,1:35:00 PM,2:11:00 PM,2:47:00 PM,3:23:00 PM,3:59:00 PM,4:35:00 PM,5:11:00 PM,5:47:00 PM,6:23:00 PM,6:57:00 PM,7:33:00 PM,8:09:00 PM,8:45:00 PM
