MEADOWVALE TOWN CENTRE BUS TERMINAL PLATFORM I,7:57:00 AM,8:33:00 AM,9:09:00 AM,9:45:00 AM,10:21:00 AM,10:57:00 AM,11:33:00 AM,12:09:00 PM,12:45:00 PM,1:21:00 PM,1:57:00 PM,2:33:00 PM,3:09:00 PM,3:45:00 PM,4:21:00 PM,4:57:00 PM,5:33:00 PM,6:09:00 PM,6:45:00 PM,7:21:00 PM,7:57:00 PM,8:33:00 PM
TRELAWNY CIR at BISHOP STRACHAN CRT,8:02:00 AM,8:38:00 AM,9:14:00 AM,9:50:00 AM,10:26:00 AM,11:02:00 AM,11:38:00 AM,12:14:00 PM,12:50:00 PM,1:26:00 PM,2:02:00 PM,2:38:00 PM,3:14:00 PM,3:50:00 PM,4:26:00 PM,5:02:00 PM,5:38:00 PM,6:14:00 PM,6:50:00 PM,7:26:00 PM,8:02:00 PM,8:38:00 PM
OSPREY BLVD at GROSSBEAK DR,8:06:00 AM,8:42:00 AM,9:18:00 AM,9:54:00 AM,10:30:00 AM,11:06:00 AM,11:42:00 AM,12:18:00 PM,12:54:00 PM,1:30:00 PM,2:06:00 PM,2:42:00 PM,3:18:00 PM,3:54:00 PM,4:30:00 PM,5:06:00 PM,5:42:00 PM,6:18:00 PM,6:54:00 PM,7:30:00 PM,8:06:00 PM,8:42:00 PM
GROSSBEAK DR at PRAIRIE CIRCLE (north leg),8:06:00 AM,8:42:00 AM,9:18:00 AM,9:54:00 AM,10:30:00 AM,11:06:00 AM,11:42:00 AM,12:18:00 PM,12:54:00 PM,1:30:00 PM,2:06:00 PM,2:42:00 PM,3:18:00 PM,3:54:00 PM,4:30:00 PM,5:06:00 PM,5:42:00 PM,6:18:00 PM,6:54:00 PM,7:30:00 PM,8:06:00 PM,8:42:00 PM
BRITANNIA RD at WINSTON CHURCHILL BLVD,8:11:00 AM,8:47:00 AM,9:23:00 AM,9:59:00 AM,10:35:00 AM,11:11:00 AM,11:47:00 AM,12:23:00 PM,12:59:00 PM,1:35:00 PM,2:11:00 PM,2:47:00 PM,3:23:00 PM,3:59:00 PM,4:35:00 PM,5:11:00 PM,5:47:00 PM,6:23:00 PM,6:58:00 PM,7:34:00 PM,8:10:00 PM,8:46:00 PM
BRITANNIA RD at ERIN MILLS PKY,8:14:00 AM,8:50:00 AM,9:26:00 AM,10:02:00 AM,10:38:00 AM,11:14:00 AM,11:50:00 AM,12:26:00 PM,1:02:00 PM,1:38:00 PM,2:14:00 PM,2:50:00 PM,3:26:00 PM,4:01:00 PM,4:37:00 PM,5:13:00 PM,5:49:00 PM,6:25:00 PM,7:00:00 PM,7:36:00 PM,8:12:00 PM,8:48:00 PM
BRITANNIA RD at BROOKSIDE DR,8:16:00 AM,8:52:00 AM,9:28:00 AM,10:04:00 AM,10:40:00 AM,11:16:00 AM,11:52:00 AM,12:28:00 PM,1:04:00 PM,1:40:00 PM,2:16:00 PM,2:52:00 PM,3:28:00 PM,4:03:00 PM,4:39:00 PM,5:15:00 PM,5:51:00 PM,6:27:00 PM,7:02:00 PM,7:38:00 PM,8:14:00 PM,8:50:00 PM
BRITANNIA RD at ARCH RD,8:17:00 AM,8:53:00 AM,9:29:00 AM,10:05:00 AM,10:41:00 AM,11:17:00 AM,11:53:00 AM,12:29:00 PM,1:05:00 PM,1:41:00 PM,2:17:00 PM,2:53:00 PM,3:29:00 PM,4:04:00 PM,4:40:00 PM,5:16:00 PM,5:52:00 PM,6:28:00 PM,7:03:00 PM,7:39:00 PM,8:15:00 PM,8:51:00 PM
BRISTOL RD W at CREDITVIEW RD,8:24:00 AM,9:00:00 AM,9:36:00 AM,10:12:00 AM,10:48:00 AM,11:24:00 AM,12:00:00 PM,12:36:00 PM,1:12:00 PM,1:48:00 PM,2:24:00 PM,3:00:00 PM,3:36:00 PM,4:11:00 PM,4:47:00 PM,5:23:00 PM,5:59:00 PM,6:34:00 PM,7:09:00 PM,7:45:00 PM,8:21:00 PM,8:57:00 PM
BRISTOL RD W east of CREDITVIEW RD,8:24:00 AM,9:00:00 AM,9:36:00 AM,10:12:00 AM,10:48:00 AM,11:24:00 AM,12:00:00 PM,12:36:00 PM,1:12:00 PM,1:48:00 PM,2:24:00 PM,3:00:00 PM,3:36:00 PM,4:11:00 PM,4:47:00 PM,5:23:00 PM,5:59:00 PM,6:34:00 PM,7:09:00 PM,7:45:00 PM,8:21:00 PM,8:57:00 PM
