CLARKSON GO STATION PLATFORM A,7:32:00 AM,8:05:00 AM,8:38:00 AM,9:14:00 AM,9:44:00 AM,10:17:00 AM,10:50:00 AM,11:23:00 AM,11:56:00 AM,12:29:00 PM,1:02:00 PM,1:35:00 PM,2:08:00 PM,2:41:00 PM,3:16:00 PM,3:47:00 PM,4:20:00 PM,4:53:00 PM,5:26:00 PM,5:59:00 PM,6:35:00 PM,7:05:00 PM,7:38:00 PM,8:11:00 PM,8:44:00 PM,9:20:00 PM,10:00:00 PM,10:33:00 PM,11:06:00 PM,11:39:00 PM,12:12:00 AM,12:45:00 AM,1:18:00 AM
SOUTHDOWN RD at TRUSCOTT DR,7:35:00 AM,8:08:00 AM,8:41:00 AM,9:17:00 AM,9:47:00 AM,10:20:00 AM,10:53:00 AM,11:26:00 AM,11:59:00 AM,12:32:00 PM,1:05:00 PM,1:38:00 PM,2:11:00 PM,2:44:00 PM,3:19:00 PM,3:50:00 PM,4:23:00 PM,4:56:00 PM,5:29:00 PM,6:02:00 PM,6:38:00 PM,7:08:00 PM,7:41:00 PM,8:14:00 PM,8:47:00 PM,9:23:00 PM,10:03:00 PM,10:36:00 PM,11:09:00 PM,11:42:00 PM,12:15:00 AM,12:48:00 AM,1:21:00 AM
ERIN MILLS PKY at FOWLER DR,7:38:00 AM,8:11:00 AM,8:44:00 AM,9:20:00 AM,9:50:00 AM,10:23:00 AM,10:56:00 AM,11:29:00 AM,12:02:00 PM,12:35:00 PM,1:08:00 PM,1:41:00 PM,2:14:00 PM,2:47:00 PM,3:22:00 PM,3:53:00 PM,4:26:00 PM,4:59:00 PM,5:32:00 PM,6:05:00 PM,6:41:00 PM,7:11:00 PM,7:44:00 PM,8:17:00 PM,8:50:00 PM,9:26:00 PM,10:06:00 PM,10:39:00 PM,11:12:00 PM,11:45:00 PM,12:18:00 AM,12:51:00 AM,1:24:00 AM
ERIN MILLS PKY at DUNDAS ST W,7:42:00 AM,8:15:00 AM,8:48:00 AM,9:24:00 AM,9:54:00 AM,10:27:00 AM,11:00:00 AM,11:33:00 AM,12:06:00 PM,12:39:00 PM,1:12:00 PM,1:45:00 PM,2:18:00 PM,2:51:00 PM,3:26:00 PM,3:57:00 PM,4:30:00 PM,5:03:00 PM,5:36:00 PM,6:09:00 PM,6:45:00 PM,7:15:00 PM,7:48:00 PM,8:21:00 PM,8:54:00 PM,9:30:00 PM,10:10:00 PM,10:43:00 PM,11:16:00 PM,11:49:00 PM,12:22:00 AM,12:55:00 AM,1:28:00 AM
SOUTH MILLWAY at FIFTH LINE W,7:44:00 AM,8:17:00 AM,8:50:00 AM,9:26:00 AM,9:56:00 AM,10:29:00 AM,11:02:00 AM,11:35:00 AM,12:08:00 PM,12:41:00 PM,1:14:00 PM,1:47:00 PM,2:20:00 PM,2:53:00 PM,3:28:00 PM,3:59:00 PM,4:32:00 PM,5:05:00 PM,5:38:00 PM,6:11:00 PM,6:47:00 PM,7:17:00 PM,7:50:00 PM,8:23:00 PM,8:56:00 PM,9:32:00 PM,10:12:00 PM,10:45:00 PM,11:18:00 PM,11:51:00 PM,12:24:00 AM,12:57:00 AM,1:30:00 AM
SOUTH COMMON CENTRE BUS TERMINAL PLATFORM D,7:48:00 AM,8:21:00 AM,8:54:00 AM,9:30:00 AM,10:00:00 AM,10:33:00 AM,11:06:00 AM,11:39:00 AM,12:12:00 PM,12:45:00 PM,1:18:00 PM,1:51:00 PM,2:24:00 PM,2:57:00 PM,3:32:00 PM,4:03:00 PM,4:36:00 PM,5:09:00 PM,5:42:00 PM,6:15:00 PM,6:51:00 PM,7:21:00 PM,7:54:00 PM,8:27:00 PM,9:00:00 PM,9:36:00 PM,10:16:00 PM,10:49:00 PM,11:22:00 PM,11:55:00 PM,12:28:00 AM,1:01:00 AM,1:34:00 AM
GLEN ERIN DR at FOLKWAY DR,7:51:00 AM,8:24:00 AM,8:57:00 AM,9:33:00 AM,10:03:00 AM,10:36:00 AM,11:09:00 AM,11:42:00 AM,12:15:00 PM,12:48:00 PM,1:21:00 PM,1:54:00 PM,2:27:00 PM,3:00:00 PM,3:35:00 PM,4:06:00 PM,4:39:00 PM,5:12:00 PM,5:45:00 PM,6:18:00 PM,6:54:00 PM,7:24:00 PM,7:57:00 PM,8:30:00 PM,9:03:00 PM,9:39:00 PM,10:19:00 PM,10:52:00 PM,11:25:00 PM,11:58:00 PM,12:31:00 AM,1:04:00 AM,1:37:00 AM
GLEN ERIN DR at EGLINTON AVE,7:54:00 AM,8:27:00 AM,9:00:00 AM,9:36:00 AM,10:06:00 AM,10:39:00 AM,11:12:00 AM,11:45:00 AM,12:18:00 PM,12:51:00 PM,1:24:00 PM,1:57:00 PM,2:30:00 PM,3:03:00 PM,3:38:00 PM,4:09:00 PM,4:42:00 PM,5:15:00 PM,5:48:00 PM,6:21:00 PM,6:57:00 PM,7:27:00 PM,8:00:00 PM,8:33:00 PM,9:06:00 PM,9:42:00 PM,10:22:00 PM,10:55:00 PM,11:28:00 PM,12:01:00 AM,12:34:00 AM,1:07:00 AM,1:40:00 AM
ERIN MILLS TOWN CENTRE BUS TERMINAL PLATFORM A,7:59:00 AM,8:32:00 AM,9:05:00 AM,9:41:00 AM,10:11:00 AM,10:44:00 AM,11:17:00 AM,11:50:00 AM,12:23:00 PM,12:56:00 PM,1:29:00 PM,2:02:00 PM,2:35:00 PM,3:08:00 PM,3:43:00 PM,4:14:00 PM,4:47:00 PM,5:20:00 PM,5:53:00 PM,6:26:00 PM,7:02:00 PM,7:32:00 PM,8:05:00 PM,8:38:00 PM,9:11:00 PM,9:47:00 PM,10:27:00 PM,11:00:00 PM,11:33:00 PM,12:06:00 AM,12:39:00 AM,1:12:00 AM,1:45:00 AM
GLEN ERIN DR at THOMAS ST,8:04:00 AM,8:37:00 AM,9:10:00 AM,9:46:00 AM,10:16:00 AM,10:49:00 AM,11:22:00 AM,11:55:00 AM,12:28:00 PM,1:01:00 PM,1:34:00 PM,2:07:00 PM,2:40:00 PM,3:13:00 PM,3:48:00 PM,4:19:00 PM,4:52:00 PM,5:25:00 PM,5:58:00 PM,6:31:00 PM,7:07:00 PM,7:37:00 PM,8:10:00 PM,8:43:00 PM,9:16:00 PM,9:52:00 PM,10:32:00 PM,11:05:00 PM,11:38:00 PM,12:11:00 AM,12:44:00 AM,1:17:00 AM,1:50:00 AM
