MEADOWVALE TOWN CENTRE BUS TERMINAL PLATFORM F,7:15:00 AM,7:45:00 AM,8:21:00 AM,8:54:00 AM,9:27:00 AM,10:00:00 AM,10:33:00 AM,11:04:00 AM,11:39:00 AM,12:12:00 PM,12:45:00 PM,1:18:00 PM,1:51:00 PM,2:24:00 PM,2:57:00 PM,3:30:00 PM,4:03:00 PM,4:36:00 PM,5:06:00 PM,5:42:00 PM,6:15:00 PM,6:48:00 PM,7:21:00 PM,7:54:00 PM,8:27:00 PM,9:00:00 PM,9:33:00 PM,10:08:00 PM,10:49:00 PM,11:19:00 PM,11:55:00 PM,12:28:00 AM
GLEN ERIN DR south of BATTLEFORD RD,7:18:00 AM,7:48:00 AM,8:24:00 AM,8:57:00 AM,9:30:00 AM,10:03:00 AM,10:36:00 AM,11:07:00 AM,11:42:00 AM,12:15:00 PM,12:48:00 PM,1:21:00 PM,1:54:00 PM,2:27:00 PM,3:00:00 PM,3:33:00 PM,4:06:00 PM,4:39:00 PM,5:09:00 PM,5:45:00 PM,6:18:00 PM,6:51:00 PM,7:24:00 PM,7:57:00 PM,8:30:00 PM,9:03:00 PM,9:36:00 PM,10:11:00 PM,10:52:00 PM,11:22:00 PM,11:58:00 PM,12:31:00 AM
GLEN ERIN DR at BRITANNIA RD,7:24:00 AM,7:54:00 AM,8:30:00 AM,9:03:00 AM,9:36:00 AM,10:09:00 AM,10:42:00 AM,11:13:00 AM,11:48:00 AM,12:21:00 PM,12:54:00 PM,1:27:00 PM,2:00:00 PM,2:33:00 PM,3:06:00 PM,3:39:00 PM,4:12:00 PM,4:45:00 PM,5:15:00 PM,5:51:00 PM,6:24:00 PM,6:57:00 PM,7:30:00 PM,8:03:00 PM,8:36:00 PM,9:09:00 PM,9:42:00 PM,10:17:00 PM,10:58:00 PM,11:28:00 PM,12:04:00 AM,12:37:00 AM
GLEN ERIN DR at THOMAS ST,7:27:00 AM,7:57:00 AM,8:33:00 AM,9:06:00 AM,9:39:00 AM,10:12:00 AM,10:45:00 AM,11:16:00 AM,11:51:00 AM,12:24:00 PM,12:57:00 PM,1:30:00 PM,2:03:00 PM,2:36:00 PM,3:09:00 PM,3:42:00 PM,4:15:00 PM,4:48:00 PM,5:18:00 PM,5:54:00 PM,6:27:00 PM,7:00:00 PM,7:33:00 PM,8:06:00 PM,8:39:00 PM,9:12:00 PM,9:45:00 PM,10:20:00 PM,11:01:00 PM,11:31:00 PM,12:07:00 AM,12:40:00 AM
ERIN MILLS TOWN CENTRE BUS TERMINAL PLATFORM B,7:33:00 AM,8:03:00 AM,8:39:00 AM,9:12:00 AM,9:45:00 AM,10:18:00 AM,10:51:00 AM,11:22:00 AM,11:57:00 AM,12:30:00 PM,1:03:00 PM,1:36:00 PM,2:09:00 PM,2:42:00 PM,3:15:00 PM,3:48:00 PM,4:21:00 PM,4:54:00 PM,5:24:00 PM,6:00:00 PM,6:33:00 PM,7:06:00 PM,7:39:00 PM,8:12:00 PM,8:45:00 PM,9:18:00 PM,9:51:00 PM,10:26:00 PM,11:07:00 PM,11:37:00 PM,12:13:00 AM,12:46:00 AM
GLEN ERIN DR at HAZELTON PLACE,7:36:00 AM,8:06:00 AM,8:42:00 AM,9:15:00 AM,9:48:00 AM,10:21:00 AM,10:54:00 AM,11:25:00 AM,12:00:00 PM,12:33:00 PM,1:06:00 PM,1:39:00 PM,2:12:00 PM,2:45:00 PM,3:18:00 PM,3:51:00 PM,4:24:00 PM,4:57:00 PM,5:27:00 PM,6:03:00 PM,6:36:00 PM,7:09:00 PM,7:42:00 PM,8:15:00 PM,8:48:00 PM,9:21:00 PM,9:54:00 PM,10:29:00 PM,11:10:00 PM,11:40:00 PM,12:16:00 AM,12:49:00 AM
GLEN ERIN DR at EGLINTON AVE,7:36:00 AM,8:06:00 AM,8:42:00 AM,9:15:00 AM,9:48:00 AM,10:21:00 AM,10:54:00 AM,11:25:00 AM,12:00:00 PM,12:33:00 PM,1:06:00 PM,1:39:00 PM,2:12:00 PM,2:45:00 PM,3:18:00 PM,3:51:00 PM,4:24:00 PM,4:57:00 PM,5:27:00 PM,6:03:00 PM,6:36:00 PM,7:09:00 PM,7:42:00 PM,8:15:00 PM,8:48:00 PM,9:21:00 PM,9:54:00 PM,10:29:00 PM,11:10:00 PM,11:40:00 PM,12:16:00 AM,12:49:00 AM
GLEN ERIN DR south of EGLINTON AVE,7:37:00 AM,8:07:00 AM,8:43:00 AM,9:16:00 AM,9:49:00 AM,10:22:00 AM,10:55:00 AM,11:26:00 AM,12:01:00 PM,12:34:00 PM,1:07:00 PM,1:40:00 PM,2:13:00 PM,2:46:00 PM,3:19:00 PM,3:52:00 PM,4:25:00 PM,4:58:00 PM,5:28:00 PM,6:04:00 PM,6:37:00 PM,7:10:00 PM,7:43:00 PM,8:16:00 PM,8:49:00 PM,9:22:00 PM,9:55:00 PM,10:30:00 PM,11:11:00 PM,11:41:00 PM,12:17:00 AM,12:50:00 AM
GLEN ERIN DR at FOLKWAY DR,7:39:00 AM,8:09:00 AM,8:45:00 AM,9:18:00 AM,9:51:00 AM,10:24:00 AM,10:57:00 AM,11:28:00 AM,12:03:00 PM,12:36:00 PM,1:09:00 PM,1:42:00 PM,2:15:00 PM,2:48:00 PM,3:21:00 PM,3:54:00 PM,4:27:00 PM,5:00:00 PM,5:30:00 PM,6:06:00 PM,6:39:00 PM,7:12:00 PM,7:45:00 PM,8:18:00 PM,8:51:00 PM,9:24:00 PM,9:57:00 PM,10:32:00 PM,11:13:00 PM,11:43:00 PM,12:19:00 AM,12:52:00 AM
SOUTH COMMON MALL BUS TERMINAL PLATFORM J,7:44:00 AM,8:14:00 AM,8:50:00 AM,9:23:00 AM,9:56:00 AM,10:29:00 AM,11:02:00 AM,11:33:00 AM,12:08:00 PM,12:41:00 PM,1:14:00 PM,1:47:00 PM,2:20:00 PM,2:53:00 PM,3:26:00 PM,3:59:00 PM,4:32:00 PM,5:05:00 PM,5:35:00 PM,6:11:00 PM,6:44:00 PM,7:17:00 PM,7:50:00 PM,8:23:00 PM,8:56:00 PM,9:29:00 PM,10:02:00 PM,10:37:00 PM,11:18:00 PM,11:48:00 PM,12:24:00 AM,12:57:00 AM
ERIN MILLS PKY FIRST STOP south of DUNDAS ST W,7:49:00 AM,8:19:00 AM,8:55:00 AM,9:28:00 AM,10:01:00 AM,10:34:00 AM,11:07:00 AM,11:38:00 AM,12:13:00 PM,12:46:00 PM,1:19:00 PM,1:52:00 PM,2:25:00 PM,2:58:00 PM,3:31:00 PM,4:04:00 PM,4:37:00 PM,5:10:00 PM,5:40:00 PM,6:16:00 PM,6:49:00 PM,7:22:00 PM,7:55:00 PM,8:28:00 PM,9:01:00 PM,9:34:00 PM,10:07:00 PM,10:42:00 PM,11:23:00 PM,11:53:00 PM,12:29:00 AM,1:02:00 AM
SHERIDAN CENTRE BUS TERMINAL PLATFORM A,7:53:00 AM,8:23:00 AM,8:59:00 AM,9:32:00 AM,10:05:00 AM,10:38:00 AM,11:11:00 AM,11:42:00 AM,12:17:00 PM,12:50:00 PM,1:23:00 PM,1:56:00 PM,2:29:00 PM,3:02:00 PM,3:35:00 PM,4:08:00 PM,4:41:00 PM,5:14:00 PM,5:44:00 PM,6:20:00 PM,6:53:00 PM,7:26:00 PM,7:59:00 PM,8:32:00 PM,9:05:00 PM,9:38:00 PM,10:11:00 PM,10:46:00 PM,11:27:00 PM,11:57:00 PM,12:33:00 AM,1:06:00 AM
SOUTHDOWN RD at TRUSCOTT DR,7:57:00 AM,8:27:00 AM,9:03:00 AM,9:36:00 AM,10:09:00 AM,10:42:00 AM,11:15:00 AM,11:46:00 AM,12:21:00 PM,12:54:00 PM,1:27:00 PM,2:00:00 PM,2:33:00 PM,3:06:00 PM,3:39:00 PM,4:12:00 PM,4:45:00 PM,5:18:00 PM,5:48:00 PM,6:24:00 PM,6:57:00 PM,7:30:00 PM,8:03:00 PM,8:36:00 PM,9:09:00 PM,9:42:00 PM,10:15:00 PM,10:50:00 PM,11:31:00 PM,12:01:00 AM,12:37:00 AM,1:10:00 AM
CLARKSON GO STATION PLATFORM A,8:00:00 AM,8:30:00 AM,9:06:00 AM,9:39:00 AM,10:12:00 AM,10:45:00 AM,11:18:00 AM,11:49:00 AM,12:24:00 PM,12:57:00 PM,1:30:00 PM,2:03:00 PM,2:36:00 PM,3:09:00 PM,3:42:00 PM,4:15:00 PM,4:48:00 PM,5:21:00 PM,5:51:00 PM,6:27:00 PM,7:00:00 PM,7:33:00 PM,8:06:00 PM,8:39:00 PM,9:12:00 PM,9:45:00 PM,10:18:00 PM,10:53:00 PM,11:34:00 PM,12:04:00 AM,12:40:00 AM,1:13:00 AM
