WESTWOOD MALL BUS TERMINAL PLATFORM H,11:00 AM[a],11:30 AM[a],12:00 PM[a],12:30 PM[a],1:00 PM[ab],1:30 PM[ab],2:00 PM[ab],2:30 PM[ab],3:00 PM[ab],3:30 PM[ab],4:00 PM[ab],4:30 PM[ab],5:00 PM[ab]
BRANDON GATE DR at DARCEL AVE,11:05 AM[a],11:35 AM[a],12:05 PM[a],12:35 PM[a],1:05 PM[ab],1:35 PM[ab],2:05 PM[ab],2:35 PM[ab],3:05 PM[ab],3:35 PM[ab],4:05 PM[ab],4:35 PM[ab],5:05 PM[a]
MORNING STAR DR at BRANDON GATE DR,11:11 AM[a],11:41 AM[a],12:11 PM[a],12:41 PM[a],1:11 PM[ab],1:41 PM[ab],2:11 PM[ab],2:41 PM[ab],3:11 PM[ab],3:41 PM[ab],4:11 PM[ab],4:41 PM[ab],5:11 PM[a]
REXWOOD RD south of DERRY RD,11:15 AM[a],11:45 AM[a],12:15 PM[a],12:45 PM[a],1:15 PM[ab],1:45 PM[ab],2:15 PM[ab],2:45 PM[ab],3:15 PM[ab],3:45 PM[ab],4:15 PM[ab],4:45 PM[ab],5:15 PM[a]
NASHUA DR SECOND STOP east of REXWOOD RD,11:17 AM[a],11:47 AM[a],12:17 PM[a],12:47 PM[a],1:17 PM[ab],1:47 PM[ab],2:17 PM[ab],2:47 PM[ab],3:17 PM[ab],3:47 PM[ab],4:17 PM[ab],4:47 PM[ab],5:17 PM[a]
NASHUA DR at GOREWAY DR,11:18 AM[a],11:48 AM[a],12:18 PM[a],12:48 PM[a],1:18 PM[ab],1:48 PM[ab],2:18 PM[ab],2:48 PM[ab],3:18 PM[ab],3:48 PM[ab],4:18 PM[ab],4:48 PM[ab],5:18 PM[a]
REXWOOD RD at DERRY RD,11:21 AM[a],11:51 AM[a],12:21 PM[a],12:51 PM[a],1:21 PM[ab],1:51 PM[ab],2:21 PM[ab],2:51 PM[ab],3:21 PM[ab],3:51 PM[ab],4:21 PM[ab],4:51 PM[ab],5:21 PM[a]
REXWOOD RD west of NETHERBRAE RD,11:22 AM[a],11:52 AM[a],12:22 PM[a],12:52 PM[a],1:22 PM[ab],1:52 PM[ab],2:22 PM[ab],2:52 PM[ab],3:22 PM[ab],3:52 PM[ab],4:22 PM[ab],4:52 PM[ab],5:22 PM[a]
DARCEL AVE at WOODRUFF CRES,11:25 AM[a],11:55 AM[a],12:25 PM[a],12:55 PM[a],1:25 PM[ab],1:55 PM[ab],2:25 PM[ab],2:55 PM[ab],3:25 PM[ab],3:55 PM[ab],4:25 PM[ab],4:55 PM[ab],5:25 PM[a]
WESTWOOD MALL BUS TERMINAL PLATFORM H,11:28 AM[a],11:58 AM[a],12:28 PM[a],12:58 PM[a],1:28 PM[ab],1:58 PM[ab],2:28 PM[ab],2:58 PM[ab],3:28 PM[ab],3:58 PM[ab],4:28 PM[ab],4:58 PM[ab],5:28 PM[a]
