PORT CREDIT GO STATION PLATFORM C,7:35:00 AM,7:57:00 AM,8:15:00 AM,8:31:00 AM,8:43:00 AM,8:54:00 AM,9:07:00 AM,9:18:00 AM,9:29:00 AM,9:42:00 AM,9:54:00 AM,10:06:00 AM,10:18:00 AM,10:29:00 AM,10:43:00 AM,10:55:00 AM,11:08:00 AM,11:20:00 AM,11:33:00 AM,11:46:00 AM,11:58:00 AM,12:11:00 PM,12:24:00 PM,12:38:00 PM,12:51:00 PM,1:04:00 PM,1:18:00 PM,1:31:00 PM,1:44:00 PM,1:58:00 PM,2:11:00 PM,2:24:00 PM,2:38:00 PM,2:51:00 PM,3:04:00 PM,3:18:00 PM,3:31:00 PM,3:44:00 PM,3:57:00 PM,4:10:00 PM,4:24:00 PM,4:37:00 PM,4:51:00 PM,5:04:00 PM,5:17:00 PM,5:30:00 PM,5:42:00 PM,5:54:00 PM,6:07:00 PM,6:20:00 PM,6:35:00 PM,6:48:00 PM,7:01:00 PM,7:14:00 PM,7:32:00 PM,7:50:00 PM,8:10:00 PM,8:32:00 PM,8:56:00 PM,9:20:00 PM,9:44:00 PM,10:07:00 PM,10:33:00 PM,10:58:00 PM,11:19 PM[g],11:45 PM[g],
HURONTARIO ST at MINEOLA RD E,7:40:00 AM,8:02:00 AM,8:20:00 AM,8:36:00 AM,8:48:00 AM,8:59:00 AM,9:12:00 AM,9:23:00 AM,9:34:00 AM,9:47:00 AM,9:59:00 AM,10:11:00 AM,10:23:00 AM,10:34:00 AM,10:48:00 AM,11:00:00 AM,11:13:00 AM,11:26:00 AM,11:39:00 AM,11:52:00 AM,12:04:00 PM,12:17:00 PM,12:30:00 PM,12:44:00 PM,12:57:00 PM,1:10:00 PM,1:24:00 PM,1:37:00 PM,1:50:00 PM,2:04:00 PM,2:17:00 PM,2:30:00 PM,2:44:00 PM,2:57:00 PM,3:10:00 PM,3:24:00 PM,3:37:00 PM,3:50:00 PM,4:03:00 PM,4:16:00 PM,4:30:00 PM,4:43:00 PM,4:57:00 PM,5:10:00 PM,5:23:00 PM,5:36:00 PM,5:48:00 PM,6:00:00 PM,6:13:00 PM,6:26:00 PM,6:40:00 PM,6:53:00 PM,7:06:00 PM,7:19:00 PM,7:37:00 PM,7:55:00 PM,8:15:00 PM,8:37:00 PM,9:01:00 PM,9:25:00 PM,9:49:00 PM,10:12:00 PM,10:38:00 PM,11:03:00 PM,11:24 PM[g],11:50 PM[g],
HURONTARIO ST at NORTH SERVICE RD,7:42:00 AM,8:04:00 AM,8:22:00 AM,8:38:00 AM,8:50:00 AM,9:01:00 AM,9:14:00 AM,9:26:00 AM,9:37:00 AM,9:50:00 AM,10:02:00 AM,10:14:00 AM,10:26:00 AM,10:37:00 AM,10:51:00 AM,11:03:00 AM,11:16:00 AM,11:29:00 AM,11:42:00 AM,11:55:00 AM,12:07:00 PM,12:20:00 PM,12:33:00 PM,12:47:00 PM,1:00:00 PM,1:13:00 PM,1:27:00 PM,1:40:00 PM,1:53:00 PM,2:07:00 PM,2:20:00 PM,2:33:00 PM,2:47:00 PM,3:00:00 PM,3:13:00 PM,3:27:00 PM,3:40:00 PM,3:53:00 PM,4:06:00 PM,4:19:00 PM,4:33:00 PM,4:46:00 PM,5:00:00 PM,5:13:00 PM,5:26:00 PM,5:39:00 PM,5:51:00 PM,6:03:00 PM,6:16:00 PM,6:29:00 PM,6:42:00 PM,6:55:00 PM,7:08:00 PM,7:21:00 PM,7:39:00 PM,7:57:00 PM,8:17:00 PM,8:39:00 PM,9:03:00 PM,9:27:00 PM,9:51:00 PM,10:14:00 PM,10:40:00 PM,11:05:00 PM,11:26 PM[g],11:52 PM[g],
HURONTARIO ST at DUNDAS ST E,7:47:00 AM,8:09:00 AM,8:27:00 AM,8:44:00 AM,8:56:00 AM,9:07:00 AM,9:20:00 AM,9:32:00 AM,9:43:00 AM,9:56:00 AM,10:08:00 AM,10:20:00 AM,10:32:00 AM,10:43:00 AM,10:57:00 AM,11:09:00 AM,11:22:00 AM,11:35:00 AM,11:48:00 AM,12:01:00 PM,12:13:00 PM,12:26:00 PM,12:39:00 PM,12:53:00 PM,1:06:00 PM,1:19:00 PM,1:33:00 PM,1:46:00 PM,1:59:00 PM,2:13:00 PM,2:26:00 PM,2:39:00 PM,2:53:00 PM,3:06:00 PM,3:19:00 PM,3:33:00 PM,3:46:00 PM,3:59:00 PM,4:12:00 PM,4:25:00 PM,4:39:00 PM,4:52:00 PM,5:06:00 PM,5:19:00 PM,5:32:00 PM,5:44:00 PM,5:56:00 PM,6:08:00 PM,6:21:00 PM,6:34:00 PM,6:47:00 PM,7:00:00 PM,7:13:00 PM,7:26:00 PM,7:44:00 PM,8:02:00 PM,8:22:00 PM,8:44:00 PM,9:08:00 PM,9:32:00 PM,9:56:00 PM,10:19:00 PM,10:45:00 PM,11:09:00 PM,11:30 PM[g],11:56 PM[g],
HURONTARIO ST at BURNHAMTHORPE RD E,7:53:00 AM,8:15:00 AM,8:33:00 AM,8:51:00 AM,9:03:00 AM,9:14:00 AM,9:27:00 AM,9:39:00 AM,9:50:00 AM,10:03:00 AM,10:15:00 AM,10:27:00 AM,10:39:00 AM,10:50:00 AM,11:04:00 AM,11:16:00 AM,11:29:00 AM,11:42:00 AM,11:55:00 AM,12:08:00 PM,12:21:00 PM,12:34:00 PM,12:47:00 PM,1:01:00 PM,1:14:00 PM,1:27:00 PM,1:41:00 PM,1:54:00 PM,2:07:00 PM,2:21:00 PM,2:34:00 PM,2:47:00 PM,3:01:00 PM,3:14:00 PM,3:27:00 PM,3:41:00 PM,3:54:00 PM,4:07:00 PM,4:20:00 PM,4:33:00 PM,4:47:00 PM,5:00:00 PM,5:13:00 PM,5:26:00 PM,5:39:00 PM,5:51:00 PM,6:03:00 PM,6:15:00 PM,6:28:00 PM,6:41:00 PM,6:54:00 PM,7:07:00 PM,7:20:00 PM,7:33:00 PM,7:51:00 PM,8:09:00 PM,8:28:00 PM,8:50:00 PM,9:14:00 PM,9:38:00 PM,10:02:00 PM,10:25:00 PM,10:50:00 PM,11:14:00 PM,11:35 PM[g],12:01 AM[g],
CITY CENTRE BUS TERMINAL PLATFORM F,7:42:00 AM,8:00:00 AM,8:22:00 AM,8:40:00 AM,8:58:00 AM,9:10:00 AM,9:22:00 AM,9:35:00 AM,9:48:00 AM,9:59:00 AM,10:12:00 AM,10:24:00 AM,10:36:00 AM,10:48:00 AM,10:59:00 AM,11:13:00 AM,11:26:00 AM,11:39:00 AM,11:52:00 AM,12:05:00 PM,12:18:00 PM,12:31:00 PM,12:44:00 PM,12:57:00 PM,1:11:00 PM,1:24:00 PM,1:37:00 PM,1:51:00 PM,2:04:00 PM,2:17:00 PM,2:31:00 PM,2:44:00 PM,2:57:00 PM,3:11:00 PM,3:24:00 PM,3:37:00 PM,3:51:00 PM,4:04:00 PM,4:17:00 PM,4:30:00 PM,4:43:00 PM,4:56:00 PM,5:09:00 PM,5:22:00 PM,5:35:00 PM,5:48:00 PM,6:00:00 PM,6:12:00 PM,6:24:00 PM,6:37:00 PM,6:50:00 PM,7:03:00 PM,7:16:00 PM,7:28:00 PM,7:41:00 PM,7:59:00 PM,8:17:00 PM,8:34:00 PM,8:56:00 PM,9:20:00 PM,9:44:00 PM,10:08:00 PM,10:31:00 PM,10:56:00 PM,11:19:00 PM,11:40 PM[g],12:06 AM[g]
HURONTARIO ST at EGLINTON AVE E,7:48:00 AM,8:06:00 AM,8:28:00 AM,8:46:00 AM,9:04:00 AM,9:16:00 AM,9:29:00 AM,9:42:00 AM,9:55:00 AM,10:06:00 AM,10:19:00 AM,10:31:00 AM,10:43:00 AM,10:55:00 AM,11:06:00 AM,11:20:00 AM,11:33:00 AM,11:46:00 AM,12:00:00 PM,12:13:00 PM,12:26:00 PM,12:39:00 PM,12:52:00 PM,1:05:00 PM,1:19:00 PM,1:32:00 PM,1:45:00 PM,1:59:00 PM,2:12:00 PM,2:25:00 PM,2:39:00 PM,2:52:00 PM,3:05:00 PM,3:19:00 PM,3:32:00 PM,3:45:00 PM,3:59:00 PM,4:12:00 PM,4:25:00 PM,4:38:00 PM,4:51:00 PM,5:04:00 PM,5:17:00 PM,5:30:00 PM,5:43:00 PM,5:56:00 PM,6:08:00 PM,6:20:00 PM,6:32:00 PM,6:45:00 PM,6:58:00 PM,7:11:00 PM,7:23:00 PM,7:35:00 PM,7:48:00 PM,8:06:00 PM,8:24:00 PM,8:41:00 PM,9:03:00 PM,9:26:00 PM,9:50:00 PM,10:14:00 PM,10:37:00 PM,11:02:00 PM,11:24:00 PM,,
HURONTARIO ST at MATHESON BLVD E,7:52:00 AM,8:10:00 AM,8:32:00 AM,8:50:00 AM,9:08:00 AM,9:20:00 AM,9:33:00 AM,9:46:00 AM,9:59:00 AM,10:10:00 AM,10:23:00 AM,10:35:00 AM,10:47:00 AM,10:59:00 AM,11:10:00 AM,11:25:00 AM,11:38:00 AM,11:51:00 AM,12:05:00 PM,12:18:00 PM,12:31:00 PM,12:44:00 PM,12:57:00 PM,1:10:00 PM,1:24:00 PM,1:37:00 PM,1:50:00 PM,2:04:00 PM,2:17:00 PM,2:30:00 PM,2:44:00 PM,2:57:00 PM,3:10:00 PM,3:24:00 PM,3:37:00 PM,3:50:00 PM,4:04:00 PM,4:17:00 PM,4:30:00 PM,4:43:00 PM,4:56:00 PM,5:09:00 PM,5:22:00 PM,5:35:00 PM,5:48:00 PM,6:01:00 PM,6:13:00 PM,6:25:00 PM,6:36:00 PM,6:49:00 PM,7:02:00 PM,7:15:00 PM,7:27:00 PM,7:39:00 PM,7:52:00 PM,8:10:00 PM,8:28:00 PM,8:45:00 PM,9:07:00 PM,9:30:00 PM,9:54:00 PM,10:18:00 PM,10:41:00 PM,11:06:00 PM,11:27:00 PM,,
HURONTARIO ST at BRITANNIA RD E,7:54:00 AM,8:12:00 AM,8:34:00 AM,8:52:00 AM,9:10:00 AM,9:22:00 AM,9:35:00 AM,9:48:00 AM,10:01:00 AM,10:12:00 AM,10:25:00 AM,10:37:00 AM,10:49:00 AM,11:01:00 AM,11:12:00 AM,11:27:00 AM,11:40:00 AM,11:53:00 AM,12:07:00 PM,12:20:00 PM,12:33:00 PM,12:46:00 PM,12:59:00 PM,1:12:00 PM,1:26:00 PM,1:39:00 PM,1:52:00 PM,2:06:00 PM,2:19:00 PM,2:32:00 PM,2:46:00 PM,2:59:00 PM,3:12:00 PM,3:26:00 PM,3:39:00 PM,3:52:00 PM,4:06:00 PM,4:19:00 PM,4:32:00 PM,4:45:00 PM,4:58:00 PM,5:11:00 PM,5:24:00 PM,5:37:00 PM,5:50:00 PM,6:03:00 PM,6:15:00 PM,6:27:00 PM,6:38:00 PM,6:51:00 PM,7:04:00 PM,7:17:00 PM,7:29:00 PM,7:41:00 PM,7:54:00 PM,8:12:00 PM,8:30:00 PM,8:47:00 PM,9:09:00 PM,9:32:00 PM,9:55:00 PM,10:19:00 PM,10:42:00 PM,11:07:00 PM,11:28:00 PM,,
HURONTARIO ST at COURTNEYPARK DR E,7:57:00 AM,8:15:00 AM,8:37:00 AM,8:55:00 AM,9:13:00 AM,9:25:00 AM,9:38:00 AM,9:51:00 AM,10:04:00 AM,10:15:00 AM,10:28:00 AM,10:40:00 AM,10:52:00 AM,11:04:00 AM,11:15:00 AM,11:30:00 AM,11:43:00 AM,11:56:00 AM,12:10:00 PM,12:23:00 PM,12:36:00 PM,12:49:00 PM,1:02:00 PM,1:15:00 PM,1:29:00 PM,1:42:00 PM,1:55:00 PM,2:09:00 PM,2:22:00 PM,2:35:00 PM,2:49:00 PM,3:02:00 PM,3:15:00 PM,3:29:00 PM,3:42:00 PM,3:55:00 PM,4:09:00 PM,4:22:00 PM,4:35:00 PM,4:48:00 PM,5:01:00 PM,5:14:00 PM,5:27:00 PM,5:40:00 PM,5:53:00 PM,6:06:00 PM,6:18:00 PM,6:30:00 PM,6:41:00 PM,6:54:00 PM,7:07:00 PM,7:20:00 PM,7:32:00 PM,7:44:00 PM,7:57:00 PM,8:15:00 PM,8:33:00 PM,8:50:00 PM,9:12:00 PM,9:35:00 PM,9:58:00 PM,10:22:00 PM,10:45:00 PM,11:10:00 PM,11:31:00 PM,,
