LAIRD RD west of RIDGEWAY DR,7:12:00 AM,7:42:00 AM,8:12:00 AM,8:42:00 AM,9:12:00 AM,9:44:00 AM,10:16:00 AM,10:48:00 AM,11:20:00 AM,11:52:00 AM,12:24:00 PM,12:56:00 PM,1:28:00 PM,2:00:00 PM,2:32:00 PM,3:04:00 PM,3:36:00 PM,4:08:00 PM,4:40:00 PM,5:12:00 PM,5:44:00 PM,6:16:00 PM,6:48:00 PM,7:18:00 PM,7:46:00 PM,8:16:00 PM,8:46:00 PM,9:16:00 PM,9:46:00 PM,10:16:00 PM,10:46:00 PM,11:16:00 PM,11:46:00 PM,12:16:00 AM,12:35 AM[e],1:05 AM[e],1:35 AM[e],2:05 AM[e],,,,,,,,,,,,,,,,,,,,,
DUNDAS ST W at WINSTON CHURCHILL BLVD,7:16:00 AM,7:46:00 AM,8:16:00 AM,8:46:00 AM,9:16:00 AM,9:48:00 AM,10:20:00 AM,10:52:00 AM,11:24:00 AM,11:56:00 AM,12:28:00 PM,1:00:00 PM,1:32:00 PM,2:04:00 PM,2:36:00 PM,3:08:00 PM,3:40:00 PM,4:12:00 PM,4:44:00 PM,5:16:00 PM,5:48:00 PM,6:20:00 PM,6:52:00 PM,7:22:00 PM,7:50:00 PM,8:20:00 PM,8:50:00 PM,9:20:00 PM,9:50:00 PM,10:20:00 PM,10:50:00 PM,11:20:00 PM,11:50:00 PM,12:20:00 AM,12:39 AM[e],1:09 AM[e],1:39 AM[e],2:09 AM[e],,,,,,,,,,,,,,,,,,,,,
DUNDAS ST W west of ERIN MILLS PKY,7:20:00 AM,7:50:00 AM,8:20:00 AM,8:50:00 AM,9:20:00 AM,9:52:00 AM,10:24:00 AM,10:56:00 AM,11:28:00 AM,12:00:00 PM,12:32:00 PM,1:04:00 PM,1:36:00 PM,2:08:00 PM,2:40:00 PM,3:12:00 PM,3:44:00 PM,4:16:00 PM,4:48:00 PM,5:20:00 PM,5:52:00 PM,6:24:00 PM,6:56:00 PM,7:26:00 PM,7:54:00 PM,8:24:00 PM,8:54:00 PM,9:24:00 PM,9:54:00 PM,10:24:00 PM,10:54:00 PM,11:24:00 PM,11:54:00 PM,12:24:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
DUNDAS ST W east of ERIN MILLS PKY,7:21:00 AM,7:51:00 AM,8:21:00 AM,8:51:00 AM,9:21:00 AM,9:53:00 AM,10:25:00 AM,10:57:00 AM,11:29:00 AM,12:01:00 PM,12:33:00 PM,1:05:00 PM,1:37:00 PM,2:09:00 PM,2:41:00 PM,3:13:00 PM,3:45:00 PM,4:17:00 PM,4:49:00 PM,5:21:00 PM,5:53:00 PM,6:25:00 PM,6:57:00 PM,7:27:00 PM,7:55:00 PM,8:25:00 PM,8:55:00 PM,9:25:00 PM,9:55:00 PM,10:25:00 PM,10:55:00 PM,11:25:00 PM,11:55:00 PM,12:25:00 AM,3:53:00 AM,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH COMMON CENTRE BUS TERMINAL PLATFORM A,7:26 AM[b],7:56 AM[b],8:26 AM[b],8:56 AM[b],9:26 AM[b],9:59 AM[b],10:32 AM[b],11:04 AM[b],11:36 AM[b],12:08 PM[b],12:40 PM[b],1:12 PM[b],1:44 PM[b],2:16 PM[b],2:48 PM[b],3:20 PM[b],3:52 PM[b],4:24 PM[b],4:56 PM[b],5:28 PM[b],6:00 PM[b],6:32 PM[b],7:04 PM[b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH MILLWAY at SANDERLING CRES (north leg),7:28 AM[b],7:58 AM[b],8:28 AM[b],8:58 AM[b],9:28 AM[b],10:01 AM[b],10:34 AM[b],11:06 AM[b],11:38 AM[b],12:10 PM[b],12:42 PM[b],1:14 PM[b],1:46 PM[b],2:18 PM[b],2:50 PM[b],3:22 PM[b],3:54 PM[b],4:26 PM[b],4:58 PM[b],5:30 PM[b],6:02 PM[b],6:34 PM[b],7:06 PM[b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNIVERSITY of TORONTO at MISSISSAUGA CAMPUS,7:33 AM[b],8:03 AM[b],8:33 AM[b],9:03 AM[b],9:33 AM[b],10:06 AM[b],10:39 AM[b],11:11 AM[b],11:43 AM[b],12:15 PM[b],12:47 PM[b],1:19 PM[b],1:51 PM[b],2:23 PM[b],2:55 PM[b],3:27 PM[b],3:59 PM[b],4:31 PM[b],5:03 PM[b],5:35 PM[b],6:07 PM[b],6:39 PM[b],7:11 PM[b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISSISSAUGA RD at THE COLLEGEWAY,7:35 AM[b],8:05 AM[b],8:35 AM[b],9:05 AM[b],9:35 AM[b],10:08 AM[b],10:41 AM[b],11:13 AM[b],11:45 AM[b],12:17 PM[b],12:49 PM[b],1:21 PM[b],1:53 PM[b],2:25 PM[b],2:57 PM[b],3:29 PM[b],4:01 PM[b],4:33 PM[b],5:05 PM[b],5:37 PM[b],6:09 PM[b],6:41 PM[b],7:13 PM[b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUNDAS ST at GLENGARRY RD,7:26:00 AM,7:41 AM[b],7:56:00 AM,8:11 AM[b],8:26:00 AM,8:41 AM[b],8:56:00 AM,9:11 AM[b],9:26:00 AM,9:41 AM[b],9:58:00 AM,10:14 AM[b],10:31:00 AM,10:47 AM[b],11:03:00 AM,11:19 AM[b],11:35:00 AM,11:51 AM[b],12:07:00 PM,12:23 PM[b],12:39:00 PM,12:55 PM[b],1:11:00 PM,1:27 PM[b],1:43:00 PM,1:59 PM[b],2:15:00 PM,2:31 PM[b],2:47:00 PM,3:03 PM[b],3:19:00 PM,3:35 PM[b],3:51:00 PM,4:07 PM[b],4:23:00 PM,4:39 PM[b],4:55:00 PM,5:11 PM[b],5:27:00 PM,5:43 PM[b],5:59:00 PM,6:15 PM[b],6:31:00 PM,6:47 PM[b],7:03:00 PM,7:19 PM[b],7:32:00 PM,8:00:00 PM,8:30:00 PM,9:00:00 PM,9:30:00 PM,10:00:00 PM,10:30:00 PM,11:00:00 PM,11:30:00 PM,12:00:00 AM,12:30:00 AM,4:00:00 AM,
DUNDAS ST at MAVIS RD,7:14:00 AM,7:29:00 AM,7:44 AM[b],7:59:00 AM,8:14 AM[b],8:29:00 AM,8:44 AM[b],8:59:00 AM,9:14 AM[b],9:29:00 AM,9:44 AM[b],10:01:00 AM,10:17 AM[b],10:34:00 AM,10:50 AM[b],11:06:00 AM,11:22 AM[b],11:38:00 AM,11:54 AM[b],12:10:00 PM,12:26 PM[b],12:42:00 PM,12:58 PM[b],1:14:00 PM,1:30 PM[b],1:46:00 PM,2:02 PM[b],2:18:00 PM,2:34 PM[b],2:50:00 PM,3:06 PM[b],3:22:00 PM,3:38 PM[b],3:54:00 PM,4:10 PM[b],4:26:00 PM,4:42 PM[b],4:58:00 PM,5:14 PM[b],5:30:00 PM,5:46 PM[b],6:02:00 PM,6:18 PM[b],6:34:00 PM,6:50 PM[b],7:06:00 PM,7:22 PM[b],7:35:00 PM,8:03:00 PM,8:33:00 PM,9:03:00 PM,9:33:00 PM,10:03:00 PM,10:33:00 PM,11:03:00 PM,11:33:00 PM,12:03:00 AM,12:33:00 AM,4:03:00 AM
