ISLINGTON SUBWAY BUS TERMINAL PLATFORM D,7:57 AM[b],8:12:00 AM,8:27 AM[b],8:42:00 AM,8:57 AM[b],9:12:00 AM,9:27 AM[b],9:42:00 AM,9:59 AM[b],10:17:00 AM,10:33 AM[b],10:49:00 AM,11:05 AM[b],11:21:00 AM,11:37 AM[b],11:53:00 AM,12:09 PM[b],12:25:00 PM,12:41 PM[b],12:57:00 PM,1:13 PM[b],1:29:00 PM,1:45 PM[b],2:01:00 PM,2:17 PM[b],2:33:00 PM,2:49 PM[b],3:05:00 PM,3:21 PM[b],3:37:00 PM,3:53 PM[b],4:09:00 PM,4:25 PM[b],4:41:00 PM,4:57 PM[b],5:13:00 PM,5:29 PM[b],5:45:00 PM,6:01 PM[b],6:17:00 PM,6:33 PM[b],6:48:00 PM,7:02 PM[b],7:17:00 PM,7:32 PM[b],7:47:00 PM,8:02:00 PM,8:17:00 PM,8:46:00 PM,9:14:00 PM,9:44:00 PM,10:14:00 PM,10:44:00 PM,11:14:00 PM,11:44:00 PM,12:14:00 AM,12:44:00 AM,1:14:00 AM,,
DUNDAS ST at BILLINGHAM RD,8:04 AM[b],8:19:00 AM,8:34 AM[b],8:49:00 AM,9:04 AM[b],9:19:00 AM,9:34 AM[b],9:49:00 AM,10:07 AM[b],10:25:00 AM,10:41 AM[b],10:57:00 AM,11:13 AM[b],11:29:00 AM,11:45 AM[b],12:01:00 PM,12:17 PM[b],12:33:00 PM,12:49 PM[b],1:05:00 PM,1:21 PM[b],1:37:00 PM,1:53 PM[b],2:09:00 PM,2:25 PM[b],2:41:00 PM,2:57 PM[b],3:13:00 PM,3:29 PM[b],3:45:00 PM,4:01 PM[b],4:17:00 PM,4:33 PM[b],4:49:00 PM,5:05 PM[b],5:21:00 PM,5:37 PM[b],5:53:00 PM,6:09 PM[b],6:25:00 PM,6:41 PM[b],6:56:00 PM,7:09 PM[b],7:24:00 PM,7:39 PM[b],7:54:00 PM,8:09:00 PM,8:24:00 PM,8:53:00 PM,9:21:00 PM,9:51:00 PM,10:21:00 PM,10:51:00 PM,11:21:00 PM,11:51:00 PM,12:21:00 AM,12:51:00 AM,1:21:00 AM,,
DUNDAS ST at WHARTON WAY,8:11 AM[b],8:26:00 AM,8:41 AM[b],8:56:00 AM,9:11 AM[b],9:26:00 AM,9:41 AM[b],9:56:00 AM,10:14 AM[b],10:32:00 AM,10:48 AM[b],11:04:00 AM,11:20 AM[b],11:36:00 AM,11:52 AM[b],12:08:00 PM,12:24 PM[b],12:40:00 PM,12:56 PM[b],1:12:00 PM,1:28 PM[b],1:44:00 PM,2:00 PM[b],2:16:00 PM,2:32 PM[b],2:48:00 PM,3:04 PM[b],3:20:00 PM,3:36 PM[b],3:52:00 PM,4:08 PM[b],4:24:00 PM,4:40 PM[b],4:56:00 PM,5:12 PM[b],5:28:00 PM,5:44 PM[b],6:00:00 PM,6:16 PM[b],6:32:00 PM,6:48 PM[b],7:03:00 PM,7:16 PM[b],7:31:00 PM,7:46 PM[b],8:01:00 PM,8:16:00 PM,8:31:00 PM,9:00:00 PM,9:28:00 PM,9:58:00 PM,10:28:00 PM,10:58:00 PM,11:28:00 PM,11:58:00 PM,12:28:00 AM,12:58:00 AM,1:28:00 AM,,
DUNDAS ST at DIXIE RD,8:14 AM[b],8:29:00 AM,8:44 AM[b],8:59:00 AM,9:14 AM[b],9:29:00 AM,9:44 AM[b],9:59:00 AM,10:17 AM[b],10:35:00 AM,10:51 AM[b],11:07:00 AM,11:23 AM[b],11:39:00 AM,11:55 AM[b],12:11:00 PM,12:27 PM[b],12:43:00 PM,12:59 PM[b],1:15:00 PM,1:31 PM[b],1:47:00 PM,2:03 PM[b],2:19:00 PM,2:35 PM[b],2:51:00 PM,3:07 PM[b],3:23:00 PM,3:39 PM[b],3:55:00 PM,4:11 PM[b],4:27:00 PM,4:43 PM[b],4:59:00 PM,5:15 PM[b],5:31:00 PM,5:47 PM[b],6:03:00 PM,6:19 PM[b],6:35:00 PM,6:51 PM[b],7:06:00 PM,7:19 PM[b],7:34:00 PM,7:49 PM[b],8:04:00 PM,8:19:00 PM,8:34:00 PM,9:03:00 PM,9:31:00 PM,10:01:00 PM,10:31:00 PM,11:01:00 PM,11:31:00 PM,12:01:00 AM,12:31:00 AM,1:01:00 AM,1:31:00 AM,,
DUNDAS ST FIRST STOP west of DIXIE RD,8:14 AM[b],8:29:00 AM,8:44 AM[b],8:59:00 AM,9:14 AM[b],9:29:00 AM,9:44 AM[b],9:59:00 AM,10:17 AM[b],10:35:00 AM,10:51 AM[b],11:07:00 AM,11:23 AM[b],11:39:00 AM,11:55 AM[b],12:11:00 PM,12:27 PM[b],12:43:00 PM,12:59 PM[b],1:15:00 PM,1:31 PM[b],1:47:00 PM,2:03 PM[b],2:19:00 PM,2:35 PM[b],2:51:00 PM,3:07 PM[b],3:23:00 PM,3:39 PM[b],3:55:00 PM,4:11 PM[b],4:27:00 PM,4:43 PM[b],4:59:00 PM,5:15 PM[b],5:31:00 PM,5:47 PM[b],6:03:00 PM,6:19 PM[b],6:35:00 PM,6:51 PM[b],7:06:00 PM,7:19 PM[b],7:34:00 PM,7:49 PM[b],8:04:00 PM,8:19:00 PM,8:34:00 PM,9:03:00 PM,9:31:00 PM,10:01:00 PM,10:31:00 PM,11:01:00 PM,11:31:00 PM,12:01:00 AM,12:31:00 AM,1:01:00 AM,1:31:00 AM,,
DUNDAS ST at TOMKEN RD,8:17 AM[b],8:32:00 AM,8:47 AM[b],9:02:00 AM,9:17 AM[b],9:32:00 AM,9:47 AM[b],10:02:00 AM,10:21 AM[b],10:39:00 AM,10:55 AM[b],11:11:00 AM,11:27 AM[b],11:43:00 AM,11:59 AM[b],12:15:00 PM,12:31 PM[b],12:47:00 PM,1:03 PM[b],1:19:00 PM,1:35 PM[b],1:51:00 PM,2:07 PM[b],2:23:00 PM,2:39 PM[b],2:55:00 PM,3:11 PM[b],3:27:00 PM,3:43 PM[b],3:59:00 PM,4:15 PM[b],4:31:00 PM,4:47 PM[b],5:03:00 PM,5:19 PM[b],5:35:00 PM,5:51 PM[b],6:07:00 PM,6:23 PM[b],6:39:00 PM,6:55 PM[b],7:09:00 PM,7:22 PM[b],7:37:00 PM,7:52 PM[b],8:07:00 PM,8:22:00 PM,8:37:00 PM,9:06:00 PM,9:34:00 PM,10:04:00 PM,10:34:00 PM,11:04:00 PM,11:34:00 PM,12:04:00 AM,12:34:00 AM,1:04:00 AM,1:34:00 AM,,
DUNDAS ST at CAWTHRA RD,8:20 AM[b],8:35:00 AM,8:50 AM[b],9:05:00 AM,9:20 AM[b],9:35:00 AM,9:50 AM[b],10:05:00 AM,10:24 AM[b],10:42:00 AM,10:58 AM[b],11:14:00 AM,11:30 AM[b],11:46:00 AM,12:02 PM[b],12:18:00 PM,12:34 PM[b],12:50:00 PM,1:06 PM[b],1:22:00 PM,1:38 PM[b],1:54:00 PM,2:10 PM[b],2:26:00 PM,2:42 PM[b],2:58:00 PM,3:14 PM[b],3:30:00 PM,3:46 PM[b],4:02:00 PM,4:18 PM[b],4:34:00 PM,4:50 PM[b],5:06:00 PM,5:22 PM[b],5:38:00 PM,5:54 PM[b],6:10:00 PM,6:26 PM[b],6:42:00 PM,6:58 PM[b],7:12:00 PM,7:25 PM[b],7:40:00 PM,7:55 PM[b],8:10:00 PM,8:25:00 PM,8:40:00 PM,9:09:00 PM,9:37:00 PM,10:07:00 PM,10:37:00 PM,11:07:00 PM,11:37:00 PM,12:07:00 AM,12:37:00 AM,1:07:00 AM,1:37:00 AM,,
DUNDAS ST at HURONTARIO ST,8:26 AM[b],8:41:00 AM,8:56 AM[b],9:11:00 AM,9:26 AM[b],9:41:00 AM,9:56 AM[b],10:15:00 AM,10:34 AM[b],10:52:00 AM,11:08 AM[b],11:24:00 AM,11:40 AM[b],11:56:00 AM,12:12 PM[b],12:28:00 PM,12:44 PM[b],1:00:00 PM,1:16 PM[b],1:32:00 PM,1:48 PM[b],2:04:00 PM,2:20 PM[b],2:36:00 PM,2:52 PM[b],3:08:00 PM,3:24 PM[b],3:40:00 PM,3:56 PM[b],4:12:00 PM,4:28 PM[b],4:44:00 PM,5:00 PM[b],5:16:00 PM,5:32 PM[b],5:48:00 PM,6:04 PM[b],6:20:00 PM,6:36 PM[b],6:52:00 PM,7:05 PM[b],7:18:00 PM,7:31 PM[b],7:46:00 PM,8:01 PM[b],8:16:00 PM,8:31:00 PM,8:46:00 PM,9:15:00 PM,9:43:00 PM,10:13:00 PM,10:43:00 PM,11:13:00 PM,11:43:00 PM,12:13:00 AM,12:43:00 AM,1:13:00 AM,1:43:00 AM,,
DUNDAS ST at MAVIS RD,8:31 AM[b],8:46:00 AM,9:01 AM[b],9:16:00 AM,9:31 AM[b],9:46:00 AM,10:01 AM[b],10:20:00 AM,10:39 AM[b],10:57:00 AM,11:13 AM[b],11:29:00 AM,11:45 AM[b],12:01:00 PM,12:17 PM[b],12:33:00 PM,12:49 PM[b],1:05:00 PM,1:21 PM[b],1:37:00 PM,1:53 PM[b],2:09:00 PM,2:25 PM[b],2:41:00 PM,2:57 PM[b],3:13:00 PM,3:29 PM[b],3:45:00 PM,4:01 PM[b],4:17:00 PM,4:33 PM[b],4:49:00 PM,5:05 PM[b],5:21:00 PM,5:37 PM[b],5:53:00 PM,6:09 PM[b],6:25:00 PM,6:41 PM[b],6:57:00 PM,7:10 PM[b],7:23:00 PM,7:36 PM[b],7:51:00 PM,8:06 PM[b],8:21:00 PM,8:36:00 PM,8:51:00 PM,9:20:00 PM,9:48:00 PM,10:18:00 PM,10:48:00 PM,11:18:00 PM,11:48:00 PM,12:18:00 AM,12:48:00 AM,1:18:00 AM,1:48:00 AM,,
DUNDAS ST W west of MAVIS RD,8:31 AM[b],8:46:00 AM,9:01 AM[b],9:16:00 AM,9:31 AM[b],9:46:00 AM,10:01 AM[b],10:20:00 AM,10:39 AM[b],10:57:00 AM,11:13 AM[b],11:29:00 AM,11:45 AM[b],12:01:00 PM,12:17 PM[b],12:33:00 PM,12:49 PM[b],1:05:00 PM,1:21 PM[b],1:37:00 PM,1:53 PM[b],2:09:00 PM,2:25 PM[b],2:41:00 PM,2:57 PM[b],3:13:00 PM,3:29 PM[b],3:45:00 PM,4:01 PM[b],4:17:00 PM,4:33 PM[b],4:49:00 PM,5:05 PM[b],5:21:00 PM,5:37 PM[b],5:53:00 PM,6:09 PM[b],6:25:00 PM,6:41 PM[b],6:57:00 PM,7:10 PM[b],7:23:00 PM,7:36 PM[b],7:51:00 PM,8:06 PM[b],8:21:00 PM,8:36:00 PM,8:51:00 PM,9:20:00 PM,9:48:00 PM,10:18:00 PM,10:48:00 PM,11:18:00 PM,11:48:00 PM,12:18:00 AM,12:48:00 AM,1:18:00 AM,1:48:00 AM,,
