ERINDALE GO STATION PLATFORM A,7:59:00 AM,8:33:00 AM,9:07:00 AM,9:41:00 AM,10:15:00 AM,10:49:00 AM,11:23:00 AM,11:57:00 AM,12:32:00 PM,1:06:00 PM,1:40:00 PM,2:14:00 PM,2:48:00 PM,3:22:00 PM,3:56:00 PM,4:30:00 PM,5:04:00 PM,5:38:00 PM,6:12:00 PM,6:46:00 PM,7:20:00 PM,7:54:00 PM
RATHBURN RD at DEER RUN (west leg),8:01:00 AM,8:35:00 AM,9:09:00 AM,9:43:00 AM,10:17:00 AM,10:51:00 AM,11:25:00 AM,11:59:00 AM,12:34:00 PM,1:08:00 PM,1:42:00 PM,2:16:00 PM,2:50:00 PM,3:24:00 PM,3:58:00 PM,4:32:00 PM,5:06:00 PM,5:40:00 PM,6:14:00 PM,6:48:00 PM,7:22:00 PM,7:56:00 PM
RATHBURN RD at MAVIS RD,8:06:00 AM,8:40:00 AM,9:14:00 AM,9:48:00 AM,10:22:00 AM,10:56:00 AM,11:30:00 AM,12:04:00 PM,12:39:00 PM,1:13:00 PM,1:47:00 PM,2:21:00 PM,2:55:00 PM,3:29:00 PM,4:03:00 PM,4:37:00 PM,5:11:00 PM,5:45:00 PM,6:19:00 PM,6:53:00 PM,7:27:00 PM,8:01:00 PM
CITY CENTRE BUS TERMINAL PLATFORM L,8:11:00 AM,8:45:00 AM,9:20:00 AM,9:54:00 AM,10:28:00 AM,11:02:00 AM,11:36:00 AM,12:10:00 PM,12:45:00 PM,1:19:00 PM,1:53:00 PM,2:27:00 PM,3:01:00 PM,3:35:00 PM,4:09:00 PM,4:43:00 PM,5:17:00 PM,5:51:00 PM,6:25:00 PM,6:59:00 PM,7:33:00 PM,8:07:00 PM
RATHBURN RD at CENTRAL PKY E,8:15:00 AM,8:49:00 AM,9:24:00 AM,9:58:00 AM,10:32:00 AM,11:06:00 AM,11:40:00 AM,12:14:00 PM,12:49:00 PM,1:23:00 PM,1:57:00 PM,2:31:00 PM,3:05:00 PM,3:39:00 PM,4:13:00 PM,4:47:00 PM,5:21:00 PM,5:55:00 PM,6:29:00 PM,7:03:00 PM,7:37:00 PM,8:11:00 PM
RATHBURN RD east of CENTRAL PKY,8:15:00 AM,8:49:00 AM,9:24:00 AM,9:58:00 AM,10:32:00 AM,11:06:00 AM,11:40:00 AM,12:14:00 PM,12:49:00 PM,1:23:00 PM,1:57:00 PM,2:31:00 PM,3:05:00 PM,3:39:00 PM,4:13:00 PM,4:47:00 PM,5:21:00 PM,5:55:00 PM,6:29:00 PM,7:03:00 PM,7:37:00 PM,8:11:00 PM
RATHBURN RD at WILCOX RD,8:18:00 AM,8:52:00 AM,9:27:00 AM,10:01:00 AM,10:35:00 AM,11:09:00 AM,11:43:00 AM,12:17:00 PM,12:52:00 PM,1:26:00 PM,2:00:00 PM,2:34:00 PM,3:08:00 PM,3:42:00 PM,4:16:00 PM,4:50:00 PM,5:24:00 PM,5:58:00 PM,6:31:00 PM,7:05:00 PM,7:39:00 PM,8:13:00 PM
RATHBURN RD at CAWTHRA RD,8:18:00 AM,8:52:00 AM,9:28:00 AM,10:02:00 AM,10:36:00 AM,11:10:00 AM,11:44:00 AM,12:18:00 PM,12:52:00 PM,1:26:00 PM,2:00:00 PM,2:34:00 PM,3:08:00 PM,3:42:00 PM,4:16:00 PM,4:50:00 PM,5:24:00 PM,5:58:00 PM,6:31:00 PM,7:05:00 PM,7:39:00 PM,8:13:00 PM
RATHBURN RD at TOMKEN RD,8:21:00 AM,8:55:00 AM,9:31:00 AM,10:05:00 AM,10:39:00 AM,11:13:00 AM,11:47:00 AM,12:21:00 PM,12:55:00 PM,1:29:00 PM,2:03:00 PM,2:37:00 PM,3:11:00 PM,3:45:00 PM,4:19:00 PM,4:53:00 PM,5:27:00 PM,6:01:00 PM,6:34:00 PM,7:08:00 PM,7:42:00 PM,8:16:00 PM
RATHBURN RD at DIXIE RD[b],8:24:00 AM,8:58:00 AM,9:34:00 AM,10:08:00 AM,10:42:00 AM,11:16:00 AM,11:50:00 AM,12:24:00 PM,12:58:00 PM,1:32:00 PM,2:06:00 PM,2:40:00 PM,3:14:00 PM,3:48:00 PM,4:22:00 PM,4:56:00 PM,5:30:00 PM,6:04:00 PM,6:37:00 PM,7:11:00 PM,7:45:00 PM,8:19:00 PM
BURNHAMTHORPE RD E FIRST STOP east of PONYTRAIL DR,8:29:00 AM,9:03:00 AM,9:39:00 AM,10:13:00 AM,10:47:00 AM,11:21:00 AM,11:55:00 AM,12:29:00 PM,1:03:00 PM,1:37:00 PM,2:11:00 PM,2:45:00 PM,3:19:00 PM,3:53:00 PM,4:27:00 PM,5:01:00 PM,5:35:00 PM,6:09:00 PM,6:42:00 PM,7:16:00 PM,7:50:00 PM,8:24:00 PM
BURNHAMTHORPE RD at MULGROVE DR,8:33:00 AM,9:07:00 AM,9:43:00 AM,10:17:00 AM,10:51:00 AM,11:25:00 AM,11:59:00 AM,12:33:00 PM,1:07:00 PM,1:41:00 PM,2:15:00 PM,2:49:00 PM,3:23:00 PM,3:57:00 PM,4:31:00 PM,5:05:00 PM,5:39:00 PM,6:13:00 PM,6:46:00 PM,7:20:00 PM,7:54:00 PM,8:28:00 PM
BURNHAMTHORPE RD at THE WEST MALL,8:33:00 AM,9:07:00 AM,9:43:00 AM,10:17:00 AM,10:51:00 AM,11:25:00 AM,11:59:00 AM,12:33:00 PM,1:07:00 PM,1:41:00 PM,2:15:00 PM,2:49:00 PM,3:23:00 PM,3:57:00 PM,4:31:00 PM,5:05:00 PM,5:39:00 PM,6:13:00 PM,6:46:00 PM,7:20:00 PM,7:54:00 PM,8:28:00 PM
BURNHAMTHORPE RD at KIPLING AVE,8:38:00 AM,9:13:00 AM,9:49:00 AM,10:23:00 AM,10:57:00 AM,11:31:00 AM,12:05:00 PM,12:39:00 PM,1:13:00 PM,1:47:00 PM,2:21:00 PM,2:55:00 PM,3:29:00 PM,4:03:00 PM,4:37:00 PM,5:11:00 PM,5:45:00 PM,6:19:00 PM,6:52:00 PM,7:26:00 PM,8:00:00 PM,8:34:00 PM
ISLINGTON SUBWAY DROP OFF,8:42:00 AM,9:17:00 AM,9:53:00 AM,10:27:00 AM,11:01:00 AM,11:35:00 AM,12:09:00 PM,12:43:00 PM,1:17:00 PM,1:51:00 PM,2:25:00 PM,2:59:00 PM,3:33:00 PM,4:07:00 PM,4:41:00 PM,5:15:00 PM,5:49:00 PM,6:23:00 PM,6:56:00 PM,7:30:00 PM,8:04:00 PM,8:38:00 PM
ISLINGTON SUBWAY BUS TERMINAL PLATFORM C,8:43:00 AM,9:18:00 AM,9:54:00 AM,10:28:00 AM,11:02:00 AM,11:36:00 AM,12:10:00 PM,12:44:00 PM,1:18:00 PM,1:52:00 PM,2:26:00 PM,3:00:00 PM,3:34:00 PM,4:08:00 PM,4:42:00 PM,5:16:00 PM,5:50:00 PM,6:24:00 PM,6:57:00 PM,7:31:00 PM,8:05:00 PM,8:39:00 PM
