ISLINGTON SUBWAY BUS TERMINAL PLATFORM C,8:50:00 AM,9:24:00 AM,9:58:00 AM,10:32:00 AM,11:06:00 AM,11:40:00 AM,12:14:00 PM,12:48:00 PM,1:22:00 PM,1:56:00 PM,2:30:00 PM,3:04:00 PM,3:38:00 PM,4:12:00 PM,4:46:00 PM,5:20:00 PM,5:54:00 PM,6:28:00 PM,7:02:00 PM,7:36:00 PM,8:10:00 PM,8:44:00 PM
AUKLAND RD north of DUNDAS ST W,8:53:00 AM,9:27:00 AM,10:01:00 AM,10:35:00 AM,11:09:00 AM,11:43:00 AM,12:18:00 PM,12:52:00 PM,1:26:00 PM,2:00:00 PM,2:34:00 PM,3:08:00 PM,3:42:00 PM,4:16:00 PM,4:50:00 PM,5:24:00 PM,5:57:00 PM,6:31:00 PM,7:05:00 PM,7:39:00 PM,8:13:00 PM,8:47:00 PM
BURNHAMTHORPE RD at KIPLING AVE,8:57:00 AM,9:31:00 AM,10:05:00 AM,10:39:00 AM,11:13:00 AM,11:47:00 AM,12:22:00 PM,12:56:00 PM,1:30:00 PM,2:04:00 PM,2:38:00 PM,3:12:00 PM,3:46:00 PM,4:20:00 PM,4:54:00 PM,5:28:00 PM,6:01:00 PM,6:35:00 PM,7:09:00 PM,7:43:00 PM,8:17:00 PM,8:51:00 PM
BURNHAMTHORPE RD at THE WEST MALL,9:02:00 AM,9:36:00 AM,10:10:00 AM,10:44:00 AM,11:18:00 AM,11:52:00 AM,12:27:00 PM,1:01:00 PM,1:35:00 PM,2:09:00 PM,2:43:00 PM,3:17:00 PM,3:51:00 PM,4:25:00 PM,4:59:00 PM,5:33:00 PM,6:06:00 PM,6:40:00 PM,7:14:00 PM,7:48:00 PM,8:22:00 PM,8:56:00 PM
BURNHAMTHORPE RD at MULGROVE DR,9:02:00 AM,9:36:00 AM,10:10:00 AM,10:44:00 AM,11:18:00 AM,11:52:00 AM,12:27:00 PM,1:01:00 PM,1:35:00 PM,2:09:00 PM,2:43:00 PM,3:17:00 PM,3:51:00 PM,4:25:00 PM,4:59:00 PM,5:33:00 PM,6:06:00 PM,6:40:00 PM,7:14:00 PM,7:48:00 PM,8:22:00 PM,8:56:00 PM
BURNHAMTHORPE RD E at PONYTRAIL DR,9:07:00 AM,9:41:00 AM,10:15:00 AM,10:49:00 AM,11:23:00 AM,11:57:00 AM,12:32:00 PM,1:06:00 PM,1:40:00 PM,2:14:00 PM,2:48:00 PM,3:22:00 PM,3:56:00 PM,4:30:00 PM,5:04:00 PM,5:38:00 PM,6:10:00 PM,6:44:00 PM,7:18:00 PM,7:52:00 PM,8:26:00 PM,9:00:00 PM
PONYTRAIL DR at LOOKOUT CRT,9:07:00 AM,9:41:00 AM,10:15:00 AM,10:49:00 AM,11:23:00 AM,11:57:00 AM,12:32:00 PM,1:06:00 PM,1:40:00 PM,2:14:00 PM,2:48:00 PM,3:22:00 PM,3:56:00 PM,4:30:00 PM,5:04:00 PM,5:38:00 PM,6:10:00 PM,6:44:00 PM,7:18:00 PM,7:52:00 PM,8:26:00 PM,9:00:00 PM
RATHBURN RD at DIXIE RD,9:11:00 AM,9:45:00 AM,10:19:00 AM,10:53:00 AM,11:27:00 AM,12:01:00 PM,12:36:00 PM,1:10:00 PM,1:44:00 PM,2:18:00 PM,2:52:00 PM,3:26:00 PM,4:00:00 PM,4:34:00 PM,5:08:00 PM,5:42:00 PM,6:14:00 PM,6:48:00 PM,7:22:00 PM,7:56:00 PM,8:30:00 PM,9:04:00 PM
RATHBURN RD E at TOMKEN RD,9:13:00 AM,9:47:00 AM,10:21:00 AM,10:55:00 AM,11:29:00 AM,12:03:00 PM,12:38:00 PM,1:12:00 PM,1:46:00 PM,2:20:00 PM,2:54:00 PM,3:28:00 PM,4:02:00 PM,4:36:00 PM,5:10:00 PM,5:44:00 PM,6:17:00 PM,6:51:00 PM,7:24:00 PM,7:58:00 PM,8:32:00 PM,9:06:00 PM
RATHBURN RD at WESTMINSTER PLACE,9:14:00 AM,9:48:00 AM,10:22:00 AM,10:56:00 AM,11:30:00 AM,12:04:00 PM,12:39:00 PM,1:13:00 PM,1:47:00 PM,2:21:00 PM,2:55:00 PM,3:29:00 PM,4:03:00 PM,4:37:00 PM,5:11:00 PM,5:45:00 PM,6:18:00 PM,6:52:00 PM,7:25:00 PM,7:59:00 PM,8:33:00 PM,9:07:00 PM
