CLARKSON GO STATION PLATFORM D,9:07:00 AM,9:32:00 AM,9:57:00 AM,10:22:00 AM,10:47:00 AM,11:12:00 AM,11:37:00 AM,12:02:00 PM,12:27:00 PM,12:52:00 PM,1:17:00 PM,1:42:00 PM,2:07:00 PM,2:32:00 PM,2:57:00 PM,3:22:00 PM,3:47:00 PM,4:12:00 PM,4:37:00 PM,5:02:00 PM,5:27:00 PM,5:52:00 PM,6:17:00 PM,6:42:00 PM,7:07:00 PM,7:32:00 PM,7:57:00 PM,8:22:00 PM,8:48:00 PM,9:18:00 PM,9:53:00 PM,
LAKESHORE RD W at MEADOW WOOD RD,9:12:00 AM,9:37:00 AM,10:02:00 AM,10:27:00 AM,10:52:00 AM,11:17:00 AM,11:42:00 AM,12:07:00 PM,12:32:00 PM,12:57:00 PM,1:22:00 PM,1:47:00 PM,2:12:00 PM,2:37:00 PM,3:02:00 PM,3:27:00 PM,3:52:00 PM,4:17:00 PM,4:42:00 PM,5:07:00 PM,5:32:00 PM,5:57:00 PM,6:22:00 PM,6:47:00 PM,7:12:00 PM,7:37:00 PM,8:02:00 PM,8:27:00 PM,8:53:00 PM,9:23:00 PM,9:58:00 PM,
LAKESHORE RD W at TENNYSON AVE,9:16:00 AM,9:41:00 AM,10:06:00 AM,10:31:00 AM,10:56:00 AM,11:21:00 AM,11:46:00 AM,12:11:00 PM,12:36:00 PM,1:01:00 PM,1:26:00 PM,1:51:00 PM,2:16:00 PM,2:41:00 PM,3:06:00 PM,3:31:00 PM,3:56:00 PM,4:21:00 PM,4:46:00 PM,5:11:00 PM,5:36:00 PM,6:01:00 PM,6:26:00 PM,6:51:00 PM,7:16:00 PM,7:41:00 PM,8:06:00 PM,8:31:00 PM,8:57:00 PM,9:27:00 PM,10:02:00 PM,
LAKESHORE RD W at MISSISSAUGA RD,9:20:00 AM,9:46:00 AM,10:11:00 AM,10:36:00 AM,11:01:00 AM,11:26:00 AM,11:51:00 AM,12:16:00 PM,12:41:00 PM,1:06:00 PM,1:31:00 PM,1:56:00 PM,2:21:00 PM,2:46:00 PM,3:11:00 PM,3:36:00 PM,4:00:00 PM,4:25:00 PM,4:50:00 PM,5:15:00 PM,5:40:00 PM,6:05:00 PM,6:30:00 PM,6:55:00 PM,7:20:00 PM,7:45:00 PM,8:10:00 PM,8:35:00 PM,9:01:00 PM,9:31:00 PM,10:06:00 PM,
PORT CREDIT GO STATION PLATFORM E,9:01:00 AM,9:26:00 AM,9:52:00 AM,10:17:00 AM,10:42:00 AM,11:07:00 AM,11:32:00 AM,11:57:00 AM,12:22:00 PM,12:47:00 PM,1:12:00 PM,1:37:00 PM,2:02:00 PM,2:27:00 PM,2:52:00 PM,3:17:00 PM,3:42:00 PM,4:06:00 PM,4:31:00 PM,4:56:00 PM,5:21:00 PM,5:46:00 PM,6:11:00 PM,6:36:00 PM,7:01:00 PM,7:26:00 PM,7:51:00 PM,8:16:00 PM,8:40:00 PM,9:06:00 PM,9:36:00 PM,10:11:00 PM
LAKESHORE RD E at PORT ST,9:04:00 AM,9:29:00 AM,9:55:00 AM,10:20:00 AM,10:45:00 AM,11:10:00 AM,11:35:00 AM,12:00:00 PM,12:25:00 PM,12:50:00 PM,1:15:00 PM,1:40:00 PM,2:05:00 PM,2:30:00 PM,2:55:00 PM,3:20:00 PM,3:45:00 PM,4:09:00 PM,4:34:00 PM,4:59:00 PM,5:24:00 PM,5:49:00 PM,6:14:00 PM,6:39:00 PM,7:04:00 PM,7:29:00 PM,7:54:00 PM,8:19:00 PM,8:43:00 PM,9:09:00 PM,9:39:00 PM,10:14:00 PM
LAKESHORE RD E at CAWTHRA RD,9:08:00 AM,9:33:00 AM,9:59:00 AM,10:24:00 AM,10:49:00 AM,11:14:00 AM,11:39:00 AM,12:04:00 PM,12:29:00 PM,12:54:00 PM,1:19:00 PM,1:44:00 PM,2:09:00 PM,2:34:00 PM,2:59:00 PM,3:24:00 PM,3:49:00 PM,4:13:00 PM,4:38:00 PM,5:03:00 PM,5:28:00 PM,5:53:00 PM,6:18:00 PM,6:43:00 PM,7:08:00 PM,7:33:00 PM,7:58:00 PM,8:23:00 PM,8:47:00 PM,9:13:00 PM,9:43:00 PM,10:18:00 PM
LAKESHORE RD E at MONTBECK CRES,9:08:00 AM,9:33:00 AM,9:59:00 AM,10:24:00 AM,10:49:00 AM,11:14:00 AM,11:39:00 AM,12:04:00 PM,12:29:00 PM,12:54:00 PM,1:19:00 PM,1:44:00 PM,2:09:00 PM,2:34:00 PM,2:59:00 PM,3:24:00 PM,3:49:00 PM,4:13:00 PM,4:38:00 PM,5:03:00 PM,5:28:00 PM,5:53:00 PM,6:18:00 PM,6:43:00 PM,7:08:00 PM,7:33:00 PM,7:58:00 PM,8:23:00 PM,8:47:00 PM,9:13:00 PM,9:43:00 PM,10:18:00 PM
LAKESHORE RD E at STRATHY AVE,9:11:00 AM,9:36:00 AM,10:02:00 AM,10:27:00 AM,10:52:00 AM,11:17:00 AM,11:42:00 AM,12:07:00 PM,12:32:00 PM,12:57:00 PM,1:22:00 PM,1:47:00 PM,2:12:00 PM,2:37:00 PM,3:02:00 PM,3:27:00 PM,3:52:00 PM,4:16:00 PM,4:41:00 PM,5:06:00 PM,5:31:00 PM,5:56:00 PM,6:21:00 PM,6:46:00 PM,7:11:00 PM,7:36:00 PM,8:01:00 PM,8:26:00 PM,8:50:00 PM,9:16:00 PM,9:46:00 PM,10:21:00 PM
LONG BRANCH GO STATION,9:14:00 AM,9:40:00 AM,10:06:00 AM,10:31:00 AM,10:56:00 AM,11:21:00 AM,11:46:00 AM,12:11:00 PM,12:36:00 PM,1:01:00 PM,1:26:00 PM,1:51:00 PM,2:16:00 PM,2:41:00 PM,3:06:00 PM,3:31:00 PM,3:56:00 PM,4:20:00 PM,4:45:00 PM,5:10:00 PM,5:35:00 PM,6:00:00 PM,6:25:00 PM,6:50:00 PM,7:15:00 PM,7:40:00 PM,8:05:00 PM,8:29:00 PM,8:53:00 PM,9:19:00 PM,9:49:00 PM,10:24:00 PM
