SOUTH COMMON MALL BUS TERMINAL PLATFORM L,8:32:00 AM,9:05:00 AM,9:38:00 AM,10:11:00 AM,10:44:00 AM,11:17:00 AM,11:50:00 AM,12:23:00 PM,12:56:00 PM,1:29:00 PM,2:02:00 PM,2:35:00 PM,3:08:00 PM,3:41:00 PM,4:14:00 PM,4:47:00 PM,5:20:00 PM,5:53:00 PM,6:26:00 PM,6:59:00 PM,7:32:00 PM,8:05:00 PM,8:38:00 PM,9:11:00 PM,9:44:00 PM,10:17:00 PM,10:50:00 PM,11:23:00 PM,11:56:00 PM
BURNHAMTHORPE RD W at MISSISSAUGA RD,8:38:00 AM,9:11:00 AM,9:44:00 AM,10:17:00 AM,10:50:00 AM,11:23:00 AM,11:56:00 AM,12:29:00 PM,1:02:00 PM,1:35:00 PM,2:08:00 PM,2:41:00 PM,3:14:00 PM,3:47:00 PM,4:20:00 PM,4:53:00 PM,5:26:00 PM,5:59:00 PM,6:32:00 PM,7:05:00 PM,7:38:00 PM,8:11:00 PM,8:44:00 PM,9:17:00 PM,9:50:00 PM,10:23:00 PM,10:56:00 PM,11:29:00 PM,12:02:00 AM
BURNHAMTHORPE RD W at ERINDALE STATION RD,8:42:00 AM,9:15:00 AM,9:48:00 AM,10:21:00 AM,10:54:00 AM,11:27:00 AM,12:00:00 PM,12:33:00 PM,1:06:00 PM,1:39:00 PM,2:12:00 PM,2:45:00 PM,3:18:00 PM,3:51:00 PM,4:24:00 PM,4:57:00 PM,5:30:00 PM,6:03:00 PM,6:36:00 PM,7:09:00 PM,7:42:00 PM,8:15:00 PM,8:48:00 PM,9:21:00 PM,9:54:00 PM,10:27:00 PM,11:00:00 PM,11:33:00 PM,12:06:00 AM
BURNHAMTHORPE RD W at MAVIS RD,8:46:00 AM,9:19:00 AM,9:52:00 AM,10:25:00 AM,10:58:00 AM,11:31:00 AM,12:04:00 PM,12:37:00 PM,1:10:00 PM,1:43:00 PM,2:16:00 PM,2:49:00 PM,3:22:00 PM,3:55:00 PM,4:28:00 PM,5:01:00 PM,5:34:00 PM,6:07:00 PM,6:40:00 PM,7:13:00 PM,7:46:00 PM,8:19:00 PM,8:52:00 PM,9:25:00 PM,9:58:00 PM,10:31:00 PM,11:04:00 PM,11:37:00 PM,12:10:00 AM
CITY CENTRE BUS TERMINAL PLATFORM E,8:56:00 AM,9:29:00 AM,10:02:00 AM,10:35:00 AM,11:08:00 AM,11:41:00 AM,12:14:00 PM,12:47:00 PM,1:20:00 PM,1:53:00 PM,2:26:00 PM,2:59:00 PM,3:32:00 PM,4:05:00 PM,4:38:00 PM,5:11:00 PM,5:44:00 PM,6:17:00 PM,6:50:00 PM,7:23:00 PM,7:56:00 PM,8:29:00 PM,9:02:00 PM,9:35:00 PM,10:08:00 PM,10:41:00 PM,11:14:00 PM,11:47:00 PM,12:20:00 AM
BURNHAMTHORPE RD E east of HURONTARIO ST,9:02:00 AM,9:35:00 AM,10:08:00 AM,10:41:00 AM,11:14:00 AM,11:47:00 AM,12:20:00 PM,12:53:00 PM,1:26:00 PM,1:59:00 PM,2:32:00 PM,3:05:00 PM,3:38:00 PM,4:11:00 PM,4:44:00 PM,5:17:00 PM,5:50:00 PM,6:23:00 PM,6:56:00 PM,7:29:00 PM,8:02:00 PM,8:35:00 PM,9:08:00 PM,9:41:00 PM,10:14:00 PM,10:47:00 PM,11:20:00 PM,11:53:00 PM,12:26:00 AM
BURNHAMTHORPE RD E at MOLLY AVE,9:06:00 AM,9:39:00 AM,10:12:00 AM,10:45:00 AM,11:18:00 AM,11:51:00 AM,12:24:00 PM,12:57:00 PM,1:30:00 PM,2:03:00 PM,2:36:00 PM,3:09:00 PM,3:42:00 PM,4:15:00 PM,4:48:00 PM,5:21:00 PM,5:54:00 PM,6:27:00 PM,7:00:00 PM,7:33:00 PM,8:06:00 PM,8:39:00 PM,9:12:00 PM,9:45:00 PM,10:18:00 PM,10:51:00 PM,11:24:00 PM,11:57:00 PM,12:30:00 AM
BURNHAMTHORPE RD E at CAWTHRA RD,9:07:00 AM,9:40:00 AM,10:13:00 AM,10:46:00 AM,11:19:00 AM,11:52:00 AM,12:25:00 PM,12:58:00 PM,1:31:00 PM,2:04:00 PM,2:37:00 PM,3:10:00 PM,3:43:00 PM,4:16:00 PM,4:49:00 PM,5:22:00 PM,5:55:00 PM,6:28:00 PM,7:01:00 PM,7:34:00 PM,8:07:00 PM,8:40:00 PM,9:13:00 PM,9:46:00 PM,10:19:00 PM,10:52:00 PM,11:25:00 PM,11:58:00 PM,12:31:00 AM
BURNHAMTHORPE RD E at DIXIE RD,9:12:00 AM,9:45:00 AM,10:18:00 AM,10:51:00 AM,11:24:00 AM,11:57:00 AM,12:30:00 PM,1:03:00 PM,1:36:00 PM,2:09:00 PM,2:42:00 PM,3:15:00 PM,3:48:00 PM,4:21:00 PM,4:54:00 PM,5:27:00 PM,6:00:00 PM,6:33:00 PM,7:06:00 PM,7:39:00 PM,8:12:00 PM,8:45:00 PM,9:18:00 PM,9:51:00 PM,10:24:00 PM,10:57:00 PM,11:30:00 PM,12:03:00 AM,12:36:00 AM
BURNHAMTHORPE RD E FIRST STOP east of PONYTRAIL DR,9:16:00 AM,9:49:00 AM,10:22:00 AM,10:55:00 AM,11:28:00 AM,12:01:00 PM,12:34:00 PM,1:07:00 PM,1:40:00 PM,2:13:00 PM,2:46:00 PM,3:19:00 PM,3:52:00 PM,4:25:00 PM,4:58:00 PM,5:31:00 PM,6:04:00 PM,6:37:00 PM,7:10:00 PM,7:43:00 PM,8:16:00 PM,8:49:00 PM,9:22:00 PM,9:55:00 PM,10:28:00 PM,11:01:00 PM,11:34:00 PM,12:07:00 AM,12:40:00 AM
