ISLINGTON SUBWAY BUS TERMINAL PLATFORM D,9:35:00 AM,10:08:00 AM,10:41:00 AM,11:14:00 AM,11:47:00 AM,12:20:00 PM,12:53:00 PM,1:26:00 PM,1:59:00 PM,2:32:00 PM,3:05:00 PM,3:38:00 PM,4:11:00 PM,4:44:00 PM,5:17:00 PM,5:50:00 PM,6:23:00 PM,6:56:00 PM,7:29:00 PM,8:02:00 PM,8:35:00 PM,9:08:00 PM,9:41:00 PM,10:14:00 PM,10:47:00 PM,11:20:00 PM,11:53:00 PM,12:26:00 AM,12:59:00 AM,,,,
BURNHAMTHORPE RD at KIPLING AVE,9:42:00 AM,10:15:00 AM,10:48:00 AM,11:21:00 AM,11:54:00 AM,12:27:00 PM,1:00:00 PM,1:33:00 PM,2:06:00 PM,2:39:00 PM,3:12:00 PM,3:45:00 PM,4:18:00 PM,4:51:00 PM,5:24:00 PM,5:57:00 PM,6:30:00 PM,7:03:00 PM,7:36:00 PM,8:09:00 PM,8:42:00 PM,9:15:00 PM,9:48:00 PM,10:21:00 PM,10:54:00 PM,11:27:00 PM,12:00:00 AM,12:33:00 AM,1:06:00 AM,,,,
BURNHAMTHORPE RD at THE WEST MALL,9:47:00 AM,10:20:00 AM,10:53:00 AM,11:26:00 AM,11:59:00 AM,12:32:00 PM,1:05:00 PM,1:38:00 PM,2:11:00 PM,2:44:00 PM,3:17:00 PM,3:50:00 PM,4:23:00 PM,4:56:00 PM,5:29:00 PM,6:02:00 PM,6:35:00 PM,7:08:00 PM,7:41:00 PM,8:14:00 PM,8:47:00 PM,9:20:00 PM,9:53:00 PM,10:26:00 PM,10:59:00 PM,11:32:00 PM,12:05:00 AM,12:38:00 AM,1:11:00 AM,,,,
BURNHAMTHORPE RD at MULGROVE DR,9:47:00 AM,10:20:00 AM,10:53:00 AM,11:26:00 AM,11:59:00 AM,12:32:00 PM,1:05:00 PM,1:38:00 PM,2:11:00 PM,2:44:00 PM,3:17:00 PM,3:50:00 PM,4:23:00 PM,4:56:00 PM,5:29:00 PM,6:02:00 PM,6:35:00 PM,7:08:00 PM,7:41:00 PM,8:14:00 PM,8:47:00 PM,9:20:00 PM,9:53:00 PM,10:26:00 PM,10:59:00 PM,11:32:00 PM,12:05:00 AM,12:38:00 AM,1:11:00 AM,,,,
BURNHAMTHORPE RD E at PONYTRAIL DR,9:53:00 AM,10:26:00 AM,10:59:00 AM,11:32:00 AM,12:05:00 PM,12:38:00 PM,1:11:00 PM,1:44:00 PM,2:17:00 PM,2:50:00 PM,3:23:00 PM,3:56:00 PM,4:29:00 PM,5:02:00 PM,5:35:00 PM,6:08:00 PM,6:41:00 PM,7:14:00 PM,7:47:00 PM,8:20:00 PM,8:53:00 PM,9:26:00 PM,9:59:00 PM,10:32:00 PM,11:05:00 PM,11:38:00 PM,12:11:00 AM,12:44:00 AM,1:17:00 AM,,,,
BURNHAMTHORPE RD E at DIXIE RD,9:57:00 AM,10:30:00 AM,11:03:00 AM,11:36:00 AM,12:09:00 PM,12:42:00 PM,1:15:00 PM,1:48:00 PM,2:21:00 PM,2:54:00 PM,3:27:00 PM,4:00:00 PM,4:33:00 PM,5:06:00 PM,5:39:00 PM,6:12:00 PM,6:45:00 PM,7:18:00 PM,7:51:00 PM,8:24:00 PM,8:57:00 PM,9:30:00 PM,10:03:00 PM,10:36:00 PM,11:09:00 PM,11:42:00 PM,12:15:00 AM,12:48:00 AM,1:21:00 AM,,,,
BURNHAMTHORPE RD E at CAWTHRA RD,10:02:00 AM,10:35:00 AM,11:08:00 AM,11:41:00 AM,12:14:00 PM,12:47:00 PM,1:20:00 PM,1:53:00 PM,2:26:00 PM,2:59:00 PM,3:32:00 PM,4:05:00 PM,4:38:00 PM,5:11:00 PM,5:44:00 PM,6:17:00 PM,6:50:00 PM,7:23:00 PM,7:56:00 PM,8:29:00 PM,9:02:00 PM,9:35:00 PM,10:08:00 PM,10:41:00 PM,11:14:00 PM,11:47:00 PM,12:20:00 AM,12:53:00 AM,1:26:00 AM,,,,
BURNHAMTHORPE RD E at MOLLY AVE,10:03:00 AM,10:36:00 AM,11:09:00 AM,11:42:00 AM,12:15:00 PM,12:48:00 PM,1:21:00 PM,1:54:00 PM,2:27:00 PM,3:00:00 PM,3:33:00 PM,4:06:00 PM,4:39:00 PM,5:12:00 PM,5:45:00 PM,6:18:00 PM,6:51:00 PM,7:24:00 PM,7:57:00 PM,8:30:00 PM,9:03:00 PM,9:36:00 PM,10:09:00 PM,10:42:00 PM,11:15:00 PM,11:48:00 PM,12:21:00 AM,12:54:00 AM,1:27:00 AM,,,,
BURNHAMTHORPE RD E at HURONTARIO ST,10:07:00 AM,10:40:00 AM,11:13:00 AM,11:46:00 AM,12:19:00 PM,12:52:00 PM,1:25:00 PM,1:58:00 PM,2:31:00 PM,3:04:00 PM,3:37:00 PM,4:10:00 PM,4:43:00 PM,5:16:00 PM,5:49:00 PM,6:22:00 PM,6:55:00 PM,7:28:00 PM,8:01:00 PM,8:34:00 PM,9:07:00 PM,9:40:00 PM,10:13:00 PM,10:46:00 PM,11:19:00 PM,11:52:00 PM,12:25:00 AM,12:58:00 AM,1:31:00 AM,,,,
CITY CENTRE BUS TERMINAL PLATFORM C,8:03:00 AM,8:36:00 AM,9:09:00 AM,9:42:00 AM,10:14:00 AM,10:47:00 AM,11:20:00 AM,11:53:00 AM,12:26:00 PM,12:59:00 PM,1:32:00 PM,2:05:00 PM,2:38:00 PM,3:11:00 PM,3:44:00 PM,4:17:00 PM,4:50:00 PM,5:23:00 PM,5:56:00 PM,6:29:00 PM,7:02:00 PM,7:35:00 PM,8:08:00 PM,8:41:00 PM,9:14:00 PM,9:47:00 PM,10:20:00 PM,10:53:00 PM,11:26:00 PM,11:59:00 PM,12:32:00 AM,1:05:00 AM,1:38:00 AM
