CLARKSON GO STATION PLATFORM F,7:08 AM[c],7:53 AM[c],8:34 AM[c],9:23 AM[c],10:08 AM[c],10:53 AM[c],11:36 AM[c],12:23 PM[c],1:08 PM[c],1:53 PM[c],2:37 PM[c],3:23 PM[c],4:08 PM[c],4:49 PM[c],5:38 PM[c],6:23 PM[c],7:08 PM[c],7:51 PM[c],8:38 PM[c],9:13 PM[c],10:08 PM[c],10:43 PM[c],11:38 PM[c]
BROMSGROVE RD at CONSTABLE RD,7:13 AM[c],7:58 AM[c],8:39 AM[c],9:28 AM[c],10:13 AM[c],10:58 AM[c],11:41 AM[c],12:28 PM[c],1:13 PM[c],1:58 PM[c],2:42 PM[c],3:28 PM[c],4:13 PM[c],4:54 PM[c],5:43 PM[c],6:28 PM[c],7:13 PM[c],7:56 PM[c],8:43 PM[c],9:18 PM[c],10:13 PM[c],10:48 PM[c],11:43 PM[c]
BROMSGROVE RD at WINSTON CHURCHILL BLVD,7:14 AM[c],7:59 AM[c],8:40 AM[c],9:29 AM[c],10:14 AM[c],10:59 AM[c],11:42 AM[c],12:29 PM[c],1:14 PM[c],1:59 PM[c],2:43 PM[c],3:29 PM[c],4:14 PM[c],4:55 PM[c],5:44 PM[c],6:29 PM[c],7:14 PM[c],7:57 PM[c],8:44 PM[c],9:19 PM[c],10:14 PM[c],10:49 PM[c],11:44 PM[c]
TRUSCOTT DR at THETFORD CRT,7:21 AM[c],8:06 AM[c],8:47 AM[c],9:36 AM[c],10:21 AM[c],11:06 AM[c],11:49 AM[c],12:36 PM[c],1:21 PM[c],2:06 PM[c],2:50 PM[c],3:36 PM[c],4:21 PM[c],5:02 PM[c],5:51 PM[c],6:36 PM[c],7:21 PM[c],8:04 PM[c],8:51 PM[c],9:26 PM[c],10:21 PM[c],10:56 PM[c],11:51 PM[c]
ERIN MILLS PKY north of FOWLER DR,7:25 AM[c],8:10 AM[c],8:51 AM[c],9:40 AM[c],10:25 AM[c],11:10 AM[c],11:53 AM[c],12:40 PM[c],1:25 PM[c],2:10 PM[c],2:54 PM[c],3:40 PM[c],4:25 PM[c],5:06 PM[c],5:55 PM[c],6:40 PM[c],7:25 PM[c],8:08 PM[c],8:55 PM[c],9:30 PM[c],10:25 PM[c],11:00 PM[c],11:55 PM[c]
SHERIDAN PARK DR west of FIFTH LINE WEST,7:29 AM[c],8:14 AM[c],8:55 AM[c],9:44 AM[c],10:29 AM[c],11:14 AM[c],11:57 AM[c],12:44 PM[c],1:29 PM[c],2:14 PM[c],2:58 PM[c],3:44 PM[c],4:29 PM[c],5:10 PM[c],5:59 PM[c],6:44 PM[c],7:29 PM[c],8:12 PM[c],8:59 PM[c],9:34 PM[c],10:29 PM[c],11:04 PM[c],11:59 PM[c]
HOMELANDS DR at PYRAMID CRES,7:30 AM[c],8:15 AM[c],8:56 AM[c],9:45 AM[c],10:30 AM[c],11:15 AM[c],11:58 AM[c],12:45 PM[c],1:30 PM[c],2:15 PM[c],2:59 PM[c],3:45 PM[c],4:30 PM[c],5:11 PM[c],6:00 PM[c],6:45 PM[c],7:30 PM[c],8:13 PM[c],9:00 PM[c],9:35 PM[c],10:30 PM[c],11:05 PM[c],12:00 AM[c]
WOODCHESTER DR at DUNDAS ST,7:34 AM[c],8:19 AM[c],9:00 AM[c],9:49 AM[c],10:34 AM[c],11:19 AM[c],12:02 PM[c],12:49 PM[c],1:34 PM[c],2:19 PM[c],3:03 PM[c],3:49 PM[c],4:34 PM[c],5:15 PM[c],6:04 PM[c],6:49 PM[c],7:34 PM[c],8:17 PM[c],9:04 PM[c],9:39 PM[c],10:34 PM[c],11:09 PM[c],12:04 AM[c]
DUNDAS ST at WOODCHESTER DR,7:34 AM[c],8:19 AM[c],9:00 AM[c],9:49 AM[c],10:34 AM[c],11:19 AM[c],12:02 PM[c],12:49 PM[c],1:34 PM[c],2:19 PM[c],3:03 PM[c],3:49 PM[c],4:34 PM[c],5:15 PM[c],6:04 PM[c],6:49 PM[c],7:34 PM[c],8:17 PM[c],9:04 PM[c],9:39 PM[c],10:34 PM[c],11:09 PM[c],12:04 AM[c]
GLEN ERIN DR north of THE COLLEGEWAY,7:38 AM[c],8:23 AM[c],9:04 AM[c],9:53 AM[c],10:38 AM[c],11:23 AM[c],12:06 PM[c],12:53 PM[c],1:38 PM[c],2:23 PM[c],3:07 PM[c],3:53 PM[c],4:38 PM[c],5:19 PM[c],6:08 PM[c],6:53 PM[c],7:38 PM[c],8:21 PM[c],9:08 PM[c],9:43 PM[c],10:38 PM[c],11:13 PM[c],12:08 AM[c]
SOUTH COMMON CENTRE BUS TERMINAL PLATFORM I,7:41 AM[c],8:26 AM[c],9:07 AM[c],9:56 AM[c],10:41 AM[c],11:26 AM[c],12:09 PM[c],12:56 PM[c],1:41 PM[c],2:26 PM[c],3:10 PM[c],3:56 PM[c],4:41 PM[c],5:22 PM[c],6:11 PM[c],6:56 PM[c],7:41 PM[c],8:24 PM[c],9:11 PM[c],9:46 PM[c],10:41 PM[c],11:16 PM[c],12:11 AM[c]
