ERIN MILLS TOWN CENTRE BUS TERMINAL PLATFORM B,8:24:00 AM,9:07:00 AM,9:50:00 AM,10:33:00 AM,11:16:00 AM,11:59:00 AM,12:42:00 PM,1:25:00 PM,2:08:00 PM,2:51:00 PM,3:34:00 PM,4:17:00 PM,5:00:00 PM,5:43:00 PM,6:26:00 PM,7:09:00 PM,7:52:00 PM,8:35:00 PM,9:18:00 PM,10:05:00 PM,10:44:00 PM
ERIN CENTRE BLVD at GLEN ERIN DR,8:25:00 AM,9:08:00 AM,9:51:00 AM,10:34:00 AM,11:17:00 AM,12:00:00 PM,12:43:00 PM,1:26:00 PM,2:09:00 PM,2:52:00 PM,3:35:00 PM,4:18:00 PM,5:01:00 PM,5:44:00 PM,6:27:00 PM,7:10:00 PM,7:53:00 PM,8:36:00 PM,9:19:00 PM,10:06:00 PM,10:45:00 PM
ERIN CENTRE BLVD at DUBONET DR,8:27:00 AM,9:10:00 AM,9:53:00 AM,10:36:00 AM,11:19:00 AM,12:02:00 PM,12:45:00 PM,1:28:00 PM,2:11:00 PM,2:54:00 PM,3:37:00 PM,4:20:00 PM,5:03:00 PM,5:46:00 PM,6:29:00 PM,7:12:00 PM,7:55:00 PM,8:38:00 PM,9:21:00 PM,10:08:00 PM,10:47:00 PM
TENTH LINE south of ERIN CENTRE BLVD,8:28:00 AM,9:11:00 AM,9:54:00 AM,10:37:00 AM,11:20:00 AM,12:03:00 PM,12:46:00 PM,1:29:00 PM,2:12:00 PM,2:55:00 PM,3:38:00 PM,4:21:00 PM,5:04:00 PM,5:47:00 PM,6:30:00 PM,7:13:00 PM,7:56:00 PM,8:39:00 PM,9:22:00 PM,10:09:00 PM,10:48:00 PM
TENTH LINE at PERENNIAL DR,8:29:00 AM,9:12:00 AM,9:55:00 AM,10:38:00 AM,11:21:00 AM,12:04:00 PM,12:47:00 PM,1:30:00 PM,2:13:00 PM,2:56:00 PM,3:39:00 PM,4:22:00 PM,5:05:00 PM,5:48:00 PM,6:31:00 PM,7:14:00 PM,7:57:00 PM,8:40:00 PM,9:23:00 PM,10:10:00 PM,10:49:00 PM
EGLINTON AVE at MIDDLESEX GATE,8:30:00 AM,9:13:00 AM,9:56:00 AM,10:39:00 AM,11:22:00 AM,12:05:00 PM,12:48:00 PM,1:31:00 PM,2:14:00 PM,2:57:00 PM,3:40:00 PM,4:23:00 PM,5:06:00 PM,5:49:00 PM,6:32:00 PM,7:15:00 PM,7:58:00 PM,8:41:00 PM,9:24:00 PM,10:11:00 PM,10:50:00 PM
EGLINTON AVE at WINSTON CHURCHILL BLVD,8:31:00 AM,9:15:00 AM,9:58:00 AM,10:41:00 AM,11:24:00 AM,12:07:00 PM,12:50:00 PM,1:33:00 PM,2:16:00 PM,2:59:00 PM,3:42:00 PM,4:25:00 PM,5:08:00 PM,5:51:00 PM,6:34:00 PM,7:17:00 PM,8:00:00 PM,8:43:00 PM,9:25:00 PM,10:12:00 PM,10:51:00 PM
EGLINTON AVE at METCALFE AVE,8:34:00 AM,9:18:00 AM,10:01:00 AM,10:44:00 AM,11:27:00 AM,12:10:00 PM,12:53:00 PM,1:36:00 PM,2:19:00 PM,3:02:00 PM,3:45:00 PM,4:28:00 PM,5:11:00 PM,5:54:00 PM,6:37:00 PM,7:20:00 PM,8:03:00 PM,8:46:00 PM,9:28:00 PM,10:15:00 PM,10:54:00 PM
CREDIT VALLEY HOSPITAL[c],8:36:00 AM,9:20:00 AM,10:03:00 AM,10:46:00 AM,11:29:00 AM,12:12:00 PM,12:55:00 PM,1:38:00 PM,2:21:00 PM,3:04:00 PM,3:47:00 PM,4:30:00 PM,5:13:00 PM,5:56:00 PM,6:39:00 PM,7:22:00 PM,8:05:00 PM,8:48:00 PM,9:30:00 PM,10:17:00 PM,10:56:00 PM
EGLINTON AVE at MISSISSAUGA RD,8:40:00 AM,9:24:00 AM,10:07:00 AM,10:50:00 AM,11:33:00 AM,12:16:00 PM,12:59:00 PM,1:42:00 PM,2:25:00 PM,3:08:00 PM,3:51:00 PM,4:34:00 PM,5:17:00 PM,6:00:00 PM,6:43:00 PM,7:26:00 PM,8:09:00 PM,8:52:00 PM,9:34:00 PM,10:21:00 PM,11:00:00 PM
