CITY CENTRE BUS TERMINAL PLATFORM J,9:06:00 AM,9:49:00 AM,10:32:00 AM,11:15:00 AM,11:58:00 AM,12:41:00 PM,1:24:00 PM,2:07:00 PM,2:50:00 PM,3:33:00 PM,4:16:00 PM,4:59:00 PM,5:42:00 PM,6:25:00 PM,7:08:00 PM,7:51:00 PM,8:34:00 PM,9:17:00 PM,10:05:00 PM
KINGSBRIDGE GARDEN CIRCLE at TUCANA CRT,9:12:00 AM,9:55:00 AM,10:38:00 AM,11:21:00 AM,12:04:00 PM,12:47:00 PM,1:30:00 PM,2:13:00 PM,2:56:00 PM,3:39:00 PM,4:22:00 PM,5:05:00 PM,5:48:00 PM,6:31:00 PM,7:14:00 PM,7:57:00 PM,8:40:00 PM,9:23:00 PM,10:10:00 PM
EGLINTON AVE at MCLAUGHLIN RD,9:17:00 AM,10:00:00 AM,10:43:00 AM,11:26:00 AM,12:09:00 PM,12:52:00 PM,1:35:00 PM,2:18:00 PM,3:01:00 PM,3:44:00 PM,4:27:00 PM,5:10:00 PM,5:53:00 PM,6:36:00 PM,7:19:00 PM,8:02:00 PM,8:45:00 PM,9:28:00 PM,10:15:00 PM
EGLINTON AVE at MAVIS RD,9:19:00 AM,10:02:00 AM,10:45:00 AM,11:28:00 AM,12:11:00 PM,12:54:00 PM,1:37:00 PM,2:20:00 PM,3:03:00 PM,3:46:00 PM,4:29:00 PM,5:12:00 PM,5:55:00 PM,6:38:00 PM,7:21:00 PM,8:04:00 PM,8:47:00 PM,9:30:00 PM,10:17:00 PM
EGLINTON AVE at CREDITVIEW RD,9:24:00 AM,10:07:00 AM,10:50:00 AM,11:33:00 AM,12:16:00 PM,12:59:00 PM,1:42:00 PM,2:25:00 PM,3:08:00 PM,3:51:00 PM,4:34:00 PM,5:17:00 PM,6:00:00 PM,6:43:00 PM,7:26:00 PM,8:09:00 PM,8:52:00 PM,9:35:00 PM,10:22:00 PM
EGLINTON AVE west of CREDITVIEW RD,9:24:00 AM,10:07:00 AM,10:50:00 AM,11:33:00 AM,12:16:00 PM,12:59:00 PM,1:42:00 PM,2:25:00 PM,3:08:00 PM,3:51:00 PM,4:34:00 PM,5:17:00 PM,6:00:00 PM,6:43:00 PM,7:26:00 PM,8:09:00 PM,8:52:00 PM,9:35:00 PM,10:22:00 PM
EGLINTON AVE at MISSISSAUGA RD,9:27:00 AM,10:10:00 AM,10:53:00 AM,11:36:00 AM,12:19:00 PM,1:02:00 PM,1:45:00 PM,2:28:00 PM,3:11:00 PM,3:54:00 PM,4:37:00 PM,5:20:00 PM,6:03:00 PM,6:46:00 PM,7:29:00 PM,8:12:00 PM,8:55:00 PM,9:38:00 PM,10:25:00 PM
CREDIT VALLEY HOSPITAL[c],9:31:00 AM,10:14:00 AM,10:57:00 AM,11:40:00 AM,12:23:00 PM,1:06:00 PM,1:49:00 PM,2:32:00 PM,3:15:00 PM,3:58:00 PM,4:41:00 PM,5:24:00 PM,6:07:00 PM,6:50:00 PM,7:33:00 PM,8:16:00 PM,8:59:00 PM,9:42:00 PM,10:29:00 PM
EGLINTON AVE at ERIN MILLS TOWN CENTRE SOUTH GATE,9:33:00 AM,10:16:00 AM,10:59:00 AM,11:42:00 AM,12:25:00 PM,1:08:00 PM,1:51:00 PM,2:34:00 PM,3:17:00 PM,4:00:00 PM,4:43:00 PM,5:26:00 PM,6:09:00 PM,6:52:00 PM,7:35:00 PM,8:18:00 PM,9:01:00 PM,9:44:00 PM,10:31:00 PM
EGLINTON AVE at WINSTON CHURCHILL BLVD,9:36:00 AM,10:19:00 AM,11:02:00 AM,11:45:00 AM,12:28:00 PM,1:11:00 PM,1:54:00 PM,2:37:00 PM,3:20:00 PM,4:03:00 PM,4:46:00 PM,5:29:00 PM,6:12:00 PM,6:55:00 PM,7:38:00 PM,8:21:00 PM,9:04:00 PM,9:47:00 PM,10:34:00 PM
