HURON PARK ACCESS RD at QUEENSWAY,7:56 AM[b],8:41 AM[b],9:26 AM[b],10:11 AM[b],10:56 AM[b],11:41 AM[b],12:26 PM[b],1:11 PM[b],1:56 PM[b],2:41 PM[b],3:26 PM[b],4:11 PM[b],4:56 PM[b],5:41 PM[b],6:26 PM[b],7:11 PM[b]
DUNDAS ST at WOLFEDALE RD,8:02 AM[b],8:47 AM[b],9:32 AM[b],10:17 AM[b],11:02 AM[b],11:47 AM[b],12:32 PM[b],1:17 PM[b],2:02 PM[b],2:47 PM[b],3:32 PM[b],4:17 PM[b],5:02 PM[b],5:47 PM[b],6:32 PM[b],7:17 PM[b]
WOLFEDALE RD at DUNDAS ST,8:02 AM[b],8:47 AM[b],9:32 AM[b],10:17 AM[b],11:02 AM[b],11:47 AM[b],12:32 PM[b],1:17 PM[b],2:02 PM[b],2:47 PM[b],3:32 PM[b],4:17 PM[b],5:02 PM[b],5:47 PM[b],6:32 PM[b],7:17 PM[b]
CENTRAL PKY W at SEMENYK CRT,8:06 AM[b],8:51 AM[b],9:36 AM[b],10:21 AM[b],11:06 AM[b],11:51 AM[b],12:36 PM[b],1:21 PM[b],2:06 PM[b],2:51 PM[b],3:36 PM[b],4:21 PM[b],5:06 PM[b],5:51 PM[b],6:36 PM[b],7:21 PM[b]
CENTRAL PKY W at BURNHAMTHORPE RD W,8:08 AM[b],8:53 AM[b],9:38 AM[b],10:23 AM[b],11:08 AM[b],11:53 AM[b],12:38 PM[b],1:23 PM[b],2:08 PM[b],2:53 PM[b],3:38 PM[b],4:23 PM[b],5:08 PM[b],5:53 PM[b],6:38 PM[b],7:23 PM[b]
CREDITVIEW RD at RATHBURN RD,8:09 AM[b],8:54 AM[b],9:39 AM[b],10:24 AM[b],11:09 AM[b],11:54 AM[b],12:39 PM[b],1:24 PM[b],2:09 PM[b],2:54 PM[b],3:39 PM[b],4:24 PM[b],5:09 PM[b],5:54 PM[b],6:39 PM[b],7:24 PM[b]
CREDITVIEW RD at EGLINTON AVE,8:13 AM[b],8:58 AM[b],9:43 AM[b],10:28 AM[b],11:13 AM[b],11:58 AM[b],12:43 PM[b],1:28 PM[b],2:13 PM[b],2:58 PM[b],3:43 PM[b],4:28 PM[b],5:13 PM[b],5:58 PM[b],6:43 PM[b],7:28 PM[b]
CREDITVIEW RD at CUTHBERT AVE,8:13 AM[b],8:58 AM[b],9:43 AM[b],10:28 AM[b],11:13 AM[b],11:58 AM[b],12:43 PM[b],1:28 PM[b],2:13 PM[b],2:58 PM[b],3:43 PM[b],4:28 PM[b],5:13 PM[b],5:58 PM[b],6:43 PM[b],7:28 PM[b]
CREDITVIEW RD at CAROLYN DR,8:16 AM[b],9:01 AM[b],9:46 AM[b],10:31 AM[b],11:16 AM[b],12:01 PM[b],12:46 PM[b],1:31 PM[b],2:16 PM[b],3:01 PM[b],3:46 PM[b],4:31 PM[b],5:16 PM[b],6:01 PM[b],6:46 PM[b],7:31 PM[b]
CREDITVIEW RD at BRISTOL RD,8:16 AM[b],9:01 AM[b],9:46 AM[b],10:31 AM[b],11:16 AM[b],12:01 PM[b],12:46 PM[b],1:31 PM[b],2:16 PM[b],3:01 PM[b],3:46 PM[b],4:31 PM[b],5:16 PM[b],6:01 PM[b],6:46 PM[b],7:31 PM[b]
CREDITVIEW RD at BRITANNIA RD,8:20 AM[b],9:05 AM[b],9:50 AM[b],10:35 AM[b],11:20 AM[b],12:05 PM[b],12:50 PM[b],1:35 PM[b],2:20 PM[b],3:05 PM[b],3:50 PM[b],4:35 PM[b],5:20 PM[b],6:05 PM[b],6:50 PM[b],7:35 PM[b]
SILKEN LAUMANN WAY at BRITANNIA RD,8:23 AM[b],9:08 AM[b],9:53 AM[b],10:38 AM[b],11:23 AM[b],12:08 PM[b],12:53 PM[b],1:38 PM[b],2:23 PM[b],3:08 PM[b],3:53 PM[b],4:38 PM[b],5:23 PM[b],6:08 PM[b],6:53 PM[b],7:38 PM[b]
BANCROFT DR at CREDITVIEW RD,8:28 AM[b],9:13 AM[b],9:58 AM[b],10:43 AM[b],11:28 AM[b],12:13 PM[b],12:58 PM[b],1:43 PM[b],2:28 PM[b],3:13 PM[b],3:58 PM[b],4:43 PM[b],5:28 PM[b],6:13 PM[b],6:58 PM[b],7:43 PM[b]
ARGENTIA RD at CAMPOBELLO RD (east leg),8:31 AM[b],9:16 AM[b],10:01 AM[b],10:46 AM[b],11:31 AM[b],12:16 PM[b],1:01 PM[b],1:46 PM[b],2:31 PM[b],3:16 PM[b],4:01 PM[b],4:46 PM[b],5:31 PM[b],6:16 PM[b],7:01 PM[b],7:46 PM[b]
ARGENTIA RD at MISSISSAUGA RD,8:34 AM[b],9:19 AM[b],10:04 AM[b],10:49 AM[b],11:34 AM[b],12:19 PM[b],1:04 PM[b],1:49 PM[b],2:34 PM[b],3:19 PM[b],4:04 PM[b],4:49 PM[b],5:34 PM[b],6:19 PM[b],7:04 PM[b],7:49 PM[b]
