MEADOWVALE TOWN CENTRE BUS TERMINAL PLATFORM D,8:25 AM[b],9:10 AM[b],9:55 AM[b],10:40 AM[b],11:25 AM[b],12:10 PM[b],12:55 PM[b],1:40 PM[b],2:25 PM[b],3:10 PM[b],3:55 PM[b],4:40 PM[b],5:25 PM[b],6:10 PM[b],6:55 PM[b],7:40 PM[b]
WINSTON CHURCHILL BLVD north of VANDERBILT RD,8:28 AM[b],9:13 AM[b],9:58 AM[b],10:43 AM[b],11:28 AM[b],12:13 PM[b],12:58 PM[b],1:43 PM[b],2:28 PM[b],3:13 PM[b],3:58 PM[b],4:43 PM[b],5:28 PM[b],6:13 PM[b],6:58 PM[b],7:43 PM[b]
WINSTON CHURCHILL BLVD at DERRY RD,8:28 AM[b],9:13 AM[b],9:58 AM[b],10:43 AM[b],11:28 AM[b],12:13 PM[b],12:58 PM[b],1:43 PM[b],2:28 PM[b],3:13 PM[b],3:58 PM[b],4:43 PM[b],5:28 PM[b],6:13 PM[b],6:58 PM[b],7:43 PM[b]
LISGAR GO STATION PLATFORM A,8:33 AM[b],9:18 AM[b],10:03 AM[b],10:48 AM[b],11:33 AM[b],12:18 PM[b],1:03 PM[b],1:48 PM[b],2:33 PM[b],3:18 PM[b],4:03 PM[b],4:48 PM[b],5:33 PM[b],6:18 PM[b],7:03 PM[b],7:48 PM[b]
ARGENTIA RD at DERRY RD,8:40 AM[b],9:25 AM[b],10:10 AM[b],10:55 AM[b],11:40 AM[b],12:25 PM[b],1:10 PM[b],1:55 PM[b],2:40 PM[b],3:25 PM[b],4:10 PM[b],4:55 PM[b],5:40 PM[b],6:25 PM[b],7:10 PM[b],7:55 PM[b]
ARGENTIA RD at MISSISSAUGA RD,8:43 AM[b],9:28 AM[b],10:13 AM[b],10:58 AM[b],11:43 AM[b],12:28 PM[b],1:13 PM[b],1:58 PM[b],2:43 PM[b],3:28 PM[b],4:13 PM[b],4:58 PM[b],5:43 PM[b],6:28 PM[b],7:13 PM[b],7:58 PM[b]
ARGENTIA RD at CREDITVIEW RD,8:46 AM[b],9:31 AM[b],10:16 AM[b],11:01 AM[b],11:46 AM[b],12:31 PM[b],1:16 PM[b],2:01 PM[b],2:46 PM[b],3:31 PM[b],4:16 PM[b],5:01 PM[b],5:46 PM[b],6:31 PM[b],7:16 PM[b],8:01 PM[b]
BANCROFT DR at EMERSON LANE,8:49 AM[b],9:34 AM[b],10:19 AM[b],11:04 AM[b],11:49 AM[b],12:34 PM[b],1:19 PM[b],2:04 PM[b],2:49 PM[b],3:34 PM[b],4:19 PM[b],5:04 PM[b],5:49 PM[b],6:34 PM[b],7:19 PM[b],8:04 PM[b]
SILKEN LAUMANN WAY at BRITANNIA RD W,8:54 AM[b],9:39 AM[b],10:24 AM[b],11:09 AM[b],11:54 AM[b],12:39 PM[b],1:24 PM[b],2:09 PM[b],2:54 PM[b],3:39 PM[b],4:24 PM[b],5:09 PM[b],5:54 PM[b],6:39 PM[b],7:24 PM[b],8:09 PM[b]
CREDITVIEW RD at HIGHBROOK AVE,8:57 AM[b],9:42 AM[b],10:27 AM[b],11:12 AM[b],11:57 AM[b],12:42 PM[b],1:27 PM[b],2:12 PM[b],2:57 PM[b],3:42 PM[b],4:27 PM[b],5:12 PM[b],5:57 PM[b],6:42 PM[b],7:27 PM[b],8:12 PM[b]
CREDITVIEW RD at BRISTOL RD,9:01 AM[b],9:46 AM[b],10:31 AM[b],11:16 AM[b],12:01 PM[b],12:46 PM[b],1:31 PM[b],2:16 PM[b],3:01 PM[b],3:46 PM[b],4:31 PM[b],5:16 PM[b],6:01 PM[b],6:46 PM[b],7:31 PM[b],8:16 PM[b]
CREDITVIEW RD at CUTHBERT AVE,9:04 AM[b],9:49 AM[b],10:34 AM[b],11:19 AM[b],12:04 PM[b],12:49 PM[b],1:34 PM[b],2:19 PM[b],3:04 PM[b],3:49 PM[b],4:34 PM[b],5:19 PM[b],6:04 PM[b],6:49 PM[b],7:34 PM[b],8:19 PM[b]
CREDITVIEW RD at EGLINTON AVE,9:05 AM[b],9:50 AM[b],10:35 AM[b],11:20 AM[b],12:05 PM[b],12:50 PM[b],1:35 PM[b],2:20 PM[b],3:05 PM[b],3:50 PM[b],4:35 PM[b],5:20 PM[b],6:05 PM[b],6:50 PM[b],7:35 PM[b],8:20 PM[b]
CREDITVIEW RD at BURNHAMTHORPE RD,9:09 AM[b],9:54 AM[b],10:39 AM[b],11:24 AM[b],12:09 PM[b],12:54 PM[b],1:39 PM[b],2:24 PM[b],3:09 PM[b],3:54 PM[b],4:39 PM[b],5:24 PM[b],6:09 PM[b],6:54 PM[b],7:39 PM[b],8:24 PM[b]
CENTRAL PKY W at SEMENYK CRT,9:11 AM[b],9:56 AM[b],10:41 AM[b],11:26 AM[b],12:11 PM[b],12:56 PM[b],1:41 PM[b],2:26 PM[b],3:11 PM[b],3:56 PM[b],4:41 PM[b],5:26 PM[b],6:11 PM[b],6:56 PM[b],7:41 PM[b],8:26 PM[b]
WOLFEDALE RD at DUNDAS ST,9:15 AM[b],10:00 AM[b],10:45 AM[b],11:30 AM[b],12:15 PM[b],1:00 PM[b],1:45 PM[b],2:30 PM[b],3:15 PM[b],4:00 PM[b],4:45 PM[b],5:30 PM[b],6:15 PM[b],7:00 PM[b],7:45 PM[b],8:30 PM[b]
HURON PARK ACCESS RD at QUEENSWAY,9:20 AM[b],10:05 AM[b],10:50 AM[b],11:35 AM[b],12:20 PM[b],1:05 PM[b],1:50 PM[b],2:35 PM[b],3:20 PM[b],4:05 PM[b],4:50 PM[b],5:35 PM[b],6:20 PM[b],7:05 PM[b],7:50 PM[b],8:35 PM[b]
