CITY CENTRE BUS TERMINAL PLATFORM G,8:01:00 AM,8:39:00 AM,9:04:00 AM,9:41:00 AM,10:11:00 AM,10:34:00 AM,10:56:00 AM,11:19:00 AM,11:41:00 AM,12:04:00 PM,12:26:00 PM,12:49:00 PM,1:11:00 PM,1:34:00 PM,1:56:00 PM,2:19:00 PM,2:41:00 PM,3:04:00 PM,3:26:00 PM,3:49:00 PM,4:11:00 PM,4:34:00 PM,4:56:00 PM,5:19:00 PM,5:41:00 PM,6:04:00 PM,6:26:00 PM,6:49:00 PM,7:11:00 PM,7:34:00 PM,7:56:00 PM,8:18:00 PM,8:40:00 PM,9:03:00 PM,9:25:00 PM,9:48:00 PM,10:15:00 PM,10:45:00 PM
KARIYA DR at ENFIELD PLACE (north leg),8:07:00 AM,8:45:00 AM,9:10:00 AM,9:47:00 AM,10:17:00 AM,10:40:00 AM,11:02:00 AM,11:25:00 AM,11:47:00 AM,12:10:00 PM,12:32:00 PM,12:55:00 PM,1:17:00 PM,1:40:00 PM,2:02:00 PM,2:25:00 PM,2:47:00 PM,3:10:00 PM,3:32:00 PM,3:55:00 PM,4:17:00 PM,4:40:00 PM,5:02:00 PM,5:25:00 PM,5:47:00 PM,6:10:00 PM,6:32:00 PM,6:55:00 PM,7:17:00 PM,7:40:00 PM,8:02:00 PM,8:24:00 PM,8:46:00 PM,9:09:00 PM,9:31:00 PM,9:54:00 PM,10:21:00 PM,10:51:00 PM
ELM DR at MISSISSAUGA VALLEY BLVD,8:09:00 AM,8:47:00 AM,9:12:00 AM,9:49:00 AM,10:19:00 AM,10:42:00 AM,11:04:00 AM,11:27:00 AM,11:49:00 AM,12:12:00 PM,12:34:00 PM,12:57:00 PM,1:19:00 PM,1:42:00 PM,2:04:00 PM,2:27:00 PM,2:49:00 PM,3:12:00 PM,3:34:00 PM,3:57:00 PM,4:19:00 PM,4:42:00 PM,5:04:00 PM,5:27:00 PM,5:49:00 PM,6:12:00 PM,6:34:00 PM,6:57:00 PM,7:19:00 PM,7:42:00 PM,8:04:00 PM,8:26:00 PM,8:48:00 PM,9:11:00 PM,9:33:00 PM,9:56:00 PM,10:23:00 PM,10:53:00 PM
MISSISSAUGA VALLEY BLVD at CLIFF RD,8:14:00 AM,8:52:00 AM,9:17:00 AM,9:54:00 AM,10:24:00 AM,10:47:00 AM,11:09:00 AM,11:32:00 AM,11:54:00 AM,12:17:00 PM,12:39:00 PM,1:02:00 PM,1:24:00 PM,1:47:00 PM,2:09:00 PM,2:32:00 PM,2:54:00 PM,3:17:00 PM,3:39:00 PM,4:02:00 PM,4:24:00 PM,4:47:00 PM,5:09:00 PM,5:32:00 PM,5:54:00 PM,6:17:00 PM,6:39:00 PM,7:02:00 PM,7:24:00 PM,7:47:00 PM,8:09:00 PM,8:31:00 PM,8:53:00 PM,9:16:00 PM,9:38:00 PM,10:01:00 PM,10:28:00 PM,10:58:00 PM
MISSISSAUGA VALLEY BLVD at BLOOR ST,8:17:00 AM,8:55:00 AM,9:20:00 AM,9:57:00 AM,10:27:00 AM,10:50:00 AM,11:12:00 AM,11:35:00 AM,11:57:00 AM,12:20:00 PM,12:42:00 PM,1:05:00 PM,1:27:00 PM,1:50:00 PM,2:12:00 PM,2:35:00 PM,2:57:00 PM,3:20:00 PM,3:42:00 PM,4:05:00 PM,4:27:00 PM,4:50:00 PM,5:12:00 PM,5:35:00 PM,5:57:00 PM,6:20:00 PM,6:42:00 PM,7:05:00 PM,7:27:00 PM,7:50:00 PM,8:12:00 PM,8:34:00 PM,8:56:00 PM,9:19:00 PM,9:41:00 PM,10:04:00 PM,10:31:00 PM,11:01:00 PM
BLOOR ST at TOMKEN RD,8:20:00 AM,8:58:00 AM,9:23:00 AM,10:00:00 AM,10:30:00 AM,10:53:00 AM,11:15:00 AM,11:38:00 AM,12:00:00 PM,12:23:00 PM,12:45:00 PM,1:08:00 PM,1:30:00 PM,1:53:00 PM,2:15:00 PM,2:38:00 PM,3:00:00 PM,3:23:00 PM,3:45:00 PM,4:08:00 PM,4:30:00 PM,4:53:00 PM,5:15:00 PM,5:38:00 PM,6:00:00 PM,6:23:00 PM,6:45:00 PM,7:08:00 PM,7:30:00 PM,7:53:00 PM,8:15:00 PM,8:37:00 PM,8:59:00 PM,9:22:00 PM,9:44:00 PM,10:07:00 PM,10:34:00 PM,11:04:00 PM
BLOOR ST at DIXIE RD,8:23:00 AM,9:01:00 AM,9:26:00 AM,10:03:00 AM,10:33:00 AM,10:56:00 AM,11:18:00 AM,11:41:00 AM,12:03:00 PM,12:26:00 PM,12:48:00 PM,1:11:00 PM,1:33:00 PM,1:56:00 PM,2:18:00 PM,2:41:00 PM,3:03:00 PM,3:26:00 PM,3:48:00 PM,4:11:00 PM,4:33:00 PM,4:56:00 PM,5:18:00 PM,5:41:00 PM,6:03:00 PM,6:26:00 PM,6:48:00 PM,7:11:00 PM,7:33:00 PM,7:56:00 PM,8:18:00 PM,8:40:00 PM,9:02:00 PM,9:25:00 PM,9:47:00 PM,10:10:00 PM,10:37:00 PM,11:07:00 PM
BLOOR ST at MILL RD,8:28:00 AM,9:06:00 AM,9:31:00 AM,10:08:00 AM,10:38:00 AM,11:01:00 AM,11:23:00 AM,11:46:00 AM,12:08:00 PM,12:31:00 PM,12:53:00 PM,1:16:00 PM,1:38:00 PM,2:01:00 PM,2:23:00 PM,2:46:00 PM,3:08:00 PM,3:31:00 PM,3:53:00 PM,4:16:00 PM,4:38:00 PM,5:01:00 PM,5:23:00 PM,5:46:00 PM,6:08:00 PM,6:31:00 PM,6:53:00 PM,7:16:00 PM,7:38:00 PM,8:01:00 PM,8:23:00 PM,8:45:00 PM,9:07:00 PM,9:30:00 PM,9:52:00 PM,10:15:00 PM,10:42:00 PM,11:12:00 PM
BLOOR ST at THE EAST MALL,8:31:00 AM,9:09:00 AM,9:34:00 AM,10:11:00 AM,10:41:00 AM,11:04:00 AM,11:26:00 AM,11:49:00 AM,12:11:00 PM,12:34:00 PM,12:56:00 PM,1:19:00 PM,1:41:00 PM,2:04:00 PM,2:26:00 PM,2:49:00 PM,3:11:00 PM,3:34:00 PM,3:56:00 PM,4:19:00 PM,4:41:00 PM,5:04:00 PM,5:26:00 PM,5:49:00 PM,6:11:00 PM,6:34:00 PM,6:56:00 PM,7:19:00 PM,7:41:00 PM,8:04:00 PM,8:26:00 PM,8:48:00 PM,9:10:00 PM,9:33:00 PM,9:55:00 PM,10:18:00 PM,10:45:00 PM,11:15:00 PM
BLOOR ST at AUKLAND RD,8:35:00 AM,9:13:00 AM,9:38:00 AM,10:15:00 AM,10:45:00 AM,11:08:00 AM,11:30:00 AM,11:53:00 AM,12:15:00 PM,12:38:00 PM,1:00:00 PM,1:23:00 PM,1:45:00 PM,2:08:00 PM,2:30:00 PM,2:53:00 PM,3:15:00 PM,3:38:00 PM,4:00:00 PM,4:23:00 PM,4:45:00 PM,5:08:00 PM,5:30:00 PM,5:53:00 PM,6:15:00 PM,6:38:00 PM,7:00:00 PM,7:23:00 PM,7:45:00 PM,8:08:00 PM,8:30:00 PM,8:52:00 PM,9:14:00 PM,9:37:00 PM,9:59:00 PM,10:22:00 PM,10:49:00 PM,11:19:00 PM
