ISLINGTON SUBWAY BUS TERMINAL PLATFORM F,8:49:00 AM,9:27:00 AM,9:50:00 AM,10:27:00 AM,10:57:00 AM,11:20:00 AM,11:42:00 AM,12:05:00 PM,12:27:00 PM,12:50:00 PM,1:12:00 PM,1:35:00 PM,1:57:00 PM,2:20:00 PM,2:42:00 PM,3:05:00 PM,3:27:00 PM,3:50:00 PM,4:12:00 PM,4:35:00 PM,4:57:00 PM,5:20:00 PM,5:42:00 PM,6:05:00 PM,6:27:00 PM,6:50:00 PM,7:12:00 PM,7:35:00 PM,7:57:00 PM,8:19:00 PM,8:41:00 PM,9:04:00 PM,9:26:00 PM,9:49:00 PM,10:11:00 PM,10:34:00 PM,11:01:00 PM,11:30:00 PM
AUKLAND RD north of DUNDAS ST W,8:52:00 AM,9:30:00 AM,9:53:00 AM,10:30:00 AM,11:00:00 AM,11:23:00 AM,11:45:00 AM,12:08:00 PM,12:30:00 PM,12:53:00 PM,1:15:00 PM,1:38:00 PM,2:00:00 PM,2:23:00 PM,2:45:00 PM,3:08:00 PM,3:30:00 PM,3:53:00 PM,4:15:00 PM,4:38:00 PM,5:00:00 PM,5:23:00 PM,5:45:00 PM,6:08:00 PM,6:30:00 PM,6:53:00 PM,7:15:00 PM,7:38:00 PM,8:00:00 PM,8:22:00 PM,8:44:00 PM,9:07:00 PM,9:29:00 PM,9:52:00 PM,10:14:00 PM,10:37:00 PM,11:04:00 PM,11:33:00 PM
BLOOR ST at THE EAST MALL,8:56:00 AM,9:34:00 AM,9:57:00 AM,10:34:00 AM,11:04:00 AM,11:27:00 AM,11:49:00 AM,12:12:00 PM,12:34:00 PM,12:57:00 PM,1:19:00 PM,1:42:00 PM,2:04:00 PM,2:27:00 PM,2:49:00 PM,3:12:00 PM,3:34:00 PM,3:57:00 PM,4:19:00 PM,4:42:00 PM,5:04:00 PM,5:27:00 PM,5:49:00 PM,6:12:00 PM,6:34:00 PM,6:57:00 PM,7:19:00 PM,7:42:00 PM,8:04:00 PM,8:26:00 PM,8:48:00 PM,9:11:00 PM,9:33:00 PM,9:56:00 PM,10:18:00 PM,10:41:00 PM,11:08:00 PM,11:37:00 PM
BLOOR ST at MILL RD,9:00:00 AM,9:38:00 AM,10:01:00 AM,10:38:00 AM,11:08:00 AM,11:31:00 AM,11:53:00 AM,12:16:00 PM,12:38:00 PM,1:01:00 PM,1:23:00 PM,1:46:00 PM,2:08:00 PM,2:31:00 PM,2:53:00 PM,3:16:00 PM,3:38:00 PM,4:01:00 PM,4:23:00 PM,4:46:00 PM,5:08:00 PM,5:31:00 PM,5:53:00 PM,6:16:00 PM,6:38:00 PM,7:01:00 PM,7:23:00 PM,7:46:00 PM,8:08:00 PM,8:30:00 PM,8:52:00 PM,9:15:00 PM,9:37:00 PM,10:00:00 PM,10:22:00 PM,10:45:00 PM,11:12:00 PM,11:41:00 PM
BLOOR ST at DIXIE RD,9:06:00 AM,9:44:00 AM,10:07:00 AM,10:44:00 AM,11:14:00 AM,11:37:00 AM,11:59:00 AM,12:22:00 PM,12:44:00 PM,1:07:00 PM,1:29:00 PM,1:52:00 PM,2:14:00 PM,2:37:00 PM,2:59:00 PM,3:22:00 PM,3:44:00 PM,4:07:00 PM,4:29:00 PM,4:52:00 PM,5:14:00 PM,5:37:00 PM,5:59:00 PM,6:22:00 PM,6:44:00 PM,7:07:00 PM,7:29:00 PM,7:52:00 PM,8:14:00 PM,8:36:00 PM,8:58:00 PM,9:21:00 PM,9:43:00 PM,10:06:00 PM,10:28:00 PM,10:51:00 PM,11:18:00 PM,11:47:00 PM
BLOOR ST at TOMKEN RD,9:09:00 AM,9:47:00 AM,10:10:00 AM,10:47:00 AM,11:17:00 AM,11:40:00 AM,12:02:00 PM,12:25:00 PM,12:47:00 PM,1:10:00 PM,1:32:00 PM,1:55:00 PM,2:17:00 PM,2:40:00 PM,3:02:00 PM,3:25:00 PM,3:47:00 PM,4:10:00 PM,4:32:00 PM,4:55:00 PM,5:17:00 PM,5:40:00 PM,6:02:00 PM,6:25:00 PM,6:47:00 PM,7:10:00 PM,7:32:00 PM,7:55:00 PM,8:17:00 PM,8:39:00 PM,9:01:00 PM,9:24:00 PM,9:46:00 PM,10:09:00 PM,10:31:00 PM,10:54:00 PM,11:21:00 PM,11:50:00 PM
MISSISSAUGA VALLEY BLVD south of BLOOR ST,9:12:00 AM,9:50:00 AM,10:13:00 AM,10:50:00 AM,11:20:00 AM,11:43:00 AM,12:05:00 PM,12:28:00 PM,12:50:00 PM,1:13:00 PM,1:35:00 PM,1:58:00 PM,2:20:00 PM,2:43:00 PM,3:05:00 PM,3:28:00 PM,3:50:00 PM,4:13:00 PM,4:35:00 PM,4:58:00 PM,5:20:00 PM,5:43:00 PM,6:05:00 PM,6:28:00 PM,6:50:00 PM,7:13:00 PM,7:35:00 PM,7:58:00 PM,8:20:00 PM,8:42:00 PM,9:04:00 PM,9:27:00 PM,9:49:00 PM,10:12:00 PM,10:34:00 PM,10:57:00 PM,11:24:00 PM,11:53:00 PM
MISSISSAUGA VALLEY BLVD at CLIFF RD,9:14:00 AM,9:52:00 AM,10:15:00 AM,10:52:00 AM,11:22:00 AM,11:45:00 AM,12:07:00 PM,12:30:00 PM,12:52:00 PM,1:15:00 PM,1:37:00 PM,2:00:00 PM,2:22:00 PM,2:45:00 PM,3:07:00 PM,3:30:00 PM,3:52:00 PM,4:15:00 PM,4:37:00 PM,5:00:00 PM,5:22:00 PM,5:45:00 PM,6:07:00 PM,6:30:00 PM,6:52:00 PM,7:15:00 PM,7:37:00 PM,8:00:00 PM,8:22:00 PM,8:44:00 PM,9:06:00 PM,9:29:00 PM,9:51:00 PM,10:14:00 PM,10:36:00 PM,10:59:00 PM,11:26:00 PM,11:55:00 PM
MISSISSAUGA VALLEY BLVD north of CENTRAL PKY E,9:19:00 AM,9:57:00 AM,10:20:00 AM,10:57:00 AM,11:27:00 AM,11:50:00 AM,12:12:00 PM,12:35:00 PM,12:57:00 PM,1:20:00 PM,1:42:00 PM,2:05:00 PM,2:27:00 PM,2:50:00 PM,3:12:00 PM,3:35:00 PM,3:57:00 PM,4:20:00 PM,4:42:00 PM,5:05:00 PM,5:27:00 PM,5:50:00 PM,6:12:00 PM,6:35:00 PM,6:57:00 PM,7:20:00 PM,7:42:00 PM,8:05:00 PM,8:27:00 PM,8:49:00 PM,9:11:00 PM,9:34:00 PM,9:56:00 PM,10:19:00 PM,10:41:00 PM,11:04:00 PM,11:31:00 PM,12:00:00 AM
KARIYA DR north of ENFIELD PLACE (south leg),9:21:00 AM,9:59:00 AM,10:22:00 AM,10:59:00 AM,11:29:00 AM,11:52:00 AM,12:14:00 PM,12:37:00 PM,12:59:00 PM,1:22:00 PM,1:44:00 PM,2:07:00 PM,2:29:00 PM,2:52:00 PM,3:14:00 PM,3:37:00 PM,3:59:00 PM,4:22:00 PM,4:44:00 PM,5:07:00 PM,5:29:00 PM,5:52:00 PM,6:14:00 PM,6:37:00 PM,6:59:00 PM,7:22:00 PM,7:44:00 PM,8:07:00 PM,8:29:00 PM,8:51:00 PM,9:13:00 PM,9:36:00 PM,9:58:00 PM,10:21:00 PM,10:43:00 PM,11:06:00 PM,11:33:00 PM,12:02:00 AM
