ERIN MILLS TOWN CENTRE BUS TERMINAL PLATFORM G,10:02:00 AM,10:47:00 AM,11:32:00 AM,12:17:00 PM,1:02:00 PM,1:47:00 PM,2:32:00 PM,3:17:00 PM,4:02:00 PM,4:47:00 PM,5:32:00 PM,6:17:00 PM,7:02:00 PM,
GLEN ERIN DR at ERIN CENTRE BLVD,10:06:00 AM,10:51:00 AM,11:36:00 AM,12:21:00 PM,1:06:00 PM,1:51:00 PM,2:36:00 PM,3:21:00 PM,4:06:00 PM,4:51:00 PM,5:36:00 PM,6:21:00 PM,7:06:00 PM,
THOMAS ST west of GLEN ERIN DR,10:09:00 AM,10:54:00 AM,11:39:00 AM,12:24:00 PM,1:09:00 PM,1:54:00 PM,2:39:00 PM,3:24:00 PM,4:09:00 PM,4:54:00 PM,5:39:00 PM,6:24:00 PM,7:09:00 PM,
THOMAS ST at TENTH LINE,10:13:00 AM,10:58:00 AM,11:43:00 AM,12:28:00 PM,1:13:00 PM,1:58:00 PM,2:43:00 PM,3:28:00 PM,4:13:00 PM,4:58:00 PM,5:43:00 PM,6:28:00 PM,7:13:00 PM,
THOMAS ST west of TENTH LINE,10:13:00 AM,10:58:00 AM,11:43:00 AM,12:28:00 PM,1:13:00 PM,1:58:00 PM,2:43:00 PM,3:28:00 PM,4:13:00 PM,4:58:00 PM,5:43:00 PM,6:28:00 PM,7:13:00 PM,
CHURCHILL MEADOWS BLVD south of ARBOURVIEW TERRACE,10:16:00 AM,11:01:00 AM,11:46:00 AM,12:31:00 PM,1:16:00 PM,2:01:00 PM,2:46:00 PM,3:31:00 PM,4:16:00 PM,5:01:00 PM,5:46:00 PM,6:31:00 PM,7:16:00 PM,
CHURCHILL MEADOWS BLVD south of ROSANNA DR,9:33:00 AM,10:18:00 AM,11:03:00 AM,11:48:00 AM,12:33:00 PM,1:18:00 PM,2:03:00 PM,2:48:00 PM,3:33:00 PM,4:18:00 PM,5:03:00 PM,5:48:00 PM,6:33:00 PM,7:18:00 PM
CHURCHILL MEADOWS BLVD at ERIN CENTRE BLVD,9:33:00 AM,10:18:00 AM,11:03:00 AM,11:48:00 AM,12:33:00 PM,1:18:00 PM,2:03:00 PM,2:48:00 PM,3:33:00 PM,4:18:00 PM,5:03:00 PM,5:48:00 PM,6:33:00 PM,7:18:00 PM
NINTH LINE north of SKYVIEW ST,9:37:00 AM,10:22:00 AM,11:07:00 AM,11:52:00 AM,12:37:00 PM,1:22:00 PM,2:07:00 PM,2:52:00 PM,3:37:00 PM,4:22:00 PM,5:07:00 PM,5:52:00 PM,6:37:00 PM,7:22:00 PM
ERIN CENTRE BLVD at LONGFORD DR,9:38:00 AM,10:23:00 AM,11:08:00 AM,11:53:00 AM,12:38:00 PM,1:23:00 PM,2:08:00 PM,2:53:00 PM,3:38:00 PM,4:23:00 PM,5:08:00 PM,5:53:00 PM,6:38:00 PM,7:23:00 PM
