MEADOWVALE TOWN CENTRE BUS TERMINAL PLATFORM B,8:21:00 AM,9:11:00 AM,9:56:00 AM,10:41:00 AM,11:26:00 AM,12:11:00 PM,12:56:00 PM,1:41 PM[b],2:26 PM[b],3:11 PM[b],3:56 PM[b],4:41 PM[b],5:26:00 PM,6:11:00 PM,6:56:00 PM,7:41:00 PM,8:26:00 PM
DERRY RD at SYNTEX DR,8:27:00 AM,9:17:00 AM,10:02:00 AM,10:48:00 AM,11:33:00 AM,12:18:00 PM,1:03 PM[b],1:48 PM[b],2:33 PM[b],3:18 PM[b],4:03 PM[b],4:48 PM[b],5:33:00 PM,6:17:00 PM,7:02:00 PM,7:47:00 PM,8:32:00 PM
FINANCIAL DR FIRST STOP south of SYNTEX CRT,8:29:00 AM,9:19:00 AM,10:04:00 AM,10:50:00 AM,11:35:00 AM,12:20:00 PM,1:05 PM[b],1:50 PM[b],2:35 PM[b],3:20 PM[b],4:05 PM[b],4:50 PM[b],5:35:00 PM,6:19:00 PM,7:04:00 PM,7:49:00 PM,8:34:00 PM
OLD DERRY RD at SECOND LINE WEST,8:34:00 AM,9:24:00 AM,10:10:00 AM,10:56:00 AM,11:41:00 AM,12:26:00 PM,1:11 PM[b],1:56 PM[b],2:41 PM[b],3:26 PM[b],4:11 PM[b],4:56 PM[b],5:41:00 PM,6:24:00 PM,7:09:00 PM,7:54:00 PM,8:39:00 PM
MAVIS RD north of NOVO STAR DR,8:37:00 AM,9:27:00 AM,10:14:00 AM,11:00:00 AM,11:45:00 AM,12:30:00 PM,1:15 PM[b],2:00 PM[b],2:45 PM[b],3:30 PM[b],4:15 PM[b],5:00 PM[b],5:45:00 PM,6:27:00 PM,7:12:00 PM,7:57:00 PM,8:42:00 PM
MAVIS RD south of DERRY RD,8:37:00 AM,9:27:00 AM,10:14:00 AM,11:00:00 AM,11:45:00 AM,12:30:00 PM,1:15 PM[b],2:00 PM[b],2:45 PM[b],3:30 PM[b],4:15 PM[b],5:00 PM[b],5:45:00 PM,6:27:00 PM,7:12:00 PM,7:57:00 PM,8:42:00 PM
DERRY RD at HURONTARIO ST,8:40:00 AM,9:30:00 AM,10:17:00 AM,11:03:00 AM,11:48:00 AM,12:33:00 PM,1:18 PM[b],2:03 PM[b],2:48 PM[b],3:33 PM[b],4:18 PM[b],5:03:00 PM,5:48:00 PM,6:30:00 PM,7:15:00 PM,8:00:00 PM,8:45:00 PM
DERRY RD at EDWARDS BLVD,8:41:00 AM,9:31:00 AM,10:18:00 AM,11:04:00 AM,11:49:00 AM,12:34:00 PM,1:19 PM[b],2:04 PM[b],2:49 PM[b],3:34 PM[b],4:19 PM[b],5:04:00 PM,5:49:00 PM,6:31:00 PM,7:16:00 PM,8:01:00 PM,8:46:00 PM
DERRY RD at KENNEDY RD,8:42:00 AM,9:32:00 AM,10:20:00 AM,11:06:00 AM,11:51:00 AM,12:36:00 PM,1:21 PM[b],2:06 PM[b],2:51 PM[b],3:36 PM[b],4:21 PM[b],5:06:00 PM,5:51:00 PM,6:32:00 PM,7:17:00 PM,8:02:00 PM,8:47:00 PM
DERRY RD at TOMKEN RD,8:46:00 AM,9:36:00 AM,10:23:00 AM,11:09:00 AM,11:54:00 AM,12:39:00 PM,1:24 PM[b],2:09 PM[b],2:54 PM[b],3:39 PM[b],4:24 PM[b],5:09:00 PM,5:54:00 PM,6:36:00 PM,7:21:00 PM,8:06:00 PM,8:51:00 PM
DERRY RD at DIXIE RD,8:49:00 AM,9:39:00 AM,10:26:00 AM,11:12:00 AM,11:57:00 AM,12:42:00 PM,1:27 PM[b],2:12 PM[b],2:57 PM[b],3:42 PM[b],4:27 PM[b],5:12:00 PM,5:57:00 PM,6:39:00 PM,7:24:00 PM,8:09:00 PM,8:54:00 PM
DERRY RD at AIRPORT RD,8:57:00 AM,9:47:00 AM,10:34:00 AM,11:20:00 AM,12:05:00 PM,12:50:00 PM,1:35 PM[b],2:20 PM[b],3:05 PM[b],3:50 PM[b],4:35 PM[b],5:20:00 PM,6:05:00 PM,6:47:00 PM,7:32:00 PM,8:17:00 PM,9:02:00 PM
GOREWAY DR north of DERRY RD,9:00:00 AM,9:50:00 AM,10:37:00 AM,11:23:00 AM,12:08:00 PM,12:53:00 PM,1:38 PM[b],2:23 PM[b],3:08 PM[b],3:53 PM[b],4:38 PM[b],5:23:00 PM,6:08:00 PM,6:50:00 PM,7:35:00 PM,8:20:00 PM,9:05:00 PM
WESTWOOD MALL BUS TERMINAL PLATFORM E,9:03:00 AM,9:53:00 AM,10:41:00 AM,11:27:00 AM,12:12:00 PM,12:57:00 PM,1:42 PM[b],2:27 PM[b],3:12 PM[b],3:57 PM[b],4:42 PM[b],5:27:00 PM,6:11:00 PM,6:53:00 PM,7:38:00 PM,8:23:00 PM,9:08:00 PM
