WESTWOOD MALL BUS TERMINAL PLATFORM E,9:07:00 AM,9:52:00 AM,10:37:00 AM,11:22:00 AM,12:07:00 PM,12:52:00 PM,1:37 PM[c],2:22 PM[c],3:07 PM[c],3:52 PM[c],4:37 PM[c],5:22:00 PM,6:07:00 PM,6:52:00 PM,7:37:00 PM,8:22:00 PM,9:07:00 PM
DERRY RD west of GOREWAY DR[b],9:10:00 AM,9:55:00 AM,10:41:00 AM,11:26:00 AM,12:11:00 PM,12:56:00 PM,1:41 PM[c],2:26 PM[c],3:11 PM[c],3:56 PM[c],4:41 PM[c],5:26:00 PM,6:10:00 PM,6:55:00 PM,7:40:00 PM,8:25:00 PM,9:10:00 PM
DERRY RD at AIRPORT RD,9:13:00 AM,9:58:00 AM,10:45:00 AM,11:30:00 AM,12:15:00 PM,1:00 PM[c],1:45 PM[c],2:30 PM[c],3:15 PM[c],4:00 PM[c],4:45 PM[c],5:30:00 PM,6:13:00 PM,6:58:00 PM,7:43:00 PM,8:28:00 PM,9:13:00 PM
DERRY RD at DIXIE RD,9:21:00 AM,10:05:00 AM,10:52:00 AM,11:37:00 AM,12:22:00 PM,1:07 PM[c],1:52 PM[c],2:37 PM[c],3:22 PM[c],4:07 PM[c],4:52 PM[c],5:37:00 PM,6:21:00 PM,7:06:00 PM,7:51:00 PM,8:36:00 PM,9:21:00 PM
DERRY RD at TOMKEN RD,9:24:00 AM,10:08:00 AM,10:55:00 AM,11:40:00 AM,12:25:00 PM,1:10 PM[c],1:55 PM[c],2:40 PM[c],3:25 PM[c],4:10 PM[c],4:55 PM[c],5:40:00 PM,6:24:00 PM,7:09:00 PM,7:54:00 PM,8:39:00 PM,9:24:00 PM
DERRY RD at KENNEDY RD,9:28:00 AM,10:11:00 AM,10:58:00 AM,11:43:00 AM,12:28:00 PM,1:13 PM[c],1:58 PM[c],2:43 PM[c],3:28 PM[c],4:13 PM[c],4:58 PM[c],5:43:00 PM,6:28:00 PM,7:13:00 PM,7:58:00 PM,8:43:00 PM,9:28:00 PM
DERRY RD at HURONTARIO ST,9:30:00 AM,10:14:00 AM,11:01:00 AM,11:46:00 AM,12:31:00 PM,1:16 PM[c],2:01 PM[c],2:46 PM[c],3:31 PM[c],4:16 PM[c],5:01:00 PM,5:46:00 PM,6:30:00 PM,7:15:00 PM,8:00:00 PM,8:45:00 PM,9:30:00 PM
MAVIS RD south of DERRY RD,9:33:00 AM,10:17:00 AM,11:04:00 AM,11:49:00 AM,12:34:00 PM,1:19 PM[c],2:04 PM[c],2:49 PM[c],3:34 PM[c],4:19 PM[c],5:04:00 PM,5:49:00 PM,6:33:00 PM,7:18:00 PM,8:03:00 PM,8:48:00 PM,9:33:00 PM
OLD DERRY RD at SECOND LINE WEST,9:36:00 AM,10:19:00 AM,11:06:00 AM,11:51:00 AM,12:36:00 PM,1:21 PM[c],2:06 PM[c],2:51 PM[c],3:36 PM[c],4:21 PM[c],5:06:00 PM,5:51:00 PM,6:36:00 PM,7:21:00 PM,8:06:00 PM,8:51:00 PM,9:36:00 PM
FINANCIAL DR SECOND STOP west of CREDITVIEW RD,9:41:00 AM,10:25:00 AM,11:12:00 AM,11:57:00 AM,12:42:00 PM,1:27 PM[c],2:12 PM[c],2:57 PM[c],3:42 PM[c],4:27 PM[c],5:12:00 PM,5:57:00 PM,6:41:00 PM,7:26:00 PM,8:11:00 PM,8:56:00 PM,9:41:00 PM
FINANCIAL DR THIRD STOP west of CREDITVIEW RD,9:41:00 AM,10:25:00 AM,11:12:00 AM,11:57:00 AM,12:42:00 PM,1:27 PM[c],2:12 PM[c],2:57 PM[c],3:42 PM[c],4:27 PM[c],5:12:00 PM,5:57:00 PM,6:41:00 PM,7:26:00 PM,8:11:00 PM,8:56:00 PM,9:41:00 PM
DERRY RD at SYNTEX DR,9:43:00 AM,10:28:00 AM,11:15:00 AM,12:00:00 PM,12:45:00 PM,1:30 PM[c],2:15 PM[c],3:00 PM[c],3:45 PM[c],4:30 PM[c],5:15:00 PM,6:00:00 PM,6:43:00 PM,7:28:00 PM,8:13:00 PM,8:58:00 PM,9:43:00 PM
MEADOWVALE TOWN CENTRE BUS TERMINAL PLATFORM B,9:49:00 AM,10:34:00 AM,11:21:00 AM,12:06:00 PM,12:51:00 PM,1:36 PM[c],2:21 PM[c],3:06 PM[c],3:51 PM[c],4:36 PM[c],5:21:00 PM,6:06:00 PM,6:49:00 PM,7:34:00 PM,8:19:00 PM,9:04:00 PM,9:49:00 PM
