GLENGARRY RD at DUNDAS ST,7:55:00 AM,8:40:00 AM,9:25:00 AM,10:10:00 AM,10:55:00 AM,11:40:00 AM,12:25:00 PM,1:10:00 PM,1:55:00 PM,2:40:00 PM,3:25:00 PM,4:10:00 PM,4:55:00 PM,5:40:00 PM,6:25:00 PM,7:10:00 PM
DUNDAS ST at WOLFEDALE RD,7:57:00 AM,8:42:00 AM,9:27:00 AM,10:12:00 AM,10:57:00 AM,11:42:00 AM,12:27:00 PM,1:12:00 PM,1:57:00 PM,2:42:00 PM,3:27:00 PM,4:12:00 PM,4:57:00 PM,5:42:00 PM,6:27:00 PM,7:12:00 PM
HURON PARK ACCESS RD at QUEENSWAY,8:02:00 AM,8:47:00 AM,9:32:00 AM,10:17:00 AM,11:02:00 AM,11:47:00 AM,12:32:00 PM,1:17:00 PM,2:02:00 PM,2:47:00 PM,3:32:00 PM,4:17:00 PM,5:02:00 PM,5:47:00 PM,6:32:00 PM,7:17:00 PM
CONFEDERATION PKY SECOND south of PAISLEY BLVD,8:10:00 AM,8:55:00 AM,9:40:00 AM,10:25:00 AM,11:10:00 AM,11:55:00 AM,12:40:00 PM,1:25:00 PM,2:10:00 PM,2:55:00 PM,3:40:00 PM,4:25:00 PM,5:10:00 PM,5:55:00 PM,6:40:00 PM,7:25:00 PM
QUEENSWAY at TRILLIUM HOSPITAL,8:10:00 AM,8:55:00 AM,9:40:00 AM,10:25:00 AM,11:10:00 AM,11:55:00 AM,12:40:00 PM,1:25:00 PM,2:10:00 PM,2:55:00 PM,3:40:00 PM,4:25:00 PM,5:10:00 PM,5:55:00 PM,6:40:00 PM,7:25:00 PM
PAISLEY BLVD east of HURONTARIO ST,8:12:00 AM,8:57:00 AM,9:42:00 AM,10:27:00 AM,11:12:00 AM,11:57:00 AM,12:42:00 PM,1:27:00 PM,2:12:00 PM,2:57:00 PM,3:42:00 PM,4:27:00 PM,5:12:00 PM,5:57:00 PM,6:42:00 PM,7:27:00 PM
CAMILLA RD at NORTH SERVICE RD,8:16:00 AM,9:01:00 AM,9:46:00 AM,10:31:00 AM,11:16:00 AM,12:01:00 PM,12:46:00 PM,1:31:00 PM,2:16:00 PM,3:01:00 PM,3:46:00 PM,4:31:00 PM,5:16:00 PM,6:01:00 PM,6:46:00 PM,7:31:00 PM
ASTA DR at BOISMERE CRT,8:21:00 AM,9:06:00 AM,9:51:00 AM,10:36:00 AM,11:21:00 AM,12:06:00 PM,12:51:00 PM,1:36:00 PM,2:21:00 PM,3:06:00 PM,3:51:00 PM,4:36:00 PM,5:21:00 PM,6:06:00 PM,6:51:00 PM,7:36:00 PM
NORTH SERVICE RD at CAWTHRA RD,8:24:00 AM,9:09:00 AM,9:54:00 AM,10:39:00 AM,11:24:00 AM,12:09:00 PM,12:54:00 PM,1:39:00 PM,2:24:00 PM,3:09:00 PM,3:54:00 PM,4:39:00 PM,5:24:00 PM,6:09:00 PM,6:54:00 PM,7:39:00 PM
DIXIE MALL BUS TERMINAL PLATFORM B,8:30:00 AM,9:15:00 AM,10:00:00 AM,10:45:00 AM,11:30:00 AM,12:15:00 PM,1:00:00 PM,1:45:00 PM,2:30:00 PM,3:15:00 PM,4:00:00 PM,4:45:00 PM,5:30:00 PM,6:15:00 PM,7:00:00 PM,7:45:00 PM
SHERWAY GARDENS BUS TERMINAL,8:36:00 AM,9:21:00 AM,10:06:00 AM,10:51:00 AM,11:36:00 AM,12:21:00 PM,1:06:00 PM,1:51:00 PM,2:36:00 PM,3:21:00 PM,4:06:00 PM,4:51:00 PM,5:36:00 PM,6:21:00 PM,7:06:00 PM,7:51:00 PM
