LONG BRANCH GO STATION,8:28:00 AM,8:52:00 AM,9:16:00 AM,9:40:00 AM,10:04:00 AM,10:28:00 AM,10:52:00 AM,11:17:00 AM,11:42:00 AM,12:07:00 PM,12:32:00 PM,12:58:00 PM,1:24:00 PM,1:50:00 PM,2:16:00 PM,2:42:00 PM,3:08:00 PM,3:33:00 PM,3:58:00 PM,4:23:00 PM,4:48:00 PM,5:13:00 PM,5:38:00 PM,6:03:00 PM,6:28:00 PM,6:52:00 PM,7:16:00 PM,7:40:00 PM,8:04:00 PM,8:28:00 PM
LAKESHORE RD E at OGDEN AVE,8:32:00 AM,8:56:00 AM,9:20:00 AM,9:44:00 AM,10:08:00 AM,10:32:00 AM,10:56:00 AM,11:21:00 AM,11:46:00 AM,12:11:00 PM,12:36:00 PM,1:03:00 PM,1:29:00 PM,1:55:00 PM,2:21:00 PM,2:47:00 PM,3:13:00 PM,3:38:00 PM,4:03:00 PM,4:28:00 PM,4:53:00 PM,5:18:00 PM,5:43:00 PM,6:08:00 PM,6:33:00 PM,6:56:00 PM,7:20:00 PM,7:44:00 PM,8:08:00 PM,8:32:00 PM
OGDEN AVE at SOUTH SERVICE RD,8:36:00 AM,9:00:00 AM,9:24:00 AM,9:48:00 AM,10:12:00 AM,10:36:00 AM,11:00:00 AM,11:25:00 AM,11:50:00 AM,12:15:00 PM,12:40:00 PM,1:07:00 PM,1:33:00 PM,1:59:00 PM,2:25:00 PM,2:51:00 PM,3:17:00 PM,3:42:00 PM,4:07:00 PM,4:32:00 PM,4:57:00 PM,5:22:00 PM,5:47:00 PM,6:12:00 PM,6:37:00 PM,7:00:00 PM,7:24:00 PM,7:48:00 PM,8:12:00 PM,8:36:00 PM
DIXIE MALL BUS TERMINAL PLATFORM A,8:39:00 AM,9:03:00 AM,9:27:00 AM,9:51:00 AM,10:16:00 AM,10:40:00 AM,11:04:00 AM,11:29:00 AM,11:54:00 AM,12:19:00 PM,12:44:00 PM,1:11:00 PM,1:37:00 PM,2:03:00 PM,2:29:00 PM,2:55:00 PM,3:21:00 PM,3:46:00 PM,4:11:00 PM,4:36:00 PM,5:01:00 PM,5:26:00 PM,5:51:00 PM,6:16:00 PM,6:41:00 PM,7:04:00 PM,7:28:00 PM,7:52:00 PM,8:16:00 PM,8:40:00 PM
DIXIE RD at KENDALL RD,8:43:00 AM,9:07:00 AM,9:31:00 AM,9:55:00 AM,10:20:00 AM,10:44:00 AM,11:08:00 AM,11:33:00 AM,11:58:00 AM,12:23:00 PM,12:48:00 PM,1:15:00 PM,1:41:00 PM,2:07:00 PM,2:33:00 PM,2:59:00 PM,3:25:00 PM,3:50:00 PM,4:15:00 PM,4:40:00 PM,5:05:00 PM,5:30:00 PM,5:55:00 PM,6:20:00 PM,6:45:00 PM,7:08:00 PM,7:32:00 PM,7:56:00 PM,8:20:00 PM,8:44:00 PM
DIXIE RD at DUNDAS ST,8:47:00 AM,9:11:00 AM,9:35:00 AM,9:59:00 AM,10:24:00 AM,10:48:00 AM,11:12:00 AM,11:37:00 AM,12:02:00 PM,12:27:00 PM,12:52:00 PM,1:19:00 PM,1:45:00 PM,2:11:00 PM,2:37:00 PM,3:03:00 PM,3:29:00 PM,3:54:00 PM,4:19:00 PM,4:44:00 PM,5:09:00 PM,5:34:00 PM,5:59:00 PM,6:24:00 PM,6:48:00 PM,7:11:00 PM,7:35:00 PM,7:59:00 PM,8:23:00 PM,8:47:00 PM
DIXIE RD FIRST STOP north of DUNDAS ST,8:48:00 AM,9:12:00 AM,9:36:00 AM,10:00:00 AM,10:25:00 AM,10:49:00 AM,11:13:00 AM,11:38:00 AM,12:03:00 PM,12:28:00 PM,12:53:00 PM,1:20:00 PM,1:46:00 PM,2:12:00 PM,2:38:00 PM,3:04:00 PM,3:30:00 PM,3:55:00 PM,4:20:00 PM,4:45:00 PM,5:10:00 PM,5:35:00 PM,6:00:00 PM,6:25:00 PM,6:49:00 PM,7:12:00 PM,7:36:00 PM,8:00:00 PM,8:24:00 PM,8:48:00 PM
DIXIE RD at BLOOR ST,8:51:00 AM,9:15:00 AM,9:39:00 AM,10:03:00 AM,10:28:00 AM,10:52:00 AM,11:16:00 AM,11:41:00 AM,12:06:00 PM,12:31:00 PM,12:56:00 PM,1:23:00 PM,1:49:00 PM,2:15:00 PM,2:41:00 PM,3:07:00 PM,3:33:00 PM,3:58:00 PM,4:23:00 PM,4:48:00 PM,5:13:00 PM,5:38:00 PM,6:03:00 PM,6:28:00 PM,6:52:00 PM,7:15:00 PM,7:39:00 PM,8:03:00 PM,8:27:00 PM,8:51:00 PM
DIXIE RD at BURNHAMTHORPE RD,8:53:00 AM,9:17:00 AM,9:41:00 AM,10:05:00 AM,10:30:00 AM,10:54:00 AM,11:18:00 AM,11:43:00 AM,12:08:00 PM,12:33:00 PM,12:58:00 PM,1:25:00 PM,1:51:00 PM,2:17:00 PM,2:43:00 PM,3:09:00 PM,3:35:00 PM,4:00:00 PM,4:25:00 PM,4:50:00 PM,5:15:00 PM,5:40:00 PM,6:05:00 PM,6:30:00 PM,6:54:00 PM,7:17:00 PM,7:41:00 PM,8:05:00 PM,8:29:00 PM,8:53:00 PM
DIXIE RD at EGLINTON AVE,8:58:00 AM,9:22:00 AM,9:46:00 AM,10:10:00 AM,10:35:00 AM,10:59:00 AM,11:23:00 AM,11:48:00 AM,12:13:00 PM,12:38:00 PM,1:04:00 PM,1:31:00 PM,1:57:00 PM,2:23:00 PM,2:49:00 PM,3:15:00 PM,3:41:00 PM,4:06:00 PM,4:30:00 PM,4:55:00 PM,5:20:00 PM,5:45:00 PM,6:10:00 PM,6:35:00 PM,6:59:00 PM,7:22:00 PM,7:46:00 PM,8:10:00 PM,8:34:00 PM,8:58:00 PM
