COLUMBUS RD at DERRY RD,8:52 AM[b],9:16 AM[b],9:40 AM[b],10:04 AM[b],10:28 AM[b],10:52 AM[b],11:16 AM[b],11:41 AM[b],12:07 PM[b],12:33 PM[b],12:59 PM[b],1:25 PM[b],1:51 PM[b],2:17 PM[b],2:43 PM[b],3:09 PM[b],3:34 PM[b],3:59 PM[b],4:24 PM[b],4:49 PM[b],5:14 PM[b],5:39 PM[b],6:04 PM[b],6:28 PM[b],6:52 PM[b],7:16 PM[b],7:40 PM[b],8:04 PM[b],8:28 PM[b],8:52 PM[b],9:16 PM[b]
DERRY RD at DIXIE RD,8:53 AM[b],9:17 AM[b],9:41 AM[b],10:05 AM[b],10:29 AM[b],10:53 AM[b],11:17 AM[b],11:42 AM[b],12:08 PM[b],12:34 PM[b],1:00 PM[b],1:26 PM[b],1:52 PM[b],2:18 PM[b],2:44 PM[b],3:10 PM[b],3:35 PM[b],4:00 PM[b],4:25 PM[b],4:50 PM[b],5:15 PM[b],5:40 PM[b],6:05 PM[b],6:29 PM[b],6:53 PM[b],7:17 PM[b],7:41 PM[b],8:05 PM[b],8:29 PM[b],8:53 PM[b],9:17 PM[b]
DIXIE RD at DIRECTOR GATE,8:54 AM[b],9:18 AM[b],9:42 AM[b],10:06 AM[b],10:30 AM[b],10:54 AM[b],11:18 AM[b],11:43 AM[b],12:09 PM[b],12:35 PM[b],1:01 PM[b],1:27 PM[b],1:53 PM[b],2:19 PM[b],2:45 PM[b],3:11 PM[b],3:36 PM[b],4:01 PM[b],4:26 PM[b],4:51 PM[b],5:16 PM[b],5:41 PM[b],6:06 PM[b],6:30 PM[b],6:54 PM[b],7:18 PM[b],7:42 PM[b],8:06 PM[b],8:30 PM[b],8:54 PM[b],9:18 PM[b]
DIXIE RD at COURTNEYPARK DR,8:56 AM[b],9:20 AM[b],9:44 AM[b],10:08 AM[b],10:32 AM[b],10:56 AM[b],11:20 AM[b],11:45 AM[b],12:11 PM[b],12:37 PM[b],1:03 PM[b],1:29 PM[b],1:55 PM[b],2:21 PM[b],2:47 PM[b],3:13 PM[b],3:38 PM[b],4:03 PM[b],4:28 PM[b],4:53 PM[b],5:18 PM[b],5:43 PM[b],6:08 PM[b],6:32 PM[b],6:56 PM[b],7:20 PM[b],7:44 PM[b],8:08 PM[b],8:32 PM[b],8:56 PM[b],9:20 PM[b]
DIXIE RD south of TRINITY DR,8:58 AM[b],9:22 AM[b],9:46 AM[b],10:10 AM[b],10:34 AM[b],10:58 AM[b],11:22 AM[b],11:47 AM[b],12:13 PM[b],12:39 PM[b],1:05 PM[b],1:31 PM[b],1:57 PM[b],2:23 PM[b],2:49 PM[b],3:15 PM[b],3:40 PM[b],4:05 PM[b],4:30 PM[b],4:55 PM[b],5:20 PM[b],5:45 PM[b],6:10 PM[b],6:34 PM[b],6:58 PM[b],7:22 PM[b],7:46 PM[b],8:10 PM[b],8:34 PM[b],8:58 PM[b],9:22 PM[b]
DIXIE RD at BRITANNIA RD,8:59 AM[b],9:23 AM[b],9:47 AM[b],10:11 AM[b],10:35 AM[b],10:59 AM[b],11:23 AM[b],11:48 AM[b],12:14 PM[b],12:40 PM[b],1:06 PM[b],1:32 PM[b],1:58 PM[b],2:24 PM[b],2:50 PM[b],3:16 PM[b],3:41 PM[b],4:06 PM[b],4:31 PM[b],4:56 PM[b],5:21 PM[b],5:46 PM[b],6:11 PM[b],6:35 PM[b],6:59 PM[b],7:23 PM[b],7:47 PM[b],8:11 PM[b],8:35 PM[b],8:59 PM[b],9:23 PM[b]
DIXIE RD at MATHESON BLVD,9:03 AM[b],9:27 AM[b],9:51 AM[b],10:15 AM[b],10:39 AM[b],11:03 AM[b],11:27 AM[b],11:52 AM[b],12:18 PM[b],12:44 PM[b],1:10 PM[b],1:36 PM[b],2:02 PM[b],2:28 PM[b],2:54 PM[b],3:20 PM[b],3:45 PM[b],4:10 PM[b],4:35 PM[b],5:00 PM[b],5:25 PM[b],5:50 PM[b],6:15 PM[b],6:39 PM[b],7:03 PM[b],7:27 PM[b],7:51 PM[b],8:15 PM[b],8:39 PM[b],9:03 PM[b],9:27 PM[b]
DIXIE RD at EGLINTON AVE,9:05 AM[b],9:29 AM[b],9:53 AM[b],10:17 AM[b],10:41 AM[b],11:05 AM[b],11:30 AM[b],11:55 AM[b],12:21 PM[b],12:47 PM[b],1:13 PM[b],1:39 PM[b],2:05 PM[b],2:31 PM[b],2:57 PM[b],3:23 PM[b],3:48 PM[b],4:13 PM[b],4:38 PM[b],5:03 PM[b],5:28 PM[b],5:52 PM[b],6:17 PM[b],6:41 PM[b],7:05 PM[b],7:29 PM[b],7:53 PM[b],8:17 PM[b],8:41 PM[b],9:05 PM[b],9:29 PM[b]
DIXIE RD at BURNHAMTHORPE RD,9:11 AM[b],9:35 AM[b],9:59 AM[b],10:23 AM[b],10:47 AM[b],11:11 AM[b],11:36 AM[b],12:01 PM[b],12:27 PM[b],12:53 PM[b],1:19 PM[b],1:45 PM[b],2:11 PM[b],2:37 PM[b],3:03 PM[b],3:29 PM[b],3:54 PM[b],4:19 PM[b],4:44 PM[b],5:09 PM[b],5:34 PM[b],5:58 PM[b],6:23 PM[b],6:47 PM[b],7:11 PM[b],7:34 PM[b],7:58 PM[b],8:22 PM[b],8:46 PM[b],9:10 PM[b],9:34 PM[b]
DIXIE RD at BLOOR ST,9:13 AM[b],9:37 AM[b],10:01 AM[b],10:25 AM[b],10:49 AM[b],11:13 AM[b],11:38 AM[b],12:03 PM[b],12:29 PM[b],12:55 PM[b],1:21 PM[b],1:47 PM[b],2:13 PM[b],2:39 PM[b],3:05 PM[b],3:31 PM[b],3:56 PM[b],4:21 PM[b],4:46 PM[b],5:11 PM[b],5:36 PM[b],6:00 PM[b],6:25 PM[b],6:49 PM[b],7:13 PM[b],7:36 PM[b],8:00 PM[b],8:24 PM[b],8:48 PM[b],9:12 PM[b],9:36 PM[b]
