SHERIDAN COLLEGE BRAMPTON CAMPUS,10:30:00 AM,11:00:00 AM,11:30:00 AM,12:00:00 PM,12:30:00 PM,1:00:00 PM,1:30:00 PM,2:00:00 PM,2:30:00 PM,3:00:00 PM,3:30:00 PM,4:00:00 PM,4:30:00 PM,5:00:00 PM,5:30:00 PM,6:00:00 PM,6:30:00 PM,7:00:00 PM
MCLAUGHLIN RD at DERRY RD,10:37:00 AM,11:07:00 AM,11:37:00 AM,12:07:00 PM,12:37:00 PM,1:07:00 PM,1:37:00 PM,2:07:00 PM,2:37:00 PM,3:07:00 PM,3:37:00 PM,4:07:00 PM,4:37:00 PM,5:07:00 PM,5:37:00 PM,6:07:00 PM,6:37:00 PM,7:07:00 PM
MCLAUGHLIN RD at COURTNEYPARK DR,10:40:00 AM,11:10:00 AM,11:40:00 AM,12:10:00 PM,12:40:00 PM,1:10:00 PM,1:40:00 PM,2:10:00 PM,2:40:00 PM,3:10:00 PM,3:40:00 PM,4:10:00 PM,4:40:00 PM,5:10:00 PM,5:40:00 PM,6:10:00 PM,6:40:00 PM,7:10:00 PM
MCLAUGHLIN RD north of BRITANNIA RD,10:44:00 AM,11:14:00 AM,11:44:00 AM,12:14:00 PM,12:44:00 PM,1:14:00 PM,1:44:00 PM,2:14:00 PM,2:44:00 PM,3:14:00 PM,3:44:00 PM,4:14:00 PM,4:44:00 PM,5:14:00 PM,5:44:00 PM,6:14:00 PM,6:44:00 PM,7:14:00 PM
MCLAUGHLIN RD south of BRITANNIA RD,10:44:00 AM,11:14:00 AM,11:44:00 AM,12:14:00 PM,12:44:00 PM,1:14:00 PM,1:44:00 PM,2:14:00 PM,2:44:00 PM,3:14:00 PM,3:44:00 PM,4:14:00 PM,4:44:00 PM,5:14:00 PM,5:44:00 PM,6:14:00 PM,6:44:00 PM,7:14:00 PM
MCLAUGHLIN RD at BRISTOL RD,10:49:00 AM,11:19:00 AM,11:49:00 AM,12:19:00 PM,12:49:00 PM,1:19:00 PM,1:49:00 PM,2:19:00 PM,2:49:00 PM,3:19:00 PM,3:49:00 PM,4:19:00 PM,4:49:00 PM,5:19:00 PM,5:49:00 PM,6:19:00 PM,6:49:00 PM,7:19:00 PM
MCLAUGHLIN RD at EGLINTON AVE,10:51:00 AM,11:21:00 AM,11:51:00 AM,12:21:00 PM,12:51:00 PM,1:21:00 PM,1:51:00 PM,2:21:00 PM,2:51:00 PM,3:21:00 PM,3:51:00 PM,4:21:00 PM,4:51:00 PM,5:21:00 PM,5:51:00 PM,6:21:00 PM,6:51:00 PM,7:21:00 PM
CONFEDERATION PKY at EGLINTON AVE,10:51:00 AM,11:21:00 AM,11:51:00 AM,12:21:00 PM,12:51:00 PM,1:21:00 PM,1:51:00 PM,2:21:00 PM,2:51:00 PM,3:21:00 PM,3:51:00 PM,4:21:00 PM,4:51:00 PM,5:21:00 PM,5:51:00 PM,6:21:00 PM,6:51:00 PM,7:21:00 PM
RATHBURN RD at CONFEDERATION PKY,10:54:00 AM,11:24:00 AM,11:54:00 AM,12:24:00 PM,12:54:00 PM,1:24:00 PM,1:54:00 PM,2:24:00 PM,2:54:00 PM,3:24:00 PM,3:54:00 PM,4:24:00 PM,4:54:00 PM,5:24:00 PM,5:54:00 PM,6:24:00 PM,6:54:00 PM,7:24:00 PM
CITY CENTRE BUS TERMINAL PLATFORM L,10:56:00 AM,11:26:00 AM,11:56:00 AM,12:26:00 PM,12:56:00 PM,1:26:00 PM,1:56:00 PM,2:26:00 PM,2:56:00 PM,3:26:00 PM,3:56:00 PM,4:26:00 PM,4:56:00 PM,5:26:00 PM,5:56:00 PM,6:26:00 PM,6:56:00 PM,7:26:00 PM
