CITY CENTRE BUS TERMINAL PLATFORM K,9:11:00 AM,9:46:00 AM,10:21:00 AM,10:56:00 AM,11:31:00 AM,12:06:00 PM,12:41:00 PM,1:16:00 PM,1:51:00 PM,2:26:00 PM,3:01:00 PM,3:36:00 PM,4:11:00 PM,4:46:00 PM,5:21:00 PM,5:56:00 PM
LIVING ARTS DR at RATHBURN RD,9:13:00 AM,9:48:00 AM,10:23:00 AM,10:58:00 AM,11:33:00 AM,12:08:00 PM,12:43:00 PM,1:18:00 PM,1:53:00 PM,2:28:00 PM,3:03:00 PM,3:38:00 PM,4:13:00 PM,4:48:00 PM,5:23:00 PM,5:58:00 PM
CONFEDERATION PKY at WEBB DR,9:16:00 AM,9:51:00 AM,10:26:00 AM,11:01:00 AM,11:36:00 AM,12:11:00 PM,12:46:00 PM,1:21:00 PM,1:56:00 PM,2:31:00 PM,3:06:00 PM,3:41:00 PM,4:16:00 PM,4:51:00 PM,5:26:00 PM,6:01:00 PM
CONFEDERATION PKY at CENTRAL PKY W,9:19:00 AM,9:54:00 AM,10:29:00 AM,11:04:00 AM,11:39:00 AM,12:14:00 PM,12:49:00 PM,1:24:00 PM,1:59:00 PM,2:34:00 PM,3:09:00 PM,3:44:00 PM,4:19:00 PM,4:54:00 PM,5:29:00 PM,6:04:00 PM
CENTRAL PKY at MAVIS RD,9:22:00 AM,9:57:00 AM,10:32:00 AM,11:07:00 AM,11:42:00 AM,12:17:00 PM,12:52:00 PM,1:27:00 PM,2:02:00 PM,2:37:00 PM,3:12:00 PM,3:47:00 PM,4:22:00 PM,4:57:00 PM,5:32:00 PM,6:07:00 PM
CENTRAL PKY west of MAVIS RD,9:22:00 AM,9:57:00 AM,10:32:00 AM,11:07:00 AM,11:42:00 AM,12:17:00 PM,12:52:00 PM,1:27:00 PM,2:02:00 PM,2:37:00 PM,3:12:00 PM,3:47:00 PM,4:22:00 PM,4:57:00 PM,5:32:00 PM,6:07:00 PM
CENTRAL PKY W at SEMENYK CRT,9:24:00 AM,9:59:00 AM,10:34:00 AM,11:09:00 AM,11:44:00 AM,12:19:00 PM,12:54:00 PM,1:29:00 PM,2:04:00 PM,2:39:00 PM,3:14:00 PM,3:49:00 PM,4:24:00 PM,4:59:00 PM,5:34:00 PM,6:09:00 PM
THE CREDIT WOODLANDS at LOCONDER CRT,9:30:00 AM,10:05:00 AM,10:40:00 AM,11:15:00 AM,11:50:00 AM,12:25:00 PM,1:00:00 PM,1:35:00 PM,2:10:00 PM,2:45:00 PM,3:20:00 PM,3:55:00 PM,4:30:00 PM,5:05:00 PM,5:40:00 PM,6:15:00 PM
MCBRIDE AVE at THE CREDIT WOODLANDS,9:34:00 AM,10:09:00 AM,10:44:00 AM,11:19:00 AM,11:54:00 AM,12:29:00 PM,1:04:00 PM,1:39:00 PM,2:14:00 PM,2:49:00 PM,3:24:00 PM,3:59:00 PM,4:34:00 PM,5:09:00 PM,5:44:00 PM,6:19:00 PM
MCBRIDE AVE at ERINDALE STATION RD,9:35:00 AM,10:10:00 AM,10:45:00 AM,11:20:00 AM,11:55:00 AM,12:30:00 PM,1:05:00 PM,1:40:00 PM,2:15:00 PM,2:50:00 PM,3:25:00 PM,4:00:00 PM,4:35:00 PM,5:10:00 PM,5:45:00 PM,6:20:00 PM
DUNDAS ST west of ERINDALE STATION RD,9:40:00 AM,10:15:00 AM,10:50:00 AM,11:25:00 AM,12:00:00 PM,12:35:00 PM,1:10:00 PM,1:45:00 PM,2:20:00 PM,2:55:00 PM,3:30:00 PM,4:05:00 PM,4:40:00 PM,5:15:00 PM,5:50:00 PM,6:25:00 PM
