CITY CENTRE BUS TERMINAL PLATFORM K,7:09:00 AM,7:47:00 AM,8:25:00 AM,9:03:00 AM,9:41:00 AM,10:20:00 AM,11:00:00 AM,11:40:00 AM,12:20:00 PM,1:00 PM[b],1:40 PM[b],2:20 PM[b],3:00 PM[b],3:40 PM[b],4:20 PM[b],5:00 PM[b],5:40:00 PM,6:20:00 PM,7:00:00 PM,7:40:00 PM,8:20:00 PM,9:00:00 PM,9:39:00 PM,10:10:00 PM
HURONTARIO ST at ELIA AVE,7:13:00 AM,7:51:00 AM,8:29:00 AM,9:07:00 AM,9:45:00 AM,10:24:00 AM,11:04:00 AM,11:44:00 AM,12:24:00 PM,1:04 PM[b],1:44 PM[b],2:24 PM[b],3:04 PM[b],3:44 PM[b],4:24 PM[b],5:04:00 PM,5:44:00 PM,6:24:00 PM,7:04:00 PM,7:44:00 PM,8:24:00 PM,9:04:00 PM,9:43:00 PM,10:14:00 PM
EGLINTON AVE E at CENTRAL PKY E,7:17:00 AM,7:55:00 AM,8:33:00 AM,9:11:00 AM,9:49:00 AM,10:28:00 AM,11:08:00 AM,11:48:00 AM,12:28:00 PM,1:08 PM[b],1:48 PM[b],2:29 PM[b],3:09 PM[b],3:49 PM[b],4:29 PM[b],5:09:00 PM,5:49:00 PM,6:29:00 PM,7:09:00 PM,7:48:00 PM,8:28:00 PM,9:08:00 PM,9:47:00 PM,10:18:00 PM
EGLINTON AVE E at TOMKEN RD,7:19:00 AM,7:57:00 AM,8:35:00 AM,9:13:00 AM,9:51:00 AM,10:30:00 AM,11:10:00 AM,11:50:00 AM,12:30:00 PM,1:10 PM[b],1:50 PM[b],2:31 PM[b],3:11 PM[b],3:51 PM[b],4:31 PM[b],5:11:00 PM,5:51:00 PM,6:31:00 PM,7:11:00 PM,7:50:00 PM,8:30:00 PM,9:10:00 PM,9:49:00 PM,10:20:00 PM
EGLINTON AVE E at DIXIE RD,7:22:00 AM,8:00:00 AM,8:38:00 AM,9:16:00 AM,9:54:00 AM,10:33:00 AM,11:13:00 AM,11:53:00 AM,12:33:00 PM,1:13 PM[b],1:53 PM[b],2:34 PM[b],3:14 PM[b],3:54 PM[b],4:34 PM[b],5:14:00 PM,5:54:00 PM,6:34:00 PM,7:14:00 PM,7:53:00 PM,8:33:00 PM,9:13:00 PM,9:52:00 PM,10:23:00 PM
SKYMARK HUB,7:29:00 AM,8:07:00 AM,8:45:00 AM,9:23:00 AM,10:01:00 AM,10:40:00 AM,11:20:00 AM,12:00:00 PM,12:40:00 PM,1:20 PM[b],2:00 PM[b],2:41 PM[b],3:21 PM[b],4:01 PM[b],4:41 PM[b],5:21:00 PM,6:01:00 PM,6:41:00 PM,7:21:00 PM,8:00:00 PM,8:40:00 PM,9:20:00 PM,9:59:00 PM,10:30:00 PM
RENFORTH DR at EGLINTON AVE,7:32:00 AM,8:10:00 AM,8:48:00 AM,9:26:00 AM,10:04:00 AM,10:43:00 AM,11:23:00 AM,12:03:00 PM,12:43:00 PM,1:23 PM[b],2:03 PM[b],2:44 PM[b],3:24 PM[b],4:04 PM[b],4:44 PM[b],5:24:00 PM,6:04:00 PM,6:44:00 PM,7:24:00 PM,8:03:00 PM,8:43:00 PM,9:23:00 PM,10:02:00 PM,10:33:00 PM
CARLINGVIEW DR SECOND STOP north of METEOR DR,7:36:00 AM,8:14:00 AM,8:52:00 AM,9:30:00 AM,10:08:00 AM,10:47:00 AM,11:27:00 AM,12:07:00 PM,12:47:00 PM,1:27 PM[b],2:07 PM[b],2:48 PM[b],3:28 PM[b],4:08 PM[b],4:48 PM[b],5:28:00 PM,6:08:00 PM,6:48:00 PM,7:28:00 PM,8:07:00 PM,8:47:00 PM,9:27:00 PM,10:06:00 PM,10:37:00 PM
DIXON RD at CARLINGVIEW DR,7:37:00 AM,8:15:00 AM,8:53:00 AM,9:31:00 AM,10:09:00 AM,10:48:00 AM,11:28:00 AM,12:08:00 PM,12:48:00 PM,1:28 PM[b],2:08 PM[b],2:49 PM[b],3:29 PM[b],4:09 PM[b],4:49 PM[b],5:29:00 PM,6:09:00 PM,6:49:00 PM,7:29:00 PM,8:08:00 PM,8:48:00 PM,9:28:00 PM,10:07:00 PM,10:38:00 PM
TORONTO AIRPORT-TERM 1 GROUND LEVEL [NORTH],7:44:00 AM,8:22:00 AM,9:00:00 AM,9:38:00 AM,10:16:00 AM,10:55:00 AM,11:35:00 AM,12:15:00 PM,12:55:00 PM,1:35 PM[b],2:15 PM[b],2:56 PM[b],3:36 PM[b],4:16 PM[b],4:56 PM[b],5:36:00 PM,6:16:00 PM,6:56:00 PM,7:36:00 PM,8:15:00 PM,8:55:00 PM,9:35:00 PM,10:14:00 PM,10:45:00 PM
AIRPORT RD at AMERICAN DR,7:48:00 AM,8:26:00 AM,9:04:00 AM,9:42:00 AM,10:20:00 AM,10:59:00 AM,11:39:00 AM,12:19:00 PM,12:59:00 PM,1:39 PM[b],2:19 PM[b],3:00 PM[b],3:40 PM[b],4:20 PM[b],5:00 PM[b],5:40:00 PM,6:20:00 PM,7:00:00 PM,7:40:00 PM,8:19:00 PM,8:59:00 PM,9:39:00 PM,10:18:00 PM,10:49:00 PM
AIRPORT RD south of DERRY RD,7:51:00 AM,8:29:00 AM,9:07:00 AM,9:45:00 AM,10:23:00 AM,11:02:00 AM,11:42:00 AM,12:22:00 PM,1:02 PM[b],1:42 PM[b],2:22 PM[b],3:03 PM[b],3:43 PM[b],4:23 PM[b],5:03:00 PM,5:43:00 PM,6:23:00 PM,7:03:00 PM,7:43:00 PM,8:22:00 PM,9:02:00 PM,9:42:00 PM,10:21:00 PM,10:52:00 PM
AIRPORT RD at HULL ST,7:52:00 AM,8:30:00 AM,9:08:00 AM,9:46:00 AM,10:24:00 AM,11:03:00 AM,11:43:00 AM,12:23:00 PM,1:03 PM[b],1:43 PM[b],2:23 PM[b],3:04 PM[b],3:44 PM[b],4:24 PM[b],5:04:00 PM,5:44:00 PM,6:24:00 PM,7:04:00 PM,7:44:00 PM,8:23:00 PM,9:03:00 PM,9:43:00 PM,10:22:00 PM,10:53:00 PM
MORNING STAR DR at COLLET RD,7:54:00 AM,8:32:00 AM,9:10:00 AM,9:48:00 AM,10:26:00 AM,11:05:00 AM,11:45:00 AM,12:25:00 PM,1:05 PM[b],1:45 PM[b],2:25 PM[b],3:06 PM[b],3:46 PM[b],4:26 PM[b],5:06:00 PM,5:46:00 PM,6:26:00 PM,7:06:00 PM,7:46:00 PM,8:25:00 PM,9:05:00 PM,9:45:00 PM,10:24:00 PM,10:55:00 PM
WESTWOOD MALL BUS TERMINAL PLATFORM C,7:58:00 AM,8:36:00 AM,9:14:00 AM,9:52:00 AM,10:30:00 AM,11:09:00 AM,11:49:00 AM,12:29:00 PM,1:09 PM[b],1:49 PM[b],2:29 PM[b],3:12 PM[b],3:52 PM[b],4:31 PM[b],5:10:00 PM,5:50:00 PM,6:30:00 PM,7:10:00 PM,7:50:00 PM,8:29:00 PM,9:08:00 PM,9:48:00 PM,10:27:00 PM,10:58:00 PM
