WESTWOOD MALL BUS TERMINAL PLATFORM C,8:08:00 AM,8:46:00 AM,9:24:00 AM,10:02:00 AM,10:40:00 AM,11:19:00 AM,11:59:00 AM,12:39:00 PM,1:19 PM[b],1:59 PM[b],2:39 PM[b],3:19 PM[b],3:59 PM[b],4:39 PM[b],5:19:00 PM,5:59:00 PM,6:39:00 PM,7:19:00 PM,7:59:00 PM,8:39:00 PM,9:18:00 PM,9:57:00 PM,10:42:00 PM,11:10:00 PM
MORNING STAR DR at AIRPORT RD,8:13:00 AM,8:51:00 AM,9:29:00 AM,10:07:00 AM,10:45:00 AM,11:24:00 AM,12:04:00 PM,12:44:00 PM,1:24 PM[b],2:04 PM[b],2:44 PM[b],3:24 PM[b],4:04 PM[b],4:44 PM[b],5:24:00 PM,6:03:00 PM,6:43:00 PM,7:23:00 PM,8:03:00 PM,8:43:00 PM,9:22:00 PM,10:01:00 PM,10:46:00 PM,11:14:00 PM
AIRPORT RD at MORNING STAR DR,8:13:00 AM,8:51:00 AM,9:29:00 AM,10:07:00 AM,10:45:00 AM,11:24:00 AM,12:04:00 PM,12:44:00 PM,1:24 PM[b],2:04 PM[b],2:44 PM[b],3:24 PM[b],4:04 PM[b],4:44 PM[b],5:24:00 PM,6:03:00 PM,6:43:00 PM,7:23:00 PM,8:03:00 PM,8:43:00 PM,9:22:00 PM,10:01:00 PM,10:46:00 PM,11:14:00 PM
AIRPORT RD south of DERRY RD,8:17:00 AM,8:55:00 AM,9:33:00 AM,10:11:00 AM,10:49:00 AM,11:28:00 AM,12:08:00 PM,12:48:00 PM,1:28 PM[b],2:08 PM[b],2:48 PM[b],3:28 PM[b],4:08 PM[b],4:48 PM[b],5:28:00 PM,6:07:00 PM,6:47:00 PM,7:26:00 PM,8:06:00 PM,8:46:00 PM,9:25:00 PM,10:04:00 PM,10:49:00 PM,11:17:00 PM
AIRPORT RD at AMERICAN DR,8:20:00 AM,8:58:00 AM,9:36:00 AM,10:14:00 AM,10:52:00 AM,11:31:00 AM,12:11:00 PM,12:51:00 PM,1:31 PM[b],2:11 PM[b],2:51 PM[b],3:31 PM[b],4:11 PM[b],4:51 PM[b],5:31:00 PM,6:10:00 PM,6:50:00 PM,7:29:00 PM,8:09:00 PM,8:49:00 PM,9:28:00 PM,10:07:00 PM,10:52:00 PM,11:20:00 PM
TORONTO AIRPORT-TERM 1 GROUND LEVEL [SOUTH],8:26:00 AM,9:04:00 AM,9:42:00 AM,10:20:00 AM,10:58:00 AM,11:37:00 AM,12:17:00 PM,12:57:00 PM,1:37 PM[b],2:17 PM[b],2:57 PM[b],3:37 PM[b],4:17 PM[b],4:57 PM[b],5:37:00 PM,6:16:00 PM,6:56:00 PM,7:35:00 PM,8:15:00 PM,8:55:00 PM,9:34:00 PM,10:13:00 PM,10:58:00 PM,11:26:00 PM
DIXON RD east of HWY 427,8:29:00 AM,9:07:00 AM,9:45:00 AM,10:23:00 AM,11:01:00 AM,11:40:00 AM,12:20:00 PM,1:00 PM[b],1:40 PM[b],2:20 PM[b],3:00 PM[b],3:40 PM[b],4:20 PM[b],5:00 PM[b],5:40:00 PM,6:19:00 PM,6:59:00 PM,7:38:00 PM,8:18:00 PM,8:58:00 PM,9:37:00 PM,10:16:00 PM,11:01:00 PM,11:29:00 PM
DIXON RD at CARLINGVIEW DR,8:29:00 AM,9:07:00 AM,9:45:00 AM,10:23:00 AM,11:01:00 AM,11:40:00 AM,12:20:00 PM,1:00 PM[b],1:40 PM[b],2:20 PM[b],3:00 PM[b],3:40 PM[b],4:20 PM[b],5:00 PM[b],5:40:00 PM,6:19:00 PM,6:59:00 PM,7:38:00 PM,8:18:00 PM,8:58:00 PM,9:37:00 PM,10:16:00 PM,11:01:00 PM,11:29:00 PM
SKYMARK HUB,8:35:00 AM,9:13:00 AM,9:51:00 AM,10:29:00 AM,11:07:00 AM,11:46:00 AM,12:26:00 PM,1:07 PM[b],1:47 PM[b],2:27 PM[b],3:07 PM[b],3:47 PM[b],4:27 PM[b],5:07:00 PM,5:47:00 PM,6:25:00 PM,7:05:00 PM,7:44:00 PM,8:24:00 PM,9:04:00 PM,9:43:00 PM,10:22:00 PM,11:07:00 PM,11:35:00 PM
EGLINTON AVE at DIXIE RD,8:43:00 AM,9:21:00 AM,9:59:00 AM,10:37:00 AM,11:15:00 AM,11:54:00 AM,12:34:00 PM,1:15 PM[b],1:55 PM[b],2:35 PM[b],3:15 PM[b],3:55 PM[b],4:35 PM[b],5:15:00 PM,5:55:00 PM,6:33:00 PM,7:13:00 PM,7:52:00 PM,8:32:00 PM,9:12:00 PM,9:51:00 PM,10:30:00 PM,11:15:00 PM,11:43:00 PM
EGLINTON AVE at TOMKEN RD,8:45:00 AM,9:23:00 AM,10:01:00 AM,10:40:00 AM,11:18:00 AM,11:57:00 AM,12:37:00 PM,1:18 PM[b],1:58 PM[b],2:38 PM[b],3:18 PM[b],3:58 PM[b],4:38 PM[b],5:17:00 PM,5:57:00 PM,6:35:00 PM,7:15:00 PM,7:54:00 PM,8:34:00 PM,9:14:00 PM,9:53:00 PM,10:32:00 PM,11:17:00 PM,11:45:00 PM
EGLINTON AVE east of HWY 403,8:45:00 AM,9:23:00 AM,10:01:00 AM,10:40:00 AM,11:18:00 AM,11:57:00 AM,12:37:00 PM,1:18 PM[b],1:58 PM[b],2:38 PM[b],3:18 PM[b],3:58 PM[b],4:38 PM[b],5:17:00 PM,5:57:00 PM,6:35:00 PM,7:15:00 PM,7:54:00 PM,8:34:00 PM,9:14:00 PM,9:53:00 PM,10:32:00 PM,11:17:00 PM,11:45:00 PM
EGLINTON AVE at KENNEDY RD,8:48:00 AM,9:26:00 AM,10:04:00 AM,10:43:00 AM,11:21:00 AM,12:00:00 PM,12:40:00 PM,1:21 PM[b],2:01 PM[b],2:41 PM[b],3:21 PM[b],4:01 PM[b],4:41 PM[b],5:20:00 PM,6:00:00 PM,6:38:00 PM,7:18:00 PM,7:57:00 PM,8:37:00 PM,9:17:00 PM,9:55:00 PM,10:34:00 PM,11:19:00 PM,11:47:00 PM
ELIA AVE at HURONTARIO ST,8:52:00 AM,9:30:00 AM,10:08:00 AM,10:47:00 AM,11:25:00 AM,12:04:00 PM,12:44:00 PM,1:25 PM[b],2:05 PM[b],2:45 PM[b],3:25 PM[b],4:05 PM[b],4:45 PM[b],5:24:00 PM,6:04:00 PM,6:42:00 PM,7:22:00 PM,8:01:00 PM,8:41:00 PM,9:21:00 PM,9:58:00 PM,10:37:00 PM,11:22:00 PM,11:50:00 PM
CITY CENTRE BUS TERMINAL PLATFORM K,8:58:00 AM,9:36:00 AM,10:14:00 AM,10:53:00 AM,11:32:00 AM,12:11:00 PM,12:51:00 PM,1:33 PM[b],2:13 PM[b],2:53 PM[b],3:33 PM[b],4:13 PM[b],4:53 PM[b],5:31:00 PM,6:11:00 PM,6:49:00 PM,7:28:00 PM,8:07:00 PM,8:47:00 PM,9:27:00 PM,10:03:00 PM,10:42:00 PM,11:27:00 PM,11:55:00 PM
