CITY CENTRE BUS TERMINAL PLATFORM H,7:55:00 AM,8:37:00 AM,9:19:00 AM,10:01:00 AM,10:43:00 AM,11:13:00 AM,11:43:00 AM,12:13:00 PM,12:43:00 PM,1:13:00 PM,1:43:00 PM,2:13:00 PM,2:43:00 PM,3:13:00 PM,3:43:00 PM,4:13:00 PM,4:43:00 PM,5:13:00 PM,5:43:00 PM,6:13:00 PM,6:43:00 PM,7:13:00 PM,7:43:00 PM,8:25:00 PM,9:07:00 PM,9:49:00 PM,10:31:00 PM
RATHBURN RD at MAVIS RD,7:59:00 AM,8:41:00 AM,9:23:00 AM,10:05:00 AM,10:47:00 AM,11:17:00 AM,11:47:00 AM,12:17:00 PM,12:47:00 PM,1:17:00 PM,1:47:00 PM,2:17:00 PM,2:47:00 PM,3:17:00 PM,3:47:00 PM,4:17:00 PM,4:47:00 PM,5:17:00 PM,5:47:00 PM,6:17:00 PM,6:47:00 PM,7:17:00 PM,7:47:00 PM,8:28:00 PM,9:10:00 PM,9:52:00 PM,10:34:00 PM
RATHBURN RD at WAKEFIELD CRES (east leg),7:59:00 AM,8:41:00 AM,9:23:00 AM,10:05:00 AM,10:47:00 AM,11:17:00 AM,11:47:00 AM,12:17:00 PM,12:47:00 PM,1:17:00 PM,1:47:00 PM,2:17:00 PM,2:47:00 PM,3:17:00 PM,3:48:00 PM,4:18:00 PM,4:48:00 PM,5:18:00 PM,5:48:00 PM,6:18:00 PM,6:47:00 PM,7:17:00 PM,7:47:00 PM,8:28:00 PM,9:10:00 PM,9:52:00 PM,10:34:00 PM
RATHBURN RD at CREDITVIEW RD,8:03:00 AM,8:45:00 AM,9:27:00 AM,10:09:00 AM,10:51:00 AM,11:21:00 AM,11:51:00 AM,12:21:00 PM,12:51:00 PM,1:21:00 PM,1:51:00 PM,2:21:00 PM,2:51:00 PM,3:21:00 PM,3:52:00 PM,4:22:00 PM,4:52:00 PM,5:22:00 PM,5:52:00 PM,6:22:00 PM,6:51:00 PM,7:21:00 PM,7:51:00 PM,8:32:00 PM,9:14:00 PM,9:56:00 PM,10:38:00 PM
EGLINTON AVE west of CREDITVIEW RD,8:07:00 AM,8:49:00 AM,9:31:00 AM,10:13:00 AM,10:55:00 AM,11:25:00 AM,11:56:00 AM,12:26:00 PM,12:56:00 PM,1:26:00 PM,1:56:00 PM,2:26:00 PM,2:56:00 PM,3:26:00 PM,3:57:00 PM,4:27:00 PM,4:57:00 PM,5:27:00 PM,5:57:00 PM,6:27:00 PM,6:55:00 PM,7:25:00 PM,7:55:00 PM,8:36:00 PM,9:18:00 PM,10:00:00 PM,10:42:00 PM
EGLINTON AVE at MISSISSAUGA RD,8:09:00 AM,8:51:00 AM,9:33:00 AM,10:15:00 AM,10:57:00 AM,11:27:00 AM,11:58:00 AM,12:28:00 PM,12:58:00 PM,1:28:00 PM,1:58:00 PM,2:28:00 PM,2:58:00 PM,3:28:00 PM,3:59:00 PM,4:29:00 PM,4:59:00 PM,5:29:00 PM,5:59:00 PM,6:29:00 PM,6:57:00 PM,7:27:00 PM,7:57:00 PM,8:38:00 PM,9:20:00 PM,10:02:00 PM,10:44:00 PM
QUEEN ST at BARRY AVE,8:12:00 AM,8:54:00 AM,9:36:00 AM,10:18:00 AM,11:00:00 AM,11:30:00 AM,12:01:00 PM,12:31:00 PM,1:01:00 PM,1:31:00 PM,2:01:00 PM,2:31:00 PM,3:01:00 PM,3:31:00 PM,4:02:00 PM,4:32:00 PM,5:02:00 PM,5:32:00 PM,6:02:00 PM,6:32:00 PM,7:00:00 PM,7:30:00 PM,8:00:00 PM,8:41:00 PM,9:23:00 PM,10:05:00 PM,10:47:00 PM
VISTA BLVD at TURNEY DR,8:16:00 AM,8:58:00 AM,9:40:00 AM,10:22:00 AM,11:04:00 AM,11:35:00 AM,12:06:00 PM,12:36:00 PM,1:06:00 PM,1:36:00 PM,2:06:00 PM,2:36:00 PM,3:06:00 PM,3:36:00 PM,4:07:00 PM,4:37:00 PM,5:07:00 PM,5:37:00 PM,6:07:00 PM,6:37:00 PM,7:05:00 PM,7:35:00 PM,8:05:00 PM,8:46:00 PM,9:28:00 PM,10:10:00 PM,10:52:00 PM
ERIN MILLS PKY at VISTA BLVD,8:16:00 AM,8:58:00 AM,9:40:00 AM,10:22:00 AM,11:04:00 AM,11:35:00 AM,12:06:00 PM,12:36:00 PM,1:06:00 PM,1:36:00 PM,2:06:00 PM,2:36:00 PM,3:06:00 PM,3:36:00 PM,4:07:00 PM,4:37:00 PM,5:07:00 PM,5:37:00 PM,6:07:00 PM,6:37:00 PM,7:05:00 PM,7:35:00 PM,8:05:00 PM,8:46:00 PM,9:28:00 PM,10:10:00 PM,10:52:00 PM
WINDWOOD DR at GLEN ERIN DR,8:20:00 AM,9:02:00 AM,9:44:00 AM,10:26:00 AM,11:08:00 AM,11:39:00 AM,12:10:00 PM,12:40:00 PM,1:10:00 PM,1:40:00 PM,2:10:00 PM,2:40:00 PM,3:10:00 PM,3:40:00 PM,4:11:00 PM,4:41:00 PM,5:11:00 PM,5:41:00 PM,6:11:00 PM,6:41:00 PM,7:09:00 PM,7:39:00 PM,8:09:00 PM,8:50:00 PM,9:32:00 PM,10:14:00 PM,10:56:00 PM
