MEADOWVALE TOWN CENTRE BUS TERMINAL PLATFORM J,8:36:00 AM,9:18:00 AM,10:00:00 AM,10:27:00 AM,10:57:00 AM,11:27:00 AM,11:57:00 AM,12:27:00 PM,12:57:00 PM,1:27:00 PM,1:57:00 PM,2:27:00 PM,2:57:00 PM,3:27:00 PM,3:57:00 PM,4:27:00 PM,4:57:00 PM,5:27:00 PM,5:57:00 PM,6:27:00 PM,6:57:00 PM,7:27:00 PM,7:57:00 PM,8:27:00 PM,9:07:00 PM,9:49:00 PM,10:31:00 PM,11:13:00 PM
MILLERS GROVE at ARNETT CRT,8:41:00 AM,9:23:00 AM,10:05:00 AM,10:32:00 AM,11:02:00 AM,11:32:00 AM,12:02:00 PM,12:32:00 PM,1:02:00 PM,1:32:00 PM,2:02:00 PM,2:32:00 PM,3:02:00 PM,3:32:00 PM,4:02:00 PM,4:32:00 PM,5:02:00 PM,5:32:00 PM,6:02:00 PM,6:32:00 PM,7:02:00 PM,7:32:00 PM,8:02:00 PM,8:31:00 PM,9:11:00 PM,9:53:00 PM,10:35:00 PM,11:17:00 PM
WINDWOOD DR at BUCKLEPOST CRES,8:47:00 AM,9:29:00 AM,10:11:00 AM,10:38:00 AM,11:08:00 AM,11:38:00 AM,12:08:00 PM,12:38:00 PM,1:08:00 PM,1:38:00 PM,2:08:00 PM,2:38:00 PM,3:08:00 PM,3:38:00 PM,4:08:00 PM,4:38:00 PM,5:08:00 PM,5:38:00 PM,6:08:00 PM,6:38:00 PM,7:08:00 PM,7:38:00 PM,8:08:00 PM,8:37:00 PM,9:17:00 PM,9:59:00 PM,10:41:00 PM,11:23:00 PM
WINDWOOD DR at GLEN ERIN DR,8:47:00 AM,9:29:00 AM,10:11:00 AM,10:38:00 AM,11:08:00 AM,11:38:00 AM,12:08:00 PM,12:38:00 PM,1:08:00 PM,1:38:00 PM,2:08:00 PM,2:38:00 PM,3:08:00 PM,3:38:00 PM,4:08:00 PM,4:38:00 PM,5:08:00 PM,5:38:00 PM,6:08:00 PM,6:38:00 PM,7:08:00 PM,7:38:00 PM,8:08:00 PM,8:37:00 PM,9:17:00 PM,9:59:00 PM,10:41:00 PM,11:23:00 PM
VISTA BLVD at TURNEY DR,8:51:00 AM,9:33:00 AM,10:15:00 AM,10:42:00 AM,11:12:00 AM,11:42:00 AM,12:12:00 PM,12:42:00 PM,1:12:00 PM,1:42:00 PM,2:12:00 PM,2:42:00 PM,3:12:00 PM,3:42:00 PM,4:12:00 PM,4:42:00 PM,5:12:00 PM,5:42:00 PM,6:12:00 PM,6:42:00 PM,7:12:00 PM,7:42:00 PM,8:12:00 PM,8:41:00 PM,9:21:00 PM,10:03:00 PM,10:45:00 PM,11:27:00 PM
QUEEN ST at BARRY AVE,8:55:00 AM,9:37:00 AM,10:19:00 AM,10:46:00 AM,11:16:00 AM,11:46:00 AM,12:16:00 PM,12:46:00 PM,1:16:00 PM,1:46:00 PM,2:16:00 PM,2:46:00 PM,3:16:00 PM,3:46:00 PM,4:16:00 PM,4:46:00 PM,5:16:00 PM,5:46:00 PM,6:16:00 PM,6:46:00 PM,7:16:00 PM,7:46:00 PM,8:16:00 PM,8:45:00 PM,9:25:00 PM,10:07:00 PM,10:49:00 PM,11:31:00 PM
EGLINTON AVE at MISSISSAUGA RD,8:59:00 AM,9:41:00 AM,10:23:00 AM,10:50:00 AM,11:20:00 AM,11:50:00 AM,12:20:00 PM,12:50:00 PM,1:20:00 PM,1:50:00 PM,2:20:00 PM,2:50:00 PM,3:20:00 PM,3:50:00 PM,4:20:00 PM,4:50:00 PM,5:20:00 PM,5:50:00 PM,6:20:00 PM,6:50:00 PM,7:20:00 PM,7:50:00 PM,8:20:00 PM,8:49:00 PM,9:29:00 PM,10:11:00 PM,10:53:00 PM,11:35:00 PM
CREDITVIEW RD at EGLINTON AVE,9:01:00 AM,9:43:00 AM,10:25:00 AM,10:53:00 AM,11:23:00 AM,11:53:00 AM,12:23:00 PM,12:53:00 PM,1:23:00 PM,1:53:00 PM,2:23:00 PM,2:53:00 PM,3:23:00 PM,3:53:00 PM,4:23:00 PM,4:53:00 PM,5:23:00 PM,5:53:00 PM,6:23:00 PM,6:53:00 PM,7:23:00 PM,7:53:00 PM,8:22:00 PM,8:51:00 PM,9:31:00 PM,10:13:00 PM,10:55:00 PM,11:37:00 PM
CREDITVIEW RD at MELIA DR,9:04:00 AM,9:46:00 AM,10:28:00 AM,10:56:00 AM,11:26:00 AM,11:56:00 AM,12:26:00 PM,12:56:00 PM,1:26:00 PM,1:56:00 PM,2:26:00 PM,2:56:00 PM,3:26:00 PM,3:56:00 PM,4:26:00 PM,4:56:00 PM,5:26:00 PM,5:56:00 PM,6:26:00 PM,6:56:00 PM,7:26:00 PM,7:56:00 PM,8:25:00 PM,8:54:00 PM,9:34:00 PM,10:16:00 PM,10:58:00 PM,11:40:00 PM
RATHBURN RD at DEER RUN (west leg),9:04:00 AM,9:46:00 AM,10:28:00 AM,10:56:00 AM,11:26:00 AM,11:56:00 AM,12:26:00 PM,12:56:00 PM,1:26:00 PM,1:56:00 PM,2:26:00 PM,2:56:00 PM,3:26:00 PM,3:56:00 PM,4:26:00 PM,4:56:00 PM,5:26:00 PM,5:56:00 PM,6:26:00 PM,6:56:00 PM,7:26:00 PM,7:56:00 PM,8:25:00 PM,8:54:00 PM,9:34:00 PM,10:16:00 PM,10:58:00 PM,11:40:00 PM
