BRAMPTON GATEWAY TERMINAL,5:31:00 AM,5:52:00 AM,6:13:00 AM,6:34:00 AM,6:55:00 AM,7:16:00 AM,7:37:00 AM,7:58:00 AM,8:20:00 AM,8:42:00 AM,9:04:00 AM,9:27:00 AM,9:51:00 AM,10:15:00 AM,10:39:00 AM,11:03:00 AM,11:27:00 AM,11:51:00 AM,12:15:00 PM,12:39:00 PM,1:03:00 PM,1:27:00 PM,1:51:00 PM,2:15:00 PM,2:39:00 PM,3:03:00 PM,3:27:00 PM,3:51:00 PM,4:15:00 PM,4:39:00 PM,5:03:00 PM,5:27:00 PM,5:51:00 PM,6:14:00 PM,6:37:00 PM,7:00:00 PM,7:23:00 PM,7:46:00 PM,8:06:00 PM
HURONTARIO ST at DERRY RD W,5:37:00 AM,5:58:00 AM,6:19:00 AM,6:40:00 AM,7:01:00 AM,7:22:00 AM,7:43:00 AM,8:04:00 AM,8:26:00 AM,8:48:00 AM,9:10:00 AM,9:34:00 AM,9:58:00 AM,10:22:00 AM,10:46:00 AM,11:10:00 AM,11:34:00 AM,11:58:00 AM,12:22:00 PM,12:46:00 PM,1:10:00 PM,1:34:00 PM,1:58:00 PM,2:22:00 PM,2:46:00 PM,3:10:00 PM,3:34:00 PM,3:58:00 PM,4:22:00 PM,4:46:00 PM,5:10:00 PM,5:34:00 PM,5:58:00 PM,6:21:00 PM,6:44:00 PM,7:06:00 PM,7:29:00 PM,7:52:00 PM,8:12:00 PM
HURONTARIO ST south of BRITANNIA RD,5:43:00 AM,6:04:00 AM,6:25:00 AM,6:46:00 AM,7:07:00 AM,7:28:00 AM,7:49:00 AM,8:10:00 AM,8:32:00 AM,8:54:00 AM,9:16:00 AM,9:40:00 AM,10:04:00 AM,10:28:00 AM,10:52:00 AM,11:16:00 AM,11:40:00 AM,12:04:00 PM,12:28:00 PM,12:52:00 PM,1:16:00 PM,1:41:00 PM,2:05:00 PM,2:29:00 PM,2:53:00 PM,3:17:00 PM,3:40:00 PM,4:04:00 PM,4:28:00 PM,4:52:00 PM,5:16:00 PM,5:40:00 PM,6:04:00 PM,6:27:00 PM,6:50:00 PM,7:12:00 PM,7:35:00 PM,7:58:00 PM,8:18:00 PM
HURONTARIO ST at MATHESON BLVD W,5:45:00 AM,6:06:00 AM,6:27:00 AM,6:48:00 AM,7:09:00 AM,7:30:00 AM,7:51:00 AM,8:12:00 AM,8:34:00 AM,8:56:00 AM,9:18:00 AM,9:42:00 AM,10:06:00 AM,10:30:00 AM,10:54:00 AM,11:18:00 AM,11:42:00 AM,12:06:00 PM,12:30:00 PM,12:54:00 PM,1:18:00 PM,1:43:00 PM,2:07:00 PM,2:31:00 PM,2:55:00 PM,3:19:00 PM,3:42:00 PM,4:06:00 PM,4:30:00 PM,4:54:00 PM,5:18:00 PM,5:42:00 PM,6:06:00 PM,6:29:00 PM,6:52:00 PM,7:14:00 PM,7:37:00 PM,8:00:00 PM,8:20:00 PM
HURONTARIO ST at EGLINTON AVE,5:49:00 AM,6:10:00 AM,6:31:00 AM,6:52:00 AM,7:13:00 AM,7:34:00 AM,7:55:00 AM,8:16:00 AM,8:38:00 AM,9:00:00 AM,9:22:00 AM,9:46:00 AM,10:10:00 AM,10:34:00 AM,10:58:00 AM,11:22:00 AM,11:46:00 AM,12:10:00 PM,12:34:00 PM,12:58:00 PM,1:22:00 PM,1:47:00 PM,2:11:00 PM,2:35:00 PM,2:59:00 PM,3:23:00 PM,3:46:00 PM,4:10:00 PM,4:34:00 PM,4:58:00 PM,5:22:00 PM,5:46:00 PM,6:10:00 PM,6:33:00 PM,6:56:00 PM,7:18:00 PM,7:41:00 PM,8:04:00 PM,8:24:00 PM
HURONTARIO ST at BURNHAMTHORPE RD W,5:53:00 AM,6:14:00 AM,6:35:00 AM,6:56:00 AM,7:17:00 AM,7:38:00 AM,7:59:00 AM,8:20:00 AM,8:42:00 AM,9:04:00 AM,9:26:00 AM,9:50:00 AM,10:14:00 AM,10:38:00 AM,11:02:00 AM,11:27:00 AM,11:51:00 AM,12:15:00 PM,12:39:00 PM,1:03:00 PM,1:28:00 PM,1:53:00 PM,2:17:00 PM,2:41:00 PM,3:05:00 PM,3:28:00 PM,3:51:00 PM,4:15:00 PM,4:39:00 PM,5:03:00 PM,5:27:00 PM,5:51:00 PM,6:15:00 PM,6:38:00 PM,7:01:00 PM,7:22:00 PM,7:45:00 PM,8:08:00 PM,8:28:00 PM
HURONTARIO ST at DUNDAS ST W,5:59:00 AM,6:20:00 AM,6:41:00 AM,7:02:00 AM,7:23:00 AM,7:44:00 AM,8:05:00 AM,8:26:00 AM,8:48:00 AM,9:10:00 AM,9:33:00 AM,9:57:00 AM,10:21:00 AM,10:45:00 AM,11:09:00 AM,11:35:00 AM,11:59:00 AM,12:23:00 PM,12:47:00 PM,1:11:00 PM,1:35:00 PM,2:00:00 PM,2:24:00 PM,2:48:00 PM,3:12:00 PM,3:35:00 PM,3:58:00 PM,4:22:00 PM,4:46:00 PM,5:10:00 PM,5:34:00 PM,5:58:00 PM,6:21:00 PM,6:44:00 PM,7:07:00 PM,7:28:00 PM,7:51:00 PM,8:14:00 PM,8:34:00 PM
HURONTARIO ST at QUEENSWAY,6:01:00 AM,6:22:00 AM,6:43:00 AM,7:04:00 AM,7:25:00 AM,7:46:00 AM,8:07:00 AM,8:28:00 AM,8:50:00 AM,9:12:00 AM,9:35:00 AM,9:59:00 AM,10:23:00 AM,10:47:00 AM,11:11:00 AM,11:37:00 AM,12:01:00 PM,12:25:00 PM,12:49:00 PM,1:13:00 PM,1:38:00 PM,2:03:00 PM,2:27:00 PM,2:51:00 PM,3:15:00 PM,3:38:00 PM,4:01:00 PM,4:25:00 PM,4:49:00 PM,5:13:00 PM,5:37:00 PM,6:01:00 PM,6:23:00 PM,6:46:00 PM,7:09:00 PM,7:30:00 PM,7:53:00 PM,8:16:00 PM,8:36:00 PM
HURONTARIO ST at MINEOLA RD W,6:05:00 AM,6:26:00 AM,6:47:00 AM,7:08:00 AM,7:29:00 AM,7:50:00 AM,8:11:00 AM,8:32:00 AM,8:54:00 AM,9:16:00 AM,9:39:00 AM,10:03:00 AM,10:27:00 AM,10:51:00 AM,11:15:00 AM,11:41:00 AM,12:05:00 PM,12:29:00 PM,12:53:00 PM,1:17:00 PM,1:42:00 PM,2:07:00 PM,2:31:00 PM,2:55:00 PM,3:19:00 PM,3:42:00 PM,4:05:00 PM,4:29:00 PM,4:53:00 PM,5:17:00 PM,5:41:00 PM,6:05:00 PM,6:27:00 PM,6:50:00 PM,7:12:00 PM,7:33:00 PM,7:56:00 PM,8:19:00 PM,8:39:00 PM
HURONTARIO ST at LAKESHORE RD E,6:06:00 AM,6:27:00 AM,6:48:00 AM,7:09:00 AM,7:30:00 AM,7:51:00 AM,8:12:00 AM,8:33:00 AM,8:55:00 AM,9:17:00 AM,9:40:00 AM,10:04:00 AM,10:28:00 AM,10:52:00 AM,11:16:00 AM,11:42:00 AM,12:06:00 PM,12:30:00 PM,12:54:00 PM,1:18:00 PM,1:43:00 PM,2:08:00 PM,2:32:00 PM,2:56:00 PM,3:20:00 PM,3:43:00 PM,4:06:00 PM,4:30:00 PM,4:54:00 PM,5:18:00 PM,5:42:00 PM,6:06:00 PM,6:28:00 PM,6:51:00 PM,7:13:00 PM,7:34:00 PM,7:57:00 PM,8:20:00 PM,8:40:00 PM
PORT CREDIT GO STATION PLATFORM B,6:08:00 AM,6:29:00 AM,6:50:00 AM,7:11:00 AM,7:32:00 AM,7:53:00 AM,8:14:00 AM,8:35:00 AM,8:57:00 AM,9:19:00 AM,9:42:00 AM,10:06:00 AM,10:30:00 AM,10:54:00 AM,11:18:00 AM,11:44:00 AM,12:08:00 PM,12:32:00 PM,12:56:00 PM,1:20:00 PM,1:45:00 PM,2:10:00 PM,2:34:00 PM,2:58:00 PM,3:22:00 PM,3:45:00 PM,4:08:00 PM,4:32:00 PM,4:56:00 PM,5:20:00 PM,5:44:00 PM,6:08:00 PM,6:30:00 PM,6:53:00 PM,7:15:00 PM,7:36:00 PM,7:59:00 PM,8:22:00 PM,8:42:00 PM
