CITY CENTRE BUS TERMINAL PLATFORM A,7:18:00 AM,7:39:00 AM,8:00:00 AM,8:21:00 AM,8:42:00 AM,9:03:00 AM,9:24:00 AM,9:45:00 AM,10:07:00 AM,10:28:00 AM,10:49:00 AM,11:10:00 AM,11:31:00 AM,11:52:00 AM,12:13:00 PM,12:34:00 PM,12:55:00 PM,1:16:00 PM,1:37:00 PM,1:58:00 PM,2:19:00 PM,2:40:00 PM,3:01:00 PM,3:22:00 PM,3:43:00 PM,4:04:00 PM,4:25:00 PM,4:46:00 PM,5:07:00 PM,5:28:00 PM,5:49:00 PM,6:10:00 PM,6:31:00 PM,6:52:00 PM,7:13:00 PM,7:33:00 PM,7:54:00 PM,8:15:00 PM,8:36:00 PM,8:57:00 PM
CENTRAL PARKWAY STATION EAST PLATFORM A,7:20:00 AM,7:41:00 AM,8:02:00 AM,8:23:00 AM,8:44:00 AM,9:05:00 AM,9:26:00 AM,9:47:00 AM,10:09:00 AM,10:30:00 AM,10:51:00 AM,11:12:00 AM,11:33:00 AM,11:54:00 AM,12:15:00 PM,12:36:00 PM,12:57:00 PM,1:18:00 PM,1:39:00 PM,2:00:00 PM,2:21:00 PM,2:42:00 PM,3:03:00 PM,3:24:00 PM,3:45:00 PM,4:06:00 PM,4:27:00 PM,4:48:00 PM,5:09:00 PM,5:30:00 PM,5:51:00 PM,6:12:00 PM,6:33:00 PM,6:54:00 PM,7:15:00 PM,7:35:00 PM,7:56:00 PM,8:17:00 PM,8:38:00 PM,8:59:00 PM
CAWTHRA STATION EAST PLATFORM A,7:21:00 AM,7:42:00 AM,8:03:00 AM,8:24:00 AM,8:45:00 AM,9:06:00 AM,9:27:00 AM,9:48:00 AM,10:10:00 AM,10:31:00 AM,10:52:00 AM,11:13:00 AM,11:34:00 AM,11:55:00 AM,12:16:00 PM,12:37:00 PM,12:58:00 PM,1:19:00 PM,1:40:00 PM,2:01:00 PM,2:22:00 PM,2:43:00 PM,3:04:00 PM,3:25:00 PM,3:46:00 PM,4:07:00 PM,4:28:00 PM,4:49:00 PM,5:10:00 PM,5:31:00 PM,5:52:00 PM,6:13:00 PM,6:34:00 PM,6:55:00 PM,7:16:00 PM,7:36:00 PM,7:57:00 PM,8:18:00 PM,8:39:00 PM,9:00:00 PM
TOMKEN STATION EAST PLATFORM A,7:22:00 AM,7:43:00 AM,8:04:00 AM,8:25:00 AM,8:46:00 AM,9:07:00 AM,9:28:00 AM,9:49:00 AM,10:11:00 AM,10:32:00 AM,10:53:00 AM,11:14:00 AM,11:35:00 AM,11:56:00 AM,12:17:00 PM,12:38:00 PM,12:59:00 PM,1:20:00 PM,1:41:00 PM,2:02:00 PM,2:23:00 PM,2:44:00 PM,3:05:00 PM,3:26:00 PM,3:47:00 PM,4:08:00 PM,4:29:00 PM,4:50:00 PM,5:11:00 PM,5:32:00 PM,5:53:00 PM,6:14:00 PM,6:35:00 PM,6:56:00 PM,7:17:00 PM,7:37:00 PM,7:58:00 PM,8:19:00 PM,8:40:00 PM,9:01:00 PM
DIXIE STATION EAST PLATFORM A,7:24:00 AM,7:45:00 AM,8:06:00 AM,8:27:00 AM,8:48:00 AM,9:09:00 AM,9:30:00 AM,9:51:00 AM,10:13:00 AM,10:34:00 AM,10:55:00 AM,11:16:00 AM,11:37:00 AM,11:58:00 AM,12:19:00 PM,12:40:00 PM,1:01:00 PM,1:22:00 PM,1:43:00 PM,2:04:00 PM,2:25:00 PM,2:46:00 PM,3:07:00 PM,3:28:00 PM,3:49:00 PM,4:10:00 PM,4:31:00 PM,4:52:00 PM,5:13:00 PM,5:34:00 PM,5:55:00 PM,6:16:00 PM,6:37:00 PM,6:58:00 PM,7:19:00 PM,7:39:00 PM,8:00:00 PM,8:21:00 PM,8:42:00 PM,9:03:00 PM
MATHESON BLVD at ORBITOR DR,7:32:00 AM,7:53:00 AM,8:14:00 AM,8:35:00 AM,8:56:00 AM,9:17:00 AM,9:37:00 AM,9:58:00 AM,10:20:00 AM,10:41:00 AM,11:02:00 AM,11:23:00 AM,11:44:00 AM,12:05:00 PM,12:26:00 PM,12:47:00 PM,1:08:00 PM,1:29:00 PM,1:50:00 PM,2:11:00 PM,2:32:00 PM,2:53:00 PM,3:14:00 PM,3:35:00 PM,3:56:00 PM,4:17:00 PM,4:38:00 PM,4:59:00 PM,5:20:00 PM,5:41:00 PM,6:02:00 PM,6:23:00 PM,6:44:00 PM,7:05:00 PM,7:26:00 PM,7:46:00 PM,8:07:00 PM,8:28:00 PM,8:49:00 PM,9:10:00 PM
SKYMARK HUB,7:34:00 AM,7:55:00 AM,8:16:00 AM,8:37:00 AM,8:58:00 AM,9:19:00 AM,9:39:00 AM,10:00:00 AM,10:22:00 AM,10:43:00 AM,11:04:00 AM,11:25:00 AM,11:46:00 AM,12:07:00 PM,12:28:00 PM,12:49:00 PM,1:10:00 PM,1:31:00 PM,1:52:00 PM,2:13:00 PM,2:34:00 PM,2:55:00 PM,3:16:00 PM,3:37:00 PM,3:58:00 PM,4:19:00 PM,4:40:00 PM,5:01:00 PM,5:22:00 PM,5:43:00 PM,6:04:00 PM,6:25:00 PM,6:46:00 PM,7:07:00 PM,7:28:00 PM,7:48:00 PM,8:09:00 PM,8:30:00 PM,8:51:00 PM,9:12:00 PM
RENFORTH DR at EGLINTON AVE,7:36:00 AM,7:57:00 AM,8:18:00 AM,8:39:00 AM,9:00:00 AM,9:21:00 AM,9:41:00 AM,10:02:00 AM,10:24:00 AM,10:45:00 AM,11:06:00 AM,11:27:00 AM,11:48:00 AM,12:09:00 PM,12:30:00 PM,12:51:00 PM,1:12:00 PM,1:33:00 PM,1:54:00 PM,2:15:00 PM,2:36:00 PM,2:57:00 PM,3:18:00 PM,3:39:00 PM,4:00:00 PM,4:21:00 PM,4:42:00 PM,5:03:00 PM,5:24:00 PM,5:45:00 PM,6:06:00 PM,6:27:00 PM,6:48:00 PM,7:09:00 PM,7:30:00 PM,7:50:00 PM,8:11:00 PM,8:32:00 PM,8:53:00 PM,9:14:00 PM
CARLINGVIEW DR at DIXON RD,7:41:00 AM,8:02:00 AM,8:23:00 AM,8:44:00 AM,9:05:00 AM,9:26:00 AM,9:46:00 AM,10:07:00 AM,10:29:00 AM,10:50:00 AM,11:11:00 AM,11:32:00 AM,11:53:00 AM,12:14:00 PM,12:35:00 PM,12:56:00 PM,1:17:00 PM,1:38:00 PM,1:59:00 PM,2:20:00 PM,2:41:00 PM,3:02:00 PM,3:23:00 PM,3:44:00 PM,4:05:00 PM,4:26:00 PM,4:47:00 PM,5:08:00 PM,5:29:00 PM,5:50:00 PM,6:11:00 PM,6:32:00 PM,6:53:00 PM,7:14:00 PM,7:35:00 PM,7:55:00 PM,8:16:00 PM,8:37:00 PM,8:58:00 PM,9:19:00 PM
AIRPORT MONORAIL LINK STATION,7:45:00 AM,8:06:00 AM,8:27:00 AM,8:48:00 AM,9:09:00 AM,9:30:00 AM,9:50:00 AM,10:11:00 AM,10:33:00 AM,10:54:00 AM,11:15:00 AM,11:36:00 AM,11:57:00 AM,12:18:00 PM,12:39:00 PM,1:00:00 PM,1:21:00 PM,1:42:00 PM,2:03:00 PM,2:24:00 PM,2:45:00 PM,3:06:00 PM,3:27:00 PM,3:48:00 PM,4:09:00 PM,4:30:00 PM,4:51:00 PM,5:12:00 PM,5:33:00 PM,5:54:00 PM,6:15:00 PM,6:36:00 PM,6:57:00 PM,7:18:00 PM,7:38:00 PM,7:58:00 PM,8:19:00 PM,8:40:00 PM,9:01:00 PM,9:22:00 PM
NORTHWEST DR at AMERICAN DR,7:49:00 AM,8:10:00 AM,8:31:00 AM,8:52:00 AM,9:13:00 AM,9:34:00 AM,9:54:00 AM,10:15:00 AM,10:37:00 AM,10:58:00 AM,11:19:00 AM,11:40:00 AM,12:01:00 PM,12:22:00 PM,12:43:00 PM,1:04:00 PM,1:25:00 PM,1:46:00 PM,2:07:00 PM,2:28:00 PM,2:49:00 PM,3:10:00 PM,3:31:00 PM,3:52:00 PM,4:13:00 PM,4:34:00 PM,4:55:00 PM,5:16:00 PM,5:37:00 PM,5:58:00 PM,6:19:00 PM,6:40:00 PM,7:01:00 PM,7:22:00 PM,7:41:00 PM,8:01:00 PM,8:22:00 PM,8:43:00 PM,9:04:00 PM,9:25:00 PM
WESTWOOD MALL BUS TERMINAL PLATFORM G,7:56:00 AM,8:17:00 AM,8:38:00 AM,8:59:00 AM,9:20:00 AM,9:41:00 AM,10:01:00 AM,10:22:00 AM,10:44:00 AM,11:05:00 AM,11:26:00 AM,11:47:00 AM,12:08:00 PM,12:29:00 PM,12:50:00 PM,1:11:00 PM,1:32:00 PM,1:53:00 PM,2:14:00 PM,2:35:00 PM,2:56:00 PM,3:17:00 PM,3:38:00 PM,3:59:00 PM,4:20:00 PM,4:41:00 PM,5:02:00 PM,5:23:00 PM,5:44:00 PM,6:05:00 PM,6:26:00 PM,6:47:00 PM,7:08:00 PM,7:29:00 PM,7:48:00 PM,8:08:00 PM,8:29:00 PM,8:50:00 PM,9:11:00 PM,9:32:00 PM
