WESTWOOD MALL BUS TERMINAL PLATFORM G,8:00:00 AM,8:21:00 AM,8:42:00 AM,9:03:00 AM,9:24:00 AM,9:46:00 AM,10:07:00 AM,10:28:00 AM,10:49:00 AM,11:10:00 AM,11:31:00 AM,11:52:00 AM,12:13:00 PM,12:34:00 PM,12:55:00 PM,1:16:00 PM,1:37:00 PM,1:58:00 PM,2:19:00 PM,2:40:00 PM,3:01:00 PM,3:22:00 PM,3:43:00 PM,4:04:00 PM,4:25:00 PM,4:46:00 PM,5:07:00 PM,5:28:00 PM,5:49:00 PM,6:10:00 PM,6:31:00 PM,6:52:00 PM,7:13:00 PM,7:33:00 PM,7:54:00 PM,8:15:00 PM,8:36:00 PM,8:57:00 PM,9:18:00 PM,9:39:00 PM
NORTHWEST DR at AMERICAN DR,8:09:00 AM,8:30:00 AM,8:51:00 AM,9:12:00 AM,9:33:00 AM,9:54:00 AM,10:15:00 AM,10:36:00 AM,10:57:00 AM,11:18:00 AM,11:39:00 AM,12:00:00 PM,12:21:00 PM,12:42:00 PM,1:03:00 PM,1:24:00 PM,1:45:00 PM,2:06:00 PM,2:27:00 PM,2:48:00 PM,3:09:00 PM,3:30:00 PM,3:51:00 PM,4:12:00 PM,4:33:00 PM,4:54:00 PM,5:15:00 PM,5:36:00 PM,5:57:00 PM,6:18:00 PM,6:39:00 PM,7:00:00 PM,7:21:00 PM,7:41:00 PM,8:02:00 PM,8:23:00 PM,8:44:00 PM,9:05:00 PM,9:26:00 PM,9:47:00 PM
AIRPORT MONORAIL LINK STATION,8:12:00 AM,8:33:00 AM,8:54:00 AM,9:15:00 AM,9:36:00 AM,9:57:00 AM,10:18:00 AM,10:39:00 AM,11:00:00 AM,11:21:00 AM,11:42:00 AM,12:03:00 PM,12:24:00 PM,12:45:00 PM,1:06:00 PM,1:27:00 PM,1:48:00 PM,2:09:00 PM,2:30:00 PM,2:51:00 PM,3:12:00 PM,3:33:00 PM,3:54:00 PM,4:15:00 PM,4:36:00 PM,4:57:00 PM,5:18:00 PM,5:39:00 PM,6:00:00 PM,6:21:00 PM,6:42:00 PM,7:03:00 PM,7:24:00 PM,7:44:00 PM,8:05:00 PM,8:26:00 PM,8:47:00 PM,9:08:00 PM,9:29:00 PM,9:50:00 PM
CARLINGVIEW DR at DIXON RD,8:15:00 AM,8:36:00 AM,8:57:00 AM,9:18:00 AM,9:39:00 AM,10:00:00 AM,10:21:00 AM,10:42:00 AM,11:03:00 AM,11:24:00 AM,11:45:00 AM,12:06:00 PM,12:27:00 PM,12:48:00 PM,1:09:00 PM,1:30:00 PM,1:51:00 PM,2:12:00 PM,2:33:00 PM,2:54:00 PM,3:15:00 PM,3:36:00 PM,3:57:00 PM,4:18:00 PM,4:39:00 PM,5:00:00 PM,5:21:00 PM,5:42:00 PM,6:03:00 PM,6:24:00 PM,6:45:00 PM,7:06:00 PM,7:27:00 PM,7:47:00 PM,8:08:00 PM,8:29:00 PM,8:50:00 PM,9:11:00 PM,9:32:00 PM,9:53:00 PM
SKYMARK HUB,8:20:00 AM,8:41:00 AM,9:02:00 AM,9:23:00 AM,9:45:00 AM,10:06:00 AM,10:27:00 AM,10:48:00 AM,11:09:00 AM,11:30:00 AM,11:51:00 AM,12:12:00 PM,12:33:00 PM,12:54:00 PM,1:15:00 PM,1:36:00 PM,1:57:00 PM,2:18:00 PM,2:39:00 PM,3:00:00 PM,3:21:00 PM,3:42:00 PM,4:03:00 PM,4:24:00 PM,4:45:00 PM,5:06:00 PM,5:27:00 PM,5:48:00 PM,6:09:00 PM,6:30:00 PM,6:51:00 PM,7:12:00 PM,7:33:00 PM,7:52:00 PM,8:13:00 PM,8:34:00 PM,8:55:00 PM,9:16:00 PM,9:37:00 PM,9:58:00 PM
MATHESON BLVD FIRST STOP west of ORBITOR DR,8:22:00 AM,8:43:00 AM,9:04:00 AM,9:25:00 AM,9:47:00 AM,10:08:00 AM,10:29:00 AM,10:50:00 AM,11:11:00 AM,11:32:00 AM,11:53:00 AM,12:14:00 PM,12:35:00 PM,12:56:00 PM,1:17:00 PM,1:38:00 PM,1:59:00 PM,2:20:00 PM,2:41:00 PM,3:02:00 PM,3:23:00 PM,3:44:00 PM,4:05:00 PM,4:26:00 PM,4:47:00 PM,5:08:00 PM,5:29:00 PM,5:50:00 PM,6:11:00 PM,6:32:00 PM,6:53:00 PM,7:14:00 PM,7:35:00 PM,7:54:00 PM,8:15:00 PM,8:36:00 PM,8:57:00 PM,9:18:00 PM,9:39:00 PM,10:00:00 PM
CREEKBANK RD at EGLINTON AVE,8:25:00 AM,8:46:00 AM,9:07:00 AM,9:28:00 AM,9:51:00 AM,10:12:00 AM,10:33:00 AM,10:54:00 AM,11:15:00 AM,11:36:00 AM,11:57:00 AM,12:18:00 PM,12:39:00 PM,1:00:00 PM,1:21:00 PM,1:42:00 PM,2:03:00 PM,2:24:00 PM,2:45:00 PM,3:06:00 PM,3:27:00 PM,3:48:00 PM,4:09:00 PM,4:30:00 PM,4:51:00 PM,5:12:00 PM,5:33:00 PM,5:54:00 PM,6:15:00 PM,6:36:00 PM,6:57:00 PM,7:18:00 PM,7:38:00 PM,7:57:00 PM,8:18:00 PM,8:39:00 PM,9:00:00 PM,9:21:00 PM,9:42:00 PM,10:03:00 PM
DIXIE STATION WEST PLATFORM B,8:28:00 AM,8:49:00 AM,9:10:00 AM,9:31:00 AM,9:54:00 AM,10:15:00 AM,10:36:00 AM,10:57:00 AM,11:18:00 AM,11:39:00 AM,12:00:00 PM,12:21:00 PM,12:42:00 PM,1:03:00 PM,1:24:00 PM,1:45:00 PM,2:06:00 PM,2:27:00 PM,2:48:00 PM,3:09:00 PM,3:30:00 PM,3:51:00 PM,4:12:00 PM,4:33:00 PM,4:54:00 PM,5:15:00 PM,5:36:00 PM,5:57:00 PM,6:18:00 PM,6:39:00 PM,7:00:00 PM,7:21:00 PM,7:41:00 PM,8:00:00 PM,8:21:00 PM,8:42:00 PM,9:03:00 PM,9:24:00 PM,9:45:00 PM,10:06:00 PM
TOMKEN STATION WEST PLATFORM B,8:30:00 AM,8:51:00 AM,9:12:00 AM,9:33:00 AM,9:56:00 AM,10:17:00 AM,10:38:00 AM,10:59:00 AM,11:20:00 AM,11:41:00 AM,12:02:00 PM,12:23:00 PM,12:44:00 PM,1:05:00 PM,1:26:00 PM,1:47:00 PM,2:08:00 PM,2:29:00 PM,2:50:00 PM,3:11:00 PM,3:32:00 PM,3:53:00 PM,4:14:00 PM,4:35:00 PM,4:56:00 PM,5:17:00 PM,5:38:00 PM,5:59:00 PM,6:20:00 PM,6:41:00 PM,7:02:00 PM,7:23:00 PM,7:43:00 PM,8:02:00 PM,8:23:00 PM,8:44:00 PM,9:05:00 PM,9:26:00 PM,9:47:00 PM,10:08:00 PM
CAWTHRA STATION WEST PLATFORM B,8:31:00 AM,8:52:00 AM,9:13:00 AM,9:34:00 AM,9:57:00 AM,10:18:00 AM,10:39:00 AM,11:00:00 AM,11:21:00 AM,11:42:00 AM,12:03:00 PM,12:24:00 PM,12:45:00 PM,1:06:00 PM,1:27:00 PM,1:48:00 PM,2:09:00 PM,2:30:00 PM,2:51:00 PM,3:12:00 PM,3:33:00 PM,3:54:00 PM,4:15:00 PM,4:36:00 PM,4:57:00 PM,5:18:00 PM,5:39:00 PM,6:00:00 PM,6:21:00 PM,6:42:00 PM,7:03:00 PM,7:24:00 PM,7:44:00 PM,8:03:00 PM,8:24:00 PM,8:45:00 PM,9:06:00 PM,9:27:00 PM,9:48:00 PM,10:09:00 PM
