ISLINGTON SUBWAY BUS TERMINAL PLATFORM B,8:56:00 AM,9:17:00 AM,9:38:00 AM,9:59:00 AM,10:20:00 AM,10:41:00 AM,11:02:00 AM,11:23:00 AM,11:44:00 AM,12:05:00 PM,12:26:00 PM,12:47:00 PM,1:08:00 PM,1:29:00 PM,1:50:00 PM,2:11:00 PM,2:32:00 PM,2:53:00 PM,3:14:00 PM,3:35:00 PM,3:56:00 PM,4:17:00 PM,4:38:00 PM,4:59:00 PM,5:20:00 PM,5:41:00 PM,6:02:00 PM,6:23:00 PM,6:44:00 PM,7:05:00 PM,7:26:00 PM,7:47:00 PM,8:08:00 PM,8:29:00 PM,8:50:00 PM,9:11:00 PM,9:32:00 PM,9:53:00 PM
DUNDAS ST at BILLINGHAM RD,9:01:00 AM,9:22:00 AM,9:43:00 AM,10:04:00 AM,10:25:00 AM,10:46:00 AM,11:07:00 AM,11:28:00 AM,11:49:00 AM,12:10:00 PM,12:31:00 PM,12:52:00 PM,1:13:00 PM,1:34:00 PM,1:55:00 PM,2:16:00 PM,2:37:00 PM,2:58:00 PM,3:19:00 PM,3:40:00 PM,4:01:00 PM,4:22:00 PM,4:43:00 PM,5:04:00 PM,5:25:00 PM,5:46:00 PM,6:07:00 PM,6:28:00 PM,6:49:00 PM,7:10:00 PM,7:31:00 PM,7:52:00 PM,8:13:00 PM,8:34:00 PM,8:55:00 PM,9:16:00 PM,9:37:00 PM,9:58:00 PM
SKYMARK HUB,9:10:00 AM,9:31:00 AM,9:52:00 AM,10:13:00 AM,10:34:00 AM,10:55:00 AM,11:16:00 AM,11:37:00 AM,11:58:00 AM,12:19:00 PM,12:40:00 PM,1:01:00 PM,1:22:00 PM,1:43:00 PM,2:04:00 PM,2:25:00 PM,2:46:00 PM,3:07:00 PM,3:28:00 PM,3:49:00 PM,4:10:00 PM,4:31:00 PM,4:52:00 PM,5:13:00 PM,5:34:00 PM,5:55:00 PM,6:16:00 PM,6:37:00 PM,6:58:00 PM,7:19:00 PM,7:40:00 PM,8:01:00 PM,8:22:00 PM,8:43:00 PM,9:04:00 PM,9:25:00 PM,9:46:00 PM,10:07:00 PM
ORBITOR DR at EGLINTON AVE,9:12:00 AM,9:33:00 AM,9:54:00 AM,10:15:00 AM,10:36:00 AM,10:57:00 AM,11:18:00 AM,11:39:00 AM,12:00:00 PM,12:21:00 PM,12:42:00 PM,1:03:00 PM,1:24:00 PM,1:45:00 PM,2:06:00 PM,2:27:00 PM,2:48:00 PM,3:09:00 PM,3:30:00 PM,3:51:00 PM,4:12:00 PM,4:33:00 PM,4:54:00 PM,5:15:00 PM,5:36:00 PM,5:57:00 PM,6:18:00 PM,6:39:00 PM,7:00:00 PM,7:21:00 PM,7:42:00 PM,8:03:00 PM,8:24:00 PM,8:45:00 PM,9:06:00 PM,9:27:00 PM,9:48:00 PM,10:09:00 PM
DIXIE STATION WEST PLATFORM B,9:19:00 AM,9:40:00 AM,10:01:00 AM,10:22:00 AM,10:43:00 AM,11:04:00 AM,11:25:00 AM,11:46:00 AM,12:07:00 PM,12:28:00 PM,12:49:00 PM,1:10:00 PM,1:31:00 PM,1:52:00 PM,2:13:00 PM,2:34:00 PM,2:55:00 PM,3:16:00 PM,3:37:00 PM,3:58:00 PM,4:19:00 PM,4:40:00 PM,5:01:00 PM,5:22:00 PM,5:43:00 PM,6:04:00 PM,6:25:00 PM,6:46:00 PM,7:07:00 PM,7:28:00 PM,7:49:00 PM,8:10:00 PM,8:31:00 PM,8:52:00 PM,9:13:00 PM,9:34:00 PM,9:55:00 PM,10:16:00 PM
TOMKEN STATION WEST PLATFORM B,9:21:00 AM,9:42:00 AM,10:03:00 AM,10:24:00 AM,10:45:00 AM,11:06:00 AM,11:27:00 AM,11:48:00 AM,12:09:00 PM,12:30:00 PM,12:51:00 PM,1:12:00 PM,1:33:00 PM,1:54:00 PM,2:15:00 PM,2:36:00 PM,2:57:00 PM,3:18:00 PM,3:39:00 PM,4:00:00 PM,4:21:00 PM,4:42:00 PM,5:03:00 PM,5:24:00 PM,5:45:00 PM,6:06:00 PM,6:27:00 PM,6:48:00 PM,7:09:00 PM,7:30:00 PM,7:51:00 PM,8:12:00 PM,8:33:00 PM,8:54:00 PM,9:15:00 PM,9:36:00 PM,9:57:00 PM,10:18:00 PM
CAWTHRA STATION WEST PLATFORM B,9:22:00 AM,9:43:00 AM,10:04:00 AM,10:25:00 AM,10:46:00 AM,11:07:00 AM,11:28:00 AM,11:49:00 AM,12:10:00 PM,12:31:00 PM,12:52:00 PM,1:13:00 PM,1:34:00 PM,1:55:00 PM,2:16:00 PM,2:37:00 PM,2:58:00 PM,3:19:00 PM,3:40:00 PM,4:01:00 PM,4:22:00 PM,4:43:00 PM,5:04:00 PM,5:25:00 PM,5:46:00 PM,6:07:00 PM,6:28:00 PM,6:49:00 PM,7:10:00 PM,7:31:00 PM,7:52:00 PM,8:13:00 PM,8:34:00 PM,8:55:00 PM,9:16:00 PM,9:37:00 PM,9:58:00 PM,10:19:00 PM
CENTRAL PARKWAY STATION WEST PLATFORM B,9:23:00 AM,9:44:00 AM,10:05:00 AM,10:26:00 AM,10:47:00 AM,11:08:00 AM,11:29:00 AM,11:50:00 AM,12:11:00 PM,12:32:00 PM,12:53:00 PM,1:14:00 PM,1:35:00 PM,1:56:00 PM,2:17:00 PM,2:38:00 PM,2:59:00 PM,3:20:00 PM,3:41:00 PM,4:02:00 PM,4:23:00 PM,4:44:00 PM,5:05:00 PM,5:26:00 PM,5:47:00 PM,6:08:00 PM,6:29:00 PM,6:50:00 PM,7:11:00 PM,7:32:00 PM,7:53:00 PM,8:14:00 PM,8:35:00 PM,8:56:00 PM,9:17:00 PM,9:38:00 PM,9:59:00 PM,10:20:00 PM
CITY CENTRE BUS TERMINAL PLATFORM O,9:26:00 AM,9:47:00 AM,10:08:00 AM,10:29:00 AM,10:50:00 AM,11:11:00 AM,11:32:00 AM,11:53:00 AM,12:14:00 PM,12:35:00 PM,12:56:00 PM,1:17:00 PM,1:38:00 PM,1:59:00 PM,2:20:00 PM,2:41:00 PM,3:02:00 PM,3:23:00 PM,3:44:00 PM,4:05:00 PM,4:26:00 PM,4:47:00 PM,5:08:00 PM,5:29:00 PM,5:50:00 PM,6:11:00 PM,6:32:00 PM,6:53:00 PM,7:14:00 PM,7:35:00 PM,7:56:00 PM,8:17:00 PM,8:38:00 PM,8:59:00 PM,9:20:00 PM,9:41:00 PM,10:02:00 PM,10:23:00 PM
ERIN MILLS PKY north of CREDIT VALLEY RD,9:36:00 AM,9:57:00 AM,10:18:00 AM,10:39:00 AM,11:00:00 AM,11:21:00 AM,11:42:00 AM,12:03:00 PM,12:24:00 PM,12:45:00 PM,1:06:00 PM,1:27:00 PM,1:48:00 PM,2:09:00 PM,2:30:00 PM,2:51:00 PM,3:12:00 PM,3:33:00 PM,3:54:00 PM,4:15:00 PM,4:36:00 PM,4:57:00 PM,5:18:00 PM,5:39:00 PM,6:00:00 PM,6:21:00 PM,6:42:00 PM,7:03:00 PM,7:24:00 PM,7:45:00 PM,8:06:00 PM,8:27:00 PM,8:48:00 PM,9:09:00 PM,9:30:00 PM,9:51:00 PM,10:12:00 PM,10:33:00 PM
