MEADOWVALE TOWN CENTRE BUS TERMINAL PLATFORM J,7:49:00 AM,8:10:00 AM,8:31:00 AM,8:52:00 AM,9:13:00 AM,9:34:00 AM,9:55:00 AM,10:16:00 AM,10:37:00 AM,10:58:00 AM,11:19:00 AM,11:40:00 AM,12:01:00 PM,12:22:00 PM,12:43:00 PM,1:04:00 PM,1:25:00 PM,1:46:00 PM,2:07:00 PM,2:28:00 PM,2:49:00 PM,3:10:00 PM,3:31:00 PM,3:52:00 PM,4:13:00 PM,4:34:00 PM,4:55:00 PM,5:16:00 PM,5:37:00 PM,5:58:00 PM,6:19:00 PM,6:40:00 PM,7:01:00 PM,7:22:00 PM,7:43:00 PM,8:04:00 PM,8:25:00 PM,8:46:00 PM
WINSTON CHURCHILL BLVD at BRITANNIA RD,7:54:00 AM,8:15:00 AM,8:36:00 AM,8:57:00 AM,9:18:00 AM,9:39:00 AM,10:00:00 AM,10:21:00 AM,10:42:00 AM,11:03:00 AM,11:24:00 AM,11:45:00 AM,12:06:00 PM,12:27:00 PM,12:48:00 PM,1:09:00 PM,1:30:00 PM,1:51:00 PM,2:12:00 PM,2:33:00 PM,2:54:00 PM,3:15:00 PM,3:36:00 PM,3:57:00 PM,4:18:00 PM,4:39:00 PM,5:00:00 PM,5:21:00 PM,5:42:00 PM,6:03:00 PM,6:24:00 PM,6:45:00 PM,7:06:00 PM,7:27:00 PM,7:48:00 PM,8:09:00 PM,8:30:00 PM,8:51:00 PM
ERIN CENTRE BLVD east of WINSTON CHURCHILL BLVD,7:59:00 AM,8:20:00 AM,8:41:00 AM,9:02:00 AM,9:23:00 AM,9:44:00 AM,10:05:00 AM,10:26:00 AM,10:47:00 AM,11:08:00 AM,11:29:00 AM,11:50:00 AM,12:11:00 PM,12:32:00 PM,12:53:00 PM,1:14:00 PM,1:35:00 PM,1:56:00 PM,2:17:00 PM,2:38:00 PM,2:59:00 PM,3:20:00 PM,3:41:00 PM,4:02:00 PM,4:23:00 PM,4:44:00 PM,5:05:00 PM,5:26:00 PM,5:47:00 PM,6:08:00 PM,6:29:00 PM,6:50:00 PM,7:11:00 PM,7:32:00 PM,7:53:00 PM,8:14:00 PM,8:35:00 PM,8:56:00 PM
ERIN MILLS PKY south of EGLINTON AVE,8:04:00 AM,8:25:00 AM,8:46:00 AM,9:07:00 AM,9:28:00 AM,9:49:00 AM,10:10:00 AM,10:31:00 AM,10:52:00 AM,11:13:00 AM,11:34:00 AM,11:55:00 AM,12:16:00 PM,12:37:00 PM,12:58:00 PM,1:19:00 PM,1:40:00 PM,2:01:00 PM,2:22:00 PM,2:43:00 PM,3:04:00 PM,3:25:00 PM,3:46:00 PM,4:07:00 PM,4:28:00 PM,4:49:00 PM,5:10:00 PM,5:31:00 PM,5:52:00 PM,6:13:00 PM,6:34:00 PM,6:55:00 PM,7:16:00 PM,7:37:00 PM,7:58:00 PM,8:19:00 PM,8:40:00 PM,9:01:00 PM
CITY CENTRE BUS TERMINAL PLATFORM A,8:14:00 AM,8:35:00 AM,8:56:00 AM,9:17:00 AM,9:38:00 AM,9:59:00 AM,10:20:00 AM,10:41:00 AM,11:02:00 AM,11:23:00 AM,11:44:00 AM,12:05:00 PM,12:26:00 PM,12:47:00 PM,1:08:00 PM,1:29:00 PM,1:50:00 PM,2:11:00 PM,2:32:00 PM,2:53:00 PM,3:14:00 PM,3:35:00 PM,3:56:00 PM,4:17:00 PM,4:38:00 PM,4:59:00 PM,5:20:00 PM,5:41:00 PM,6:02:00 PM,6:23:00 PM,6:44:00 PM,7:05:00 PM,7:26:00 PM,7:47:00 PM,8:08:00 PM,8:29:00 PM,8:50:00 PM,9:11:00 PM
CENTRAL PARKWAY STATION EAST PLATFORM A,8:16:00 AM,8:37:00 AM,8:58:00 AM,9:19:00 AM,9:40:00 AM,10:01:00 AM,10:22:00 AM,10:43:00 AM,11:04:00 AM,11:25:00 AM,11:46:00 AM,12:07:00 PM,12:28:00 PM,12:49:00 PM,1:10:00 PM,1:31:00 PM,1:52:00 PM,2:13:00 PM,2:34:00 PM,2:55:00 PM,3:16:00 PM,3:37:00 PM,3:58:00 PM,4:19:00 PM,4:40:00 PM,5:01:00 PM,5:22:00 PM,5:43:00 PM,6:04:00 PM,6:25:00 PM,6:46:00 PM,7:07:00 PM,7:28:00 PM,7:49:00 PM,8:10:00 PM,8:31:00 PM,8:52:00 PM,9:13:00 PM
CAWTHRA STATION EAST PLATFORM A,8:17:00 AM,8:38:00 AM,8:59:00 AM,9:20:00 AM,9:41:00 AM,10:02:00 AM,10:23:00 AM,10:44:00 AM,11:05:00 AM,11:26:00 AM,11:47:00 AM,12:08:00 PM,12:29:00 PM,12:50:00 PM,1:11:00 PM,1:32:00 PM,1:53:00 PM,2:14:00 PM,2:35:00 PM,2:56:00 PM,3:17:00 PM,3:38:00 PM,3:59:00 PM,4:20:00 PM,4:41:00 PM,5:02:00 PM,5:23:00 PM,5:44:00 PM,6:05:00 PM,6:26:00 PM,6:47:00 PM,7:08:00 PM,7:29:00 PM,7:50:00 PM,8:11:00 PM,8:32:00 PM,8:53:00 PM,9:14:00 PM
TOMKEN STATION EAST PLATFORM A,8:18:00 AM,8:39:00 AM,9:00:00 AM,9:21:00 AM,9:42:00 AM,10:03:00 AM,10:24:00 AM,10:45:00 AM,11:06:00 AM,11:27:00 AM,11:48:00 AM,12:09:00 PM,12:30:00 PM,12:51:00 PM,1:12:00 PM,1:33:00 PM,1:54:00 PM,2:15:00 PM,2:36:00 PM,2:57:00 PM,3:18:00 PM,3:39:00 PM,4:00:00 PM,4:21:00 PM,4:42:00 PM,5:03:00 PM,5:24:00 PM,5:45:00 PM,6:06:00 PM,6:27:00 PM,6:48:00 PM,7:09:00 PM,7:30:00 PM,7:51:00 PM,8:12:00 PM,8:33:00 PM,8:54:00 PM,9:15:00 PM
DIXIE STATION EAST PLATFORM A,8:20:00 AM,8:41:00 AM,9:02:00 AM,9:23:00 AM,9:44:00 AM,10:05:00 AM,10:26:00 AM,10:47:00 AM,11:08:00 AM,11:29:00 AM,11:50:00 AM,12:11:00 PM,12:32:00 PM,12:53:00 PM,1:14:00 PM,1:35:00 PM,1:56:00 PM,2:17:00 PM,2:38:00 PM,2:59:00 PM,3:20:00 PM,3:41:00 PM,4:02:00 PM,4:23:00 PM,4:44:00 PM,5:05:00 PM,5:26:00 PM,5:47:00 PM,6:08:00 PM,6:29:00 PM,6:50:00 PM,7:11:00 PM,7:32:00 PM,7:53:00 PM,8:14:00 PM,8:35:00 PM,8:56:00 PM,9:17:00 PM
ORBITOR DR at SKYMARK AVE[b],8:27:00 AM,8:48:00 AM,9:09:00 AM,9:30:00 AM,9:51:00 AM,10:12:00 AM,10:33:00 AM,10:54:00 AM,11:15:00 AM,11:36:00 AM,11:57:00 AM,12:18:00 PM,12:39:00 PM,1:00:00 PM,1:21:00 PM,1:42:00 PM,2:03:00 PM,2:24:00 PM,2:45:00 PM,3:06:00 PM,3:27:00 PM,3:48:00 PM,4:09:00 PM,4:30:00 PM,4:51:00 PM,5:12:00 PM,5:33:00 PM,5:54:00 PM,6:15:00 PM,6:36:00 PM,6:57:00 PM,7:18:00 PM,7:39:00 PM,8:00:00 PM,8:21:00 PM,8:42:00 PM,9:03:00 PM,9:24:00 PM
