CITY CENTRE BUS TERMINAL PLATFORM H,6:56:00 AM,7:24:00 AM,7:52:00 AM,8:20:00 AM,8:48:00 AM,9:16:00 AM,9:44:00 AM,10:12:00 AM,10:40:00 AM,11:08:00 AM,11:36:00 AM,12:04:00 PM,12:32:00 PM,1:00:00 PM,1:28:00 PM,1:56:00 PM,2:24:00 PM,2:52:00 PM,3:20:00 PM,3:46:00 PM,4:16:00 PM,4:44:00 PM,5:12:00 PM,5:40:00 PM,6:08:00 PM,6:36:00 PM,7:04:00 PM,7:32:00 PM,8:00:00 PM,8:28:00 PM,8:56:00 PM,9:24:00 PM,9:52:00 PM
HURONTARIO ST at EGLINTON AVE E,7:01:00 AM,7:29:00 AM,7:58:00 AM,8:26:00 AM,8:54:00 AM,9:22:00 AM,9:51:00 AM,10:19:00 AM,10:47:00 AM,11:15:00 AM,11:43:00 AM,12:11:00 PM,12:39:00 PM,1:07:00 PM,1:35:00 PM,2:03:00 PM,2:31:00 PM,3:00:00 PM,3:28:00 PM,3:54:00 PM,4:24:00 PM,4:52:00 PM,5:20:00 PM,5:48:00 PM,6:16:00 PM,6:43:00 PM,7:11:00 PM,7:39:00 PM,8:07:00 PM,8:35:00 PM,9:03:00 PM,9:31:00 PM,9:59:00 PM
BRISTOL RD W at HURONTARIO ST,7:04:00 AM,7:32:00 AM,8:01:00 AM,8:29:00 AM,8:57:00 AM,9:25:00 AM,9:54:00 AM,10:22:00 AM,10:50:00 AM,11:18:00 AM,11:46:00 AM,12:15:00 PM,12:43:00 PM,1:11:00 PM,1:39:00 PM,2:07:00 PM,2:35:00 PM,3:04:00 PM,3:32:00 PM,3:58:00 PM,4:28:00 PM,4:55:00 PM,5:23:00 PM,5:51:00 PM,6:19:00 PM,6:46:00 PM,7:14:00 PM,7:42:00 PM,8:10:00 PM,8:38:00 PM,9:06:00 PM,9:34:00 PM,10:02:00 PM
BRISTOL RD W at MCLAUGHLIN RD,7:07:00 AM,7:35:00 AM,8:04:00 AM,8:32:00 AM,9:00:00 AM,9:28:00 AM,9:57:00 AM,10:25:00 AM,10:53:00 AM,11:21:00 AM,11:49:00 AM,12:18:00 PM,12:46:00 PM,1:14:00 PM,1:42:00 PM,2:10:00 PM,2:38:00 PM,3:07:00 PM,3:35:00 PM,4:01:00 PM,4:31:00 PM,4:58:00 PM,5:26:00 PM,5:54:00 PM,6:22:00 PM,6:49:00 PM,7:17:00 PM,7:45:00 PM,8:13:00 PM,8:41:00 PM,9:09:00 PM,9:37:00 PM,10:05:00 PM
BRISTOL RD W at MAVIS RD,7:09:00 AM,7:38:00 AM,8:07:00 AM,8:35:00 AM,9:03:00 AM,9:31:00 AM,10:00:00 AM,10:28:00 AM,10:56:00 AM,11:24:00 AM,11:52:00 AM,12:21:00 PM,12:49:00 PM,1:17:00 PM,1:45:00 PM,2:13:00 PM,2:41:00 PM,3:10:00 PM,3:38:00 PM,4:04:00 PM,4:34:00 PM,5:01:00 PM,5:29:00 PM,5:57:00 PM,6:25:00 PM,6:52:00 PM,7:20:00 PM,7:48:00 PM,8:16:00 PM,8:44:00 PM,9:12:00 PM,9:40:00 PM,10:08:00 PM
BRISTOL RD W at CREDITVIEW RD,7:13:00 AM,7:42:00 AM,8:11:00 AM,8:39:00 AM,9:07:00 AM,9:36:00 AM,10:05:00 AM,10:33:00 AM,11:01:00 AM,11:29:00 AM,11:57:00 AM,12:26:00 PM,12:54:00 PM,1:22:00 PM,1:50:00 PM,2:18:00 PM,2:46:00 PM,3:15:00 PM,3:43:00 PM,4:09:00 PM,4:39:00 PM,5:06:00 PM,5:34:00 PM,6:02:00 PM,6:30:00 PM,6:57:00 PM,7:25:00 PM,7:53:00 PM,8:21:00 PM,8:49:00 PM,9:17:00 PM,9:45:00 PM,10:13:00 PM
BRISTOL RD W at BATHGATE RD,7:13:00 AM,7:42:00 AM,8:11:00 AM,8:39:00 AM,9:07:00 AM,9:37:00 AM,10:06:00 AM,10:34:00 AM,11:02:00 AM,11:30:00 AM,11:58:00 AM,12:27:00 PM,12:55:00 PM,1:23:00 PM,1:51:00 PM,2:19:00 PM,2:47:00 PM,3:16:00 PM,3:44:00 PM,4:10:00 PM,4:40:00 PM,5:07:00 PM,5:35:00 PM,6:03:00 PM,6:31:00 PM,6:58:00 PM,7:26:00 PM,7:54:00 PM,8:22:00 PM,8:50:00 PM,9:18:00 PM,9:46:00 PM,10:14:00 PM
BRITANNIA RD at QUEEN ST N,7:20:00 AM,7:49:00 AM,8:18:00 AM,8:46:00 AM,9:14:00 AM,9:44:00 AM,10:13:00 AM,10:41:00 AM,11:09:00 AM,11:37:00 AM,12:05:00 PM,12:34:00 PM,1:02:00 PM,1:30:00 PM,1:58:00 PM,2:26:00 PM,2:54:00 PM,3:23:00 PM,3:51:00 PM,4:17:00 PM,4:47:00 PM,5:14:00 PM,5:42:00 PM,6:10:00 PM,6:38:00 PM,7:05:00 PM,7:33:00 PM,8:01:00 PM,8:29:00 PM,8:57:00 PM,9:25:00 PM,9:53:00 PM,10:21:00 PM
BRITANNIA RD at ERIN MILLS PKY,7:23:00 AM,7:52:00 AM,8:21:00 AM,8:49:00 AM,9:17:00 AM,9:47:00 AM,10:16:00 AM,10:44:00 AM,11:12:00 AM,11:40:00 AM,12:08:00 PM,12:37:00 PM,1:05:00 PM,1:33:00 PM,2:01:00 PM,2:29:00 PM,2:57:00 PM,3:26:00 PM,3:54:00 PM,4:20:00 PM,4:50:00 PM,5:17:00 PM,5:45:00 PM,6:13:00 PM,6:41:00 PM,7:08:00 PM,7:36:00 PM,8:04:00 PM,8:32:00 PM,9:00:00 PM,9:28:00 PM,9:56:00 PM,10:24:00 PM
BRITANNIA RD FIRST STOP west of ERIN MILLS PKY,7:23:00 AM,7:52:00 AM,8:21:00 AM,8:49:00 AM,9:17:00 AM,9:47:00 AM,10:16:00 AM,10:44:00 AM,11:12:00 AM,11:40:00 AM,12:08:00 PM,12:37:00 PM,1:05:00 PM,1:33:00 PM,2:01:00 PM,2:29:00 PM,2:57:00 PM,3:26:00 PM,3:54:00 PM,4:20:00 PM,4:50:00 PM,5:17:00 PM,5:45:00 PM,6:13:00 PM,6:41:00 PM,7:08:00 PM,7:36:00 PM,8:04:00 PM,8:32:00 PM,9:00:00 PM,9:28:00 PM,9:56:00 PM,10:24:00 PM
