MEADOWVALE TOWN CENTRE BUS TERMINAL PLATFORM I,6:55:00 AM,7:23:00 AM,7:51:00 AM,8:19:00 AM,8:47:00 AM,9:15:00 AM,9:43:00 AM,10:11:00 AM,10:39:00 AM,11:07:00 AM,11:35:00 AM,12:03:00 PM,12:31:00 PM,12:59:00 PM,1:27:00 PM,1:55:00 PM,2:23:00 PM,2:51:00 PM,3:19:00 PM,3:47:00 PM,4:15:00 PM,4:43:00 PM,5:11:00 PM,5:39:00 PM,6:07:00 PM,6:35:00 PM,7:03:00 PM,7:31:00 PM,7:59:00 PM,8:27:00 PM,8:55:00 PM
TRELAWNY CIR at BISHOP STRACHAN CRT,7:00:00 AM,7:28:00 AM,7:56:00 AM,8:24:00 AM,8:52:00 AM,9:20:00 AM,9:48:00 AM,10:16:00 AM,10:44:00 AM,11:12:00 AM,11:40:00 AM,12:08:00 PM,12:36:00 PM,1:04:00 PM,1:32:00 PM,2:00:00 PM,2:28:00 PM,2:56:00 PM,3:24:00 PM,3:52:00 PM,4:20:00 PM,4:48:00 PM,5:16:00 PM,5:44:00 PM,6:12:00 PM,6:40:00 PM,7:08:00 PM,7:36:00 PM,8:04:00 PM,8:32:00 PM,9:00:00 PM
OSPREY BLVD at GROSSBEAK DR,7:04:00 AM,7:32:00 AM,8:00:00 AM,8:28:00 AM,8:56:00 AM,9:24:00 AM,9:52:00 AM,10:20:00 AM,10:48:00 AM,11:16:00 AM,11:44:00 AM,12:13:00 PM,12:41:00 PM,1:09:00 PM,1:37:00 PM,2:05:00 PM,2:33:00 PM,3:01:00 PM,3:29:00 PM,3:57:00 PM,4:25:00 PM,4:53:00 PM,5:21:00 PM,5:49:00 PM,6:16:00 PM,6:44:00 PM,7:12:00 PM,7:40:00 PM,8:08:00 PM,8:36:00 PM,9:04:00 PM
GROSSBEAK DR at PRAIRIE CIRCLE (north leg),7:04:00 AM,7:32:00 AM,8:00:00 AM,8:28:00 AM,8:56:00 AM,9:24:00 AM,9:52:00 AM,10:20:00 AM,10:48:00 AM,11:16:00 AM,11:44:00 AM,12:13:00 PM,12:41:00 PM,1:09:00 PM,1:37:00 PM,2:05:00 PM,2:33:00 PM,3:01:00 PM,3:29:00 PM,3:57:00 PM,4:25:00 PM,4:53:00 PM,5:21:00 PM,5:49:00 PM,6:16:00 PM,6:44:00 PM,7:12:00 PM,7:40:00 PM,8:08:00 PM,8:36:00 PM,9:04:00 PM
BRITANNIA RD at WINSTON CHURCHILL BLVD,7:09:00 AM,7:37:00 AM,8:05:00 AM,8:33:00 AM,9:01:00 AM,9:29:00 AM,9:57:00 AM,10:25:00 AM,10:53:00 AM,11:21:00 AM,11:49:00 AM,12:18:00 PM,12:46:00 PM,1:14:00 PM,1:42:00 PM,2:10:00 PM,2:38:00 PM,3:06:00 PM,3:34:00 PM,4:02:00 PM,4:30:00 PM,4:58:00 PM,5:26:00 PM,5:54:00 PM,6:21:00 PM,6:49:00 PM,7:17:00 PM,7:44:00 PM,8:12:00 PM,8:40:00 PM,9:08:00 PM
BRITANNIA RD at ERIN MILLS PKY,7:11:00 AM,7:39:00 AM,8:07:00 AM,8:36:00 AM,9:04:00 AM,9:32:00 AM,10:00:00 AM,10:28:00 AM,10:56:00 AM,11:24:00 AM,11:52:00 AM,12:21:00 PM,12:49:00 PM,1:17:00 PM,1:45:00 PM,2:13:00 PM,2:41:00 PM,3:09:00 PM,3:37:00 PM,4:05:00 PM,4:33:00 PM,5:01:00 PM,5:29:00 PM,5:57:00 PM,6:24:00 PM,6:51:00 PM,7:19:00 PM,7:46:00 PM,8:14:00 PM,8:42:00 PM,9:10:00 PM
BRITANNIA RD at BROOKSIDE DR,7:13:00 AM,7:41:00 AM,8:09:00 AM,8:38:00 AM,9:06:00 AM,9:34:00 AM,10:02:00 AM,10:30:00 AM,10:58:00 AM,11:26:00 AM,11:54:00 AM,12:23:00 PM,12:51:00 PM,1:19:00 PM,1:47:00 PM,2:15:00 PM,2:43:00 PM,3:11:00 PM,3:39:00 PM,4:07:00 PM,4:35:00 PM,5:03:00 PM,5:31:00 PM,5:59:00 PM,6:26:00 PM,6:53:00 PM,7:21:00 PM,7:48:00 PM,8:16:00 PM,8:44:00 PM,9:12:00 PM
BRITANNIA RD at ARCH RD,7:14:00 AM,7:42:00 AM,8:10:00 AM,8:39:00 AM,9:07:00 AM,9:35:00 AM,10:03:00 AM,10:31:00 AM,10:59:00 AM,11:27:00 AM,11:55:00 AM,12:24:00 PM,12:52:00 PM,1:20:00 PM,1:48:00 PM,2:16:00 PM,2:44:00 PM,3:12:00 PM,3:40:00 PM,4:08:00 PM,4:36:00 PM,5:04:00 PM,5:32:00 PM,6:00:00 PM,6:27:00 PM,6:54:00 PM,7:22:00 PM,7:49:00 PM,8:17:00 PM,8:45:00 PM,9:13:00 PM
BRISTOL RD W at CREDITVIEW RD,7:21:00 AM,7:49:00 AM,8:17:00 AM,8:46:00 AM,9:14:00 AM,9:42:00 AM,10:10:00 AM,10:38:00 AM,11:06:00 AM,11:34:00 AM,12:02:00 PM,12:31:00 PM,12:59:00 PM,1:27:00 PM,1:55:00 PM,2:23:00 PM,2:51:00 PM,3:19:00 PM,3:47:00 PM,4:15:00 PM,4:43:00 PM,5:11:00 PM,5:39:00 PM,6:07:00 PM,6:34:00 PM,7:01:00 PM,7:29:00 PM,7:55:00 PM,8:23:00 PM,8:51:00 PM,9:19:00 PM
BRISTOL RD W east of CREDITVIEW RD,7:21:00 AM,7:49:00 AM,8:17:00 AM,8:46:00 AM,9:14:00 AM,9:42:00 AM,10:10:00 AM,10:38:00 AM,11:06:00 AM,11:34:00 AM,12:02:00 PM,12:31:00 PM,12:59:00 PM,1:27:00 PM,1:55:00 PM,2:23:00 PM,2:51:00 PM,3:19:00 PM,3:47:00 PM,4:15:00 PM,4:43:00 PM,5:11:00 PM,5:39:00 PM,6:07:00 PM,6:34:00 PM,7:01:00 PM,7:29:00 PM,7:55:00 PM,8:23:00 PM,8:51:00 PM,9:19:00 PM
BRISTOL RD W at MAVIS RD,7:26:00 AM,7:54:00 AM,8:22:00 AM,8:51:00 AM,9:19:00 AM,9:47:00 AM,10:15:00 AM,10:43:00 AM,11:11:00 AM,11:39:00 AM,12:07:00 PM,12:36:00 PM,1:04:00 PM,1:32:00 PM,2:00:00 PM,2:28:00 PM,2:56:00 PM,3:24:00 PM,3:52:00 PM,4:20:00 PM,4:48:00 PM,5:16:00 PM,5:44:00 PM,6:12:00 PM,6:39:00 PM,7:06:00 PM,7:34:00 PM,8:00:00 PM,8:28:00 PM,8:56:00 PM,9:24:00 PM
BRISTOL RD W at MCLAUGHLIN RD,7:28:00 AM,7:56:00 AM,8:24:00 AM,8:53:00 AM,9:21:00 AM,9:49:00 AM,10:17:00 AM,10:45:00 AM,11:13:00 AM,11:41:00 AM,12:09:00 PM,12:38:00 PM,1:06:00 PM,1:34:00 PM,2:02:00 PM,2:30:00 PM,2:58:00 PM,3:26:00 PM,3:54:00 PM,4:22:00 PM,4:50:00 PM,5:18:00 PM,5:46:00 PM,6:14:00 PM,6:41:00 PM,7:08:00 PM,7:36:00 PM,8:02:00 PM,8:30:00 PM,8:58:00 PM,9:26:00 PM
BRISTOL RD W east of MCLAUGHLIN RD,7:28:00 AM,7:56:00 AM,8:24:00 AM,8:53:00 AM,9:21:00 AM,9:49:00 AM,10:17:00 AM,10:45:00 AM,11:13:00 AM,11:41:00 AM,12:09:00 PM,12:38:00 PM,1:06:00 PM,1:34:00 PM,2:02:00 PM,2:30:00 PM,2:58:00 PM,3:26:00 PM,3:54:00 PM,4:22:00 PM,4:50:00 PM,5:18:00 PM,5:46:00 PM,6:14:00 PM,6:41:00 PM,7:08:00 PM,7:36:00 PM,8:02:00 PM,8:30:00 PM,8:58:00 PM,9:26:00 PM
HURONTARIO ST at EGLINTON AVE,7:35:00 AM,8:03:00 AM,8:31:00 AM,9:00:00 AM,9:28:00 AM,9:56:00 AM,10:24:00 AM,10:52:00 AM,11:20:00 AM,11:48:00 AM,12:16:00 PM,12:45:00 PM,1:13:00 PM,1:41:00 PM,2:09:00 PM,2:37:00 PM,3:05:00 PM,3:33:00 PM,4:01:00 PM,4:29:00 PM,4:57:00 PM,5:25:00 PM,5:53:00 PM,6:21:00 PM,6:48:00 PM,7:15:00 PM,7:43:00 PM,8:09:00 PM,8:37:00 PM,9:05:00 PM,9:33:00 PM
CITY CENTRE BUS TERMINAL PLATFORM H,7:41:00 AM,8:09:00 AM,8:38:00 AM,9:07:00 AM,9:35:00 AM,10:03:00 AM,10:31:00 AM,10:59:00 AM,11:27:00 AM,11:55:00 AM,12:23:00 PM,12:52:00 PM,1:20:00 PM,1:48:00 PM,2:16:00 PM,2:44:00 PM,3:12:00 PM,3:40:00 PM,4:08:00 PM,4:36:00 PM,5:04:00 PM,5:32:00 PM,6:00:00 PM,6:28:00 PM,6:54:00 PM,7:21:00 PM,7:49:00 PM,8:15:00 PM,8:43:00 PM,9:11:00 PM,9:39:00 PM
