WESTWOOD MALL BUS TERMINAL PLATFORM J,6:31:00 AM,7:07 AM[b],7:43:00 AM,8:19 AM[b],8:55:00 AM,9:31 AM[b],10:07:00 AM,10:43 AM[b],11:19:00 AM,11:55 AM[b],12:31:00 PM,1:07 PM[b],1:43:00 PM,2:19 PM[b],2:55:00 PM,3:31 PM[b],4:07:00 PM,4:43 PM[b],5:19:00 PM,5:55 PM[b],6:31:00 PM,7:07 PM[b],7:43:00 PM,8:19 PM[b],8:55:00 PM,9:31 PM[b],10:07:00 PM,11:19:00 PM,12:31:00 AM
GOREWAY DR at ETUDE DR,6:33:00 AM,7:45:00 AM,8:57:00 AM,10:09:00 AM,11:21:00 AM,12:33:00 PM,1:45:00 PM,2:57:00 PM,4:09:00 PM,5:21:00 PM,6:33:00 PM,7:45:00 PM,8:57:00 PM,10:09:00 PM,11:21:00 PM,12:33:00 AM,,,,,,,,,,,,,
DERRY RD at REXWOOD RD,6:36:00 AM,7:48:00 AM,9:00:00 AM,10:12:00 AM,11:24:00 AM,12:36:00 PM,1:48:00 PM,3:00:00 PM,4:12:00 PM,5:24:00 PM,6:36:00 PM,7:48:00 PM,9:00:00 PM,10:12:00 PM,11:24:00 PM,12:36:00 AM,,,,,,,,,,,,,
MORNING STAR DR at BRANDON GATE DR,7:11 AM[b],8:23 AM[b],9:35 AM[b],10:47 AM[b],11:59 AM[b],1:11 PM[b],2:23 PM[b],3:35 PM[b],4:47 PM[b],5:59 PM[b],7:11 PM[b],8:23 PM[b],9:35 PM[b],,,,,,,,,,,,,,,,
DARCEL AVE at NETHERBRAE RD,7:14 AM[b],8:26 AM[b],9:38 AM[b],10:50 AM[b],12:02 PM[b],1:14 PM[b],2:26 PM[b],3:38 PM[b],4:50 PM[b],6:02 PM[b],7:14 PM[b],8:26 PM[b],9:38 PM[b],,,,,,,,,,,,,,,,
NETHERBRAE RD at DARCEL AVE,7:14 AM[b],8:26 AM[b],9:38 AM[b],10:50 AM[b],12:02 PM[b],1:14 PM[b],2:26 PM[b],3:38 PM[b],4:50 PM[b],6:02 PM[b],7:14 PM[b],8:26 PM[b],9:38 PM[b],,,,,,,,,,,,,,,,
REXDALE BLVD at 27 HWY,6:42:00 AM,7:20 AM[b],7:54:00 AM,8:32 AM[b],9:06:00 AM,9:44 AM[b],10:18:00 AM,10:56 AM[b],11:30:00 AM,12:08 PM[b],12:42:00 PM,1:20 PM[b],1:54:00 PM,2:32 PM[b],3:06:00 PM,3:44 PM[b],4:18:00 PM,4:56 PM[b],5:30:00 PM,6:08 PM[b],6:42:00 PM,7:20 PM[b],7:54:00 PM,8:32 PM[b],9:06:00 PM,9:44 PM[b],10:18:00 PM,11:30:00 PM,12:42:00 AM
DUNDAS ST at CLOVERDALE MALL,7:32 AM[b],8:44 AM[b],9:56 AM[b],11:08 AM[b],12:20 PM[b],1:32 PM[b],2:44 PM[b],3:56 PM[b],5:08 PM[b],6:20 PM[b],7:32 PM[b],8:44 PM[b],9:56 PM[b],,,,,,,,,,,,,,,,
DUNDAS ST at AUKLAND RD,7:37 AM[b],8:49 AM[b],10:01 AM[b],11:13 AM[b],12:25 PM[b],1:37 PM[b],2:49 PM[b],4:01 PM[b],5:13 PM[b],6:25 PM[b],7:37 PM[b],8:49 PM[b],10:01 PM[b],,,,,,,,,,,,,,,,
BURNHAMTHORPE RD at THE EAST MALL,6:52:00 AM,8:04:00 AM,9:16:00 AM,10:28:00 AM,11:40:00 AM,12:52:00 PM,2:04:00 PM,3:16:00 PM,4:28:00 PM,5:40:00 PM,6:52:00 PM,8:04:00 PM,9:16:00 PM,10:28:00 PM,11:40:00 PM,12:52:00 AM,,,,,,,,,,,,,
BURNHAMTHORPE RD at KIPLING AVE,6:57:00 AM,8:09:00 AM,9:21:00 AM,10:33:00 AM,11:45:00 AM,12:57:00 PM,2:09:00 PM,3:21:00 PM,4:33:00 PM,5:45:00 PM,6:57:00 PM,8:09:00 PM,9:21:00 PM,10:33:00 PM,11:45:00 PM,12:57:00 AM,,,,,,,,,,,,,
ISLINGTON SUBWAY DROP OFF,7:01:00 AM,7:42 AM[b],8:13:00 AM,8:54 AM[b],9:25:00 AM,10:06 AM[b],10:37:00 AM,11:18 AM[b],11:49:00 AM,12:30 PM[b],1:01:00 PM,1:42 PM[b],2:13:00 PM,2:54 PM[b],3:25:00 PM,4:06 PM[b],4:37:00 PM,5:18 PM[b],5:49:00 PM,6:30 PM[b],7:01:00 PM,7:42 PM[b],8:13:00 PM,8:54 PM[b],9:25:00 PM,10:06 PM[b],10:37:00 PM,11:49:00 PM,1:01:00 AM
ISLINGTON SUBWAY BUS TERMINAL PLATFORM E,7:02:00 AM,7:43 AM[b],8:14:00 AM,8:55 AM[b],9:26:00 AM,10:07 AM[b],10:38:00 AM,11:19 AM[b],11:50:00 AM,12:31 PM[b],1:02:00 PM,1:43 PM[b],2:14:00 PM,2:55 PM[b],3:26:00 PM,4:07 PM[b],4:38:00 PM,5:19 PM[b],5:50:00 PM,6:31 PM[b],7:02:00 PM,7:43 PM[b],8:14:00 PM,8:55 PM[b],9:26:00 PM,10:07 PM[b],10:38:00 PM,11:50:00 PM,1:02:00 AM
