MEADOWVALE TOWN CENTRE BUS TERMINAL PLATFORM F,5:34:00 AM,6:07:00 AM,6:40:00 AM,7:13:00 AM,7:46:00 AM,8:19:00 AM,8:52:00 AM,9:25:00 AM,9:58:00 AM,10:31:00 AM,11:04:00 AM,11:37:00 AM,12:10:00 PM,12:43:00 PM,1:16:00 PM,1:49:00 PM,2:22:00 PM,2:55:00 PM,3:28:00 PM,4:01:00 PM,4:34:00 PM,5:07:00 PM,5:40:00 PM,6:13:00 PM,6:46:00 PM,7:19:00 PM,7:52:00 PM,8:25:00 PM,8:58:00 PM,9:31:00 PM,10:04:00 PM,10:37:00 PM,11:10:00 PM,11:43:00 PM,12:16:00 AM
GLEN ERIN DR south of BATTLEFORD RD,5:37:00 AM,6:10:00 AM,6:43:00 AM,7:16:00 AM,7:49:00 AM,8:22:00 AM,8:55:00 AM,9:28:00 AM,10:01:00 AM,10:34:00 AM,11:07:00 AM,11:40:00 AM,12:13:00 PM,12:46:00 PM,1:19:00 PM,1:52:00 PM,2:25:00 PM,2:58:00 PM,3:31:00 PM,4:04:00 PM,4:37:00 PM,5:10:00 PM,5:43:00 PM,6:16:00 PM,6:49:00 PM,7:22:00 PM,7:55:00 PM,8:28:00 PM,9:01:00 PM,9:34:00 PM,10:07:00 PM,10:40:00 PM,11:13:00 PM,11:46:00 PM,12:19:00 AM
GLEN ERIN DR at BRITANNIA RD,5:43:00 AM,6:16:00 AM,6:49:00 AM,7:22:00 AM,7:55:00 AM,8:28:00 AM,9:01:00 AM,9:34:00 AM,10:07:00 AM,10:40:00 AM,11:13:00 AM,11:46:00 AM,12:19:00 PM,12:52:00 PM,1:25:00 PM,1:58:00 PM,2:31:00 PM,3:04:00 PM,3:37:00 PM,4:10:00 PM,4:43:00 PM,5:16:00 PM,5:49:00 PM,6:22:00 PM,6:55:00 PM,7:28:00 PM,8:01:00 PM,8:34:00 PM,9:07:00 PM,9:40:00 PM,10:13:00 PM,10:46:00 PM,11:19:00 PM,11:52:00 PM,12:25:00 AM
GLEN ERIN DR at THOMAS ST,5:46:00 AM,6:19:00 AM,6:52:00 AM,7:25:00 AM,7:58:00 AM,8:31:00 AM,9:04:00 AM,9:37:00 AM,10:10:00 AM,10:43:00 AM,11:16:00 AM,11:49:00 AM,12:22:00 PM,12:55:00 PM,1:28:00 PM,2:01:00 PM,2:34:00 PM,3:07:00 PM,3:40:00 PM,4:13:00 PM,4:46:00 PM,5:19:00 PM,5:52:00 PM,6:25:00 PM,6:58:00 PM,7:31:00 PM,8:04:00 PM,8:37:00 PM,9:10:00 PM,9:43:00 PM,10:16:00 PM,10:49:00 PM,11:22:00 PM,11:55:00 PM,12:28:00 AM
ERIN MILLS TOWN CENTRE BUS TERMINAL PLATFORM B,5:53:00 AM,6:26:00 AM,6:59:00 AM,7:32:00 AM,8:05:00 AM,8:38:00 AM,9:11:00 AM,9:44:00 AM,10:17:00 AM,10:50:00 AM,11:23:00 AM,11:56:00 AM,12:29:00 PM,1:02:00 PM,1:35:00 PM,2:08:00 PM,2:41:00 PM,3:14:00 PM,3:47:00 PM,4:20:00 PM,4:53:00 PM,5:26:00 PM,5:59:00 PM,6:32:00 PM,7:05:00 PM,7:38:00 PM,8:11:00 PM,8:44:00 PM,9:17:00 PM,9:50:00 PM,10:23:00 PM,10:56:00 PM,11:29:00 PM,12:02:00 AM,12:35:00 AM
GLEN ERIN DR at HAZELTON PLACE,5:56:00 AM,6:29:00 AM,7:02:00 AM,7:35:00 AM,8:08:00 AM,8:41:00 AM,9:14:00 AM,9:47:00 AM,10:20:00 AM,10:53:00 AM,11:26:00 AM,11:59:00 AM,12:32:00 PM,1:05:00 PM,1:38:00 PM,2:11:00 PM,2:44:00 PM,3:17:00 PM,3:50:00 PM,4:23:00 PM,4:56:00 PM,5:29:00 PM,6:02:00 PM,6:35:00 PM,7:08:00 PM,7:41:00 PM,8:14:00 PM,8:47:00 PM,9:20:00 PM,9:53:00 PM,10:26:00 PM,10:59:00 PM,11:32:00 PM,12:05:00 AM,12:38:00 AM
GLEN ERIN DR at EGLINTON AVE,5:56:00 AM,6:29:00 AM,7:02:00 AM,7:35:00 AM,8:08:00 AM,8:41:00 AM,9:14:00 AM,9:47:00 AM,10:20:00 AM,10:53:00 AM,11:26:00 AM,11:59:00 AM,12:32:00 PM,1:05:00 PM,1:38:00 PM,2:11:00 PM,2:44:00 PM,3:17:00 PM,3:50:00 PM,4:23:00 PM,4:56:00 PM,5:29:00 PM,6:02:00 PM,6:35:00 PM,7:08:00 PM,7:41:00 PM,8:14:00 PM,8:47:00 PM,9:20:00 PM,9:53:00 PM,10:26:00 PM,10:59:00 PM,11:32:00 PM,12:05:00 AM,12:38:00 AM
GLEN ERIN DR south of EGLINTON AVE,5:57:00 AM,6:30:00 AM,7:03:00 AM,7:36:00 AM,8:09:00 AM,8:42:00 AM,9:15:00 AM,9:48:00 AM,10:21:00 AM,10:54:00 AM,11:27:00 AM,12:00:00 PM,12:33:00 PM,1:06:00 PM,1:39:00 PM,2:12:00 PM,2:45:00 PM,3:18:00 PM,3:51:00 PM,4:24:00 PM,4:57:00 PM,5:30:00 PM,6:03:00 PM,6:36:00 PM,7:09:00 PM,7:42:00 PM,8:15:00 PM,8:48:00 PM,9:21:00 PM,9:54:00 PM,10:27:00 PM,11:00:00 PM,11:33:00 PM,12:06:00 AM,12:39:00 AM
GLEN ERIN DR at FOLKWAY DR,5:59:00 AM,6:32:00 AM,7:05:00 AM,7:38:00 AM,8:11:00 AM,8:44:00 AM,9:17:00 AM,9:50:00 AM,10:23:00 AM,10:56:00 AM,11:29:00 AM,12:02:00 PM,12:35:00 PM,1:08:00 PM,1:41:00 PM,2:14:00 PM,2:47:00 PM,3:20:00 PM,3:53:00 PM,4:26:00 PM,4:59:00 PM,5:32:00 PM,6:05:00 PM,6:38:00 PM,7:11:00 PM,7:44:00 PM,8:17:00 PM,8:50:00 PM,9:23:00 PM,9:56:00 PM,10:29:00 PM,11:02:00 PM,11:35:00 PM,12:08:00 AM,12:41:00 AM
SOUTH COMMON MALL BUS TERMINAL PLATFORM J,6:05:00 AM,6:38:00 AM,7:11:00 AM,7:44:00 AM,8:17:00 AM,8:50:00 AM,9:23:00 AM,9:56:00 AM,10:29:00 AM,11:02:00 AM,11:35:00 AM,12:08:00 PM,12:41:00 PM,1:14:00 PM,1:47:00 PM,2:20:00 PM,2:53:00 PM,3:26:00 PM,3:59:00 PM,4:32:00 PM,5:05:00 PM,5:38:00 PM,6:11:00 PM,6:44:00 PM,7:17:00 PM,7:50:00 PM,8:23:00 PM,8:56:00 PM,9:29:00 PM,10:02:00 PM,10:35:00 PM,11:08:00 PM,11:41:00 PM,12:14:00 AM,12:47:00 AM
ERIN MILLS PKY FIRST STOP south of DUNDAS ST W,6:10:00 AM,6:43:00 AM,7:16:00 AM,7:49:00 AM,8:22:00 AM,8:55:00 AM,9:28:00 AM,10:01:00 AM,10:34:00 AM,11:07:00 AM,11:40:00 AM,12:13:00 PM,12:46:00 PM,1:19:00 PM,1:52:00 PM,2:25:00 PM,2:58:00 PM,3:31:00 PM,4:04:00 PM,4:37:00 PM,5:10:00 PM,5:43:00 PM,6:16:00 PM,6:49:00 PM,7:22:00 PM,7:55:00 PM,8:28:00 PM,9:01:00 PM,9:34:00 PM,10:07:00 PM,10:40:00 PM,11:13:00 PM,11:46:00 PM,12:19:00 AM,12:52:00 AM
SHERIDAN CENTRE BUS TERMINAL PLATFORM A,6:14:00 AM,6:47:00 AM,7:20:00 AM,7:53:00 AM,8:26:00 AM,8:59:00 AM,9:32:00 AM,10:05:00 AM,10:38:00 AM,11:11:00 AM,11:44:00 AM,12:17:00 PM,12:50:00 PM,1:23:00 PM,1:56:00 PM,2:29:00 PM,3:02:00 PM,3:35:00 PM,4:08:00 PM,4:41:00 PM,5:14:00 PM,5:47:00 PM,6:20:00 PM,6:53:00 PM,7:26:00 PM,7:59:00 PM,8:32:00 PM,9:05:00 PM,9:38:00 PM,10:11:00 PM,10:44:00 PM,11:17:00 PM,11:50:00 PM,12:23:00 AM,12:56:00 AM
SOUTHDOWN RD at TRUSCOTT DR,6:18:00 AM,6:51:00 AM,7:24:00 AM,7:57:00 AM,8:30:00 AM,9:03:00 AM,9:36:00 AM,10:09:00 AM,10:42:00 AM,11:15:00 AM,11:48:00 AM,12:21:00 PM,12:54:00 PM,1:27:00 PM,2:00:00 PM,2:33:00 PM,3:06:00 PM,3:39:00 PM,4:12:00 PM,4:45:00 PM,5:18:00 PM,5:51:00 PM,6:24:00 PM,6:57:00 PM,7:30:00 PM,8:03:00 PM,8:36:00 PM,9:09:00 PM,9:42:00 PM,10:15:00 PM,10:48:00 PM,11:21:00 PM,11:54:00 PM,12:27:00 AM,1:00:00 AM
CLARKSON GO STATION PLATFORM A,6:21:00 AM,6:54:00 AM,7:27:00 AM,8:00:00 AM,8:33:00 AM,9:06:00 AM,9:39:00 AM,10:12:00 AM,10:45:00 AM,11:18:00 AM,11:51:00 AM,12:24:00 PM,12:57:00 PM,1:30:00 PM,2:03:00 PM,2:36:00 PM,3:09:00 PM,3:42:00 PM,4:15:00 PM,4:48:00 PM,5:21:00 PM,5:54:00 PM,6:27:00 PM,7:00:00 PM,7:33:00 PM,8:06:00 PM,8:39:00 PM,9:12:00 PM,9:45:00 PM,10:18:00 PM,10:51:00 PM,11:24:00 PM,11:57:00 PM,12:30:00 AM,1:03:00 AM
