WESTWOOD MALL BUS TERMINAL PLATFORM H,12:00 PM[a],12:30 PM[a],1:00 PM[a],1:30 PM[a],2:00 PM[a],2:30 PM[a],3:00 PM[a],3:30 PM[a],4:00 PM[a],4:30 PM[a],5:00 PM[a],5:30 PM[a],6:00 PM[a],6:30 PM[a],7:00 PM[a],7:30 PM[a],8:00 PM[a],8:30 PM[a],9:00 PM[a],9:30 PM[a],10:03 PM[a]
BRANDON GATE DR at DARCEL AVE,12:05 PM[a],12:35 PM[a],1:05 PM[a],1:35 PM[a],2:05 PM[a],2:35 PM[a],3:05 PM[a],3:35 PM[a],4:05 PM[a],4:35 PM[a],5:05 PM[a],5:35 PM[a],6:05 PM[a],6:35 PM[a],7:05 PM[a],7:35 PM[a],8:05 PM[a],8:35 PM[a],9:05 PM[a],9:35 PM[a],10:08 PM[a]
MORNING STAR DR at BRANDON GATE DR,12:11 PM[a],12:41 PM[a],1:11 PM[a],1:41 PM[a],2:11 PM[a],2:41 PM[a],3:11 PM[a],3:41 PM[a],4:11 PM[a],4:41 PM[a],5:11 PM[a],5:41 PM[a],6:11 PM[a],6:41 PM[a],7:11 PM[a],7:41 PM[a],8:11 PM[a],8:41 PM[a],9:11 PM[a],9:41 PM[a],10:14 PM[a]
REXWOOD RD south of DERRY RD,12:15 PM[a],12:45 PM[a],1:15 PM[a],1:45 PM[a],2:15 PM[a],2:45 PM[a],3:15 PM[a],3:45 PM[a],4:15 PM[a],4:45 PM[a],5:15 PM[a],5:45 PM[a],6:15 PM[a],6:45 PM[a],7:15 PM[a],7:45 PM[a],8:15 PM[a],8:45 PM[a],9:15 PM[a],9:45 PM[a],10:18 PM[a]
NASHUA DR SECOND STOP east of REXWOOD RD,12:17 PM[a],12:47 PM[a],1:17 PM[a],1:47 PM[a],2:17 PM[a],2:47 PM[a],3:17 PM[a],3:47 PM[a],4:17 PM[a],4:47 PM[a],5:17 PM[a],5:47 PM[a],6:17 PM[a],6:47 PM[a],7:17 PM[a],7:47 PM[a],8:17 PM[a],8:47 PM[a],9:17 PM[a],9:47 PM[a],10:20 PM[a]
NASHUA DR at GOREWAY DR,12:18 PM[a],12:48 PM[a],1:18 PM[a],1:48 PM[a],2:18 PM[a],2:48 PM[a],3:18 PM[a],3:48 PM[a],4:18 PM[a],4:48 PM[a],5:18 PM[a],5:48 PM[a],6:18 PM[a],6:48 PM[a],7:18 PM[a],7:48 PM[a],8:18 PM[a],8:48 PM[a],9:18 PM[a],9:48 PM[a],10:21 PM[a]
REXWOOD RD at DERRY RD,12:21 PM[a],12:51 PM[a],1:21 PM[a],1:51 PM[a],2:21 PM[a],2:51 PM[a],3:21 PM[a],3:51 PM[a],4:21 PM[a],4:51 PM[a],5:21 PM[a],5:51 PM[a],6:21 PM[a],6:51 PM[a],7:21 PM[a],7:51 PM[a],8:21 PM[a],8:51 PM[a],9:21 PM[a],9:51 PM[a],10:24 PM[a]
REXWOOD RD west of NETHERBRAE RD,12:22 PM[a],12:52 PM[a],1:22 PM[a],1:52 PM[a],2:22 PM[a],2:52 PM[a],3:22 PM[a],3:52 PM[a],4:22 PM[a],4:52 PM[a],5:22 PM[a],5:52 PM[a],6:22 PM[a],6:52 PM[a],7:22 PM[a],7:52 PM[a],8:22 PM[a],8:52 PM[a],9:22 PM[a],9:52 PM[a],10:25 PM[a]
DARCEL AVE at WOODRUFF CRES,12:25 PM[a],12:55 PM[a],1:25 PM[a],1:55 PM[a],2:25 PM[a],2:55 PM[a],3:25 PM[a],3:55 PM[a],4:25 PM[a],4:55 PM[a],5:25 PM[a],5:55 PM[a],6:25 PM[a],6:55 PM[a],7:25 PM[a],7:55 PM[a],8:25 PM[a],8:55 PM[a],9:25 PM[a],9:55 PM[a],10:28 PM[a]
WESTWOOD MALL BUS TERMINAL PLATFORM H,12:28 PM[a],12:58 PM[a],1:28 PM[a],1:58 PM[a],2:28 PM[a],2:58 PM[a],3:28 PM[a],3:58 PM[a],4:28 PM[a],4:58 PM[a],5:28 PM[a],5:58 PM[a],6:28 PM[a],6:58 PM[a],7:28 PM[a],7:58 PM[a],8:28 PM[a],8:58 PM[a],9:28 PM[a],9:58 PM[a],10:31 PM[a]
