WESTWOOD MALL BUS TERMINAL PLATFORM H,6:05 AM[b],6:30:00 AM,7:00:00 AM,7:30:00 AM,8:00:00 AM,8:30:00 AM,9:00:00 AM,9:30:00 AM,10:00:00 AM,10:30:00 AM,11:00:00 AM,11:30:00 AM
DARCEL AVE at WOODRUFF CRES,6:08 AM[b],6:33:00 AM,7:03:00 AM,7:33:00 AM,8:03:00 AM,8:33:00 AM,9:03:00 AM,9:33:00 AM,10:03:00 AM,10:33:00 AM,11:03:00 AM,11:33:00 AM
REXWOOD RD south of DERRY RD,6:36:00 AM,7:06:00 AM,7:36:00 AM,8:06:00 AM,8:36:00 AM,9:06:00 AM,9:36:00 AM,10:06:00 AM,10:36:00 AM,11:06:00 AM,11:36:00 AM,
NASHUA DR SECOND STOP east of REXWOOD RD,6:37:00 AM,7:07:00 AM,7:37:00 AM,8:07:00 AM,8:37:00 AM,9:07:00 AM,9:37:00 AM,10:07:00 AM,10:37:00 AM,11:07:00 AM,11:37:00 AM,
GOREWAY DR at NASHUA DR (n leg),6:39:00 AM,7:09:00 AM,7:39:00 AM,8:09:00 AM,8:39:00 AM,9:09:00 AM,9:39:00 AM,10:09:00 AM,10:39:00 AM,11:09:00 AM,11:39:00 AM,
REXWOOD RD at DERRY RD,6:40:00 AM,7:10:00 AM,7:40:00 AM,8:10:00 AM,8:40:00 AM,9:10:00 AM,9:40:00 AM,10:10:00 AM,10:40:00 AM,11:10:00 AM,11:40:00 AM,
REXWOOD RD west of NETHERBRAE RD,6:41:00 AM,7:11:00 AM,7:41:00 AM,8:11:00 AM,8:41:00 AM,9:11:00 AM,9:41:00 AM,10:11:00 AM,10:41:00 AM,11:11:00 AM,11:41:00 AM,
MORNING STAR DR at BRANDON GATE DR,6:15 AM[b],6:43:00 AM,7:13:00 AM,7:43:00 AM,8:13:00 AM,8:43:00 AM,9:13:00 AM,9:43:00 AM,10:13:00 AM,10:43:00 AM,11:13:00 AM,11:43:00 AM
BRANDON GATE DR at DARCEL AVE,6:20 AM[b],6:50:00 AM,7:20:00 AM,7:50:00 AM,8:20:00 AM,8:50:00 AM,9:20:00 AM,9:50:00 AM,10:20:00 AM,10:50:00 AM,11:20:00 AM,11:50:00 AM
WESTWOOD MALL BUS TERMINAL PLATFORM H,6:28 AM[b],6:58:00 AM,7:28:00 AM,7:58:00 AM,8:28:00 AM,8:58:00 AM,9:28:00 AM,9:58:00 AM,10:28:00 AM,10:58:00 AM,11:28:00 AM,11:58:00 AM
