PORT CREDIT GO STATION PLATFORM C,5:19:00 AM,5:36:00 AM,5:54:00 AM,6:10:00 AM,6:29:00 AM,6:46:00 AM,7:05:00 AM,7:24:00 AM,7:43:00 AM,8:03:00 AM,8:21:00 AM,8:42:00 AM,9:06:00 AM,9:22:00 AM,9:37:00 AM,9:54:00 AM,10:12:00 AM,10:25:00 AM,10:39:00 AM,10:55:00 AM,11:11:00 AM,11:26:00 AM,11:42:00 AM,11:58:00 AM,12:13:00 PM,12:29:00 PM,12:45:00 PM,1:01:00 PM,1:17:00 PM,1:33:00 PM,1:49:00 PM,2:05:00 PM,2:21:00 PM,2:37:00 PM,2:53:00 PM,3:09:00 PM,3:25:00 PM,3:41:00 PM,3:57:00 PM,4:13:00 PM,4:29:00 PM,4:45:00 PM,5:02:00 PM,5:18:00 PM,5:34:00 PM,5:50:00 PM,6:06:00 PM,6:21:00 PM,6:38:00 PM,6:52:00 PM,7:06:00 PM,7:20:00 PM,7:34:00 PM,7:48:00 PM,8:02:00 PM,8:16:00 PM,8:30:00 PM,8:46:00 PM,9:03:00 PM,9:20:00 PM,9:36:00 PM,9:50:00 PM,10:08:00 PM,10:31:00 PM,10:55:00 PM,11:17:00 PM,11:40:00 PM,12:03:00 AM,12:26:00 AM,12:49:00 AM,1:12 AM[g],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HURONTARIO ST at MINEOLA RD E,5:23:00 AM,5:40:00 AM,5:58:00 AM,6:14:00 AM,6:33:00 AM,6:50:00 AM,7:09:00 AM,7:28:00 AM,7:48:00 AM,8:08:00 AM,8:26:00 AM,8:47:00 AM,9:11:00 AM,9:27:00 AM,9:42:00 AM,9:59:00 AM,10:17:00 AM,10:30:00 AM,10:44:00 AM,11:00:00 AM,11:16:00 AM,11:32:00 AM,11:48:00 AM,12:04:00 PM,12:19:00 PM,12:35:00 PM,12:51:00 PM,1:07:00 PM,1:23:00 PM,1:39:00 PM,1:55:00 PM,2:11:00 PM,2:27:00 PM,2:43:00 PM,2:59:00 PM,3:15:00 PM,3:31:00 PM,3:47:00 PM,4:03:00 PM,4:19:00 PM,4:35:00 PM,4:51:00 PM,5:08:00 PM,5:24:00 PM,5:40:00 PM,5:56:00 PM,6:12:00 PM,6:27:00 PM,6:43:00 PM,6:57:00 PM,7:11:00 PM,7:25:00 PM,7:39:00 PM,7:53:00 PM,8:07:00 PM,8:21:00 PM,8:35:00 PM,8:51:00 PM,9:08:00 PM,9:25:00 PM,9:41:00 PM,9:55:00 PM,10:13:00 PM,10:36:00 PM,11:00:00 PM,11:22:00 PM,11:45:00 PM,12:08:00 AM,12:31:00 AM,12:54:00 AM,1:17 AM[g],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HURONTARIO ST at NORTH SERVICE RD,5:25:00 AM,5:42:00 AM,6:00:00 AM,6:16:00 AM,6:35:00 AM,6:52:00 AM,7:11:00 AM,7:30:00 AM,7:50:00 AM,8:10:00 AM,8:28:00 AM,8:49:00 AM,9:13:00 AM,9:30:00 AM,9:45:00 AM,10:02:00 AM,10:20:00 AM,10:33:00 AM,10:47:00 AM,11:03:00 AM,11:19:00 AM,11:35:00 AM,11:51:00 AM,12:07:00 PM,12:22:00 PM,12:38:00 PM,12:54:00 PM,1:10:00 PM,1:26:00 PM,1:42:00 PM,1:58:00 PM,2:14:00 PM,2:30:00 PM,2:46:00 PM,3:02:00 PM,3:18:00 PM,3:34:00 PM,3:50:00 PM,4:06:00 PM,4:22:00 PM,4:38:00 PM,4:54:00 PM,5:11:00 PM,5:27:00 PM,5:43:00 PM,5:59:00 PM,6:15:00 PM,6:30:00 PM,6:45:00 PM,6:59:00 PM,7:13:00 PM,7:27:00 PM,7:41:00 PM,7:55:00 PM,8:09:00 PM,8:23:00 PM,8:37:00 PM,8:53:00 PM,9:10:00 PM,9:27:00 PM,9:43:00 PM,9:57:00 PM,10:15:00 PM,10:38:00 PM,11:02:00 PM,11:24:00 PM,11:47:00 PM,12:10:00 AM,12:33:00 AM,12:56:00 AM,1:19 AM[g],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRILLIUM HOSPITAL BUS TERMINAL,9:22 AM[h],9:38 AM[h],9:54 AM[h],10:11 AM[h],10:27 AM[h],10:40 AM[h],10:55 AM[h],11:07 AM[h],11:27 AM[h],11:43 AM[h],11:59 AM[h],12:14 PM[h],12:30 PM[h],12:46 PM[h],1:02 PM[h],1:18 PM[h],1:34 PM[h],1:50 PM[h],2:06 PM[h],2:22 PM[h],2:37 PM[h],2:54 PM[h],3:10 PM[h],3:26 PM[h],3:42 PM[h],3:58 PM[h],4:14 PM[h],4:30 PM[h],4:44 PM[h],5:03 PM[h],5:19 PM[h],5:35 PM[h],5:51 PM[h],6:06 PM[h],6:23 PM[h],6:38 PM[h],6:48 PM[h],7:06 PM[h],7:20 PM[h],7:30 PM[h],7:48 PM[h],8:02 PM[h],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HURONTARIO ST at DUNDAS ST E,5:29:00 AM,5:46:00 AM,6:04:00 AM,6:20:00 AM,6:39:00 AM,6:56:00 AM,7:16:00 AM,7:35:00 AM,7:55:00 AM,8:15:00 AM,8:34:00 AM,8:55:00 AM,9:19:00 AM,9:28 AM[h],9:36:00 AM,9:44 AM[h],9:51:00 AM,10:00 AM[h],10:08:00 AM,10:17 AM[h],10:26:00 AM,10:33 AM[h],10:39:00 AM,10:46 AM[h],10:53:00 AM,11:01 AM[h],11:09:00 AM,11:13 AM[h],11:25:00 AM,11:33 AM[h],11:41:00 AM,11:49 AM[h],11:57:00 AM,12:05 PM[h],12:13:00 PM,12:21 PM[h],12:29:00 PM,12:37 PM[h],12:45:00 PM,12:53 PM[h],1:01:00 PM,1:09 PM[h],1:17:00 PM,1:25 PM[h],1:33:00 PM,1:41 PM[h],1:49:00 PM,1:57 PM[h],2:05:00 PM,2:13 PM[h],2:21:00 PM,2:29 PM[h],2:37:00 PM,2:44 PM[h],2:53:00 PM,3:01 PM[h],3:09:00 PM,3:17 PM[h],3:25:00 PM,3:33 PM[h],3:41:00 PM,3:49 PM[h],3:57:00 PM,4:05 PM[h],4:13:00 PM,4:21 PM[h],4:29:00 PM,4:37 PM[h],4:45:00 PM,4:51 PM[h],5:01:00 PM,5:09 PM[h],5:17:00 PM,5:25 PM[h],5:33:00 PM,5:41 PM[h],5:49:00 PM,5:57 PM[h],6:05:00 PM,6:12 PM[h],6:21:00 PM,6:29 PM[h],6:36:00 PM,6:44 PM[h],6:51:00 PM,6:54 PM[h],7:05:00 PM,7:12 PM[h],7:18:00 PM,7:25 PM[h],7:32:00 PM,7:35 PM[h],7:46:00 PM,7:53 PM[h],8:00:00 PM,8:07 PM[h],8:14:00 PM,8:28:00 PM,8:42:00 PM,8:58:00 PM,9:15:00 PM,9:32:00 PM,9:47:00 PM,10:01:00 PM,10:19:00 PM,10:42:00 PM,11:06:00 PM,11:28:00 PM,11:51:00 PM,12:14:00 AM,12:37:00 AM,1:00:00 AM,1:23 AM[g]
HURONTARIO ST at BURNHAMTHORPE RD E,5:34:00 AM,5:51:00 AM,6:09:00 AM,6:25:00 AM,6:44:00 AM,7:01:00 AM,7:21:00 AM,7:41:00 AM,8:01:00 AM,8:21:00 AM,8:41:00 AM,9:02:00 AM,9:26:00 AM,9:35 AM[h],9:43:00 AM,9:51 AM[h],9:58:00 AM,10:07 AM[h],10:15:00 AM,10:24 AM[h],10:33:00 AM,10:40 AM[h],10:46:00 AM,10:53 AM[h],11:00:00 AM,11:08 AM[h],11:16:00 AM,11:21 AM[h],11:33:00 AM,11:41 AM[h],11:49:00 AM,11:57 AM[h],12:05:00 PM,12:13 PM[h],12:21:00 PM,12:29 PM[h],12:37:00 PM,12:45 PM[h],12:53:00 PM,1:01 PM[h],1:09:00 PM,1:17 PM[h],1:25:00 PM,1:33 PM[h],1:41:00 PM,1:49 PM[h],1:57:00 PM,2:05 PM[h],2:13:00 PM,2:21 PM[h],2:29:00 PM,2:37 PM[h],2:45:00 PM,2:52 PM[h],3:01:00 PM,3:09 PM[h],3:17:00 PM,3:25 PM[h],3:33:00 PM,3:41 PM[h],3:49:00 PM,3:57 PM[h],4:05:00 PM,4:13 PM[h],4:21:00 PM,4:29 PM[h],4:37:00 PM,4:45 PM[h],4:53:00 PM,4:59 PM[h],5:09:00 PM,5:17 PM[h],5:25:00 PM,5:33 PM[h],5:41:00 PM,5:49 PM[h],5:57:00 PM,6:04 PM[h],6:12:00 PM,6:19 PM[h],6:28:00 PM,6:36 PM[h],6:43:00 PM,6:51 PM[h],6:58:00 PM,7:01 PM[h],7:12:00 PM,7:19 PM[h],7:25:00 PM,7:32 PM[h],7:39:00 PM,7:42 PM[h],7:53:00 PM,8:00 PM[h],8:07:00 PM,8:14 PM[h],8:20:00 PM,8:34:00 PM,8:48:00 PM,9:04:00 PM,9:21:00 PM,9:38:00 PM,9:52:00 PM,10:06:00 PM,10:24:00 PM,10:47:00 PM,11:11:00 PM,11:33:00 PM,11:56:00 PM,12:19:00 AM,12:42:00 AM,1:05:00 AM,1:28 AM[g]
CITY CENTRE BUS TERMINAL PLATFORM F,5:39:00 AM,5:57:00 AM,6:15:00 AM,6:32:00 AM,6:51:00 AM,7:09:00 AM,7:29:00 AM,7:49:00 AM,8:09:00 AM,8:29:00 AM,8:49:00 AM,9:10:00 AM,9:34:00 AM,9:43 AM[h],9:52:00 AM,10:00 AM[h],10:07:00 AM,10:16 AM[h],10:24:00 AM,10:33 AM[h],10:43:00 AM,10:50 AM[h],10:56:00 AM,11:03 AM[h],11:10:00 AM,11:18 AM[h],11:26:00 AM,11:31 AM[h],11:43:00 AM,11:51 AM[h],11:59:00 AM,12:07 PM[h],12:15:00 PM,12:24 PM[h],12:32:00 PM,12:40 PM[h],12:48:00 PM,12:56 PM[h],1:04:00 PM,1:12 PM[h],1:20:00 PM,1:28 PM[h],1:36:00 PM,1:44 PM[h],1:52:00 PM,2:00 PM[h],2:08:00 PM,2:16 PM[h],2:24:00 PM,2:32 PM[h],2:40:00 PM,2:48 PM[h],2:56:00 PM,3:03 PM[h],3:12:00 PM,3:20 PM[h],3:28:00 PM,3:36 PM[h],3:44:00 PM,3:52 PM[h],4:00:00 PM,4:08 PM[h],4:16:00 PM,4:24 PM[h],4:32:00 PM,4:40 PM[h],4:48:00 PM,4:56 PM[h],5:04:00 PM,5:09 PM[h],5:19:00 PM,5:27 PM[h],5:35:00 PM,5:43 PM[h],5:51:00 PM,5:59 PM[h],6:07:00 PM,6:14 PM[h],6:22:00 PM,6:29 PM[h],6:38:00 PM,6:46 PM[h],6:53:00 PM,7:01 PM[h],7:08:00 PM,7:11 PM[h],7:20:00 PM,7:27 PM[h],7:33:00 PM,7:40 PM[h],7:47:00 PM,7:50 PM[h],8:01:00 PM,8:08 PM[h],8:15:00 PM,8:22 PM[h],8:28:00 PM,8:41:00 PM,8:55:00 PM,9:11:00 PM,9:28:00 PM,9:45:00 PM,9:58:00 PM,10:12:00 PM,10:30:00 PM,10:53:00 PM,11:16:00 PM,11:38:00 PM,12:01:00 AM,12:24:00 AM,12:47:00 AM,1:10:00 AM,1:33 AM[g]
HURONTARIO ST at EGLINTON AVE E,5:44:00 AM,6:02:00 AM,6:20:00 AM,6:37:00 AM,6:56:00 AM,7:14:00 AM,7:35:00 AM,7:55:00 AM,8:15:00 AM,8:35:00 AM,8:55:00 AM,9:16:00 AM,9:41:00 AM,9:50 AM[h],9:59:00 AM,10:07 AM[h],10:14:00 AM,10:23 AM[h],10:31:00 AM,10:41 AM[h],10:51:00 AM,10:58 AM[h],11:04:00 AM,11:11 AM[h],11:18:00 AM,11:26 AM[h],11:34:00 AM,11:39 AM[h],11:51:00 AM,11:59 AM[h],12:07:00 PM,12:15 PM[h],12:23:00 PM,12:32 PM[h],12:40:00 PM,12:48 PM[h],12:56:00 PM,1:04 PM[h],1:12:00 PM,1:20 PM[h],1:28:00 PM,1:36 PM[h],1:44:00 PM,1:52 PM[h],2:00:00 PM,2:08 PM[h],2:16:00 PM,2:24 PM[h],2:32:00 PM,2:40 PM[h],2:48:00 PM,2:56 PM[h],3:04:00 PM,3:11 PM[h],3:20:00 PM,3:28 PM[h],3:36:00 PM,3:44 PM[h],3:53:00 PM,4:01 PM[h],4:09:00 PM,4:17 PM[h],4:25:00 PM,4:33 PM[h],4:41:00 PM,4:49 PM[h],4:57:00 PM,5:05 PM[h],5:13:00 PM,5:18 PM[h],5:28:00 PM,5:36 PM[h],5:44:00 PM,5:52 PM[h],6:00:00 PM,6:08 PM[h],6:16:00 PM,6:23 PM[h],6:31:00 PM,6:37 PM[h],6:46:00 PM,6:54 PM[h],7:01:00 PM,7:09 PM[h],7:16:00 PM,7:19 PM[h],7:27:00 PM,7:34 PM[h],7:40:00 PM,7:47 PM[h],7:54:00 PM,7:57 PM[h],8:08:00 PM,8:15 PM[h],8:22:00 PM,8:29 PM[h],8:35:00 PM,8:48:00 PM,9:02:00 PM,9:18:00 PM,9:35:00 PM,9:51:00 PM,10:04:00 PM,10:18:00 PM,10:36:00 PM,10:59:00 PM,11:22:00 PM,11:44:00 PM,12:06:00 AM,12:29:00 AM,12:52:00 AM,1:15:00 AM,
HURONTARIO ST at MATHESON BLVD E,5:47:00 AM,6:05:00 AM,6:23:00 AM,6:40:00 AM,6:59:00 AM,7:18:00 AM,7:39:00 AM,7:59:00 AM,8:19:00 AM,8:39:00 AM,8:59:00 AM,9:20:00 AM,9:45:00 AM,10:03:00 AM,10:18:00 AM,10:35:00 AM,10:55:00 AM,11:08:00 AM,11:23:00 AM,11:39:00 AM,11:56:00 AM,12:12:00 PM,12:28:00 PM,12:45:00 PM,1:01:00 PM,1:17:00 PM,1:33:00 PM,1:49:00 PM,2:05:00 PM,2:21:00 PM,2:37:00 PM,2:53:00 PM,3:09:00 PM,3:25:00 PM,3:41:00 PM,3:58:00 PM,4:14:00 PM,4:30:00 PM,4:46:00 PM,5:02:00 PM,5:18:00 PM,5:33:00 PM,5:49:00 PM,6:05:00 PM,6:21:00 PM,6:35:00 PM,6:50:00 PM,7:05:00 PM,7:20:00 PM,7:31:00 PM,7:44:00 PM,7:58:00 PM,8:12:00 PM,8:26:00 PM,8:39:00 PM,8:52:00 PM,9:06:00 PM,9:22:00 PM,9:39:00 PM,9:55:00 PM,10:08:00 PM,10:22:00 PM,10:40:00 PM,11:03:00 PM,11:25:00 PM,11:47:00 PM,12:09:00 AM,12:32:00 AM,12:55:00 AM,1:18:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HURONTARIO ST at BRITANNIA RD E,5:49:00 AM,6:07:00 AM,6:25:00 AM,6:42:00 AM,7:01:00 AM,7:20:00 AM,7:41:00 AM,8:01:00 AM,8:21:00 AM,8:41:00 AM,9:01:00 AM,9:22:00 AM,9:47:00 AM,10:05:00 AM,10:20:00 AM,10:37:00 AM,10:57:00 AM,11:10:00 AM,11:25:00 AM,11:41:00 AM,11:58:00 AM,12:14:00 PM,12:31:00 PM,12:48:00 PM,1:04:00 PM,1:20:00 PM,1:36:00 PM,1:52:00 PM,2:08:00 PM,2:24:00 PM,2:40:00 PM,2:56:00 PM,3:12:00 PM,3:28:00 PM,3:44:00 PM,4:01:00 PM,4:17:00 PM,4:33:00 PM,4:48:00 PM,5:04:00 PM,5:20:00 PM,5:35:00 PM,5:51:00 PM,6:07:00 PM,6:23:00 PM,6:37:00 PM,6:52:00 PM,7:07:00 PM,7:22:00 PM,7:33:00 PM,7:46:00 PM,8:00:00 PM,8:14:00 PM,8:28:00 PM,8:41:00 PM,8:54:00 PM,9:08:00 PM,9:24:00 PM,9:41:00 PM,9:57:00 PM,10:10:00 PM,10:24:00 PM,10:42:00 PM,11:05:00 PM,11:27:00 PM,11:49:00 PM,12:11:00 AM,12:34:00 AM,12:57:00 AM,1:20:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
