HURONTARIO & 407 PARK and RIDE PLATFORM A,6:02:00 AM,6:19:00 AM,6:36:00 AM,6:54:00 AM,7:12:00 AM,7:32:00 AM,7:52:00 AM,8:13:00 AM,8:34:00 AM,8:56:00 AM,9:16:00 AM,9:36:00 AM,9:52:00 AM,10:08:00 AM,10:24:00 AM,10:40:00 AM,10:56:00 AM,11:12:00 AM,11:28:00 AM,11:44:00 AM,12:00:00 PM,12:16:00 PM,12:32:00 PM,12:48:00 PM,1:04:00 PM,1:20:00 PM,1:36:00 PM,1:52:00 PM,2:08:00 PM,2:24:00 PM,2:40:00 PM,2:56:00 PM,3:12:00 PM,3:28:00 PM,3:44:00 PM,4:00:00 PM,4:16:00 PM,4:32:00 PM,4:48:00 PM,5:04:00 PM,5:20:00 PM,5:36:00 PM,5:52:00 PM,6:08:00 PM,6:24:00 PM,6:40:00 PM,6:55:00 PM,7:10:00 PM,7:25:00 PM,7:39:00 PM,7:53:00 PM,8:11:00 PM,8:29:00 PM,8:47:00 PM,9:05:00 PM,9:22:00 PM,9:39:00 PM,9:56:00 PM,10:13:00 PM,10:30:00 PM,10:55:00 PM,11:20:00 PM,11:43:00 PM,12:06:00 AM,12:29:00 AM,12:50:00 AM,1:30 AM[g],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HURONTARIO ST at DERRY RD W,6:05:00 AM,6:22:00 AM,6:39:00 AM,6:57:00 AM,7:15:00 AM,7:35:00 AM,7:55:00 AM,8:16:00 AM,8:37:00 AM,8:59:00 AM,9:19:00 AM,9:39:00 AM,9:55:00 AM,10:11:00 AM,10:27:00 AM,10:43:00 AM,10:59:00 AM,11:15:00 AM,11:31:00 AM,11:47:00 AM,12:03:00 PM,12:19:00 PM,12:35:00 PM,12:51:00 PM,1:07:00 PM,1:23:00 PM,1:39:00 PM,1:55:00 PM,2:11:00 PM,2:27:00 PM,2:43:00 PM,2:59:00 PM,3:15:00 PM,3:31:00 PM,3:47:00 PM,4:03:00 PM,4:19:00 PM,4:35:00 PM,4:51:00 PM,5:07:00 PM,5:23:00 PM,5:39:00 PM,5:55:00 PM,6:11:00 PM,6:27:00 PM,6:43:00 PM,6:58:00 PM,7:13:00 PM,7:28:00 PM,7:42:00 PM,7:56:00 PM,8:14:00 PM,8:32:00 PM,8:50:00 PM,9:08:00 PM,9:25:00 PM,9:42:00 PM,9:59:00 PM,10:16:00 PM,10:33:00 PM,10:58:00 PM,11:23:00 PM,11:46:00 PM,12:09:00 AM,12:32:00 AM,12:53:00 AM,1:33 AM[g],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HURONTARIO ST south of DERRY RD W,6:05:00 AM,6:22:00 AM,6:39:00 AM,6:57:00 AM,7:15:00 AM,7:35:00 AM,7:55:00 AM,8:16:00 AM,8:37:00 AM,8:59:00 AM,9:19:00 AM,9:39:00 AM,9:55:00 AM,10:11:00 AM,10:27:00 AM,10:43:00 AM,10:59:00 AM,11:15:00 AM,11:31:00 AM,11:47:00 AM,12:03:00 PM,12:19:00 PM,12:35:00 PM,12:51:00 PM,1:07:00 PM,1:23:00 PM,1:39:00 PM,1:55:00 PM,2:11:00 PM,2:27:00 PM,2:43:00 PM,2:59:00 PM,3:15:00 PM,3:31:00 PM,3:47:00 PM,4:03:00 PM,4:19:00 PM,4:35:00 PM,4:51:00 PM,5:07:00 PM,5:23:00 PM,5:39:00 PM,5:55:00 PM,6:11:00 PM,6:27:00 PM,6:43:00 PM,6:58:00 PM,7:13:00 PM,7:28:00 PM,7:42:00 PM,7:56:00 PM,8:14:00 PM,8:32:00 PM,8:50:00 PM,9:08:00 PM,9:25:00 PM,9:42:00 PM,9:59:00 PM,10:16:00 PM,10:33:00 PM,10:58:00 PM,11:23:00 PM,11:46:00 PM,12:09:00 AM,12:32:00 AM,12:53:00 AM,1:33 AM[g],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HURONTARIO ST at COURTNEYPARK DR W,6:07:00 AM,6:24:00 AM,6:41:00 AM,6:59:00 AM,7:17:00 AM,7:37:00 AM,7:57:00 AM,8:18:00 AM,8:39:00 AM,9:01:00 AM,9:21:00 AM,9:41:00 AM,9:57:00 AM,10:13:00 AM,10:29:00 AM,10:45:00 AM,11:01:00 AM,11:17:00 AM,11:33:00 AM,11:49:00 AM,12:05:00 PM,12:21:00 PM,12:37:00 PM,12:53:00 PM,1:09:00 PM,1:25:00 PM,1:41:00 PM,1:57:00 PM,2:13:00 PM,2:29:00 PM,2:45:00 PM,3:01:00 PM,3:17:00 PM,3:33:00 PM,3:49:00 PM,4:05:00 PM,4:21:00 PM,4:37:00 PM,4:53:00 PM,5:09:00 PM,5:25:00 PM,5:41:00 PM,5:57:00 PM,6:13:00 PM,6:29:00 PM,6:45:00 PM,7:00:00 PM,7:15:00 PM,7:30:00 PM,7:44:00 PM,7:58:00 PM,8:16:00 PM,8:34:00 PM,8:52:00 PM,9:10:00 PM,9:27:00 PM,9:44:00 PM,10:01:00 PM,10:18:00 PM,10:35:00 PM,11:00:00 PM,11:25:00 PM,11:48:00 PM,12:11:00 AM,12:34:00 AM,12:55:00 AM,1:35 AM[g],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HURONTARIO ST south of BRITANNIA RD,6:10:00 AM,6:27:00 AM,6:44:00 AM,7:02:00 AM,7:20:00 AM,7:41:00 AM,8:01:00 AM,8:22:00 AM,8:43:00 AM,9:05:00 AM,9:25:00 AM,9:45:00 AM,10:01:00 AM,10:17:00 AM,10:33:00 AM,10:49:00 AM,11:05:00 AM,11:21:00 AM,11:37:00 AM,11:53:00 AM,12:09:00 PM,12:25:00 PM,12:41:00 PM,12:57:00 PM,1:13:00 PM,1:29:00 PM,1:45:00 PM,2:01:00 PM,2:17:00 PM,2:33:00 PM,2:49:00 PM,3:05:00 PM,3:21:00 PM,3:37:00 PM,3:53:00 PM,4:09:00 PM,4:25:00 PM,4:41:00 PM,4:57:00 PM,5:13:00 PM,5:29:00 PM,5:45:00 PM,6:01:00 PM,6:17:00 PM,6:33:00 PM,6:49:00 PM,7:04:00 PM,7:19:00 PM,7:34:00 PM,7:48:00 PM,8:02:00 PM,8:20:00 PM,8:38:00 PM,8:56:00 PM,9:14:00 PM,9:31:00 PM,9:48:00 PM,10:05:00 PM,10:21:00 PM,10:38:00 PM,11:03:00 PM,11:28:00 PM,11:51:00 PM,12:14:00 AM,12:37:00 AM,12:58:00 AM,1:38 AM[g],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RODEO DR north of REGAL DR,9:49 AM[q],10:05 AM[q],10:21 AM[q],10:37 AM[q],10:53 AM[q],11:11 AM[q],11:25 AM[q],11:41 AM[q],11:57 AM[q],12:13 PM[q],12:30 PM[q],12:45 PM[q],1:01 PM[q],1:17 PM[q],1:33 PM[q],1:49 PM[q],2:05 PM[q],2:21 PM[q],2:38 PM[q],2:53 PM[q],3:09 PM[q],3:25 PM[q],3:41 PM[q],3:56 PM[q],4:13 PM[q],4:29 PM[q],4:47 PM[q],5:01 PM[q],5:17 PM[q],5:33 PM[q],5:49 PM[q],6:05 PM[q],6:21 PM[q],6:37 PM[q],6:49 PM[q],7:08 PM[q],7:23 PM[q],7:37 PM[q],7:51 PM[q],8:05 PM[q],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRITANNIA RD W west of HURONTARIO ST,9:53 AM[q],10:09 AM[q],10:25 AM[q],10:41 AM[q],10:57 AM[q],11:15 AM[q],11:29 AM[q],11:45 AM[q],12:01 PM[q],12:17 PM[q],12:34 PM[q],12:49 PM[q],1:05 PM[q],1:21 PM[q],1:37 PM[q],1:53 PM[q],2:09 PM[q],2:25 PM[q],2:42 PM[q],2:57 PM[q],3:13 PM[q],3:29 PM[q],3:45 PM[q],4:00 PM[q],4:17 PM[q],4:33 PM[q],4:51 PM[q],5:05 PM[q],5:21 PM[q],5:37 PM[q],5:53 PM[q],6:09 PM[q],6:25 PM[q],6:41 PM[q],6:53 PM[q],7:12 PM[q],7:27 PM[q],7:41 PM[q],7:55 PM[q],8:09 PM[q],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HURONTARIO ST south of BRITANNIA RD,9:53 AM[q],10:09 AM[q],10:25 AM[q],10:41 AM[q],10:57 AM[q],11:15 AM[q],11:29 AM[q],11:45 AM[q],12:01 PM[q],12:17 PM[q],12:34 PM[q],12:49 PM[q],1:05 PM[q],1:21 PM[q],1:37 PM[q],1:53 PM[q],2:09 PM[q],2:25 PM[q],2:42 PM[q],2:57 PM[q],3:13 PM[q],3:29 PM[q],3:45 PM[q],4:00 PM[q],4:17 PM[q],4:33 PM[q],4:51 PM[q],5:05 PM[q],5:21 PM[q],5:37 PM[q],5:53 PM[q],6:09 PM[q],6:25 PM[q],6:41 PM[q],6:53 PM[q],7:12 PM[q],7:27 PM[q],7:41 PM[q],7:55 PM[q],8:09 PM[q],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HURONTARIO ST at MATHESON BLVD W,6:12:00 AM,6:29:00 AM,6:46:00 AM,7:04:00 AM,7:22:00 AM,7:43:00 AM,8:03:00 AM,8:24:00 AM,8:45:00 AM,9:07:00 AM,9:27:00 AM,9:47:00 AM,9:55 AM[q],10:03:00 AM,10:11 AM[q],10:19:00 AM,10:27 AM[q],10:35:00 AM,10:43 AM[q],10:51:00 AM,10:59 AM[q],11:07:00 AM,11:17 AM[q],11:23:00 AM,11:31 AM[q],11:39:00 AM,11:47 AM[q],11:55:00 AM,12:03 PM[q],12:11:00 PM,12:19 PM[q],12:27:00 PM,12:36 PM[q],12:43:00 PM,12:51 PM[q],12:59:00 PM,1:07 PM[q],1:15:00 PM,1:23 PM[q],1:31:00 PM,1:39 PM[q],1:47:00 PM,1:55 PM[q],2:03:00 PM,2:11 PM[q],2:19:00 PM,2:27 PM[q],2:35:00 PM,2:44 PM[q],2:51:00 PM,2:59 PM[q],3:07:00 PM,3:15 PM[q],3:23:00 PM,3:31 PM[q],3:39:00 PM,3:47 PM[q],3:55:00 PM,4:02 PM[q],4:11:00 PM,4:19 PM[q],4:27:00 PM,4:35 PM[q],4:43:00 PM,4:53 PM[q],4:59:00 PM,5:07 PM[q],5:15:00 PM,5:23 PM[q],5:31:00 PM,5:39 PM[q],5:47:00 PM,5:55 PM[q],6:03:00 PM,6:11 PM[q],6:19:00 PM,6:27 PM[q],6:35:00 PM,6:43 PM[q],6:51:00 PM,6:55 PM[q],7:06:00 PM,7:14 PM[q],7:21:00 PM,7:29 PM[q],7:36:00 PM,7:43 PM[q],7:50:00 PM,7:57 PM[q],8:04:00 PM,8:11 PM[q],8:22:00 PM,8:40:00 PM,8:58:00 PM,9:16:00 PM,9:33:00 PM,9:50:00 PM,10:07:00 PM,10:23:00 PM,10:40:00 PM,11:05:00 PM,11:30:00 PM,11:53:00 PM,12:16:00 AM,12:39:00 AM,1:00:00 AM,1:40 AM[g]
HURONTARIO ST at ANDRIKA CRT,6:12:00 AM,6:30:00 AM,6:47:00 AM,7:05:00 AM,7:23:00 AM,7:44:00 AM,8:04:00 AM,8:25:00 AM,8:46:00 AM,9:08:00 AM,9:28:00 AM,9:48:00 AM,9:56 AM[q],10:04:00 AM,10:12 AM[q],10:20:00 AM,10:28 AM[q],10:36:00 AM,10:44 AM[q],10:52:00 AM,11:00 AM[q],11:08:00 AM,11:18 AM[q],11:24:00 AM,11:32 AM[q],11:40:00 AM,11:48 AM[q],11:56:00 AM,12:04 PM[q],12:12:00 PM,12:20 PM[q],12:28:00 PM,12:37 PM[q],12:44:00 PM,12:52 PM[q],1:00:00 PM,1:08 PM[q],1:16:00 PM,1:24 PM[q],1:32:00 PM,1:40 PM[q],1:48:00 PM,1:56 PM[q],2:04:00 PM,2:12 PM[q],2:20:00 PM,2:28 PM[q],2:36:00 PM,2:45 PM[q],2:52:00 PM,3:00 PM[q],3:08:00 PM,3:16 PM[q],3:24:00 PM,3:32 PM[q],3:40:00 PM,3:48 PM[q],3:56:00 PM,4:03 PM[q],4:12:00 PM,4:20 PM[q],4:28:00 PM,4:36 PM[q],4:44:00 PM,4:54 PM[q],5:00:00 PM,5:08 PM[q],5:16:00 PM,5:24 PM[q],5:32:00 PM,5:40 PM[q],5:48:00 PM,5:56 PM[q],6:04:00 PM,6:12 PM[q],6:20:00 PM,6:28 PM[q],6:36:00 PM,6:44 PM[q],6:52:00 PM,6:56 PM[q],7:07:00 PM,7:15 PM[q],7:22:00 PM,7:30 PM[q],7:37:00 PM,7:44 PM[q],7:51:00 PM,7:58 PM[q],8:05:00 PM,8:12 PM[q],8:23:00 PM,8:41:00 PM,8:58:00 PM,9:16:00 PM,9:33:00 PM,9:50:00 PM,10:07:00 PM,10:23:00 PM,10:40:00 PM,11:05:00 PM,11:30:00 PM,11:53:00 PM,12:16:00 AM,12:39:00 AM,1:00:00 AM,1:40 AM[g]
