LAIRD RD west of RIDGEWAY DR,5:00:00 AM,5:25:00 AM,5:38:00 AM,6:03:00 AM,6:28:00 AM,6:53:00 AM,7:18:00 AM,7:31:00 AM,7:56:00 AM,8:21:00 AM,8:46:00 AM,9:11:00 AM,9:35:00 AM,10:05:00 AM,10:34:00 AM,11:00:00 AM,11:26:00 AM,11:52:00 AM,12:18:00 PM,12:44:00 PM,1:10:00 PM,1:36:00 PM,2:02:00 PM,2:28:00 PM,2:54:00 PM,3:20:00 PM,3:46:00 PM,4:12:00 PM,4:38:00 PM,5:04:00 PM,5:30:00 PM,5:56:00 PM,6:19:00 PM,6:48:00 PM,7:14:00 PM,7:40:00 PM,8:05:00 PM,8:30:00 PM,8:55:00 PM,9:41:00 PM,10:23:00 PM,11:08:00 PM,11:53:00 PM,12:38:00 AM,1:00:00 AM,1:23 AM[e],2:04 AM[e],2:49 AM[e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUNDAS ST W at WINSTON CHURCHILL BLVD,5:04:00 AM,5:29:00 AM,5:42:00 AM,6:07:00 AM,6:32:00 AM,6:57:00 AM,7:22:00 AM,7:35:00 AM,8:00:00 AM,8:25:00 AM,8:50:00 AM,9:15:00 AM,9:39:00 AM,10:09:00 AM,10:38:00 AM,11:04:00 AM,11:30:00 AM,11:56:00 AM,12:22:00 PM,12:48:00 PM,1:14:00 PM,1:40:00 PM,2:06:00 PM,2:32:00 PM,2:58:00 PM,3:24:00 PM,3:50:00 PM,4:16:00 PM,4:42:00 PM,5:08:00 PM,5:34:00 PM,6:00:00 PM,6:23:00 PM,6:52:00 PM,7:18:00 PM,7:44:00 PM,8:09:00 PM,8:34:00 PM,8:59:00 PM,9:45:00 PM,10:27:00 PM,11:12:00 PM,11:57:00 PM,12:42:00 AM,1:04:00 AM,1:27 AM[e],2:08 AM[e],2:53 AM[e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUNDAS ST W west of ERIN MILLS PKY,5:08:00 AM,5:33:00 AM,5:46:00 AM,6:11:00 AM,6:36:00 AM,7:01:00 AM,7:26:00 AM,7:39:00 AM,8:04:00 AM,8:29:00 AM,8:54:00 AM,9:19:00 AM,9:43:00 AM,10:13:00 AM,10:42:00 AM,11:08:00 AM,11:34:00 AM,12:00:00 PM,12:26:00 PM,12:52:00 PM,1:18:00 PM,1:44:00 PM,2:10:00 PM,2:36:00 PM,3:02:00 PM,3:28:00 PM,3:54:00 PM,4:20:00 PM,4:46:00 PM,5:12:00 PM,5:38:00 PM,6:04:00 PM,6:27:00 PM,6:56:00 PM,7:22:00 PM,7:48:00 PM,8:13:00 PM,8:38:00 PM,9:03:00 PM,9:49:00 PM,10:31:00 PM,11:16:00 PM,12:01:00 AM,12:46:00 AM,1:08:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUNDAS ST W east of ERIN MILLS PKY,4:42:00 AM,5:09:00 AM,5:34:00 AM,5:47:00 AM,6:12:00 AM,6:37:00 AM,7:02:00 AM,7:27:00 AM,7:40:00 AM,8:05:00 AM,8:30:00 AM,8:55:00 AM,9:20:00 AM,9:44:00 AM,10:14:00 AM,10:43:00 AM,11:09:00 AM,11:35:00 AM,12:01:00 PM,12:27:00 PM,12:53:00 PM,1:19:00 PM,1:45:00 PM,2:11:00 PM,2:37:00 PM,3:03:00 PM,3:29:00 PM,3:55:00 PM,4:21:00 PM,4:47:00 PM,5:13:00 PM,5:39:00 PM,6:05:00 PM,6:28:00 PM,6:57:00 PM,7:23:00 PM,7:49:00 PM,8:14:00 PM,8:39:00 PM,9:04:00 PM,9:50:00 PM,10:32:00 PM,11:17:00 PM,12:02:00 AM,12:47:00 AM,1:09:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH COMMON CENTRE BUS TERMINAL PLATFORM A,7:43 AM[b],8:08 AM[b],8:33 AM[b],8:58 AM[b],9:23 AM[b],9:51 AM[b],10:20 AM[b],10:46 AM[b],11:12 AM[b],11:38 AM[b],12:04 PM[b],12:30 PM[b],12:56 PM[b],1:22 PM[b],1:48 PM[b],2:14 PM[b],2:40 PM[b],3:06 PM[b],3:32 PM[b],3:58 PM[b],4:24 PM[b],4:50 PM[b],5:16 PM[b],5:42 PM[b],6:08 PM[b],6:34 PM[b],7:00 PM[b],7:26 PM[b],7:51 PM[b],8:16 PM[b],8:41 PM[b],9:15 PM[b],10:00 PM[b],10:45 PM[b],11:30 PM[b],12:15 AM[b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH MILLWAY at SANDERLING CRES (north leg),7:45 AM[b],8:10 AM[b],8:35 AM[b],9:00 AM[b],9:25 AM[b],9:53 AM[b],10:22 AM[b],10:48 AM[b],11:14 AM[b],11:40 AM[b],12:06 PM[b],12:32 PM[b],12:58 PM[b],1:24 PM[b],1:50 PM[b],2:16 PM[b],2:42 PM[b],3:08 PM[b],3:34 PM[b],4:00 PM[b],4:26 PM[b],4:52 PM[b],5:18 PM[b],5:44 PM[b],6:10 PM[b],6:36 PM[b],7:02 PM[b],7:28 PM[b],7:53 PM[b],8:18 PM[b],8:43 PM[b],9:17 PM[b],10:02 PM[b],10:47 PM[b],11:32 PM[b],12:17 AM[b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNIVERSITY of TORONTO at MISSISSAUGA CAMPUS,7:50 AM[b],8:15 AM[b],8:40 AM[b],9:05 AM[b],9:30 AM[b],9:58 AM[b],10:27 AM[b],10:53 AM[b],11:19 AM[b],11:45 AM[b],12:11 PM[b],12:37 PM[b],1:03 PM[b],1:29 PM[b],1:55 PM[b],2:21 PM[b],2:47 PM[b],3:13 PM[b],3:39 PM[b],4:05 PM[b],4:31 PM[b],4:57 PM[b],5:23 PM[b],5:49 PM[b],6:15 PM[b],6:41 PM[b],7:07 PM[b],7:33 PM[b],7:58 PM[b],8:23 PM[b],8:48 PM[b],9:22 PM[b],10:07 PM[b],10:52 PM[b],11:37 PM[b],12:22 AM[b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISSISSAUGA RD at THE COLLEGEWAY,7:52 AM[b],8:17 AM[b],8:42 AM[b],9:07 AM[b],9:32 AM[b],10:00 AM[b],10:29 AM[b],10:55 AM[b],11:21 AM[b],11:47 AM[b],12:13 PM[b],12:39 PM[b],1:05 PM[b],1:31 PM[b],1:57 PM[b],2:23 PM[b],2:49 PM[b],3:15 PM[b],3:41 PM[b],4:07 PM[b],4:33 PM[b],4:59 PM[b],5:25 PM[b],5:51 PM[b],6:17 PM[b],6:43 PM[b],7:09 PM[b],7:35 PM[b],8:00 PM[b],8:25 PM[b],8:50 PM[b],9:24 PM[b],10:09 PM[b],10:54 PM[b],11:39 PM[b],12:24 AM[b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUNDAS ST at GLENGARRY RD,4:47:00 AM,5:14:00 AM,5:39:00 AM,5:52:00 AM,6:17:00 AM,6:42:00 AM,7:07:00 AM,7:32:00 AM,7:45:00 AM,7:58 AM[b],8:10:00 AM,8:23 AM[b],8:35:00 AM,8:48 AM[b],9:00:00 AM,9:13 AM[b],9:25:00 AM,9:38 AM[b],9:49:00 AM,10:06 AM[b],10:20:00 AM,10:35 AM[b],10:49:00 AM,11:01 AM[b],11:15:00 AM,11:27 AM[b],11:41:00 AM,11:53 AM[b],12:07:00 PM,12:19 PM[b],12:33:00 PM,12:45 PM[b],12:59:00 PM,1:11 PM[b],1:25:00 PM,1:37 PM[b],1:51:00 PM,2:03 PM[b],2:17:00 PM,2:29 PM[b],2:43:00 PM,2:55 PM[b],3:09:00 PM,3:21 PM[b],3:35:00 PM,3:47 PM[b],4:01:00 PM,4:13 PM[b],4:27:00 PM,4:39 PM[b],4:53:00 PM,5:05 PM[b],5:19:00 PM,5:31 PM[b],5:45:00 PM,5:57 PM[b],6:11:00 PM,6:23 PM[b],6:34:00 PM,6:49 PM[b],7:03:00 PM,7:15 PM[b],7:28:00 PM,7:41 PM[b],7:54:00 PM,8:06 PM[b],8:19:00 PM,8:31 PM[b],8:44:00 PM,8:56 PM[b],9:09:00 PM,9:30 PM[b],9:55:00 PM,10:15 PM[b],10:37:00 PM,11:00 PM[b],11:22:00 PM,11:45 PM[b],12:07:00 AM,12:30 AM[b],12:52:00 AM,1:14:00 AM,,,,,,,,,,,,,,,,,
DUNDAS ST at MAVIS RD,4:50:00 AM,5:17:00 AM,5:42:00 AM,5:55:00 AM,6:20:00 AM,6:45:00 AM,7:10:00 AM,7:35:00 AM,7:48:00 AM,8:01 AM[b],8:13:00 AM,8:26 AM[b],8:38:00 AM,8:51 AM[b],9:03:00 AM,9:16 AM[b],9:28:00 AM,9:41 AM[b],9:52:00 AM,10:00:00 AM,10:09 AM[b],10:23:00 AM,10:38 AM[b],10:52:00 AM,11:04 AM[b],11:18:00 AM,11:30 AM[b],11:44:00 AM,11:56 AM[b],12:10:00 PM,12:22 PM[b],12:36:00 PM,12:48 PM[b],1:02:00 PM,1:14 PM[b],1:28:00 PM,1:40 PM[b],1:54:00 PM,2:06 PM[b],2:20:00 PM,2:32 PM[b],2:46:00 PM,2:58 PM[b],3:12:00 PM,3:24 PM[b],3:38:00 PM,3:50 PM[b],4:04:00 PM,4:16 PM[b],4:30:00 PM,4:42 PM[b],4:56:00 PM,5:08 PM[b],5:22:00 PM,5:34 PM[b],5:48:00 PM,6:00 PM[b],6:14:00 PM,6:26 PM[b],6:37:00 PM,6:52 PM[b],7:06:00 PM,7:18 PM[b],7:31:00 PM,7:44 PM[b],7:57:00 PM,8:09 PM[b],8:22:00 PM,8:34 PM[b],8:47:00 PM,8:59 PM[b],9:12:00 PM,9:33 PM[b],9:58:00 PM,10:18 PM[b],10:40:00 PM,11:03 PM[b],11:25:00 PM,11:48 PM[b],12:10:00 AM,12:33 AM[b],12:55:00 AM,1:17:00 AM,,,,,,,,,,,,,,,,
