ISLINGTON SUBWAY BUS TERMINAL PLATFORM D,5:32:00 AM,5:57:00 AM,6:22:00 AM,6:35:00 AM,7:00:00 AM,7:25:00 AM,7:50:00 AM,8:15:00 AM,8:28 AM[b],8:41:00 AM,8:53 AM[b],9:06:00 AM,9:18 AM[b],9:31:00 AM,9:44 AM[b],9:57:00 AM,10:10 AM[b],10:23:00 AM,10:36 AM[b],10:49:00 AM,11:02 AM[b],11:15:00 AM,11:28 AM[b],11:41:00 AM,11:54 AM[b],12:07:00 PM,12:20 PM[b],12:33:00 PM,12:46 PM[b],12:59:00 PM,1:12 PM[b],1:25:00 PM,1:38 PM[b],1:51:00 PM,2:04 PM[b],2:17:00 PM,2:30 PM[b],2:43:00 PM,2:56 PM[b],3:09:00 PM,3:22 PM[b],3:35:00 PM,3:48 PM[b],4:01:00 PM,4:14 PM[b],4:27:00 PM,4:40 PM[b],4:53:00 PM,5:06 PM[b],5:17:00 PM,5:32 PM[b],5:45:00 PM,5:58 PM[b],6:11:00 PM,6:24 PM[b],6:37:00 PM,6:50 PM[b],7:05:00 PM,7:21 PM[b],7:33:00 PM,7:46 PM[b],7:59:00 PM,8:11 PM[b],8:24:00 PM,8:36 PM[b],8:48:00 PM,9:06 PM[b],9:28:00 PM,9:51 PM[b],10:13:00 PM,10:36 PM[b],10:58:00 PM,11:21 PM[b],11:43:00 PM,12:06:00 AM,12:28:00 AM,12:51 AM[b],1:13:00 AM,1:36 AM[b],1:58:00 AM,,,,,,,,,,,,,,,,
DUNDAS ST at BILLINGHAM RD,5:39:00 AM,6:04:00 AM,6:29:00 AM,6:42:00 AM,7:07:00 AM,7:32:00 AM,7:57:00 AM,8:22:00 AM,8:35 AM[b],8:48:00 AM,9:00 AM[b],9:13:00 AM,9:25 AM[b],9:38:00 AM,9:51 AM[b],10:04:00 AM,10:18 AM[b],10:31:00 AM,10:44 AM[b],10:57:00 AM,11:10 AM[b],11:23:00 AM,11:36 AM[b],11:49:00 AM,12:02 PM[b],12:15:00 PM,12:28 PM[b],12:41:00 PM,12:54 PM[b],1:07:00 PM,1:20 PM[b],1:33:00 PM,1:46 PM[b],1:59:00 PM,2:12 PM[b],2:25:00 PM,2:38 PM[b],2:51:00 PM,3:04 PM[b],3:17:00 PM,3:30 PM[b],3:43:00 PM,3:56 PM[b],4:09:00 PM,4:22 PM[b],4:35:00 PM,4:48 PM[b],5:01:00 PM,5:14 PM[b],5:25:00 PM,5:40 PM[b],5:53:00 PM,6:06 PM[b],6:19:00 PM,6:32 PM[b],6:45:00 PM,6:58 PM[b],7:12:00 PM,7:28 PM[b],7:40:00 PM,7:53 PM[b],8:06:00 PM,8:18 PM[b],8:31:00 PM,8:43 PM[b],8:55:00 PM,9:13 PM[b],9:35:00 PM,9:58 PM[b],10:20:00 PM,10:43 PM[b],11:05:00 PM,11:28 PM[b],11:50:00 PM,12:13:00 AM,12:35:00 AM,12:58 AM[b],1:20:00 AM,1:43 AM[b],2:05:00 AM,,,,,,,,,,,,,,,,
DUNDAS ST at WHARTON WAY,5:46:00 AM,6:11:00 AM,6:36:00 AM,6:49:00 AM,7:14:00 AM,7:39:00 AM,8:04:00 AM,8:29:00 AM,8:42 AM[b],8:55:00 AM,9:07 AM[b],9:20:00 AM,9:32 AM[b],9:45:00 AM,9:58 AM[b],10:11:00 AM,10:25 AM[b],10:38:00 AM,10:51 AM[b],11:04:00 AM,11:17 AM[b],11:30:00 AM,11:43 AM[b],11:56:00 AM,12:09 PM[b],12:22:00 PM,12:27 PM[c],12:35 PM[b],12:48:00 PM,12:53 PM[c],1:01 PM[b],1:14:00 PM,1:19 PM[c],1:27 PM[b],1:40:00 PM,1:45 PM[c],1:53 PM[b],2:06:00 PM,2:11 PM[c],2:19 PM[b],2:32:00 PM,2:37 PM[c],2:45 PM[b],2:58:00 PM,3:03 PM[c],3:11 PM[b],3:24:00 PM,3:29 PM[c],3:37 PM[b],3:50:00 PM,3:55 PM[c],4:03 PM[b],4:16:00 PM,4:21 PM[c],4:29 PM[b],4:42:00 PM,4:47 PM[c],4:55 PM[b],5:08:00 PM,5:13 PM[c],5:21 PM[b],5:32:00 PM,5:39 PM[c],5:47 PM[b],6:00:00 PM,6:05 PM[c],6:13 PM[b],6:26:00 PM,6:31 PM[c],6:39 PM[b],6:52:00 PM,6:57 PM[c],7:05 PM[b],7:19:00 PM,7:35 PM[b],7:47:00 PM,8:00 PM[b],8:13:00 PM,8:25 PM[b],8:38:00 PM,8:50 PM[b],9:02:00 PM,9:20 PM[b],9:42:00 PM,10:05 PM[b],10:27:00 PM,10:50 PM[b],11:12:00 PM,11:35 PM[b],11:57:00 PM,12:20:00 AM,12:42:00 AM,1:05 AM[b],1:27:00 AM,1:50 AM[b],2:12:00 AM
DUNDAS ST at DIXIE RD,5:49:00 AM,6:14:00 AM,6:39:00 AM,6:52:00 AM,7:17:00 AM,7:42:00 AM,8:07:00 AM,8:32:00 AM,8:45 AM[b],8:58:00 AM,9:10 AM[b],9:23:00 AM,9:35 AM[b],9:48:00 AM,10:01 AM[b],10:14:00 AM,10:28 AM[b],10:41:00 AM,10:54 AM[b],11:07:00 AM,11:20 AM[b],11:33:00 AM,11:46 AM[b],11:59:00 AM,12:12 PM[b],12:25:00 PM,12:31 PM[c],12:38 PM[b],12:51:00 PM,12:57 PM[c],1:04 PM[b],1:17:00 PM,1:23 PM[c],1:30 PM[b],1:43:00 PM,1:49 PM[c],1:56 PM[b],2:09:00 PM,2:15 PM[c],2:22 PM[b],2:35:00 PM,2:41 PM[c],2:48 PM[b],3:01:00 PM,3:07 PM[c],3:14 PM[b],3:27:00 PM,3:33 PM[c],3:40 PM[b],3:53:00 PM,3:59 PM[c],4:06 PM[b],4:19:00 PM,4:25 PM[c],4:32 PM[b],4:45:00 PM,4:51 PM[c],4:58 PM[b],5:11:00 PM,5:17 PM[c],5:24 PM[b],5:35:00 PM,5:43 PM[c],5:50 PM[b],6:03:00 PM,6:09 PM[c],6:16 PM[b],6:29:00 PM,6:35 PM[c],6:42 PM[b],6:55:00 PM,7:01 PM[c],7:08 PM[b],7:22:00 PM,7:38 PM[b],7:50:00 PM,8:03 PM[b],8:16:00 PM,8:28 PM[b],8:41:00 PM,8:53 PM[b],9:05:00 PM,9:23 PM[b],9:45:00 PM,10:08 PM[b],10:30:00 PM,10:53 PM[b],11:15:00 PM,11:38 PM[b],12:00:00 AM,12:23:00 AM,12:45:00 AM,1:08 AM[b],1:30:00 AM,1:53 AM[b],2:15:00 AM
DUNDAS ST FIRST STOP west of DIXIE RD,5:49:00 AM,6:14:00 AM,6:39:00 AM,6:52:00 AM,7:17:00 AM,7:42:00 AM,8:07:00 AM,8:32:00 AM,8:45 AM[b],8:58:00 AM,9:10 AM[b],9:23:00 AM,9:35 AM[b],9:48:00 AM,10:01 AM[b],10:14:00 AM,10:28 AM[b],10:41:00 AM,10:54 AM[b],11:07:00 AM,11:20 AM[b],11:33:00 AM,11:46 AM[b],11:59:00 AM,12:12 PM[b],12:25:00 PM,12:31 PM[c],12:38 PM[b],12:51:00 PM,12:57 PM[c],1:04 PM[b],1:17:00 PM,1:23 PM[c],1:30 PM[b],1:43:00 PM,1:49 PM[c],1:56 PM[b],2:09:00 PM,2:15 PM[c],2:22 PM[b],2:35:00 PM,2:41 PM[c],2:48 PM[b],3:01:00 PM,3:07 PM[c],3:14 PM[b],3:27:00 PM,3:33 PM[c],3:40 PM[b],3:53:00 PM,3:59 PM[c],4:06 PM[b],4:19:00 PM,4:25 PM[c],4:32 PM[b],4:45:00 PM,4:51 PM[c],4:58 PM[b],5:11:00 PM,5:17 PM[c],5:24 PM[b],5:35:00 PM,5:43 PM[c],5:50 PM[b],6:03:00 PM,6:09 PM[c],6:16 PM[b],6:29:00 PM,6:35 PM[c],6:42 PM[b],6:55:00 PM,7:01 PM[c],7:08 PM[b],7:22:00 PM,7:38 PM[b],7:50:00 PM,8:03 PM[b],8:16:00 PM,8:28 PM[b],8:41:00 PM,8:53 PM[b],9:05:00 PM,9:23 PM[b],9:45:00 PM,10:08 PM[b],10:30:00 PM,10:53 PM[b],11:15:00 PM,11:38 PM[b],12:00:00 AM,12:23:00 AM,12:45:00 AM,1:08 AM[b],1:30:00 AM,1:53 AM[b],2:15:00 AM
DUNDAS ST at TOMKEN RD,5:52:00 AM,6:17:00 AM,6:42:00 AM,6:55:00 AM,7:20:00 AM,7:45:00 AM,8:10:00 AM,8:35:00 AM,8:48 AM[b],9:01:00 AM,9:13 AM[b],9:26:00 AM,9:38 AM[b],9:51:00 AM,10:05 AM[b],10:18:00 AM,10:32 AM[b],10:45:00 AM,10:58 AM[b],11:11:00 AM,11:24 AM[b],11:37:00 AM,11:50 AM[b],12:03:00 PM,12:16 PM[b],12:29:00 PM,12:35 PM[c],12:42 PM[b],12:55:00 PM,1:01 PM[c],1:08 PM[b],1:21:00 PM,1:27 PM[c],1:34 PM[b],1:47:00 PM,1:53 PM[c],2:00 PM[b],2:13:00 PM,2:19 PM[c],2:26 PM[b],2:39:00 PM,2:45 PM[c],2:52 PM[b],3:05:00 PM,3:11 PM[c],3:18 PM[b],3:31:00 PM,3:37 PM[c],3:44 PM[b],3:57:00 PM,4:03 PM[c],4:10 PM[b],4:23:00 PM,4:29 PM[c],4:36 PM[b],4:49:00 PM,4:55 PM[c],5:02 PM[b],5:15:00 PM,5:21 PM[c],5:28 PM[b],5:39:00 PM,5:47 PM[c],5:54 PM[b],6:07:00 PM,6:13 PM[c],6:20 PM[b],6:33:00 PM,6:39 PM[c],6:46 PM[b],6:59:00 PM,7:05 PM[c],7:11 PM[b],7:25:00 PM,7:41 PM[b],7:53:00 PM,8:06 PM[b],8:19:00 PM,8:31 PM[b],8:44:00 PM,8:56 PM[b],9:08:00 PM,9:26 PM[b],9:48:00 PM,10:11 PM[b],10:33:00 PM,10:56 PM[b],11:18:00 PM,11:41 PM[b],12:03:00 AM,12:26:00 AM,12:48:00 AM,1:11 AM[b],1:33:00 AM,1:56 AM[b],2:18:00 AM
DUNDAS ST at CAWTHRA RD,5:55:00 AM,6:20:00 AM,6:45:00 AM,6:58:00 AM,7:23:00 AM,7:48:00 AM,8:13:00 AM,8:38:00 AM,8:51 AM[b],9:04:00 AM,9:16 AM[b],9:29:00 AM,9:41 AM[b],9:54:00 AM,10:08 AM[b],10:21:00 AM,10:35 AM[b],10:48:00 AM,11:01 AM[b],11:14:00 AM,11:27 AM[b],11:40:00 AM,11:53 AM[b],12:06:00 PM,12:19 PM[b],12:32:00 PM,12:38 PM[c],12:45 PM[b],12:58:00 PM,1:04 PM[c],1:11 PM[b],1:24:00 PM,1:30 PM[c],1:37 PM[b],1:50:00 PM,1:56 PM[c],2:03 PM[b],2:16:00 PM,2:22 PM[c],2:29 PM[b],2:42:00 PM,2:48 PM[c],2:55 PM[b],3:08:00 PM,3:14 PM[c],3:21 PM[b],3:34:00 PM,3:40 PM[c],3:47 PM[b],4:00:00 PM,4:06 PM[c],4:13 PM[b],4:26:00 PM,4:32 PM[c],4:39 PM[b],4:52:00 PM,4:58 PM[c],5:05 PM[b],5:18:00 PM,5:24 PM[c],5:31 PM[b],5:42:00 PM,5:50 PM[c],5:57 PM[b],6:10:00 PM,6:16 PM[c],6:23 PM[b],6:36:00 PM,6:42 PM[c],6:49 PM[b],7:02:00 PM,7:08 PM[c],7:14 PM[b],7:28:00 PM,7:44 PM[b],7:56:00 PM,8:09 PM[b],8:22:00 PM,8:34 PM[b],8:47:00 PM,8:59 PM[b],9:11:00 PM,9:29 PM[b],9:51:00 PM,10:14 PM[b],10:36:00 PM,10:59 PM[b],11:21:00 PM,11:44 PM[b],12:06:00 AM,12:29:00 AM,12:51:00 AM,1:14 AM[b],1:36:00 AM,1:59 AM[b],2:21:00 AM
DUNDAS ST at HURONTARIO ST,6:01:00 AM,6:26:00 AM,6:51:00 AM,7:04:00 AM,7:29:00 AM,7:54:00 AM,8:19:00 AM,8:44:00 AM,8:57 AM[b],9:10:00 AM,9:22 AM[b],9:35:00 AM,9:47 AM[b],10:00:00 AM,10:18 AM[b],10:31:00 AM,10:45 AM[b],10:58:00 AM,11:11 AM[b],11:24:00 AM,11:37 AM[b],11:50:00 AM,12:03 PM[b],12:16:00 PM,12:29 PM[b],12:42:00 PM,12:47 PM[c],12:55 PM[b],1:08:00 PM,1:13 PM[c],1:21 PM[b],1:34:00 PM,1:39 PM[c],1:47 PM[b],2:00:00 PM,2:05 PM[c],2:13 PM[b],2:26:00 PM,2:31 PM[c],2:39 PM[b],2:52:00 PM,2:57 PM[c],3:05 PM[b],3:18:00 PM,3:23 PM[c],3:31 PM[b],3:44:00 PM,3:49 PM[c],3:57 PM[b],4:10:00 PM,4:15 PM[c],4:23 PM[b],4:36:00 PM,4:41 PM[c],4:49 PM[b],5:02:00 PM,5:07 PM[c],5:15 PM[b],5:28:00 PM,5:33 PM[c],5:41 PM[b],5:52:00 PM,5:59 PM[c],6:07 PM[b],6:20:00 PM,6:25 PM[c],6:33 PM[b],6:46:00 PM,6:51 PM[c],6:59 PM[b],7:08:00 PM,7:17 PM[c],7:20 PM[b],7:34:00 PM,7:50 PM[b],8:02:00 PM,8:15 PM[b],8:28:00 PM,8:40 PM[b],8:53:00 PM,9:05 PM[b],9:17:00 PM,9:35 PM[b],9:57:00 PM,10:20 PM[b],10:42:00 PM,11:05 PM[b],11:27:00 PM,11:50 PM[b],12:12:00 AM,12:35:00 AM,12:57:00 AM,1:20 AM[b],1:42:00 AM,2:05 AM[b],2:27:00 AM
DUNDAS ST at MAVIS RD,6:06:00 AM,6:31:00 AM,6:56:00 AM,7:09:00 AM,7:34:00 AM,7:59:00 AM,8:24:00 AM,8:49:00 AM,9:02 AM[b],9:15:00 AM,9:27 AM[b],9:40:00 AM,9:52 AM[b],10:05:00 AM,10:23 AM[b],10:36:00 AM,10:50 AM[b],11:03:00 AM,11:16 AM[b],11:29:00 AM,11:42 AM[b],11:55:00 AM,12:08 PM[b],12:21:00 PM,12:34 PM[b],12:47:00 PM,1:00 PM[b],1:13:00 PM,1:26 PM[b],1:39:00 PM,1:52 PM[b],2:05:00 PM,2:18 PM[b],2:31:00 PM,2:44 PM[b],2:57:00 PM,3:10 PM[b],3:23:00 PM,3:36 PM[b],3:49:00 PM,4:02 PM[b],4:15:00 PM,4:28 PM[b],4:41:00 PM,4:54 PM[b],5:07:00 PM,5:20 PM[b],5:33:00 PM,5:46 PM[b],5:57:00 PM,6:12 PM[b],6:25:00 PM,6:38 PM[b],6:51:00 PM,7:04 PM[b],7:13:00 PM,7:25 PM[b],7:39:00 PM,7:55 PM[b],8:07:00 PM,8:20 PM[b],8:33:00 PM,8:45 PM[b],8:58:00 PM,9:10 PM[b],9:22:00 PM,9:40 PM[b],10:02:00 PM,10:25 PM[b],10:47:00 PM,11:10 PM[b],11:32:00 PM,11:55 PM[b],12:17:00 AM,12:40:00 AM,1:02:00 AM,1:25 AM[b],1:47:00 AM,2:10 AM[b],2:32:00 AM,,,,,,,,,,,,,,,,
DUNDAS ST W west of MAVIS RD,6:06:00 AM,6:31:00 AM,6:56:00 AM,7:09:00 AM,7:34:00 AM,7:59:00 AM,8:24:00 AM,8:49:00 AM,9:02 AM[b],9:15:00 AM,9:27 AM[b],9:40:00 AM,9:52 AM[b],10:05:00 AM,10:23 AM[b],10:36:00 AM,10:50 AM[b],11:03:00 AM,11:16 AM[b],11:29:00 AM,11:42 AM[b],11:55:00 AM,12:08 PM[b],12:21:00 PM,12:34 PM[b],12:47:00 PM,1:00 PM[b],1:13:00 PM,1:26 PM[b],1:39:00 PM,1:52 PM[b],2:05:00 PM,2:18 PM[b],2:31:00 PM,2:44 PM[b],2:57:00 PM,3:10 PM[b],3:23:00 PM,3:36 PM[b],3:49:00 PM,4:02 PM[b],4:15:00 PM,4:28 PM[b],4:41:00 PM,4:54 PM[b],5:07:00 PM,5:20 PM[b],5:33:00 PM,5:46 PM[b],5:57:00 PM,6:12 PM[b],6:25:00 PM,6:38 PM[b],6:51:00 PM,7:04 PM[b],7:13:00 PM,7:25 PM[b],7:39:00 PM,7:55 PM[b],8:07:00 PM,8:20 PM[b],8:33:00 PM,8:45 PM[b],8:58:00 PM,9:10 PM[b],9:22:00 PM,9:40 PM[b],10:02:00 PM,10:25 PM[b],10:47:00 PM,11:10 PM[b],11:32:00 PM,11:55 PM[b],12:17:00 AM,12:40:00 AM,1:02:00 AM,1:25 AM[b],1:47:00 AM,2:10 AM[b],2:32:00 AM,,,,,,,,,,,,,,,,
