ERINDALE GO STATION PLATFORM A,6:06:00 AM,6:32:00 AM,6:58:00 AM,7:24:00 AM,7:50:00 AM,8:16:00 AM,8:42:00 AM,9:08:00 AM,9:34:00 AM,10:00:00 AM,10:26:00 AM,10:52:00 AM,11:18:00 AM,11:44:00 AM,12:10:00 PM,12:36:00 PM,1:02:00 PM,1:28:00 PM,1:54:00 PM,2:20:00 PM,2:46:00 PM,3:12:00 PM,3:38:00 PM,4:04:00 PM,4:30:00 PM,4:56:00 PM,5:22:00 PM,5:48:00 PM,6:14:00 PM,6:40:00 PM,7:06:00 PM,7:32:00 PM,7:58:00 PM,8:24:00 PM,8:50:00 PM,9:16:00 PM,9:42:00 PM,10:08:00 PM,10:35:00 PM
RATHBURN RD at DEER RUN (west leg),6:08:00 AM,6:34:00 AM,7:00:00 AM,7:26:00 AM,7:52:00 AM,8:18:00 AM,8:44:00 AM,9:10:00 AM,9:36:00 AM,10:02:00 AM,10:28:00 AM,10:54:00 AM,11:20:00 AM,11:46:00 AM,12:12:00 PM,12:38:00 PM,1:04:00 PM,1:30:00 PM,1:56:00 PM,2:22:00 PM,2:48:00 PM,3:14:00 PM,3:40:00 PM,4:06:00 PM,4:32:00 PM,4:58:00 PM,5:24:00 PM,5:50:00 PM,6:16:00 PM,6:42:00 PM,7:08:00 PM,7:34:00 PM,8:00:00 PM,8:26:00 PM,8:52:00 PM,9:18:00 PM,9:44:00 PM,10:10:00 PM,10:37:00 PM
RATHBURN RD at MAVIS RD,6:13:00 AM,6:39:00 AM,7:05:00 AM,7:31:00 AM,7:57:00 AM,8:23:00 AM,8:49:00 AM,9:15:00 AM,9:41:00 AM,10:07:00 AM,10:33:00 AM,10:59:00 AM,11:25:00 AM,11:51:00 AM,12:17:00 PM,12:43:00 PM,1:09:00 PM,1:35:00 PM,2:01:00 PM,2:27:00 PM,2:53:00 PM,3:19:00 PM,3:45:00 PM,4:11:00 PM,4:37:00 PM,5:03:00 PM,5:29:00 PM,5:55:00 PM,6:21:00 PM,6:47:00 PM,7:13:00 PM,7:39:00 PM,8:05:00 PM,8:31:00 PM,8:57:00 PM,9:23:00 PM,9:49:00 PM,10:15:00 PM,10:42:00 PM
CITY CENTRE BUS TERMINAL PLATFORM L,6:18:00 AM,6:44:00 AM,7:10:00 AM,7:37:00 AM,8:03:00 AM,8:29:00 AM,8:55:00 AM,9:21:00 AM,9:47:00 AM,10:13:00 AM,10:39:00 AM,11:05:00 AM,11:31:00 AM,11:57:00 AM,12:23:00 PM,12:49:00 PM,1:15:00 PM,1:41:00 PM,2:07:00 PM,2:33:00 PM,2:59:00 PM,3:25:00 PM,3:51:00 PM,4:17:00 PM,4:43:00 PM,5:09:00 PM,5:35:00 PM,6:01:00 PM,6:27:00 PM,6:53:00 PM,7:19:00 PM,7:45:00 PM,8:11:00 PM,8:37:00 PM,9:03:00 PM,9:29:00 PM,9:55:00 PM,10:21:00 PM,10:48:00 PM
RATHBURN RD at CENTRAL PKY E,6:22:00 AM,6:48:00 AM,7:14:00 AM,7:42:00 AM,8:08:00 AM,8:34:00 AM,9:00:00 AM,9:26:00 AM,9:51:00 AM,10:17:00 AM,10:43:00 AM,11:09:00 AM,11:35:00 AM,12:01:00 PM,12:27:00 PM,12:53:00 PM,1:19:00 PM,1:45:00 PM,2:11:00 PM,2:37:00 PM,3:03:00 PM,3:29:00 PM,3:56:00 PM,4:22:00 PM,4:48:00 PM,5:14:00 PM,5:40:00 PM,6:06:00 PM,6:32:00 PM,6:57:00 PM,7:23:00 PM,7:49:00 PM,8:15:00 PM,8:41:00 PM,9:07:00 PM,9:33:00 PM,9:59:00 PM,10:25:00 PM,10:52:00 PM
RATHBURN RD east of CENTRAL PKY,6:22:00 AM,6:48:00 AM,7:14:00 AM,7:42:00 AM,8:08:00 AM,8:34:00 AM,9:00:00 AM,9:26:00 AM,9:51:00 AM,10:17:00 AM,10:43:00 AM,11:09:00 AM,11:35:00 AM,12:01:00 PM,12:27:00 PM,12:53:00 PM,1:19:00 PM,1:45:00 PM,2:11:00 PM,2:37:00 PM,3:03:00 PM,3:29:00 PM,3:56:00 PM,4:22:00 PM,4:48:00 PM,5:14:00 PM,5:40:00 PM,6:06:00 PM,6:32:00 PM,6:57:00 PM,7:23:00 PM,7:49:00 PM,8:15:00 PM,8:41:00 PM,9:07:00 PM,9:33:00 PM,9:59:00 PM,10:25:00 PM,10:52:00 PM
RATHBURN RD at WILCOX RD,6:25:00 AM,6:51:00 AM,7:17:00 AM,7:45:00 AM,8:11:00 AM,8:37:00 AM,9:03:00 AM,9:29:00 AM,9:54:00 AM,10:20:00 AM,10:46:00 AM,11:12:00 AM,11:38:00 AM,12:04:00 PM,12:30:00 PM,12:56:00 PM,1:22:00 PM,1:48:00 PM,2:14:00 PM,2:40:00 PM,3:06:00 PM,3:32:00 PM,3:59:00 PM,4:25:00 PM,4:51:00 PM,5:17:00 PM,5:43:00 PM,6:09:00 PM,6:35:00 PM,7:00:00 PM,7:26:00 PM,7:52:00 PM,8:18:00 PM,8:44:00 PM,9:10:00 PM,9:35:00 PM,10:01:00 PM,10:27:00 PM,10:54:00 PM
RATHBURN RD at CAWTHRA RD,6:25:00 AM,6:51:00 AM,7:17:00 AM,7:45:00 AM,8:11:00 AM,8:37:00 AM,9:03:00 AM,9:29:00 AM,9:54:00 AM,10:20:00 AM,10:46:00 AM,11:12:00 AM,11:38:00 AM,12:04:00 PM,12:30:00 PM,12:56:00 PM,1:22:00 PM,1:48:00 PM,2:14:00 PM,2:40:00 PM,3:06:00 PM,3:32:00 PM,3:59:00 PM,4:25:00 PM,4:51:00 PM,5:17:00 PM,5:43:00 PM,6:09:00 PM,6:35:00 PM,7:00:00 PM,7:26:00 PM,7:52:00 PM,8:18:00 PM,8:44:00 PM,9:10:00 PM,9:35:00 PM,10:01:00 PM,10:27:00 PM,10:54:00 PM
RATHBURN RD at TOMKEN RD,6:28:00 AM,6:54:00 AM,7:20:00 AM,7:48:00 AM,8:14:00 AM,8:40:00 AM,9:06:00 AM,9:32:00 AM,9:57:00 AM,10:23:00 AM,10:49:00 AM,11:15:00 AM,11:41:00 AM,12:07:00 PM,12:33:00 PM,12:59:00 PM,1:25:00 PM,1:51:00 PM,2:17:00 PM,2:43:00 PM,3:09:00 PM,3:35:00 PM,4:02:00 PM,4:28:00 PM,4:54:00 PM,5:20:00 PM,5:46:00 PM,6:12:00 PM,6:38:00 PM,7:03:00 PM,7:29:00 PM,7:55:00 PM,8:21:00 PM,8:47:00 PM,9:13:00 PM,9:38:00 PM,10:04:00 PM,10:30:00 PM,10:57:00 PM
RATHBURN RD at DIXIE RD[b],6:31:00 AM,6:57:00 AM,7:23:00 AM,7:51:00 AM,8:17:00 AM,8:43:00 AM,9:09:00 AM,9:35:00 AM,10:00:00 AM,10:26:00 AM,10:52:00 AM,11:18:00 AM,11:44:00 AM,12:10:00 PM,12:36:00 PM,1:02:00 PM,1:28:00 PM,1:54:00 PM,2:20:00 PM,2:46:00 PM,3:12:00 PM,3:38:00 PM,4:06:00 PM,4:32:00 PM,4:58:00 PM,5:24:00 PM,5:50:00 PM,6:16:00 PM,6:41:00 PM,7:06:00 PM,7:32:00 PM,7:58:00 PM,8:24:00 PM,8:50:00 PM,9:16:00 PM,9:41:00 PM,10:07:00 PM,10:33:00 PM,11:00:00 PM
