ISLINGTON SUBWAY BUS TERMINAL PLATFORM C,6:57:00 AM,7:23:00 AM,7:49:00 AM,8:15:00 AM,8:41:00 AM,9:07:00 AM,9:33:00 AM,9:59:00 AM,10:25:00 AM,10:51:00 AM,11:17:00 AM,11:43:00 AM,12:09:00 PM,12:35:00 PM,1:01:00 PM,1:28:00 PM,1:54:00 PM,2:20:00 PM,2:46:00 PM,3:12:00 PM,3:38:00 PM,4:04:00 PM,4:30:00 PM,4:56:00 PM,5:22:00 PM,5:48:00 PM,6:14:00 PM,6:40:00 PM,7:06:00 PM,7:32:00 PM,7:58:00 PM,8:24:00 PM,8:50:00 PM,9:16:00 PM,9:42:00 PM,10:07:00 PM,10:33:00 PM,10:59:00 PM,11:25:00 PM
AUKLAND RD north of DUNDAS ST W,6:59:00 AM,7:25:00 AM,7:52:00 AM,8:18:00 AM,8:45:00 AM,9:11:00 AM,9:37:00 AM,10:03:00 AM,10:29:00 AM,10:55:00 AM,11:21:00 AM,11:47:00 AM,12:13:00 PM,12:39:00 PM,1:05:00 PM,1:31:00 PM,1:57:00 PM,2:23:00 PM,2:49:00 PM,3:15:00 PM,3:41:00 PM,4:07:00 PM,4:33:00 PM,4:59:00 PM,5:25:00 PM,5:51:00 PM,6:17:00 PM,6:43:00 PM,7:09:00 PM,7:35:00 PM,8:01:00 PM,8:27:00 PM,8:53:00 PM,9:19:00 PM,9:45:00 PM,10:10:00 PM,10:36:00 PM,11:02:00 PM,11:28:00 PM
BURNHAMTHORPE RD at KIPLING AVE,7:03:00 AM,7:29:00 AM,7:56:00 AM,8:22:00 AM,8:49:00 AM,9:15:00 AM,9:41:00 AM,10:07:00 AM,10:33:00 AM,10:59:00 AM,11:25:00 AM,11:51:00 AM,12:17:00 PM,12:43:00 PM,1:09:00 PM,1:35:00 PM,2:01:00 PM,2:27:00 PM,2:53:00 PM,3:19:00 PM,3:45:00 PM,4:11:00 PM,4:37:00 PM,5:03:00 PM,5:29:00 PM,5:55:00 PM,6:21:00 PM,6:47:00 PM,7:13:00 PM,7:39:00 PM,8:05:00 PM,8:31:00 PM,8:57:00 PM,9:23:00 PM,9:49:00 PM,10:14:00 PM,10:40:00 PM,11:06:00 PM,11:32:00 PM
BURNHAMTHORPE RD at THE WEST MALL,7:08:00 AM,7:34:00 AM,8:01:00 AM,8:27:00 AM,8:54:00 AM,9:20:00 AM,9:46:00 AM,10:12:00 AM,10:38:00 AM,11:04:00 AM,11:30:00 AM,11:56:00 AM,12:22:00 PM,12:48:00 PM,1:14:00 PM,1:40:00 PM,2:06:00 PM,2:32:00 PM,2:58:00 PM,3:24:00 PM,3:50:00 PM,4:16:00 PM,4:42:00 PM,5:08:00 PM,5:34:00 PM,6:00:00 PM,6:26:00 PM,6:52:00 PM,7:18:00 PM,7:44:00 PM,8:10:00 PM,8:36:00 PM,9:02:00 PM,9:28:00 PM,9:54:00 PM,10:19:00 PM,10:45:00 PM,11:11:00 PM,11:37:00 PM
BURNHAMTHORPE RD at MULGROVE DR,7:08:00 AM,7:34:00 AM,8:01:00 AM,8:27:00 AM,8:54:00 AM,9:20:00 AM,9:46:00 AM,10:12:00 AM,10:38:00 AM,11:04:00 AM,11:30:00 AM,11:56:00 AM,12:22:00 PM,12:48:00 PM,1:14:00 PM,1:40:00 PM,2:06:00 PM,2:32:00 PM,2:58:00 PM,3:24:00 PM,3:50:00 PM,4:16:00 PM,4:42:00 PM,5:08:00 PM,5:34:00 PM,6:00:00 PM,6:26:00 PM,6:52:00 PM,7:18:00 PM,7:44:00 PM,8:10:00 PM,8:36:00 PM,9:02:00 PM,9:28:00 PM,9:54:00 PM,10:19:00 PM,10:45:00 PM,11:11:00 PM,11:37:00 PM
BURNHAMTHORPE RD E at PONYTRAIL DR,7:13:00 AM,7:39:00 AM,8:06:00 AM,8:32:00 AM,8:59:00 AM,9:25:00 AM,9:51:00 AM,10:17:00 AM,10:43:00 AM,11:09:00 AM,11:35:00 AM,12:01:00 PM,12:27:00 PM,12:53:00 PM,1:19:00 PM,1:45:00 PM,2:11:00 PM,2:37:00 PM,3:03:00 PM,3:29:00 PM,3:55:00 PM,4:21:00 PM,4:47:00 PM,5:13:00 PM,5:39:00 PM,6:04:00 PM,6:30:00 PM,6:56:00 PM,7:22:00 PM,7:48:00 PM,8:14:00 PM,8:40:00 PM,9:06:00 PM,9:32:00 PM,9:58:00 PM,10:23:00 PM,10:49:00 PM,11:15:00 PM,11:41:00 PM
PONYTRAIL DR at LOOKOUT CRT,7:13:00 AM,7:39:00 AM,8:06:00 AM,8:32:00 AM,8:59:00 AM,9:25:00 AM,9:51:00 AM,10:17:00 AM,10:43:00 AM,11:09:00 AM,11:35:00 AM,12:01:00 PM,12:27:00 PM,12:53:00 PM,1:19:00 PM,1:45:00 PM,2:11:00 PM,2:37:00 PM,3:03:00 PM,3:29:00 PM,3:55:00 PM,4:21:00 PM,4:47:00 PM,5:13:00 PM,5:39:00 PM,6:04:00 PM,6:30:00 PM,6:56:00 PM,7:22:00 PM,7:48:00 PM,8:14:00 PM,8:40:00 PM,9:06:00 PM,9:32:00 PM,9:58:00 PM,10:23:00 PM,10:49:00 PM,11:15:00 PM,11:41:00 PM
RATHBURN RD at DIXIE RD,7:17:00 AM,7:43:00 AM,8:10:00 AM,8:36:00 AM,9:03:00 AM,9:29:00 AM,9:55:00 AM,10:21:00 AM,10:47:00 AM,11:13:00 AM,11:39:00 AM,12:05:00 PM,12:31:00 PM,12:57:00 PM,1:23:00 PM,1:49:00 PM,2:15:00 PM,2:41:00 PM,3:07:00 PM,3:33:00 PM,3:59:00 PM,4:25:00 PM,4:51:00 PM,5:17:00 PM,5:43:00 PM,6:08:00 PM,6:34:00 PM,7:00:00 PM,7:26:00 PM,7:52:00 PM,8:18:00 PM,8:44:00 PM,9:10:00 PM,9:36:00 PM,10:02:00 PM,10:27:00 PM,10:53:00 PM,11:19:00 PM,11:45:00 PM
RATHBURN RD E at TOMKEN RD,7:20:00 AM,7:46:00 AM,8:13:00 AM,8:38:00 AM,9:05:00 AM,9:31:00 AM,9:57:00 AM,10:23:00 AM,10:49:00 AM,11:15:00 AM,11:41:00 AM,12:07:00 PM,12:33:00 PM,12:59:00 PM,1:26:00 PM,1:52:00 PM,2:18:00 PM,2:44:00 PM,3:10:00 PM,3:36:00 PM,4:02:00 PM,4:28:00 PM,4:54:00 PM,5:20:00 PM,5:46:00 PM,6:11:00 PM,6:37:00 PM,7:03:00 PM,7:28:00 PM,7:54:00 PM,8:20:00 PM,8:46:00 PM,9:12:00 PM,9:38:00 PM,10:04:00 PM,10:29:00 PM,10:55:00 PM,11:21:00 PM,11:47:00 PM
RATHBURN RD at WESTMINSTER PLACE,7:21:00 AM,7:47:00 AM,8:14:00 AM,8:39:00 AM,9:06:00 AM,9:32:00 AM,9:58:00 AM,10:24:00 AM,10:50:00 AM,11:16:00 AM,11:42:00 AM,12:08:00 PM,12:34:00 PM,1:00:00 PM,1:27:00 PM,1:53:00 PM,2:19:00 PM,2:45:00 PM,3:11:00 PM,3:37:00 PM,4:03:00 PM,4:29:00 PM,4:55:00 PM,5:21:00 PM,5:47:00 PM,6:12:00 PM,6:38:00 PM,7:04:00 PM,7:29:00 PM,7:55:00 PM,8:21:00 PM,8:47:00 PM,9:13:00 PM,9:39:00 PM,10:05:00 PM,10:30:00 PM,10:56:00 PM,11:22:00 PM,11:48:00 PM
