SHERIDAN CENTRE BUS TERMINAL PLATFORM B,5:09 AM[c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLARKSON GO STATION PLATFORM D,5:17 AM[c],5:41:00 AM,6:05:00 AM,6:29:00 AM,6:53:00 AM,7:17:00 AM,7:41:00 AM,8:05:00 AM,8:29:00 AM,8:53:00 AM,9:17:00 AM,9:40:00 AM,10:02:00 AM,10:22:00 AM,10:41:00 AM,11:00:00 AM,11:19:00 AM,11:38:00 AM,11:57:00 AM,12:16:00 PM,12:35:00 PM,12:54:00 PM,1:13:00 PM,1:32:00 PM,1:51:00 PM,2:10:00 PM,2:29:00 PM,2:48:00 PM,3:07:00 PM,3:26:00 PM,3:45:00 PM,4:04:00 PM,4:23:00 PM,4:42:00 PM,5:01:00 PM,5:20:00 PM,5:39:00 PM,5:58:00 PM,6:19:00 PM,6:41:00 PM,7:05:00 PM,7:29:00 PM,7:53:00 PM,8:17:00 PM,8:41:00 PM,9:05:00 PM,9:29:00 PM,9:53:00 PM,10:17:00 PM,10:41:00 PM,11:05:00 PM,11:29:00 PM,11:53:00 PM,12:17:00 AM
LAKESHORE RD W at MEADOW WOOD RD,5:22 AM[c],5:46:00 AM,6:10:00 AM,6:34:00 AM,6:58:00 AM,7:22:00 AM,7:46:00 AM,8:10:00 AM,8:34:00 AM,8:58:00 AM,9:22:00 AM,9:45:00 AM,10:07:00 AM,10:27:00 AM,10:46:00 AM,11:05:00 AM,11:24:00 AM,11:43:00 AM,12:02:00 PM,12:21:00 PM,12:40:00 PM,12:59:00 PM,1:18:00 PM,1:37:00 PM,1:56:00 PM,2:15:00 PM,2:34:00 PM,2:53:00 PM,3:12:00 PM,3:31:00 PM,3:50:00 PM,4:09:00 PM,4:28:00 PM,4:47:00 PM,5:06:00 PM,5:25:00 PM,5:44:00 PM,6:03:00 PM,6:24:00 PM,6:46:00 PM,7:10:00 PM,7:34:00 PM,7:58:00 PM,8:22:00 PM,8:46:00 PM,9:10:00 PM,9:34:00 PM,9:58:00 PM,10:22:00 PM,10:46:00 PM,11:10:00 PM,11:34:00 PM,11:58:00 PM,12:22:00 AM
LAKESHORE RD W at TENNYSON AVE,5:26 AM[c],5:50:00 AM,6:14:00 AM,6:38:00 AM,7:02:00 AM,7:26:00 AM,7:50:00 AM,8:14:00 AM,8:38:00 AM,9:02:00 AM,9:26:00 AM,9:49:00 AM,10:11:00 AM,10:31:00 AM,10:50:00 AM,11:09:00 AM,11:28:00 AM,11:47:00 AM,12:06:00 PM,12:25:00 PM,12:44:00 PM,1:03:00 PM,1:22:00 PM,1:41:00 PM,2:00:00 PM,2:19:00 PM,2:38:00 PM,2:57:00 PM,3:16:00 PM,3:35:00 PM,3:54:00 PM,4:13:00 PM,4:32:00 PM,4:51:00 PM,5:10:00 PM,5:29:00 PM,5:48:00 PM,6:07:00 PM,6:28:00 PM,6:50:00 PM,7:14:00 PM,7:38:00 PM,8:02:00 PM,8:26:00 PM,8:50:00 PM,9:14:00 PM,9:38:00 PM,10:02:00 PM,10:26:00 PM,10:50:00 PM,11:14:00 PM,11:38:00 PM,12:02:00 AM,12:26:00 AM
LAKESHORE RD W at MISSISSAUGA RD,5:30 AM[c],5:54:00 AM,6:18:00 AM,6:42:00 AM,7:06:00 AM,7:30:00 AM,7:54:00 AM,8:18:00 AM,8:42:00 AM,9:06:00 AM,9:31:00 AM,9:54:00 AM,10:16:00 AM,10:36:00 AM,10:55:00 AM,11:14:00 AM,11:33:00 AM,11:52:00 AM,12:11:00 PM,12:30:00 PM,12:49:00 PM,1:08:00 PM,1:27:00 PM,1:46:00 PM,2:05:00 PM,2:24:00 PM,2:43:00 PM,3:02:00 PM,3:21:00 PM,3:40:00 PM,3:58:00 PM,4:17:00 PM,4:36:00 PM,4:55:00 PM,5:14:00 PM,5:33:00 PM,5:52:00 PM,6:11:00 PM,6:32:00 PM,6:54:00 PM,7:18:00 PM,7:42:00 PM,8:06:00 PM,8:30:00 PM,8:54:00 PM,9:18:00 PM,9:42:00 PM,10:06:00 PM,10:30:00 PM,10:54:00 PM,11:18:00 PM,11:42:00 PM,12:06:00 AM,12:30:00 AM
PORT CREDIT GO STATION PLATFORM E,5:36 AM[c],5:59:00 AM,6:23:00 AM,6:47:00 AM,7:11:00 AM,7:35:00 AM,7:59:00 AM,8:23:00 AM,8:48:00 AM,9:12:00 AM,9:37:00 AM,10:00:00 AM,10:22:00 AM,10:42:00 AM,11:01:00 AM,11:20:00 AM,11:39:00 AM,11:58:00 AM,12:17:00 PM,12:36:00 PM,12:55:00 PM,1:14:00 PM,1:33:00 PM,1:52:00 PM,2:11:00 PM,2:30:00 PM,2:49:00 PM,3:08:00 PM,3:27:00 PM,3:46:00 PM,4:04:00 PM,4:23:00 PM,4:42:00 PM,5:01:00 PM,5:20:00 PM,5:39:00 PM,5:58:00 PM,6:17:00 PM,6:38:00 PM,7:00:00 PM,7:24:00 PM,7:48:00 PM,8:12:00 PM,8:35:00 PM,8:59:00 PM,9:23:00 PM,9:47:00 PM,10:11:00 PM,10:35:00 PM,10:59:00 PM,11:23:00 PM,11:47:00 PM,12:11:00 AM,12:35:00 AM
LAKESHORE RD E at PORT ST,5:39 AM[c],6:02:00 AM,6:26:00 AM,6:50:00 AM,7:14:00 AM,7:38:00 AM,8:02:00 AM,8:26:00 AM,8:51:00 AM,9:15:00 AM,9:40:00 AM,10:03:00 AM,10:25:00 AM,10:45:00 AM,11:04:00 AM,11:23:00 AM,11:42:00 AM,12:01:00 PM,12:20:00 PM,12:39:00 PM,12:58:00 PM,1:17:00 PM,1:36:00 PM,1:55:00 PM,2:14:00 PM,2:33:00 PM,2:52:00 PM,3:11:00 PM,3:30:00 PM,3:49:00 PM,4:07:00 PM,4:26:00 PM,4:45:00 PM,5:04:00 PM,5:23:00 PM,5:42:00 PM,6:01:00 PM,6:20:00 PM,6:41:00 PM,7:03:00 PM,7:27:00 PM,7:51:00 PM,8:15:00 PM,8:38:00 PM,9:02:00 PM,9:26:00 PM,9:50:00 PM,10:14:00 PM,10:38:00 PM,11:02:00 PM,11:26:00 PM,11:50:00 PM,12:14:00 AM,12:38:00 AM
LAKESHORE RD E at CAWTHRA RD,5:43 AM[c],6:06:00 AM,6:30:00 AM,6:54:00 AM,7:18:00 AM,7:42:00 AM,8:06:00 AM,8:30:00 AM,8:55:00 AM,9:19:00 AM,9:44:00 AM,10:07:00 AM,10:29:00 AM,10:49:00 AM,11:08:00 AM,11:27:00 AM,11:46:00 AM,12:05:00 PM,12:24:00 PM,12:43:00 PM,1:02:00 PM,1:21:00 PM,1:40:00 PM,1:59:00 PM,2:18:00 PM,2:37:00 PM,2:56:00 PM,3:15:00 PM,3:34:00 PM,3:53:00 PM,4:11:00 PM,4:30:00 PM,4:49:00 PM,5:08:00 PM,5:27:00 PM,5:46:00 PM,6:05:00 PM,6:24:00 PM,6:45:00 PM,7:07:00 PM,7:31:00 PM,7:55:00 PM,8:19:00 PM,8:42:00 PM,9:06:00 PM,9:30:00 PM,9:54:00 PM,10:18:00 PM,10:42:00 PM,11:06:00 PM,11:30:00 PM,11:54:00 PM,12:18:00 AM,12:42:00 AM
LAKESHORE RD E at MONTBECK CRES,5:43 AM[c],6:06:00 AM,6:30:00 AM,6:54:00 AM,7:18:00 AM,7:42:00 AM,8:06:00 AM,8:30:00 AM,8:55:00 AM,9:19:00 AM,9:44:00 AM,10:07:00 AM,10:29:00 AM,10:49:00 AM,11:08:00 AM,11:27:00 AM,11:46:00 AM,12:05:00 PM,12:24:00 PM,12:43:00 PM,1:02:00 PM,1:21:00 PM,1:40:00 PM,1:59:00 PM,2:18:00 PM,2:37:00 PM,2:56:00 PM,3:15:00 PM,3:34:00 PM,3:53:00 PM,4:11:00 PM,4:30:00 PM,4:49:00 PM,5:08:00 PM,5:27:00 PM,5:46:00 PM,6:05:00 PM,6:24:00 PM,6:45:00 PM,7:07:00 PM,7:31:00 PM,7:55:00 PM,8:19:00 PM,8:42:00 PM,9:06:00 PM,9:30:00 PM,9:54:00 PM,10:18:00 PM,10:42:00 PM,11:06:00 PM,11:30:00 PM,11:54:00 PM,12:18:00 AM,12:42:00 AM
LAKESHORE RD E at STRATHY AVE,5:46 AM[c],6:09:00 AM,6:33:00 AM,6:57:00 AM,7:21:00 AM,7:45:00 AM,8:09:00 AM,8:33:00 AM,8:58:00 AM,9:22:00 AM,9:47:00 AM,10:10:00 AM,10:32:00 AM,10:52:00 AM,11:11:00 AM,11:30:00 AM,11:49:00 AM,12:08:00 PM,12:27:00 PM,12:46:00 PM,1:05:00 PM,1:24:00 PM,1:43:00 PM,2:02:00 PM,2:21:00 PM,2:40:00 PM,2:59:00 PM,3:18:00 PM,3:37:00 PM,3:56:00 PM,4:14:00 PM,4:33:00 PM,4:52:00 PM,5:11:00 PM,5:30:00 PM,5:49:00 PM,6:08:00 PM,6:27:00 PM,6:48:00 PM,7:10:00 PM,7:34:00 PM,7:58:00 PM,8:22:00 PM,8:45:00 PM,9:09:00 PM,9:33:00 PM,9:57:00 PM,10:21:00 PM,10:45:00 PM,11:09:00 PM,11:33:00 PM,11:57:00 PM,12:21:00 AM,12:45:00 AM
LONG BRANCH GO STATION,5:50 AM[c],6:12:00 AM,6:36:00 AM,7:00:00 AM,7:24:00 AM,7:48:00 AM,8:12:00 AM,8:36:00 AM,9:01:00 AM,9:25:00 AM,9:51:00 AM,10:14:00 AM,10:36:00 AM,10:56:00 AM,11:15:00 AM,11:34:00 AM,11:53:00 AM,12:12:00 PM,12:31:00 PM,12:50:00 PM,1:09:00 PM,1:28:00 PM,1:47:00 PM,2:06:00 PM,2:25:00 PM,2:44:00 PM,3:03:00 PM,3:22:00 PM,3:41:00 PM,4:00:00 PM,4:18:00 PM,4:37:00 PM,4:56:00 PM,5:15:00 PM,5:34:00 PM,5:53:00 PM,6:12:00 PM,6:31:00 PM,6:52:00 PM,7:14:00 PM,7:38:00 PM,8:02:00 PM,8:26:00 PM,8:48:00 PM,9:12:00 PM,9:36:00 PM,10:00:00 PM,10:24:00 PM,10:48:00 PM,11:12:00 PM,11:36:00 PM,12:00:00 AM,12:24:00 AM,12:48:00 AM
