ERIN MILLS TOWN CENTRE BUS TERMINAL PLATFORM B,5:32:00 AM,6:02:00 AM,6:32:00 AM,7:02:00 AM,7:32:00 AM,8:02:00 AM,8:32:00 AM,9:02:00 AM,9:32:00 AM,10:02:00 AM,10:32:00 AM,11:02:00 AM,11:32:00 AM,12:02:00 PM,12:34:00 PM,1:02:00 PM,1:32:00 PM,2:02:00 PM,2:32:00 PM,3:02:00 PM,3:32:00 PM,4:02:00 PM,4:32:00 PM,5:02:00 PM,5:32:00 PM,6:02:00 PM,6:32:00 PM,7:02:00 PM,7:32:00 PM,8:02:00 PM,8:32:00 PM,9:02:00 PM,9:32:00 PM,10:02:00 PM,10:32:00 PM,11:02:00 PM,11:32:00 PM
ERIN CENTRE BLVD at GLEN ERIN DR,5:34:00 AM,6:04:00 AM,6:34:00 AM,7:04:00 AM,7:34:00 AM,8:04:00 AM,8:34:00 AM,9:04:00 AM,9:34:00 AM,10:04:00 AM,10:34:00 AM,11:04:00 AM,11:34:00 AM,12:04:00 PM,12:36:00 PM,1:04:00 PM,1:34:00 PM,2:04:00 PM,2:34:00 PM,3:04:00 PM,3:34:00 PM,4:04:00 PM,4:34:00 PM,5:04:00 PM,5:34:00 PM,6:04:00 PM,6:34:00 PM,7:04:00 PM,7:34:00 PM,8:04:00 PM,8:34:00 PM,9:04:00 PM,9:34:00 PM,10:04:00 PM,10:34:00 PM,11:04:00 PM,11:34:00 PM
EGLINTON AVE at WINSTON CHURCHILL BLVD,5:38:00 AM,6:08:00 AM,6:38:00 AM,7:09:00 AM,7:39:00 AM,8:09:00 AM,8:39:00 AM,9:09:00 AM,9:39:00 AM,10:09:00 AM,10:39:00 AM,11:09:00 AM,11:39:00 AM,12:09:00 PM,12:41:00 PM,1:09:00 PM,1:39:00 PM,2:09:00 PM,2:39:00 PM,3:09:00 PM,3:39:00 PM,4:09:00 PM,4:39:00 PM,5:09:00 PM,5:39:00 PM,6:09:00 PM,6:39:00 PM,7:09:00 PM,7:39:00 PM,8:09:00 PM,8:39:00 PM,9:09:00 PM,9:39:00 PM,10:09:00 PM,10:39:00 PM,11:09:00 PM,11:39:00 PM
EGLINTON AVE at METCALFE AVE,5:41:00 AM,6:11:00 AM,6:41:00 AM,7:12:00 AM,7:42:00 AM,8:12:00 AM,8:42:00 AM,9:12:00 AM,9:42:00 AM,10:12:00 AM,10:42:00 AM,11:12:00 AM,11:42:00 AM,12:12:00 PM,12:44:00 PM,1:12:00 PM,1:42:00 PM,2:12:00 PM,2:42:00 PM,3:12:00 PM,3:42:00 PM,4:12:00 PM,4:42:00 PM,5:12:00 PM,5:42:00 PM,6:12:00 PM,6:42:00 PM,7:12:00 PM,7:42:00 PM,8:12:00 PM,8:42:00 PM,9:12:00 PM,9:42:00 PM,10:12:00 PM,10:42:00 PM,11:12:00 PM,11:42:00 PM
CREDIT VALLEY HOSPITAL[c],5:43:00 AM,6:13:00 AM,6:43:00 AM,7:14:00 AM,7:44:00 AM,8:14:00 AM,8:44:00 AM,9:14:00 AM,9:44:00 AM,10:14:00 AM,10:44:00 AM,11:14:00 AM,11:44:00 AM,12:14:00 PM,12:46:00 PM,1:14:00 PM,1:44:00 PM,2:14:00 PM,2:44:00 PM,3:14:00 PM,3:44:00 PM,4:14:00 PM,4:44:00 PM,5:14:00 PM,5:44:00 PM,6:14:00 PM,6:44:00 PM,7:14:00 PM,7:44:00 PM,8:14:00 PM,8:44:00 PM,9:14:00 PM,9:44:00 PM,10:14:00 PM,10:44:00 PM,11:14:00 PM,11:44:00 PM
EGLINTON AVE at MISSISSAUGA RD,5:47:00 AM,6:17:00 AM,6:47:00 AM,7:18:00 AM,7:48:00 AM,8:18:00 AM,8:48:00 AM,9:18:00 AM,9:48:00 AM,10:18:00 AM,10:48:00 AM,11:18:00 AM,11:48:00 AM,12:18:00 PM,12:50:00 PM,1:18:00 PM,1:48:00 PM,2:18:00 PM,2:48:00 PM,3:18:00 PM,3:48:00 PM,4:18:00 PM,4:48:00 PM,5:18:00 PM,5:48:00 PM,6:18:00 PM,6:48:00 PM,7:18:00 PM,7:48:00 PM,8:18:00 PM,8:48:00 PM,9:18:00 PM,9:48:00 PM,10:18:00 PM,10:48:00 PM,11:18:00 PM,11:48:00 PM
EGLINTON AVE at MISSISSAUGA RD,5:47:00 AM,6:17:00 AM,6:47:00 AM,7:18:00 AM,7:48:00 AM,8:18:00 AM,8:48:00 AM,9:18:00 AM,9:48:00 AM,10:18:00 AM,10:48:00 AM,11:18:00 AM,11:48:00 AM,12:18:00 PM,12:50:00 PM,1:18:00 PM,1:48:00 PM,2:18:00 PM,2:48:00 PM,3:18:00 PM,3:48:00 PM,4:18:00 PM,4:48:00 PM,5:18:00 PM,5:48:00 PM,6:18:00 PM,6:48:00 PM,7:18:00 PM,7:48:00 PM,8:18:00 PM,8:48:00 PM,9:18:00 PM,9:48:00 PM,10:18:00 PM,10:48:00 PM,11:18:00 PM,11:48:00 PM
EGLINTON AVE W at CREDITVIEW RD,5:50:00 AM,6:20:00 AM,6:50:00 AM,7:21:00 AM,7:51:00 AM,8:21:00 AM,8:51:00 AM,9:21:00 AM,9:51:00 AM,10:21:00 AM,10:51:00 AM,11:21:00 AM,11:51:00 AM,12:21:00 PM,12:53:00 PM,1:21:00 PM,1:51:00 PM,2:21:00 PM,2:51:00 PM,3:21:00 PM,3:51:00 PM,4:21:00 PM,4:51:00 PM,5:21:00 PM,5:51:00 PM,6:21:00 PM,6:51:00 PM,7:21:00 PM,7:51:00 PM,8:21:00 PM,8:51:00 PM,9:21:00 PM,9:51:00 PM,10:21:00 PM,10:51:00 PM,11:21:00 PM,11:51:00 PM
EGLINTON AVE W east of CREDITVIEW RD,5:50:00 AM,6:20:00 AM,6:50:00 AM,7:21:00 AM,7:51:00 AM,8:21:00 AM,8:51:00 AM,9:21:00 AM,9:51:00 AM,10:21:00 AM,10:51:00 AM,11:21:00 AM,11:51:00 AM,12:21:00 PM,12:53:00 PM,1:21:00 PM,1:51:00 PM,2:21:00 PM,2:51:00 PM,3:21:00 PM,3:51:00 PM,4:21:00 PM,4:51:00 PM,5:21:00 PM,5:51:00 PM,6:21:00 PM,6:51:00 PM,7:21:00 PM,7:51:00 PM,8:21:00 PM,8:51:00 PM,9:21:00 PM,9:51:00 PM,10:21:00 PM,10:51:00 PM,11:21:00 PM,11:51:00 PM
EGLINTON AVE W at MAVIS RD,5:56:00 AM,6:26:00 AM,6:56:00 AM,7:27:00 AM,7:57:00 AM,8:27:00 AM,8:57:00 AM,9:27:00 AM,9:57:00 AM,10:27:00 AM,10:57:00 AM,11:27:00 AM,11:57:00 AM,12:27:00 PM,12:59:00 PM,1:27:00 PM,1:57:00 PM,2:27:00 PM,2:57:00 PM,3:27:00 PM,3:57:00 PM,4:27:00 PM,4:57:00 PM,5:27:00 PM,5:57:00 PM,6:27:00 PM,6:57:00 PM,7:27:00 PM,7:57:00 PM,8:27:00 PM,8:57:00 PM,9:27:00 PM,9:57:00 PM,10:27:00 PM,10:57:00 PM,11:27:00 PM,11:57:00 PM
