CITY CENTRE BUS TERMINAL PLATFORM J,6:17:00 AM,6:47:00 AM,7:17:00 AM,7:47:00 AM,8:17:00 AM,8:47:00 AM,9:17:00 AM,9:47:00 AM,10:17:00 AM,10:47:00 AM,11:17:00 AM,11:47:00 AM,12:17:00 PM,12:47:00 PM,1:17:00 PM,1:47:00 PM,2:17:00 PM,2:47:00 PM,3:17:00 PM,3:47:00 PM,4:17:00 PM,4:47:00 PM,5:17:00 PM,5:47:00 PM,6:17:00 PM,6:47:00 PM,7:17:00 PM,7:47:00 PM,8:17:00 PM,8:47:00 PM,9:17:00 PM,9:47:00 PM,10:17:00 PM,10:47:00 PM,11:17:00 PM,11:47:00 PM,12:17:00 AM
KINGSBRIDGE GARDEN CIRCLE at TUCANA CRT,6:23:00 AM,6:53:00 AM,7:23:00 AM,7:53:00 AM,8:23:00 AM,8:53:00 AM,9:23:00 AM,9:53:00 AM,10:23:00 AM,10:53:00 AM,11:23:00 AM,11:53:00 AM,12:23:00 PM,12:53:00 PM,1:23:00 PM,1:53:00 PM,2:23:00 PM,2:53:00 PM,3:23:00 PM,3:53:00 PM,4:23:00 PM,4:53:00 PM,5:23:00 PM,5:53:00 PM,6:23:00 PM,6:53:00 PM,7:23:00 PM,7:53:00 PM,8:23:00 PM,8:53:00 PM,9:23:00 PM,9:53:00 PM,10:23:00 PM,10:53:00 PM,11:23:00 PM,11:53:00 PM,12:23:00 AM
EGLINTON AVE at MCLAUGHLIN RD,6:28:00 AM,6:58:00 AM,7:28:00 AM,7:58:00 AM,8:28:00 AM,8:58:00 AM,9:28:00 AM,9:58:00 AM,10:28:00 AM,10:58:00 AM,11:28:00 AM,11:58:00 AM,12:28:00 PM,12:58:00 PM,1:28:00 PM,1:58:00 PM,2:28:00 PM,2:58:00 PM,3:28:00 PM,3:58:00 PM,4:28:00 PM,4:58:00 PM,5:28:00 PM,5:58:00 PM,6:28:00 PM,6:58:00 PM,7:28:00 PM,7:58:00 PM,8:28:00 PM,8:58:00 PM,9:28:00 PM,9:58:00 PM,10:28:00 PM,10:58:00 PM,11:28:00 PM,11:58:00 PM,12:28:00 AM
EGLINTON AVE at MAVIS RD,6:30:00 AM,7:00:00 AM,7:30:00 AM,8:00:00 AM,8:30:00 AM,9:01:00 AM,9:31:00 AM,10:01:00 AM,10:31:00 AM,11:01:00 AM,11:31:00 AM,12:01:00 PM,12:31:00 PM,1:01:00 PM,1:31:00 PM,2:01:00 PM,2:31:00 PM,3:01:00 PM,3:31:00 PM,4:01:00 PM,4:31:00 PM,5:01:00 PM,5:31:00 PM,6:01:00 PM,6:31:00 PM,7:01:00 PM,7:31:00 PM,8:01:00 PM,8:31:00 PM,9:01:00 PM,9:31:00 PM,10:01:00 PM,10:31:00 PM,11:00:00 PM,11:30:00 PM,12:00:00 AM,12:30:00 AM
EGLINTON AVE at CREDITVIEW RD,6:35:00 AM,7:05:00 AM,7:35:00 AM,8:05:00 AM,8:35:00 AM,9:06:00 AM,9:36:00 AM,10:06:00 AM,10:36:00 AM,11:06:00 AM,11:36:00 AM,12:06:00 PM,12:36:00 PM,1:06:00 PM,1:36:00 PM,2:06:00 PM,2:36:00 PM,3:06:00 PM,3:36:00 PM,4:06:00 PM,4:36:00 PM,5:06:00 PM,5:36:00 PM,6:06:00 PM,6:36:00 PM,7:06:00 PM,7:36:00 PM,8:06:00 PM,8:36:00 PM,9:06:00 PM,9:36:00 PM,10:06:00 PM,10:36:00 PM,11:05:00 PM,11:35:00 PM,12:05:00 AM,12:35:00 AM
EGLINTON AVE west of CREDITVIEW RD,6:35:00 AM,7:05:00 AM,7:35:00 AM,8:05:00 AM,8:35:00 AM,9:06:00 AM,9:36:00 AM,10:06:00 AM,10:36:00 AM,11:06:00 AM,11:36:00 AM,12:06:00 PM,12:36:00 PM,1:06:00 PM,1:36:00 PM,2:06:00 PM,2:36:00 PM,3:06:00 PM,3:36:00 PM,4:06:00 PM,4:36:00 PM,5:06:00 PM,5:36:00 PM,6:06:00 PM,6:36:00 PM,7:06:00 PM,7:36:00 PM,8:06:00 PM,8:36:00 PM,9:06:00 PM,9:36:00 PM,10:06:00 PM,10:36:00 PM,11:05:00 PM,11:35:00 PM,12:05:00 AM,12:35:00 AM
EGLINTON AVE at MISSISSAUGA RD,6:38:00 AM,7:08:00 AM,7:38:00 AM,8:08:00 AM,8:38:00 AM,9:09:00 AM,9:39:00 AM,10:09:00 AM,10:39:00 AM,11:09:00 AM,11:39:00 AM,12:09:00 PM,12:39:00 PM,1:09:00 PM,1:39:00 PM,2:09:00 PM,2:39:00 PM,3:09:00 PM,3:39:00 PM,4:09:00 PM,4:39:00 PM,5:09:00 PM,5:39:00 PM,6:09:00 PM,6:39:00 PM,7:09:00 PM,7:39:00 PM,8:09:00 PM,8:39:00 PM,9:09:00 PM,9:39:00 PM,10:09:00 PM,10:39:00 PM,11:08:00 PM,11:38:00 PM,12:08:00 AM,12:38:00 AM
CREDIT VALLEY HOSPITAL[c],6:42:00 AM,7:12:00 AM,7:42:00 AM,8:12:00 AM,8:42:00 AM,9:13:00 AM,9:43:00 AM,10:13:00 AM,10:43:00 AM,11:13:00 AM,11:43:00 AM,12:13:00 PM,12:43:00 PM,1:13:00 PM,1:43:00 PM,2:13:00 PM,2:43:00 PM,3:13:00 PM,3:43:00 PM,4:13:00 PM,4:43:00 PM,5:13:00 PM,5:43:00 PM,6:13:00 PM,6:43:00 PM,7:13:00 PM,7:43:00 PM,8:13:00 PM,8:43:00 PM,9:13:00 PM,9:43:00 PM,10:13:00 PM,10:43:00 PM,11:12:00 PM,11:42:00 PM,12:12:00 AM,12:42:00 AM
EGLINTON AVE at ERIN MILLS TOWN CENTRE SOUTH GATE,6:44:00 AM,7:14:00 AM,7:44:00 AM,8:14:00 AM,8:45:00 AM,9:16:00 AM,9:46:00 AM,10:16:00 AM,10:46:00 AM,11:16:00 AM,11:46:00 AM,12:16:00 PM,12:46:00 PM,1:16:00 PM,1:46:00 PM,2:16:00 PM,2:46:00 PM,3:16:00 PM,3:46:00 PM,4:16:00 PM,4:46:00 PM,5:16:00 PM,5:46:00 PM,6:16:00 PM,6:46:00 PM,7:16:00 PM,7:46:00 PM,8:16:00 PM,8:46:00 PM,9:16:00 PM,9:46:00 PM,10:16:00 PM,10:45:00 PM,11:14:00 PM,11:44:00 PM,12:14:00 AM,12:44:00 AM
EGLINTON AVE at WINSTON CHURCHILL BLVD,6:47:00 AM,7:17:00 AM,7:47:00 AM,8:17:00 AM,8:48:00 AM,9:19:00 AM,9:49:00 AM,10:19:00 AM,10:49:00 AM,11:19:00 AM,11:49:00 AM,12:19:00 PM,12:49:00 PM,1:19:00 PM,1:49:00 PM,2:19:00 PM,2:49:00 PM,3:19:00 PM,3:49:00 PM,4:19:00 PM,4:49:00 PM,5:19:00 PM,5:49:00 PM,6:19:00 PM,6:49:00 PM,7:19:00 PM,7:49:00 PM,8:19:00 PM,8:49:00 PM,9:19:00 PM,9:49:00 PM,10:19:00 PM,10:48:00 PM,11:17:00 PM,11:47:00 PM,12:17:00 AM,12:47:00 AM
ERIN CENTRE BLVD at GLEN ERIN DR,6:50:00 AM,7:20:00 AM,7:50:00 AM,8:20:00 AM,8:51:00 AM,9:22:00 AM,9:52:00 AM,10:22:00 AM,10:52:00 AM,11:22:00 AM,11:52:00 AM,12:22:00 PM,12:52:00 PM,1:22:00 PM,1:52:00 PM,2:22:00 PM,2:52:00 PM,3:22:00 PM,3:52:00 PM,4:22:00 PM,4:52:00 PM,5:22:00 PM,5:52:00 PM,6:22:00 PM,6:52:00 PM,7:22:00 PM,7:52:00 PM,8:22:00 PM,8:52:00 PM,9:22:00 PM,9:52:00 PM,10:22:00 PM,10:51:00 PM,11:20:00 PM,11:50:00 PM,12:20:00 AM,12:50:00 AM
ERIN MILLS TOWN CENTRE BUS TERMINAL PLATFORM B,6:53:00 AM,7:23:00 AM,7:53:00 AM,8:23:00 AM,8:54:00 AM,9:25:00 AM,9:55:00 AM,10:25:00 AM,10:55:00 AM,11:25:00 AM,11:55:00 AM,12:25:00 PM,12:55:00 PM,1:25:00 PM,1:55:00 PM,2:25:00 PM,2:55:00 PM,3:25:00 PM,3:55:00 PM,4:25:00 PM,4:55:00 PM,5:25:00 PM,5:55:00 PM,6:25:00 PM,6:55:00 PM,7:25:00 PM,7:55:00 PM,8:25:00 PM,8:55:00 PM,9:25:00 PM,9:55:00 PM,10:25:00 PM,10:54:00 PM,11:23:00 PM,11:53:00 PM,12:23:00 AM,12:53:00 AM
