ERIN CENTRE BLVD at LONGFORD DR,6:20:00 AM,6:50:00 AM,7:20:00 AM,7:50:00 AM,8:20:00 AM,8:50:00 AM,9:20:00 AM,9:50:00 AM,10:25:00 AM,11:00:00 AM,11:35:00 AM,12:10:00 PM,12:45:00 PM,1:20:00 PM,1:55:00 PM,2:30:00 PM,3:05:00 PM,3:40:00 PM,4:15:00 PM,4:50:00 PM,5:25:00 PM,6:00:00 PM,6:33:00 PM,7:05:00 PM,7:37:00 PM,8:09:00 PM,8:39:00 PM,9:09:00 PM,9:39:00 PM,10:09:00 PM,10:32 PM[d],11:02 PM[d],11:32 PM[d],12:02 AM[d]
TENTH LINE at PERENNIAL DR,6:23:00 AM,6:53:00 AM,7:23:00 AM,7:53:00 AM,8:23:00 AM,8:53:00 AM,9:23:00 AM,9:53:00 AM,10:28:00 AM,11:04:00 AM,11:39:00 AM,12:14:00 PM,12:49:00 PM,1:24:00 PM,1:59:00 PM,2:34:00 PM,3:09:00 PM,3:44:00 PM,4:19:00 PM,4:54:00 PM,5:29:00 PM,6:04:00 PM,6:37:00 PM,7:09:00 PM,7:41:00 PM,8:12:00 PM,8:42:00 PM,9:12:00 PM,9:42:00 PM,10:12:00 PM,10:35 PM[d],11:05 PM[d],11:35 PM[d],12:05 AM[d]
EGLINTON AVE at MIDDLESEX GATE,6:24:00 AM,6:54:00 AM,7:24:00 AM,7:54:00 AM,8:24:00 AM,8:54:00 AM,9:24:00 AM,9:54:00 AM,10:29:00 AM,11:05:00 AM,11:40:00 AM,12:15:00 PM,12:50:00 PM,1:25:00 PM,2:00:00 PM,2:35:00 PM,3:10:00 PM,3:45:00 PM,4:20:00 PM,4:55:00 PM,5:30:00 PM,6:05:00 PM,6:38:00 PM,7:10:00 PM,7:42:00 PM,8:13:00 PM,8:43:00 PM,9:13:00 PM,9:43:00 PM,10:13:00 PM,,,,
EGLINTON AVE W at ERIN MILLS PKY,6:29:00 AM,6:59:00 AM,7:29:00 AM,7:59:00 AM,8:29:00 AM,8:59:00 AM,9:29:00 AM,9:59:00 AM,10:35:00 AM,11:11:00 AM,11:46:00 AM,12:21:00 PM,12:56:00 PM,1:31:00 PM,2:06:00 PM,2:41:00 PM,3:15:00 PM,3:50:00 PM,4:25:00 PM,5:00:00 PM,5:35:00 PM,6:10:00 PM,6:42:00 PM,7:14:00 PM,7:46:00 PM,8:17:00 PM,8:47:00 PM,9:17:00 PM,9:47:00 PM,10:17:00 PM,,,,
EGLINTON AVE W at CREDITVIEW RD,6:33:00 AM,7:03:00 AM,7:33:00 AM,8:03:00 AM,8:33:00 AM,9:03:00 AM,9:33:00 AM,10:03:00 AM,10:40:00 AM,11:16:00 AM,11:51:00 AM,12:26:00 PM,1:01:00 PM,1:36:00 PM,2:11:00 PM,2:46:00 PM,3:20:00 PM,3:55:00 PM,4:30:00 PM,5:04:00 PM,5:39:00 PM,6:14:00 PM,6:46:00 PM,7:18:00 PM,7:50:00 PM,8:21:00 PM,8:51:00 PM,9:21:00 PM,9:51:00 PM,10:21:00 PM,,,,
EGLINTON AVE W east of CREDITVIEW RD,6:33:00 AM,7:03:00 AM,7:33:00 AM,8:03:00 AM,8:33:00 AM,9:03:00 AM,9:33:00 AM,10:03:00 AM,10:40:00 AM,11:16:00 AM,11:51:00 AM,12:26:00 PM,1:01:00 PM,1:36:00 PM,2:11:00 PM,2:46:00 PM,3:20:00 PM,3:55:00 PM,4:30:00 PM,5:04:00 PM,5:39:00 PM,6:14:00 PM,6:46:00 PM,7:18:00 PM,7:50:00 PM,8:21:00 PM,8:51:00 PM,9:21:00 PM,9:51:00 PM,10:21:00 PM,,,,
EGLINTON AVE W at MAVIS RD,6:38:00 AM,7:08:00 AM,7:38:00 AM,8:08:00 AM,8:38:00 AM,9:08:00 AM,9:38:00 AM,10:08:00 AM,10:46:00 AM,11:22:00 AM,11:57:00 AM,12:32:00 PM,1:07:00 PM,1:42:00 PM,2:17:00 PM,2:52:00 PM,3:26:00 PM,4:01:00 PM,4:36:00 PM,5:10:00 PM,5:44:00 PM,6:19:00 PM,6:51:00 PM,7:23:00 PM,7:55:00 PM,8:26:00 PM,8:56:00 PM,9:26:00 PM,9:56:00 PM,10:26:00 PM,,,,
EGLINTON AVE W east of KINGSBRIDGE GARDEN CIRCLE,6:42:00 AM,7:12:00 AM,7:42:00 AM,8:12:00 AM,8:42:00 AM,9:12:00 AM,9:42:00 AM,10:12:00 AM,10:52:00 AM,11:28:00 AM,12:03:00 PM,12:38:00 PM,1:13:00 PM,1:48:00 PM,2:23:00 PM,2:58:00 PM,3:32:00 PM,4:07:00 PM,4:42:00 PM,5:16:00 PM,5:49:00 PM,6:24:00 PM,6:56:00 PM,7:28:00 PM,8:00:00 PM,8:30:00 PM,9:00:00 PM,9:30:00 PM,10:00:00 PM,10:30:00 PM,,,,
EGLINTON AVE W at HURONTARIO ST,6:42:00 AM,7:12:00 AM,7:42:00 AM,8:12:00 AM,8:42:00 AM,9:12:00 AM,9:42:00 AM,10:12:00 AM,10:52:00 AM,11:28:00 AM,12:03:00 PM,12:38:00 PM,1:13:00 PM,1:48:00 PM,2:23:00 PM,2:58:00 PM,3:32:00 PM,4:07:00 PM,4:42:00 PM,5:16:00 PM,5:49:00 PM,6:24:00 PM,6:56:00 PM,7:28:00 PM,8:00:00 PM,8:30:00 PM,9:00:00 PM,9:30:00 PM,10:00:00 PM,10:30:00 PM,,,,
EGLINTON AVE E east of HURONTARIO ST,6:43:00 AM,7:13:00 AM,7:43:00 AM,8:13:00 AM,8:43:00 AM,9:13:00 AM,9:43:00 AM,10:13:00 AM,10:53:00 AM,11:29:00 AM,12:04:00 PM,12:39:00 PM,1:14:00 PM,1:49:00 PM,2:24:00 PM,2:59:00 PM,3:33:00 PM,4:08:00 PM,4:43:00 PM,5:17:00 PM,5:50:00 PM,6:25:00 PM,6:57:00 PM,7:29:00 PM,8:01:00 PM,8:31:00 PM,9:01:00 PM,9:31:00 PM,10:01:00 PM,10:31:00 PM,,,,
