ISLINGTON SUBWAY BUS TERMINAL PLATFORM B,7:23:00 AM,7:53:00 AM,8:23:00 AM,8:53:00 AM,9:24:00 AM,9:56:00 AM,10:29:00 AM,11:04:00 AM,11:39:00 AM,12:14:00 PM,12:49:00 PM,1:24:00 PM,1:59:00 PM,2:34:00 PM,3:09:00 PM,3:44:00 PM,4:19:00 PM,4:54:00 PM,5:29:00 PM,6:03:00 PM,6:36:00 PM,7:08:00 PM,7:39:00 PM,8:09:00 PM,8:39:00 PM,9:09:00 PM,9:39:00 PM,10:09:00 PM,10:39:00 PM,11:09:00 PM,,,,
DUNDAS ST at BILLINGHAM RD,7:29:00 AM,7:59:00 AM,8:29:00 AM,8:59:00 AM,9:30:00 AM,10:02:00 AM,10:35:00 AM,11:10:00 AM,11:45:00 AM,12:20:00 PM,12:55:00 PM,1:30:00 PM,2:05:00 PM,2:40:00 PM,3:15:00 PM,3:50:00 PM,4:25:00 PM,5:00:00 PM,5:35:00 PM,6:09:00 PM,6:42:00 PM,7:14:00 PM,7:45:00 PM,8:15:00 PM,8:45:00 PM,9:15:00 PM,9:45:00 PM,10:15:00 PM,10:45:00 PM,11:15:00 PM,,,,
EGLINTON AVE east of 427 HWY,7:35:00 AM,8:05:00 AM,8:35:00 AM,9:05:00 AM,9:36:00 AM,10:08:00 AM,10:40:00 AM,11:15:00 AM,11:50:00 AM,12:25:00 PM,1:00:00 PM,1:35:00 PM,2:10:00 PM,2:45:00 PM,3:20:00 PM,3:55:00 PM,4:30:00 PM,5:05:00 PM,5:40:00 PM,6:14:00 PM,6:47:00 PM,7:20:00 PM,7:51:00 PM,8:21:00 PM,8:51:00 PM,9:21:00 PM,9:51:00 PM,10:21:00 PM,10:51:00 PM,11:21:00 PM,,,,
SKYMARK HUB,7:38:00 AM,8:08:00 AM,8:38:00 AM,9:08:00 AM,9:39:00 AM,10:11:00 AM,10:43:00 AM,11:18:00 AM,11:53:00 AM,12:28:00 PM,1:03:00 PM,1:38:00 PM,2:13:00 PM,2:48:00 PM,3:23:00 PM,3:58:00 PM,4:33:00 PM,5:08:00 PM,5:43:00 PM,6:17:00 PM,6:50:00 PM,7:23:00 PM,7:54:00 PM,8:24:00 PM,8:54:00 PM,9:24:00 PM,9:54:00 PM,10:24:00 PM,10:54:00 PM,11:24:00 PM,,,,
ORBITOR DR at MATHESON BLVD,7:41:00 AM,8:11:00 AM,8:41:00 AM,9:11:00 AM,9:42:00 AM,10:14:00 AM,10:45:00 AM,11:20:00 AM,11:55:00 AM,12:30:00 PM,1:05:00 PM,1:40:00 PM,2:15:00 PM,2:50:00 PM,3:25:00 PM,4:00:00 PM,4:35:00 PM,5:10:00 PM,5:45:00 PM,6:19:00 PM,6:52:00 PM,7:26:00 PM,7:57:00 PM,8:27:00 PM,8:57:00 PM,9:27:00 PM,9:57:00 PM,10:27:00 PM,10:57:00 PM,11:27:00 PM,,,,
EGLINTON AVE E at SPECTRUM WAY,7:43:00 AM,8:13:00 AM,8:43:00 AM,9:13:00 AM,9:44:00 AM,10:16:00 AM,10:48:00 AM,11:23:00 AM,11:58:00 AM,12:33:00 PM,1:08:00 PM,1:43:00 PM,2:18:00 PM,2:53:00 PM,3:28:00 PM,4:03:00 PM,4:38:00 PM,5:13:00 PM,5:48:00 PM,6:22:00 PM,6:55:00 PM,7:28:00 PM,7:59:00 PM,8:29:00 PM,8:59:00 PM,9:29:00 PM,9:59:00 PM,10:29:00 PM,10:59:00 PM,11:29:00 PM,,,,
EGLINTON AVE at DIXIE RD,7:46:00 AM,8:16:00 AM,8:46:00 AM,9:16:00 AM,9:47:00 AM,10:20:00 AM,10:52:00 AM,11:27:00 AM,12:02:00 PM,12:37:00 PM,1:12:00 PM,1:47:00 PM,2:22:00 PM,2:57:00 PM,3:32:00 PM,4:07:00 PM,4:42:00 PM,5:17:00 PM,5:52:00 PM,6:26:00 PM,6:59:00 PM,7:32:00 PM,8:03:00 PM,8:33:00 PM,9:02:00 PM,9:32:00 PM,10:02:00 PM,10:32:00 PM,11:02:00 PM,11:32:00 PM,,,,
EGLINTON AVE at TOMKEN RD,7:49:00 AM,8:19:00 AM,8:49:00 AM,9:19:00 AM,9:50:00 AM,10:23:00 AM,10:55:00 AM,11:30:00 AM,12:05:00 PM,12:40:00 PM,1:15:00 PM,1:50:00 PM,2:25:00 PM,3:00:00 PM,3:35:00 PM,4:10:00 PM,4:45:00 PM,5:20:00 PM,5:55:00 PM,6:29:00 PM,7:02:00 PM,7:35:00 PM,8:06:00 PM,8:36:00 PM,9:05:00 PM,9:35:00 PM,10:05:00 PM,10:35:00 PM,11:05:00 PM,11:35:00 PM,,,,
EGLINTON AVE east of HWY 403,7:49:00 AM,8:19:00 AM,8:49:00 AM,9:19:00 AM,9:50:00 AM,10:23:00 AM,10:55:00 AM,11:30:00 AM,12:05:00 PM,12:40:00 PM,1:15:00 PM,1:50:00 PM,2:25:00 PM,3:00:00 PM,3:35:00 PM,4:10:00 PM,4:45:00 PM,5:20:00 PM,5:55:00 PM,6:29:00 PM,7:02:00 PM,7:35:00 PM,8:06:00 PM,8:36:00 PM,9:05:00 PM,9:35:00 PM,10:05:00 PM,10:35:00 PM,11:05:00 PM,11:35:00 PM,,,,
EGLINTON AVE at HURONTARIO ST,7:54:00 AM,8:24:00 AM,8:54:00 AM,9:24:00 AM,9:55:00 AM,10:29:00 AM,11:02:00 AM,11:37:00 AM,12:12:00 PM,12:47:00 PM,1:22:00 PM,1:57:00 PM,2:32:00 PM,3:07:00 PM,3:42:00 PM,4:17:00 PM,4:52:00 PM,5:27:00 PM,6:02:00 PM,6:36:00 PM,7:09:00 PM,7:41:00 PM,8:12:00 PM,8:42:00 PM,9:10:00 PM,9:40:00 PM,10:10:00 PM,10:40:00 PM,11:10:00 PM,11:40:00 PM,,,,
