SOUTH COMMON CENTRE BUS TERMINAL PLATFORM F,5:12:00 AM,5:32:00 AM,5:52:00 AM,6:12:00 AM,6:32:00 AM,6:52:00 AM,7:12:00 AM,7:32:00 AM,7:52:00 AM,8:12:00 AM,8:32:00 AM,8:52:00 AM,9:12:00 AM,9:32:00 AM,9:52:00 AM,10:12:00 AM,10:32:00 AM,10:52:00 AM,11:12:00 AM,11:32:00 AM,11:52:00 AM,12:12:00 PM,12:32:00 PM,12:52:00 PM,1:12:00 PM,1:32:00 PM,1:52:00 PM,2:12:00 PM,2:32:00 PM,2:52:00 PM,3:12:00 PM,3:32:00 PM,3:52:00 PM,4:12:00 PM,4:32:00 PM,4:52:00 PM,5:12:00 PM,5:32:00 PM,5:52:00 PM,6:12:00 PM,6:32:00 PM,6:52:00 PM,7:12:00 PM,7:32:00 PM,7:52:00 PM,8:12:00 PM,8:32:00 PM,8:52:00 PM,9:12:00 PM,9:32:00 PM,9:52:00 PM,10:12:00 PM,10:32:00 PM,10:52:00 PM,11:12:00 PM,11:32:00 PM,11:52:00 PM,12:12:00 AM,12:32:00 AM,12:52:00 AM,1:12:00 AM,1:32:00 AM,1:52:00 AM
BURNHAMTHORPE RD W at WINSTON CHURCHILL BLVD,5:17:00 AM,5:37:00 AM,5:57:00 AM,6:17:00 AM,6:37:00 AM,6:57:00 AM,7:17:00 AM,7:37:00 AM,7:57:00 AM,8:17:00 AM,8:37:00 AM,8:57:00 AM,9:17:00 AM,9:37:00 AM,9:57:00 AM,10:17:00 AM,10:37:00 AM,10:57:00 AM,11:17:00 AM,11:37:00 AM,11:57:00 AM,12:17:00 PM,12:37:00 PM,12:57:00 PM,1:17:00 PM,1:37:00 PM,1:57:00 PM,2:17:00 PM,2:37:00 PM,2:57:00 PM,3:17:00 PM,3:37:00 PM,3:57:00 PM,4:17:00 PM,4:37:00 PM,4:57:00 PM,5:17:00 PM,5:37:00 PM,5:57:00 PM,6:17:00 PM,6:37:00 PM,6:57:00 PM,7:17:00 PM,7:37:00 PM,7:57:00 PM,8:17:00 PM,8:37:00 PM,8:57:00 PM,9:17:00 PM,9:37:00 PM,9:57:00 PM,10:17:00 PM,10:37:00 PM,10:57:00 PM,11:17:00 PM,11:37:00 PM,11:57:00 PM,12:17:00 AM,12:37:00 AM,12:57:00 AM,1:17:00 AM,1:37:00 AM,1:57:00 AM
BURNHAMTHORPE RD west of WINSTON CHURCHILL BLVD,5:18:00 AM,5:38:00 AM,5:58:00 AM,6:18:00 AM,6:38:00 AM,6:58:00 AM,7:18:00 AM,7:38:00 AM,7:58:00 AM,8:18:00 AM,8:38:00 AM,8:58:00 AM,9:18:00 AM,9:38:00 AM,9:58:00 AM,10:18:00 AM,10:38:00 AM,10:58:00 AM,11:18:00 AM,11:38:00 AM,11:58:00 AM,12:18:00 PM,12:38:00 PM,12:58:00 PM,1:18:00 PM,1:38:00 PM,1:58:00 PM,2:18:00 PM,2:38:00 PM,2:58:00 PM,3:18:00 PM,3:38:00 PM,3:58:00 PM,4:18:00 PM,4:38:00 PM,4:58:00 PM,5:18:00 PM,5:38:00 PM,5:58:00 PM,6:18:00 PM,6:38:00 PM,6:58:00 PM,7:18:00 PM,7:38:00 PM,7:58:00 PM,8:18:00 PM,8:38:00 PM,8:58:00 PM,9:18:00 PM,9:38:00 PM,9:58:00 PM,10:18:00 PM,10:38:00 PM,10:58:00 PM,11:18:00 PM,11:38:00 PM,11:58:00 PM,12:18:00 AM,12:38:00 AM,12:58:00 AM,1:18:00 AM,1:38:00 AM,1:58:00 AM
LOYALIST DR at OSBOURNE RD,5:21:00 AM,5:41:00 AM,6:01:00 AM,6:21:00 AM,6:41:00 AM,7:01:00 AM,7:21:00 AM,7:41:00 AM,8:01:00 AM,8:21:00 AM,8:41:00 AM,9:01:00 AM,9:21:00 AM,9:41:00 AM,10:01:00 AM,10:21:00 AM,10:41:00 AM,11:01:00 AM,11:21:00 AM,11:41:00 AM,12:01:00 PM,12:21:00 PM,12:41:00 PM,1:01:00 PM,1:21:00 PM,1:41:00 PM,2:01:00 PM,2:21:00 PM,2:41:00 PM,3:01:00 PM,3:21:00 PM,3:41:00 PM,4:01:00 PM,4:21:00 PM,4:41:00 PM,5:01:00 PM,5:21:00 PM,5:41:00 PM,6:01:00 PM,6:21:00 PM,6:41:00 PM,7:01:00 PM,7:21:00 PM,7:41:00 PM,8:01:00 PM,8:21:00 PM,8:41:00 PM,9:01:00 PM,9:21:00 PM,9:41:00 PM,10:01:00 PM,10:21:00 PM,10:41:00 PM,11:01:00 PM,11:21:00 PM,11:41:00 PM,12:01:00 AM,12:21:00 AM,12:41:00 AM,1:01:00 AM,1:21:00 AM,1:41:00 AM,2:01:00 AM
UNITY DR FIRST STOP west of PEPPER MILL CRT,5:22:00 AM,5:42:00 AM,6:02:00 AM,6:22:00 AM,6:42:00 AM,7:02:00 AM,7:22:00 AM,7:42:00 AM,8:02:00 AM,8:22:00 AM,8:42:00 AM,9:02:00 AM,9:22:00 AM,9:42:00 AM,10:02:00 AM,10:22:00 AM,10:42:00 AM,11:02:00 AM,11:22:00 AM,11:42:00 AM,12:02:00 PM,12:22:00 PM,12:42:00 PM,1:02:00 PM,1:22:00 PM,1:42:00 PM,2:02:00 PM,2:22:00 PM,2:42:00 PM,3:02:00 PM,3:22:00 PM,3:42:00 PM,4:02:00 PM,4:22:00 PM,4:42:00 PM,5:02:00 PM,5:22:00 PM,5:42:00 PM,6:02:00 PM,6:22:00 PM,6:42:00 PM,7:02:00 PM,7:22:00 PM,7:42:00 PM,8:02:00 PM,8:22:00 PM,8:42:00 PM,9:02:00 PM,9:22:00 PM,9:42:00 PM,10:02:00 PM,10:22:00 PM,10:42:00 PM,11:02:00 PM,11:22:00 PM,11:42:00 PM,12:02:00 AM,12:22:00 AM,12:42:00 AM,1:02:00 AM,1:22:00 AM,1:42:00 AM,2:02:00 AM
COLONIAL DR south of HUXLEY DR,5:26:00 AM,5:46:00 AM,6:06:00 AM,6:26:00 AM,6:46:00 AM,7:06:00 AM,7:26:00 AM,7:46:00 AM,8:06:00 AM,8:26:00 AM,8:46:00 AM,9:06:00 AM,9:26:00 AM,9:46:00 AM,10:06:00 AM,10:26:00 AM,10:46:00 AM,11:06:00 AM,11:26:00 AM,11:46:00 AM,12:06:00 PM,12:26:00 PM,12:46:00 PM,1:06:00 PM,1:26:00 PM,1:46:00 PM,2:06:00 PM,2:26:00 PM,2:46:00 PM,3:06:00 PM,3:26:00 PM,3:46:00 PM,4:06:00 PM,4:26:00 PM,4:46:00 PM,5:06:00 PM,5:26:00 PM,5:46:00 PM,6:06:00 PM,6:26:00 PM,6:46:00 PM,7:06:00 PM,7:26:00 PM,7:46:00 PM,8:06:00 PM,8:26:00 PM,8:46:00 PM,9:06:00 PM,9:26:00 PM,9:46:00 PM,10:06:00 PM,10:26:00 PM,10:46:00 PM,11:06:00 PM,11:26:00 PM,11:46:00 PM,12:06:00 AM,12:26:00 AM,12:46:00 AM,1:06:00 AM,1:26:00 AM,1:46:00 AM,2:06:00 AM
COLONIAL DR at THE COLLEGEWAY,5:27:00 AM,5:47:00 AM,6:07:00 AM,6:27:00 AM,6:47:00 AM,7:07:00 AM,7:27:00 AM,7:47:00 AM,8:07:00 AM,8:27:00 AM,8:47:00 AM,9:07:00 AM,9:27:00 AM,9:47:00 AM,10:07:00 AM,10:27:00 AM,10:47:00 AM,11:07:00 AM,11:27:00 AM,11:47:00 AM,12:07:00 PM,12:27:00 PM,12:47:00 PM,1:07:00 PM,1:27:00 PM,1:47:00 PM,2:07:00 PM,2:27:00 PM,2:47:00 PM,3:07:00 PM,3:27:00 PM,3:47:00 PM,4:07:00 PM,4:27:00 PM,4:47:00 PM,5:07:00 PM,5:27:00 PM,5:47:00 PM,6:07:00 PM,6:27:00 PM,6:47:00 PM,7:07:00 PM,7:27:00 PM,7:47:00 PM,8:07:00 PM,8:27:00 PM,8:47:00 PM,9:07:00 PM,9:27:00 PM,9:47:00 PM,10:07:00 PM,10:27:00 PM,10:47:00 PM,11:07:00 PM,11:27:00 PM,11:47:00 PM,12:07:00 AM,12:27:00 AM,12:47:00 AM,1:07:00 AM,1:27:00 AM,1:47:00 AM,2:07:00 AM
VEGA BLVD at LAIRD RD,5:33:00 AM,5:53:00 AM,6:13:00 AM,6:33:00 AM,6:53:00 AM,7:13:00 AM,7:33:00 AM,7:53:00 AM,8:13:00 AM,8:33:00 AM,8:53:00 AM,9:13:00 AM,9:33:00 AM,9:53:00 AM,10:13:00 AM,10:33:00 AM,10:53:00 AM,11:13:00 AM,11:33:00 AM,11:53:00 AM,12:13:00 PM,12:33:00 PM,12:53:00 PM,1:13:00 PM,1:33:00 PM,1:53:00 PM,2:13:00 PM,2:33:00 PM,2:53:00 PM,3:13:00 PM,3:33:00 PM,3:53:00 PM,4:13:00 PM,4:33:00 PM,4:53:00 PM,5:13:00 PM,5:33:00 PM,5:53:00 PM,6:13:00 PM,6:33:00 PM,6:53:00 PM,7:13:00 PM,7:33:00 PM,7:53:00 PM,8:13:00 PM,8:33:00 PM,8:53:00 PM,9:13:00 PM,9:33:00 PM,9:53:00 PM,10:13:00 PM,10:33:00 PM,10:53:00 PM,11:13:00 PM,11:33:00 PM,11:53:00 PM,12:13:00 AM,12:33:00 AM,12:53:00 AM,1:13:00 AM,1:33:00 AM,1:53:00 AM,2:13:00 AM
LAIRD RD west of RIDGEWAY DR,5:33:00 AM,5:53:00 AM,6:13:00 AM,6:33:00 AM,6:53:00 AM,7:13:00 AM,7:33:00 AM,7:53:00 AM,8:13:00 AM,8:33:00 AM,8:53:00 AM,9:13:00 AM,9:33:00 AM,9:53:00 AM,10:13:00 AM,10:33:00 AM,10:53:00 AM,11:13:00 AM,11:33:00 AM,11:53:00 AM,12:13:00 PM,12:33:00 PM,12:53:00 PM,1:13:00 PM,1:33:00 PM,1:53:00 PM,2:13:00 PM,2:33:00 PM,2:53:00 PM,3:13:00 PM,3:33:00 PM,3:53:00 PM,4:13:00 PM,4:33:00 PM,4:53:00 PM,5:13:00 PM,5:33:00 PM,5:53:00 PM,6:13:00 PM,6:33:00 PM,6:53:00 PM,7:13:00 PM,7:33:00 PM,7:53:00 PM,8:13:00 PM,8:33:00 PM,8:53:00 PM,9:13:00 PM,9:33:00 PM,9:53:00 PM,10:13:00 PM,10:33:00 PM,10:53:00 PM,11:13:00 PM,11:33:00 PM,11:53:00 PM,12:13:00 AM,12:33:00 AM,12:53:00 AM,1:13:00 AM,1:33:00 AM,1:53:00 AM,2:13:00 AM
COLONIAL DR at McMASTER RD,5:36:00 AM,5:56:00 AM,6:16:00 AM,6:36:00 AM,6:56:00 AM,7:16:00 AM,7:36:00 AM,7:56:00 AM,8:16:00 AM,8:36:00 AM,8:56:00 AM,9:16:00 AM,9:36:00 AM,9:56:00 AM,10:16:00 AM,10:36:00 AM,10:56:00 AM,11:16:00 AM,11:36:00 AM,11:56:00 AM,12:16:00 PM,12:36:00 PM,12:56:00 PM,1:16:00 PM,1:36:00 PM,1:56:00 PM,2:16:00 PM,2:36:00 PM,2:56:00 PM,3:16:00 PM,3:36:00 PM,3:56:00 PM,4:16:00 PM,4:36:00 PM,4:56:00 PM,5:16:00 PM,5:36:00 PM,5:56:00 PM,6:16:00 PM,6:36:00 PM,6:56:00 PM,7:16:00 PM,7:36:00 PM,7:56:00 PM,8:16:00 PM,8:36:00 PM,8:56:00 PM,9:16:00 PM,9:36:00 PM,9:56:00 PM,10:16:00 PM,10:36:00 PM,10:56:00 PM,11:16:00 PM,11:36:00 PM,11:56:00 PM,12:16:00 AM,12:36:00 AM,12:56:00 AM,1:16:00 AM,1:36:00 AM,1:56:00 AM,2:16:00 AM
