HURON PARK ACCESS RD at QUEENSWAY,7:05 AM[b],7:38 AM[b],8:11 AM[b],8:44 AM[b],9:17 AM[b],9:50 AM[b],10:23 AM[b],10:56 AM[b],11:29 AM[b],12:02 PM[b],12:35 PM[b],1:08 PM[b],1:41 PM[b],2:14 PM[b],2:47 PM[b],3:20 PM[b],3:53 PM[b],4:26 PM[b],4:59 PM[b],5:32 PM[b],6:05 PM[b],6:38 PM[b],7:11 PM[b],7:44 PM[b],8:17 PM[b],8:50 PM[b],9:23 PM[b],9:56 PM[b]
DUNDAS ST at WOLFEDALE RD,7:11 AM[b],7:44 AM[b],8:17 AM[b],8:50 AM[b],9:23 AM[b],9:56 AM[b],10:29 AM[b],11:02 AM[b],11:35 AM[b],12:08 PM[b],12:41 PM[b],1:14 PM[b],1:47 PM[b],2:20 PM[b],2:53 PM[b],3:26 PM[b],3:59 PM[b],4:32 PM[b],5:05 PM[b],5:38 PM[b],6:11 PM[b],6:44 PM[b],7:17 PM[b],7:50 PM[b],8:23 PM[b],8:56 PM[b],9:29 PM[b],10:02 PM[b]
WOLFEDALE RD at DUNDAS ST,7:11 AM[b],7:44 AM[b],8:17 AM[b],8:50 AM[b],9:23 AM[b],9:56 AM[b],10:29 AM[b],11:02 AM[b],11:35 AM[b],12:08 PM[b],12:41 PM[b],1:14 PM[b],1:47 PM[b],2:20 PM[b],2:53 PM[b],3:26 PM[b],3:59 PM[b],4:32 PM[b],5:05 PM[b],5:38 PM[b],6:11 PM[b],6:44 PM[b],7:17 PM[b],7:50 PM[b],8:23 PM[b],8:56 PM[b],9:29 PM[b],10:02 PM[b]
CENTRAL PKY W at SEMENYK CRT,7:15 AM[b],7:48 AM[b],8:21 AM[b],8:54 AM[b],9:27 AM[b],10:00 AM[b],10:33 AM[b],11:06 AM[b],11:39 AM[b],12:12 PM[b],12:45 PM[b],1:18 PM[b],1:51 PM[b],2:24 PM[b],2:57 PM[b],3:30 PM[b],4:03 PM[b],4:36 PM[b],5:09 PM[b],5:42 PM[b],6:15 PM[b],6:48 PM[b],7:21 PM[b],7:54 PM[b],8:27 PM[b],9:00 PM[b],9:33 PM[b],10:06 PM[b]
CENTRAL PKY W at BURNHAMTHORPE RD W,7:17 AM[b],7:50 AM[b],8:23 AM[b],8:56 AM[b],9:29 AM[b],10:02 AM[b],10:35 AM[b],11:08 AM[b],11:41 AM[b],12:14 PM[b],12:47 PM[b],1:20 PM[b],1:53 PM[b],2:26 PM[b],2:59 PM[b],3:32 PM[b],4:05 PM[b],4:38 PM[b],5:11 PM[b],5:44 PM[b],6:17 PM[b],6:50 PM[b],7:23 PM[b],7:56 PM[b],8:29 PM[b],9:02 PM[b],9:35 PM[b],10:08 PM[b]
CREDITVIEW RD at RATHBURN RD,7:18 AM[b],7:51 AM[b],8:24 AM[b],8:57 AM[b],9:30 AM[b],10:03 AM[b],10:36 AM[b],11:09 AM[b],11:42 AM[b],12:15 PM[b],12:48 PM[b],1:21 PM[b],1:54 PM[b],2:27 PM[b],3:00 PM[b],3:33 PM[b],4:06 PM[b],4:39 PM[b],5:12 PM[b],5:45 PM[b],6:18 PM[b],6:51 PM[b],7:24 PM[b],7:57 PM[b],8:30 PM[b],9:03 PM[b],9:36 PM[b],10:09 PM[b]
CREDITVIEW RD at EGLINTON AVE,7:22 AM[b],7:55 AM[b],8:28 AM[b],9:01 AM[b],9:34 AM[b],10:07 AM[b],10:40 AM[b],11:13 AM[b],11:46 AM[b],12:19 PM[b],12:52 PM[b],1:25 PM[b],1:58 PM[b],2:31 PM[b],3:04 PM[b],3:37 PM[b],4:10 PM[b],4:43 PM[b],5:16 PM[b],5:49 PM[b],6:22 PM[b],6:55 PM[b],7:28 PM[b],8:01 PM[b],8:34 PM[b],9:07 PM[b],9:40 PM[b],10:13 PM[b]
CREDITVIEW RD at CUTHBERT AVE,7:22 AM[b],7:55 AM[b],8:28 AM[b],9:01 AM[b],9:34 AM[b],10:07 AM[b],10:40 AM[b],11:13 AM[b],11:46 AM[b],12:19 PM[b],12:52 PM[b],1:25 PM[b],1:58 PM[b],2:31 PM[b],3:04 PM[b],3:37 PM[b],4:10 PM[b],4:43 PM[b],5:16 PM[b],5:49 PM[b],6:22 PM[b],6:55 PM[b],7:28 PM[b],8:01 PM[b],8:34 PM[b],9:07 PM[b],9:40 PM[b],10:13 PM[b]
CREDITVIEW RD at CAROLYN DR,7:25 AM[b],7:58 AM[b],8:31 AM[b],9:04 AM[b],9:37 AM[b],10:10 AM[b],10:43 AM[b],11:16 AM[b],11:49 AM[b],12:22 PM[b],12:55 PM[b],1:28 PM[b],2:01 PM[b],2:34 PM[b],3:07 PM[b],3:40 PM[b],4:13 PM[b],4:46 PM[b],5:19 PM[b],5:52 PM[b],6:25 PM[b],6:58 PM[b],7:31 PM[b],8:04 PM[b],8:37 PM[b],9:10 PM[b],9:43 PM[b],10:16 PM[b]
CREDITVIEW RD at BRISTOL RD,7:25 AM[b],7:58 AM[b],8:31 AM[b],9:04 AM[b],9:37 AM[b],10:10 AM[b],10:43 AM[b],11:16 AM[b],11:49 AM[b],12:22 PM[b],12:55 PM[b],1:28 PM[b],2:01 PM[b],2:34 PM[b],3:07 PM[b],3:40 PM[b],4:13 PM[b],4:46 PM[b],5:19 PM[b],5:52 PM[b],6:25 PM[b],6:58 PM[b],7:31 PM[b],8:04 PM[b],8:37 PM[b],9:10 PM[b],9:43 PM[b],10:16 PM[b]
