MEADOWVALE TOWN CENTRE BUS TERMINAL PLATFORM E,7:36 AM[b],8:09 AM[b],8:42 AM[b],9:15 AM[b],9:48 AM[b],10:21 AM[b],10:54 AM[b],11:27 AM[b],12:00 PM[b],12:33 PM[b],1:06 PM[b],1:39 PM[b],2:12 PM[b],2:45 PM[b],3:18 PM[b],3:51 PM[b],4:24 PM[b],4:57 PM[b],5:30 PM[b],6:03 PM[b],6:36 PM[b],7:09 PM[b],7:42 PM[b]
WINSTON CHURCHILL BLVD north of VANDERBILT RD,7:40 AM[b],8:13 AM[b],8:46 AM[b],9:19 AM[b],9:52 AM[b],10:25 AM[b],10:58 AM[b],11:31 AM[b],12:04 PM[b],12:37 PM[b],1:10 PM[b],1:43 PM[b],2:16 PM[b],2:49 PM[b],3:22 PM[b],3:55 PM[b],4:28 PM[b],5:01 PM[b],5:34 PM[b],6:07 PM[b],6:40 PM[b],7:13 PM[b],7:46 PM[b]
DERRY RD west of TERRAGAR BLVD,7:43 AM[b],8:16 AM[b],8:49 AM[b],9:22 AM[b],9:55 AM[b],10:28 AM[b],11:01 AM[b],11:34 AM[b],12:07 PM[b],12:40 PM[b],1:13 PM[b],1:46 PM[b],2:19 PM[b],2:52 PM[b],3:25 PM[b],3:58 PM[b],4:31 PM[b],5:04 PM[b],5:37 PM[b],6:10 PM[b],6:43 PM[b],7:16 PM[b],7:49 PM[b]
LISGAR DR at DOUG LEAVENS BLVD,7:46 AM[b],8:19 AM[b],8:52 AM[b],9:25 AM[b],9:58 AM[b],10:31 AM[b],11:04 AM[b],11:37 AM[b],12:10 PM[b],12:43 PM[b],1:16 PM[b],1:49 PM[b],2:22 PM[b],2:55 PM[b],3:28 PM[b],4:01 PM[b],4:34 PM[b],5:07 PM[b],5:40 PM[b],6:13 PM[b],6:46 PM[b],7:19 PM[b],7:52 PM[b]
BRITANNIA RD at NINTH LINE,7:52 AM[b],8:25 AM[b],8:58 AM[b],9:31 AM[b],10:04 AM[b],10:37 AM[b],11:10 AM[b],11:43 AM[b],12:16 PM[b],12:49 PM[b],1:22 PM[b],1:55 PM[b],2:28 PM[b],3:01 PM[b],3:34 PM[b],4:07 PM[b],4:40 PM[b],5:13 PM[b],5:46 PM[b],6:19 PM[b],6:52 PM[b],7:25 PM[b],7:58 PM[b]
BRITANNIA RD at WINSTON CHURCHILL BLVD,7:56 AM[b],8:29 AM[b],9:02 AM[b],9:35 AM[b],10:08 AM[b],10:41 AM[b],11:14 AM[b],11:47 AM[b],12:20 PM[b],12:53 PM[b],1:26 PM[b],1:59 PM[b],2:32 PM[b],3:05 PM[b],3:38 PM[b],4:11 PM[b],4:44 PM[b],5:17 PM[b],5:50 PM[b],6:23 PM[b],6:56 PM[b],7:29 PM[b],8:02 PM[b]
BRITANNIA RD at ERIN MILLS PKY,8:00 AM[b],8:33 AM[b],9:06 AM[b],9:39 AM[b],10:12 AM[b],10:45 AM[b],11:18 AM[b],11:51 AM[b],12:24 PM[b],12:57 PM[b],1:30 PM[b],2:03 PM[b],2:36 PM[b],3:09 PM[b],3:42 PM[b],4:15 PM[b],4:48 PM[b],5:21 PM[b],5:54 PM[b],6:27 PM[b],7:00 PM[b],7:33 PM[b],8:06 PM[b]
BRITANNIA RD at BROOKSIDE DR,8:03 AM[b],8:36 AM[b],9:09 AM[b],9:42 AM[b],10:15 AM[b],10:48 AM[b],11:21 AM[b],11:54 AM[b],12:27 PM[b],1:00 PM[b],1:33 PM[b],2:06 PM[b],2:39 PM[b],3:12 PM[b],3:45 PM[b],4:18 PM[b],4:51 PM[b],5:24 PM[b],5:57 PM[b],6:30 PM[b],7:03 PM[b],7:36 PM[b],8:09 PM[b]
BRITANNIA RD at ARCH RD,8:04 AM[b],8:37 AM[b],9:10 AM[b],9:43 AM[b],10:16 AM[b],10:49 AM[b],11:22 AM[b],11:55 AM[b],12:28 PM[b],1:01 PM[b],1:34 PM[b],2:07 PM[b],2:40 PM[b],3:13 PM[b],3:46 PM[b],4:19 PM[b],4:52 PM[b],5:25 PM[b],5:58 PM[b],6:31 PM[b],7:04 PM[b],7:37 PM[b],8:10 PM[b]
BRITANNIA RD at CREDITVIEW RD,8:06 AM[b],8:39 AM[b],9:12 AM[b],9:45 AM[b],10:18 AM[b],10:51 AM[b],11:24 AM[b],11:57 AM[b],12:30 PM[b],1:03 PM[b],1:36 PM[b],2:09 PM[b],2:42 PM[b],3:15 PM[b],3:48 PM[b],4:21 PM[b],4:54 PM[b],5:27 PM[b],6:00 PM[b],6:33 PM[b],7:06 PM[b],7:39 PM[b],8:12 PM[b]
BRITANNIA RD at MAVIS RD,8:11 AM[b],8:44 AM[b],9:17 AM[b],9:50 AM[b],10:23 AM[b],10:56 AM[b],11:29 AM[b],12:02 PM[b],12:35 PM[b],1:08 PM[b],1:41 PM[b],2:14 PM[b],2:47 PM[b],3:20 PM[b],3:53 PM[b],4:26 PM[b],4:59 PM[b],5:32 PM[b],6:05 PM[b],6:38 PM[b],7:11 PM[b],7:44 PM[b],8:17 PM[b]
BRITANNIA RD W west of HURONTARIO ST,8:16 AM[b],8:49 AM[b],9:22 AM[b],9:55 AM[b],10:28 AM[b],11:01 AM[b],11:34 AM[b],12:07 PM[b],12:40 PM[b],1:13 PM[b],1:46 PM[b],2:19 PM[b],2:52 PM[b],3:25 PM[b],3:58 PM[b],4:31 PM[b],5:04 PM[b],5:37 PM[b],6:10 PM[b],6:43 PM[b],7:16 PM[b],7:49 PM[b],8:22 PM[b]
BRITANNIA RD E east of HURONTARIO ST,8:16 AM[b],8:49 AM[b],9:22 AM[b],9:55 AM[b],10:28 AM[b],11:01 AM[b],11:34 AM[b],12:07 PM[b],12:40 PM[b],1:13 PM[b],1:46 PM[b],2:19 PM[b],2:52 PM[b],3:25 PM[b],3:58 PM[b],4:31 PM[b],5:04 PM[b],5:37 PM[b],6:10 PM[b],6:43 PM[b],7:16 PM[b],7:49 PM[b],8:22 PM[b]
BRITANNIA RD E at WHITTLE RD,8:17 AM[b],8:50 AM[b],9:23 AM[b],9:56 AM[b],10:29 AM[b],11:02 AM[b],11:35 AM[b],12:08 PM[b],12:41 PM[b],1:14 PM[b],1:47 PM[b],2:20 PM[b],2:53 PM[b],3:26 PM[b],3:59 PM[b],4:32 PM[b],5:05 PM[b],5:38 PM[b],6:11 PM[b],6:44 PM[b],7:17 PM[b],7:50 PM[b],8:23 PM[b]
BRITANNIA RD E FIRST STOP east of WHITTLE RD,8:17 AM[b],8:50 AM[b],9:23 AM[b],9:56 AM[b],10:29 AM[b],11:02 AM[b],11:35 AM[b],12:08 PM[b],12:41 PM[b],1:14 PM[b],1:47 PM[b],2:20 PM[b],2:53 PM[b],3:26 PM[b],3:59 PM[b],4:32 PM[b],5:05 PM[b],5:38 PM[b],6:11 PM[b],6:44 PM[b],7:17 PM[b],7:50 PM[b],8:23 PM[b]
BRITANNIA RD E at KENNEDY RD,8:19 AM[b],8:52 AM[b],9:25 AM[b],9:58 AM[b],10:31 AM[b],11:04 AM[b],11:37 AM[b],12:10 PM[b],12:43 PM[b],1:16 PM[b],1:49 PM[b],2:22 PM[b],2:55 PM[b],3:28 PM[b],4:01 PM[b],4:34 PM[b],5:07 PM[b],5:40 PM[b],6:13 PM[b],6:46 PM[b],7:19 PM[b],7:52 PM[b],8:25 PM[b]
ROSE CHERRY PLACE at HERSHEY CENTRE BLDG,8:22 AM[b],8:55 AM[b],9:28 AM[b],10:01 AM[b],10:34 AM[b],11:07 AM[b],11:40 AM[b],12:13 PM[b],12:46 PM[b],1:19 PM[b],1:52 PM[b],2:25 PM[b],2:58 PM[b],3:31 PM[b],4:04 PM[b],4:37 PM[b],5:10 PM[b],5:43 PM[b],6:16 PM[b],6:49 PM[b],7:22 PM[b],7:55 PM[b],8:28 PM[b]
MATHESON BLVD at KENNEDY RD,8:24 AM[b],8:57 AM[b],9:30 AM[b],10:03 AM[b],10:36 AM[b],11:09 AM[b],11:42 AM[b],12:15 PM[b],12:48 PM[b],1:21 PM[b],1:54 PM[b],2:27 PM[b],3:00 PM[b],3:33 PM[b],4:06 PM[b],4:39 PM[b],5:12 PM[b],5:45 PM[b],6:18 PM[b],6:51 PM[b],7:24 PM[b],7:57 PM[b],8:30 PM[b]
WHITTLE RD at BRITANNIA RD,8:30 AM[b],9:03 AM[b],9:36 AM[b],10:09 AM[b],10:42 AM[b],11:15 AM[b],11:48 AM[b],12:21 PM[b],12:54 PM[b],1:27 PM[b],2:00 PM[b],2:33 PM[b],3:06 PM[b],3:39 PM[b],4:12 PM[b],4:45 PM[b],5:18 PM[b],5:51 PM[b],6:24 PM[b],6:57 PM[b],7:30 PM[b],8:03 PM[b],8:36 PM[b]
