WHITTLE RD at BRITANNIA RD,8:32:00 AM,9:05:00 AM,9:38:00 AM,10:11:00 AM,10:44:00 AM,11:17:00 AM,11:50:00 AM,12:23:00 PM,12:56:00 PM,1:29:00 PM,2:02:00 PM,2:35:00 PM,3:08:00 PM,3:41:00 PM,4:14:00 PM,4:47:00 PM,5:20:00 PM,5:53:00 PM,6:26:00 PM,6:59:00 PM,7:32:00 PM,8:05:00 PM,8:38:00 PM
BRITANNIA RD at HURONTARIO ST,8:33:00 AM,9:06:00 AM,9:39:00 AM,10:12:00 AM,10:45:00 AM,11:18:00 AM,11:51:00 AM,12:24:00 PM,12:57:00 PM,1:30:00 PM,2:03:00 PM,2:36:00 PM,3:09:00 PM,3:42:00 PM,4:15:00 PM,4:48:00 PM,5:21:00 PM,5:54:00 PM,6:27:00 PM,7:00:00 PM,7:33:00 PM,8:06:00 PM,8:39:00 PM
BRITANNIA RD at MAVIS RD,8:37:00 AM,9:10:00 AM,9:43:00 AM,10:16:00 AM,10:49:00 AM,11:22:00 AM,11:55:00 AM,12:28:00 PM,1:01:00 PM,1:34:00 PM,2:07:00 PM,2:40:00 PM,3:13:00 PM,3:46:00 PM,4:19:00 PM,4:52:00 PM,5:25:00 PM,5:58:00 PM,6:31:00 PM,7:04:00 PM,7:37:00 PM,8:10:00 PM,8:43:00 PM
BRITANNIA RD at CREDITVIEW RD,8:42:00 AM,9:15:00 AM,9:48:00 AM,10:21:00 AM,10:54:00 AM,11:27:00 AM,12:00:00 PM,12:33:00 PM,1:06:00 PM,1:39:00 PM,2:12:00 PM,2:45:00 PM,3:18:00 PM,3:51:00 PM,4:24:00 PM,4:57:00 PM,5:30:00 PM,6:03:00 PM,6:36:00 PM,7:09:00 PM,7:42:00 PM,8:15:00 PM,8:48:00 PM
BRITANNIA RD at QUEEN ST N,8:45:00 AM,9:18:00 AM,9:51:00 AM,10:24:00 AM,10:57:00 AM,11:30:00 AM,12:03:00 PM,12:36:00 PM,1:09:00 PM,1:42:00 PM,2:15:00 PM,2:48:00 PM,3:21:00 PM,3:54:00 PM,4:27:00 PM,5:00:00 PM,5:33:00 PM,6:06:00 PM,6:39:00 PM,7:12:00 PM,7:45:00 PM,8:18:00 PM,8:51:00 PM
BRITANNIA RD at ERIN MILLS PKY,8:48:00 AM,9:21:00 AM,9:54:00 AM,10:27:00 AM,11:00:00 AM,11:33:00 AM,12:06:00 PM,12:39:00 PM,1:12:00 PM,1:45:00 PM,2:18:00 PM,2:51:00 PM,3:24:00 PM,3:57:00 PM,4:30:00 PM,5:03:00 PM,5:36:00 PM,6:09:00 PM,6:42:00 PM,7:15:00 PM,7:48:00 PM,8:21:00 PM,8:54:00 PM
BRITANNIA RD FIRST STOP west of ERIN MILLS PKY,8:48:00 AM,9:21:00 AM,9:54:00 AM,10:27:00 AM,11:00:00 AM,11:33:00 AM,12:06:00 PM,12:39:00 PM,1:12:00 PM,1:45:00 PM,2:18:00 PM,2:51:00 PM,3:24:00 PM,3:57:00 PM,4:30:00 PM,5:03:00 PM,5:36:00 PM,6:09:00 PM,6:42:00 PM,7:15:00 PM,7:48:00 PM,8:21:00 PM,8:54:00 PM
BRITANNIA RD at WINSTON CHURCHILL BLVD,8:51:00 AM,9:24:00 AM,9:57:00 AM,10:30:00 AM,11:03:00 AM,11:36:00 AM,12:09:00 PM,12:42:00 PM,1:15:00 PM,1:48:00 PM,2:21:00 PM,2:54:00 PM,3:27:00 PM,4:00:00 PM,4:33:00 PM,5:06:00 PM,5:39:00 PM,6:12:00 PM,6:45:00 PM,7:18:00 PM,7:51:00 PM,8:24:00 PM,8:57:00 PM
BRITANNIA RD at NINTH LINE,8:56:00 AM,9:29:00 AM,10:02:00 AM,10:35:00 AM,11:08:00 AM,11:41:00 AM,12:14:00 PM,12:47:00 PM,1:20:00 PM,1:53:00 PM,2:26:00 PM,2:59:00 PM,3:32:00 PM,4:05:00 PM,4:38:00 PM,5:11:00 PM,5:44:00 PM,6:17:00 PM,6:50:00 PM,7:23:00 PM,7:56:00 PM,8:29:00 PM,9:02:00 PM
LISGAR DR at DOUG LEAVENS BLVD,9:00:00 AM,9:33:00 AM,10:06:00 AM,10:39:00 AM,11:12:00 AM,11:45:00 AM,12:18:00 PM,12:51:00 PM,1:24:00 PM,1:57:00 PM,2:30:00 PM,3:03:00 PM,3:36:00 PM,4:09:00 PM,4:42:00 PM,5:15:00 PM,5:48:00 PM,6:21:00 PM,6:54:00 PM,7:27:00 PM,8:00:00 PM,8:33:00 PM,9:06:00 PM
