ISLINGTON SUBWAY BUS TERMINAL PLATFORM F,6:17:00 AM,6:35:00 AM,6:51:00 AM,7:09:00 AM,7:27:00 AM,7:45:00 AM,8:03:00 AM,8:21:00 AM,8:39:00 AM,8:57:00 AM,9:15:00 AM,9:33:00 AM,9:51:00 AM,10:09:00 AM,10:27:00 AM,10:45:00 AM,11:03:00 AM,11:21:00 AM,11:39:00 AM,11:57:00 AM,12:15:00 PM,12:33:00 PM,12:51:00 PM,1:09:00 PM,1:27:00 PM,1:45:00 PM,2:03:00 PM,2:21:00 PM,2:39:00 PM,2:57:00 PM,3:15:00 PM,3:33:00 PM,3:51:00 PM,4:09:00 PM,4:27:00 PM,4:45:00 PM,5:03:00 PM,5:21:00 PM,5:39:00 PM,5:57:00 PM,6:15:00 PM,6:33:00 PM,6:51:00 PM,7:09:00 PM,7:27:00 PM,7:45:00 PM,8:03:00 PM,8:21:00 PM,8:39:00 PM,8:57:00 PM,9:15:00 PM,9:33:00 PM,9:51:00 PM,10:09:00 PM,10:27:00 PM,10:45:00 PM,11:03:00 PM,11:20:00 PM,11:36:00 PM,12:06:00 AM,12:36:00 AM,1:06:00 AM,1:36:00 AM
AUKLAND RD north of DUNDAS ST W,6:21:00 AM,6:39:00 AM,6:55:00 AM,7:13:00 AM,7:31:00 AM,7:49:00 AM,8:07:00 AM,8:25:00 AM,8:43:00 AM,9:01:00 AM,9:19:00 AM,9:37:00 AM,9:55:00 AM,10:13:00 AM,10:31:00 AM,10:49:00 AM,11:07:00 AM,11:25:00 AM,11:43:00 AM,12:01:00 PM,12:19:00 PM,12:37:00 PM,12:55:00 PM,1:13:00 PM,1:31:00 PM,1:49:00 PM,2:07:00 PM,2:25:00 PM,2:43:00 PM,3:01:00 PM,3:19:00 PM,3:37:00 PM,3:55:00 PM,4:13:00 PM,4:31:00 PM,4:49:00 PM,5:07:00 PM,5:25:00 PM,5:43:00 PM,6:01:00 PM,6:19:00 PM,6:37:00 PM,6:55:00 PM,7:13:00 PM,7:31:00 PM,7:49:00 PM,8:07:00 PM,8:25:00 PM,8:43:00 PM,9:01:00 PM,9:19:00 PM,9:37:00 PM,9:55:00 PM,10:13:00 PM,10:31:00 PM,10:49:00 PM,11:07:00 PM,11:23:00 PM,11:39:00 PM,12:09:00 AM,12:39:00 AM,1:09:00 AM,1:39:00 AM
BLOOR ST at THE EAST MALL,6:25:00 AM,6:43:00 AM,6:59:00 AM,7:17:00 AM,7:35:00 AM,7:53:00 AM,8:11:00 AM,8:29:00 AM,8:47:00 AM,9:05:00 AM,9:23:00 AM,9:41:00 AM,9:59:00 AM,10:17:00 AM,10:35:00 AM,10:53:00 AM,11:11:00 AM,11:29:00 AM,11:47:00 AM,12:05:00 PM,12:23:00 PM,12:41:00 PM,12:59:00 PM,1:17:00 PM,1:35:00 PM,1:53:00 PM,2:11:00 PM,2:29:00 PM,2:47:00 PM,3:05:00 PM,3:23:00 PM,3:41:00 PM,3:59:00 PM,4:17:00 PM,4:35:00 PM,4:53:00 PM,5:11:00 PM,5:29:00 PM,5:47:00 PM,6:05:00 PM,6:23:00 PM,6:41:00 PM,6:59:00 PM,7:17:00 PM,7:35:00 PM,7:53:00 PM,8:11:00 PM,8:29:00 PM,8:47:00 PM,9:05:00 PM,9:23:00 PM,9:41:00 PM,9:59:00 PM,10:17:00 PM,10:35:00 PM,10:53:00 PM,11:11:00 PM,11:27:00 PM,11:43:00 PM,12:13:00 AM,12:43:00 AM,1:13:00 AM,1:43:00 AM
BLOOR ST at MILL RD,6:29:00 AM,6:47:00 AM,7:03:00 AM,7:21:00 AM,7:39:00 AM,7:57:00 AM,8:15:00 AM,8:33:00 AM,8:51:00 AM,9:09:00 AM,9:27:00 AM,9:45:00 AM,10:03:00 AM,10:21:00 AM,10:39:00 AM,10:57:00 AM,11:15:00 AM,11:33:00 AM,11:51:00 AM,12:09:00 PM,12:27:00 PM,12:45:00 PM,1:03:00 PM,1:21:00 PM,1:39:00 PM,1:57:00 PM,2:15:00 PM,2:33:00 PM,2:51:00 PM,3:09:00 PM,3:27:00 PM,3:45:00 PM,4:03:00 PM,4:21:00 PM,4:39:00 PM,4:57:00 PM,5:15:00 PM,5:33:00 PM,5:51:00 PM,6:09:00 PM,6:27:00 PM,6:45:00 PM,7:03:00 PM,7:21:00 PM,7:39:00 PM,7:57:00 PM,8:15:00 PM,8:33:00 PM,8:51:00 PM,9:09:00 PM,9:27:00 PM,9:45:00 PM,10:03:00 PM,10:21:00 PM,10:39:00 PM,10:57:00 PM,11:15:00 PM,11:31:00 PM,11:47:00 PM,12:17:00 AM,12:47:00 AM,1:17:00 AM,1:47:00 AM
BLOOR ST at DIXIE RD,6:34:00 AM,6:52:00 AM,7:08:00 AM,7:26:00 AM,7:44:00 AM,8:02:00 AM,8:20:00 AM,8:38:00 AM,8:56:00 AM,9:14:00 AM,9:32:00 AM,9:50:00 AM,10:08:00 AM,10:26:00 AM,10:44:00 AM,11:02:00 AM,11:20:00 AM,11:38:00 AM,11:56:00 AM,12:14:00 PM,12:32:00 PM,12:50:00 PM,1:08:00 PM,1:26:00 PM,1:44:00 PM,2:02:00 PM,2:20:00 PM,2:38:00 PM,2:56:00 PM,3:14:00 PM,3:32:00 PM,3:50:00 PM,4:08:00 PM,4:26:00 PM,4:44:00 PM,5:02:00 PM,5:20:00 PM,5:38:00 PM,5:56:00 PM,6:14:00 PM,6:32:00 PM,6:50:00 PM,7:08:00 PM,7:26:00 PM,7:44:00 PM,8:02:00 PM,8:20:00 PM,8:38:00 PM,8:56:00 PM,9:14:00 PM,9:32:00 PM,9:50:00 PM,10:08:00 PM,10:26:00 PM,10:44:00 PM,11:02:00 PM,11:19:00 PM,11:35:00 PM,11:51:00 PM,12:21:00 AM,12:51:00 AM,1:21:00 AM,1:51:00 AM
BLOOR ST at TOMKEN RD,6:37:00 AM,6:55:00 AM,7:11:00 AM,7:29:00 AM,7:47:00 AM,8:05:00 AM,8:23:00 AM,8:41:00 AM,8:59:00 AM,9:17:00 AM,9:35:00 AM,9:53:00 AM,10:11:00 AM,10:29:00 AM,10:47:00 AM,11:05:00 AM,11:23:00 AM,11:41:00 AM,11:59:00 AM,12:17:00 PM,12:35:00 PM,12:53:00 PM,1:11:00 PM,1:29:00 PM,1:47:00 PM,2:05:00 PM,2:23:00 PM,2:41:00 PM,2:59:00 PM,3:17:00 PM,3:35:00 PM,3:53:00 PM,4:11:00 PM,4:29:00 PM,4:47:00 PM,5:05:00 PM,5:23:00 PM,5:41:00 PM,5:59:00 PM,6:17:00 PM,6:35:00 PM,6:53:00 PM,7:11:00 PM,7:29:00 PM,7:47:00 PM,8:05:00 PM,8:23:00 PM,8:41:00 PM,8:59:00 PM,9:17:00 PM,9:35:00 PM,9:53:00 PM,10:11:00 PM,10:29:00 PM,10:47:00 PM,11:05:00 PM,11:22:00 PM,11:38:00 PM,11:54:00 PM,12:24:00 AM,12:54:00 AM,1:24:00 AM,1:54:00 AM
MISSISSAUGA VALLEY BLVD south of BLOOR ST,6:40:00 AM,6:58:00 AM,7:14:00 AM,7:32:00 AM,7:50:00 AM,8:08:00 AM,8:26:00 AM,8:44:00 AM,9:02:00 AM,9:20:00 AM,9:38:00 AM,9:56:00 AM,10:14:00 AM,10:32:00 AM,10:50:00 AM,11:08:00 AM,11:26:00 AM,11:44:00 AM,12:02:00 PM,12:20:00 PM,12:38:00 PM,12:56:00 PM,1:14:00 PM,1:32:00 PM,1:50:00 PM,2:08:00 PM,2:26:00 PM,2:44:00 PM,3:02:00 PM,3:20:00 PM,3:38:00 PM,3:56:00 PM,4:14:00 PM,4:32:00 PM,4:50:00 PM,5:08:00 PM,5:26:00 PM,5:44:00 PM,6:02:00 PM,6:20:00 PM,6:38:00 PM,6:56:00 PM,7:14:00 PM,7:32:00 PM,7:50:00 PM,8:08:00 PM,8:26:00 PM,8:44:00 PM,9:02:00 PM,9:20:00 PM,9:38:00 PM,9:56:00 PM,10:14:00 PM,10:32:00 PM,10:50:00 PM,11:08:00 PM,11:25:00 PM,11:41:00 PM,11:57:00 PM,12:27:00 AM,12:57:00 AM,1:27:00 AM,1:57:00 AM
MISSISSAUGA VALLEY BLVD at CLIFF RD,6:43:00 AM,7:01:00 AM,7:17:00 AM,7:35:00 AM,7:53:00 AM,8:11:00 AM,8:29:00 AM,8:47:00 AM,9:05:00 AM,9:23:00 AM,9:41:00 AM,9:59:00 AM,10:17:00 AM,10:35:00 AM,10:53:00 AM,11:11:00 AM,11:29:00 AM,11:47:00 AM,12:05:00 PM,12:23:00 PM,12:41:00 PM,12:59:00 PM,1:17:00 PM,1:35:00 PM,1:53:00 PM,2:11:00 PM,2:29:00 PM,2:47:00 PM,3:05:00 PM,3:23:00 PM,3:41:00 PM,3:59:00 PM,4:17:00 PM,4:35:00 PM,4:53:00 PM,5:11:00 PM,5:29:00 PM,5:47:00 PM,6:05:00 PM,6:23:00 PM,6:41:00 PM,6:59:00 PM,7:17:00 PM,7:35:00 PM,7:53:00 PM,8:11:00 PM,8:29:00 PM,8:47:00 PM,9:05:00 PM,9:23:00 PM,9:41:00 PM,9:59:00 PM,10:17:00 PM,10:35:00 PM,10:53:00 PM,11:11:00 PM,11:27:00 PM,11:43:00 PM,11:59:00 PM,12:29:00 AM,12:59:00 AM,1:29:00 AM,1:59:00 AM
MISSISSAUGA VALLEY BLVD north of CENTRAL PKY E,6:48:00 AM,7:06:00 AM,7:22:00 AM,7:40:00 AM,7:58:00 AM,8:16:00 AM,8:34:00 AM,8:52:00 AM,9:10:00 AM,9:28:00 AM,9:46:00 AM,10:04:00 AM,10:22:00 AM,10:40:00 AM,10:58:00 AM,11:16:00 AM,11:34:00 AM,11:52:00 AM,12:10:00 PM,12:28:00 PM,12:46:00 PM,1:04:00 PM,1:22:00 PM,1:40:00 PM,1:58:00 PM,2:16:00 PM,2:34:00 PM,2:52:00 PM,3:10:00 PM,3:28:00 PM,3:46:00 PM,4:04:00 PM,4:22:00 PM,4:40:00 PM,4:58:00 PM,5:16:00 PM,5:34:00 PM,5:52:00 PM,6:10:00 PM,6:28:00 PM,6:46:00 PM,7:04:00 PM,7:22:00 PM,7:40:00 PM,7:58:00 PM,8:16:00 PM,8:34:00 PM,8:52:00 PM,9:10:00 PM,9:28:00 PM,9:46:00 PM,10:04:00 PM,10:22:00 PM,10:40:00 PM,10:58:00 PM,11:15:00 PM,11:31:00 PM,11:47:00 PM,12:03:00 AM,12:33:00 AM,1:03:00 AM,1:33:00 AM,2:03:00 AM
KARIYA DR north of ENFIELD PLACE (south leg),6:50:00 AM,7:08:00 AM,7:24:00 AM,7:42:00 AM,8:00:00 AM,8:18:00 AM,8:36:00 AM,8:54:00 AM,9:12:00 AM,9:30:00 AM,9:48:00 AM,10:06:00 AM,10:24:00 AM,10:42:00 AM,11:00:00 AM,11:18:00 AM,11:36:00 AM,11:54:00 AM,12:12:00 PM,12:30:00 PM,12:48:00 PM,1:06:00 PM,1:24:00 PM,1:42:00 PM,2:00:00 PM,2:18:00 PM,2:36:00 PM,2:54:00 PM,3:12:00 PM,3:30:00 PM,3:48:00 PM,4:06:00 PM,4:24:00 PM,4:42:00 PM,5:00:00 PM,5:18:00 PM,5:36:00 PM,5:54:00 PM,6:12:00 PM,6:30:00 PM,6:48:00 PM,7:06:00 PM,7:24:00 PM,7:42:00 PM,8:00:00 PM,8:18:00 PM,8:36:00 PM,8:54:00 PM,9:12:00 PM,9:30:00 PM,9:48:00 PM,10:06:00 PM,10:24:00 PM,10:42:00 PM,11:00:00 PM,11:18:00 PM,11:34:00 PM,11:50:00 PM,12:06:00 AM,12:36:00 AM,1:06:00 AM,1:36:00 AM,2:06:00 AM
