ERIN MILLS TOWN CENTRE BUS TERMINAL PLATFORM G,8:43:00 AM,9:28:00 AM,10:13:00 AM,10:58:00 AM,11:43:00 AM,12:28:00 PM,1:13:00 PM,1:58:00 PM,2:43:00 PM,3:28:00 PM,4:13:00 PM,4:58:00 PM,5:43:00 PM,6:28:00 PM,7:13:00 PM,
GLEN ERIN DR at ERIN CENTRE BLVD,8:47:00 AM,9:32:00 AM,10:17:00 AM,11:02:00 AM,11:47:00 AM,12:32:00 PM,1:17:00 PM,2:02:00 PM,2:47:00 PM,3:32:00 PM,4:17:00 PM,5:02:00 PM,5:47:00 PM,6:32:00 PM,7:17:00 PM,
THOMAS ST west of GLEN ERIN DR,8:50:00 AM,9:35:00 AM,10:20:00 AM,11:05:00 AM,11:50:00 AM,12:35:00 PM,1:20:00 PM,2:05:00 PM,2:50:00 PM,3:35:00 PM,4:20:00 PM,5:05:00 PM,5:50:00 PM,6:35:00 PM,7:20:00 PM,
THOMAS ST at TENTH LINE,8:54:00 AM,9:39:00 AM,10:24:00 AM,11:09:00 AM,11:54:00 AM,12:39:00 PM,1:24:00 PM,2:09:00 PM,2:54:00 PM,3:39:00 PM,4:24:00 PM,5:09:00 PM,5:54:00 PM,6:39:00 PM,7:24:00 PM,
THOMAS ST west of TENTH LINE,8:54:00 AM,9:39:00 AM,10:24:00 AM,11:09:00 AM,11:54:00 AM,12:39:00 PM,1:24:00 PM,2:09:00 PM,2:54:00 PM,3:39:00 PM,4:24:00 PM,5:09:00 PM,5:54:00 PM,6:39:00 PM,7:24:00 PM,
CHURCHILL MEADOWS BLVD south of ARBOURVIEW TERRACE,8:57:00 AM,9:42:00 AM,10:27:00 AM,11:12:00 AM,11:57:00 AM,12:42:00 PM,1:27:00 PM,2:12:00 PM,2:57:00 PM,3:42:00 PM,4:27:00 PM,5:12:00 PM,5:57:00 PM,6:42:00 PM,7:27:00 PM,
CHURCHILL MEADOWS BLVD south of ROSANNA DR,8:14:00 AM,8:59:00 AM,9:44:00 AM,10:29:00 AM,11:14:00 AM,11:59:00 AM,12:44:00 PM,1:29:00 PM,2:14:00 PM,2:59:00 PM,3:44:00 PM,4:29:00 PM,5:14:00 PM,5:59:00 PM,6:44:00 PM,7:29:00 PM
CHURCHILL MEADOWS BLVD at ERIN CENTRE BLVD,8:14:00 AM,8:59:00 AM,9:44:00 AM,10:29:00 AM,11:14:00 AM,11:59:00 AM,12:44:00 PM,1:29:00 PM,2:14:00 PM,2:59:00 PM,3:44:00 PM,4:29:00 PM,5:14:00 PM,5:59:00 PM,6:44:00 PM,7:29:00 PM
NINTH LINE north of SKYVIEW ST,8:18:00 AM,9:03:00 AM,9:48:00 AM,10:33:00 AM,11:18:00 AM,12:03:00 PM,12:48:00 PM,1:33:00 PM,2:18:00 PM,3:03:00 PM,3:48:00 PM,4:33:00 PM,5:18:00 PM,6:03:00 PM,6:48:00 PM,7:33:00 PM
ERIN CENTRE BLVD at LONGFORD DR,8:19:00 AM,9:04:00 AM,9:49:00 AM,10:34:00 AM,11:19:00 AM,12:04:00 PM,12:49:00 PM,1:34:00 PM,2:19:00 PM,3:04:00 PM,3:49:00 PM,4:34:00 PM,5:19:00 PM,6:04:00 PM,6:49:00 PM,7:34:00 PM
