MEADOWVALE TOWN CENTRE BUS TERMINAL PLATFORM B,5:00:00 AM,5:43:00 AM,6:30:00 AM,7:16:00 AM,7:41:00 AM,8:11:00 AM,8:46:00 AM,9:19:00 AM,9:54:00 AM,10:29:00 AM,11:04:00 AM,11:39:00 AM,12:15:00 PM,12:51:00 PM,1:27:00 PM,2:03:00 PM,2:39:00 PM,3:15:00 PM,3:51:00 PM,4:27:00 PM,5:03:00 PM,5:39:00 PM,6:15:00 PM,6:50:00 PM,7:24:00 PM,7:57:00 PM,8:29:00 PM,9:01:00 PM
DERRY RD at SYNTEX DR,5:06:00 AM,5:49:00 AM,6:36:00 AM,7:22:00 AM,7:47:00 AM,8:17:00 AM,8:52:00 AM,9:25:00 AM,10:00:00 AM,10:35:00 AM,11:10:00 AM,11:46:00 AM,12:22:00 PM,12:58:00 PM,1:33:00 PM,2:09:00 PM,2:46:00 PM,3:22:00 PM,3:58:00 PM,4:34:00 PM,5:09:00 PM,5:45:00 PM,6:21:00 PM,6:56:00 PM,7:30:00 PM,8:03:00 PM,8:35:00 PM,9:07:00 PM
FINANCIAL DR FIRST STOP south of SYNTEX CRT,5:08:00 AM,5:51:00 AM,6:38:00 AM,7:24:00 AM,7:49:00 AM,8:19:00 AM,8:54:00 AM,9:27:00 AM,10:02:00 AM,10:37:00 AM,11:12:00 AM,11:48:00 AM,12:24:00 PM,1:00:00 PM,1:35:00 PM,2:11:00 PM,2:48:00 PM,3:24:00 PM,4:00:00 PM,4:36:00 PM,5:11:00 PM,5:47:00 PM,6:23:00 PM,6:58:00 PM,7:32:00 PM,8:05:00 PM,8:37:00 PM,9:09:00 PM
OLD DERRY RD at SECOND LINE WEST,5:13:00 AM,5:56:00 AM,6:43:00 AM,7:30:00 AM,7:55:00 AM,8:25:00 AM,9:00:00 AM,9:34:00 AM,10:09:00 AM,10:44:00 AM,11:19:00 AM,11:55:00 AM,12:31:00 PM,1:07:00 PM,1:42:00 PM,2:18:00 PM,2:55:00 PM,3:31:00 PM,4:07:00 PM,4:43:00 PM,5:18:00 PM,5:54:00 PM,6:29:00 PM,7:04:00 PM,7:38:00 PM,8:10:00 PM,8:42:00 PM,9:14:00 PM
MAVIS RD north of NOVO STAR DR,5:16:00 AM,5:59:00 AM,6:46:00 AM,7:33:00 AM,7:58:00 AM,8:29:00 AM,9:04:00 AM,9:38:00 AM,10:13:00 AM,10:48:00 AM,11:23:00 AM,11:59:00 AM,12:35:00 PM,1:11:00 PM,1:46:00 PM,2:22:00 PM,2:59:00 PM,3:35:00 PM,4:11:00 PM,4:47:00 PM,5:22:00 PM,5:58:00 PM,6:33:00 PM,7:08:00 PM,7:42:00 PM,8:13:00 PM,8:45:00 PM,9:17:00 PM
MAVIS RD south of DERRY RD,5:16:00 AM,5:59:00 AM,6:46:00 AM,7:33:00 AM,7:58:00 AM,8:29:00 AM,9:04:00 AM,9:38:00 AM,10:13:00 AM,10:48:00 AM,11:23:00 AM,11:59:00 AM,12:35:00 PM,1:11:00 PM,1:46:00 PM,2:22:00 PM,2:59:00 PM,3:35:00 PM,4:11:00 PM,4:47:00 PM,5:22:00 PM,5:58:00 PM,6:33:00 PM,7:08:00 PM,7:42:00 PM,8:13:00 PM,8:45:00 PM,9:17:00 PM
DERRY RD at HURONTARIO ST,5:19:00 AM,6:02:00 AM,6:49:00 AM,7:36:00 AM,8:01:00 AM,8:32:00 AM,9:07:00 AM,9:42:00 AM,10:17:00 AM,10:52:00 AM,11:27:00 AM,12:03:00 PM,12:39:00 PM,1:15:00 PM,1:50:00 PM,2:26:00 PM,3:03:00 PM,3:39:00 PM,4:15:00 PM,4:51:00 PM,5:26:00 PM,6:02:00 PM,6:37:00 PM,7:12:00 PM,7:46:00 PM,8:16:00 PM,8:48:00 PM,9:20:00 PM
DERRY RD at EDWARDS BLVD,5:20:00 AM,6:03:00 AM,6:50:00 AM,7:37:00 AM,8:02:00 AM,8:33:00 AM,9:08:00 AM,9:43:00 AM,10:18:00 AM,10:53:00 AM,11:28:00 AM,12:04:00 PM,12:40:00 PM,1:16:00 PM,1:51:00 PM,2:27:00 PM,3:04:00 PM,3:40:00 PM,4:16:00 PM,4:52:00 PM,5:27:00 PM,6:03:00 PM,6:38:00 PM,7:13:00 PM,7:47:00 PM,8:17:00 PM,8:49:00 PM,9:21:00 PM
DERRY RD at KENNEDY RD,5:21:00 AM,6:04:00 AM,6:51:00 AM,7:38:00 AM,8:04:00 AM,8:35:00 AM,9:10:00 AM,9:45:00 AM,10:20:00 AM,10:55:00 AM,11:31:00 AM,12:07:00 PM,12:43:00 PM,1:18:00 PM,1:53:00 PM,2:29:00 PM,3:07:00 PM,3:43:00 PM,4:19:00 PM,4:55:00 PM,5:29:00 PM,6:05:00 PM,6:40:00 PM,7:15:00 PM,7:49:00 PM,8:19:00 PM,8:51:00 PM,9:23:00 PM
DERRY RD at TOMKEN RD,5:24:00 AM,6:07:00 AM,6:54:00 AM,7:41:00 AM,8:07:00 AM,8:38:00 AM,9:13:00 AM,9:49:00 AM,10:24:00 AM,10:59:00 AM,11:35:00 AM,12:11:00 PM,12:47:00 PM,1:22:00 PM,1:57:00 PM,2:33:00 PM,3:11:00 PM,3:47:00 PM,4:23:00 PM,4:59:00 PM,5:33:00 PM,6:09:00 PM,6:44:00 PM,7:19:00 PM,7:53:00 PM,8:23:00 PM,8:55:00 PM,9:27:00 PM
