WESTWOOD MALL BUS TERMINAL PLATFORM E,5:45:00 AM,6:30:00 AM,7:15:00 AM,8:00:00 AM,8:30:00 AM,9:03:00 AM,9:37:00 AM,10:12:00 AM,10:47:00 AM,11:23:00 AM,11:59:00 AM,12:35:00 PM,1:11:00 PM,1:47:00 PM,2:23:00 PM,2:59:00 PM,3:35:00 PM,4:11:00 PM,4:47:00 PM,5:23:00 PM,5:58:00 PM,6:33:00 PM,7:08:00 PM,7:42:00 PM,8:15:00 PM,9:00:00 PM,9:47:00 PM
DERRY RD west of GOREWAY DR[b],5:49:00 AM,6:34:00 AM,7:19:00 AM,8:04:00 AM,8:34:00 AM,9:07:00 AM,9:42:00 AM,10:17:00 AM,10:52:00 AM,11:28:00 AM,12:04:00 PM,12:40:00 PM,1:16:00 PM,1:52:00 PM,2:28:00 PM,3:04:00 PM,3:40:00 PM,4:16:00 PM,4:52:00 PM,5:28:00 PM,6:03:00 PM,6:37:00 PM,7:12:00 PM,7:46:00 PM,8:19:00 PM,9:04:00 PM,9:51:00 PM
DERRY RD at AIRPORT RD,5:52:00 AM,6:37:00 AM,7:22:00 AM,8:08:00 AM,8:38:00 AM,9:11:00 AM,9:46:00 AM,10:21:00 AM,10:56:00 AM,11:32:00 AM,12:08:00 PM,12:44:00 PM,1:20:00 PM,1:56:00 PM,2:32:00 PM,3:08:00 PM,3:44:00 PM,4:20:00 PM,4:56:00 PM,5:32:00 PM,6:07:00 PM,6:41:00 PM,7:16:00 PM,7:50:00 PM,8:22:00 PM,9:07:00 PM,9:54:00 PM
DERRY RD at DIXIE RD,5:59:00 AM,6:44:00 AM,7:29:00 AM,8:15:00 AM,8:45:00 AM,9:18:00 AM,9:53:00 AM,10:28:00 AM,11:03:00 AM,11:39:00 AM,12:15:00 PM,12:51:00 PM,1:27:00 PM,2:03:00 PM,2:39:00 PM,3:15:00 PM,3:51:00 PM,4:27:00 PM,5:03:00 PM,5:39:00 PM,6:14:00 PM,6:48:00 PM,7:23:00 PM,7:57:00 PM,8:29:00 PM,9:14:00 PM,10:01:00 PM
DERRY RD at TOMKEN RD,6:02:00 AM,6:47:00 AM,7:32:00 AM,8:18:00 AM,8:48:00 AM,9:21:00 AM,9:56:00 AM,10:31:00 AM,11:06:00 AM,11:42:00 AM,12:18:00 PM,12:54:00 PM,1:30:00 PM,2:06:00 PM,2:42:00 PM,3:18:00 PM,3:54:00 PM,4:30:00 PM,5:06:00 PM,5:42:00 PM,6:17:00 PM,6:51:00 PM,7:26:00 PM,8:00:00 PM,8:32:00 PM,9:17:00 PM,10:04:00 PM
DERRY RD at KENNEDY RD,6:05:00 AM,6:50:00 AM,7:35:00 AM,8:21:00 AM,8:51:00 AM,9:24:00 AM,9:59:00 AM,10:34:00 AM,11:09:00 AM,11:45:00 AM,12:21:00 PM,12:57:00 PM,1:33:00 PM,2:09:00 PM,2:45:00 PM,3:21:00 PM,3:57:00 PM,4:33:00 PM,5:09:00 PM,5:45:00 PM,6:20:00 PM,6:54:00 PM,7:29:00 PM,8:03:00 PM,8:35:00 PM,9:20:00 PM,10:07:00 PM
DERRY RD at HURONTARIO ST,6:08:00 AM,6:53:00 AM,7:38:00 AM,8:24:00 AM,8:54:00 AM,9:27:00 AM,10:02:00 AM,10:37:00 AM,11:12:00 AM,11:48:00 AM,12:24:00 PM,1:00:00 PM,1:36:00 PM,2:12:00 PM,2:48:00 PM,3:24:00 PM,4:00:00 PM,4:36:00 PM,5:12:00 PM,5:48:00 PM,6:23:00 PM,6:57:00 PM,7:32:00 PM,8:06:00 PM,8:38:00 PM,9:23:00 PM,10:10:00 PM
MAVIS RD south of DERRY RD,6:11:00 AM,6:56:00 AM,7:41:00 AM,8:27:00 AM,8:57:00 AM,9:30:00 AM,10:05:00 AM,10:40:00 AM,11:15:00 AM,11:51:00 AM,12:27:00 PM,1:03:00 PM,1:39:00 PM,2:15:00 PM,2:51:00 PM,3:27:00 PM,4:03:00 PM,4:39:00 PM,5:15:00 PM,5:51:00 PM,6:26:00 PM,7:00:00 PM,7:35:00 PM,8:09:00 PM,8:41:00 PM,9:26:00 PM,10:13:00 PM
OLD DERRY RD at SECOND LINE WEST,6:13:00 AM,6:58:00 AM,7:43:00 AM,8:29:00 AM,8:59:00 AM,9:33:00 AM,10:08:00 AM,10:43:00 AM,11:18:00 AM,11:54:00 AM,12:30:00 PM,1:06:00 PM,1:42:00 PM,2:18:00 PM,2:54:00 PM,3:30:00 PM,4:06:00 PM,4:42:00 PM,5:18:00 PM,5:54:00 PM,6:28:00 PM,7:02:00 PM,7:37:00 PM,8:11:00 PM,8:43:00 PM,9:28:00 PM,10:15:00 PM
FINANCIAL DR SECOND STOP west of CREDITVIEW RD,6:18:00 AM,7:03:00 AM,7:48:00 AM,8:35:00 AM,9:05:00 AM,9:39:00 AM,10:14:00 AM,10:49:00 AM,11:24:00 AM,12:00:00 PM,12:36:00 PM,1:12:00 PM,1:48:00 PM,2:24:00 PM,3:00:00 PM,3:36:00 PM,4:12:00 PM,4:48:00 PM,5:24:00 PM,6:00:00 PM,6:34:00 PM,7:08:00 PM,7:43:00 PM,8:16:00 PM,8:48:00 PM,9:33:00 PM,10:20:00 PM
