MEADOWVALE TOWN CENTRE BUS TERMINAL PLATFORM H,7:31:00 AM,8:16:00 AM,9:01:00 AM,9:46:00 AM,10:31:00 AM,11:16:00 AM,12:01:00 PM,12:46:00 PM,1:31:00 PM,2:16:00 PM,3:01:00 PM,3:46:00 PM,4:31:00 PM,5:16:00 PM,6:01:00 PM,6:46:00 PM,7:31:00 PM,8:16:00 PM,9:01:00 PM,9:46:00 PM
MILLCREEK DR at SURVEYOR RD,7:38:00 AM,8:23:00 AM,9:08:00 AM,9:53:00 AM,10:38:00 AM,11:23:00 AM,12:08:00 PM,12:53:00 PM,1:38:00 PM,2:23:00 PM,3:08:00 PM,3:53:00 PM,4:38:00 PM,5:23:00 PM,6:08:00 PM,6:53:00 PM,7:38:00 PM,8:23:00 PM,9:08:00 PM,9:53:00 PM
ERIN MILLS PKY at MILLCREEK DR,7:38:00 AM,8:23:00 AM,9:08:00 AM,9:53:00 AM,10:38:00 AM,11:23:00 AM,12:08:00 PM,12:53:00 PM,1:38:00 PM,2:23:00 PM,3:08:00 PM,3:53:00 PM,4:38:00 PM,5:23:00 PM,6:08:00 PM,6:53:00 PM,7:38:00 PM,8:23:00 PM,9:08:00 PM,9:53:00 PM
ARGENTIA RD at MISSISSAUGA RD,7:40:00 AM,8:25:00 AM,9:10:00 AM,9:55:00 AM,10:40:00 AM,11:25:00 AM,12:10:00 PM,12:55:00 PM,1:40:00 PM,2:25:00 PM,3:10:00 PM,3:55:00 PM,4:40:00 PM,5:25:00 PM,6:10:00 PM,6:55:00 PM,7:40:00 PM,8:25:00 PM,9:10:00 PM,9:55:00 PM
ARGENTIA RD at KINSMEN GATE,7:42:00 AM,8:27:00 AM,9:12:00 AM,9:57:00 AM,10:42:00 AM,11:27:00 AM,12:12:00 PM,12:57:00 PM,1:42:00 PM,2:27:00 PM,3:12:00 PM,3:57:00 PM,4:42:00 PM,5:27:00 PM,6:12:00 PM,6:57:00 PM,7:42:00 PM,8:27:00 PM,9:12:00 PM,9:57:00 PM
QUEEN ST S south of BRITANNIA RD,7:48:00 AM,8:33:00 AM,9:18:00 AM,10:03:00 AM,10:48:00 AM,11:33:00 AM,12:18:00 PM,1:03:00 PM,1:48:00 PM,2:33:00 PM,3:18:00 PM,4:03:00 PM,4:48:00 PM,5:33:00 PM,6:18:00 PM,7:03:00 PM,7:48:00 PM,8:33:00 PM,9:18:00 PM,10:03:00 PM
QUEEN ST at BARRY AVE,7:54:00 AM,8:39:00 AM,9:24:00 AM,10:09:00 AM,10:54:00 AM,11:39:00 AM,12:24:00 PM,1:09:00 PM,1:54:00 PM,2:39:00 PM,3:24:00 PM,4:09:00 PM,4:54:00 PM,5:39:00 PM,6:24:00 PM,7:09:00 PM,7:54:00 PM,8:39:00 PM,9:24:00 PM,10:09:00 PM
MISSISSAUGA RD at EGLINTON AVE,7:57:00 AM,8:42:00 AM,9:27:00 AM,10:12:00 AM,10:57:00 AM,11:42:00 AM,12:27:00 PM,1:12:00 PM,1:57:00 PM,2:42:00 PM,3:27:00 PM,4:12:00 PM,4:57:00 PM,5:42:00 PM,6:27:00 PM,7:12:00 PM,7:57:00 PM,8:42:00 PM,9:27:00 PM,10:12:00 PM
MISSISSAUGA RD at THORNY - BRAE PLACE,7:57:00 AM,8:42:00 AM,9:27:00 AM,10:12:00 AM,10:57:00 AM,11:42:00 AM,12:27:00 PM,1:12:00 PM,1:57:00 PM,2:42:00 PM,3:27:00 PM,4:12:00 PM,4:57:00 PM,5:42:00 PM,6:27:00 PM,7:12:00 PM,7:57:00 PM,8:42:00 PM,9:27:00 PM,10:12:00 PM
MISSISSAUGA RD at BURNHAMTHORPE RD,8:00:00 AM,8:45:00 AM,9:30:00 AM,10:15:00 AM,11:00:00 AM,11:45:00 AM,12:30:00 PM,1:15:00 PM,2:00:00 PM,2:45:00 PM,3:30:00 PM,4:15:00 PM,5:00:00 PM,5:45:00 PM,6:30:00 PM,7:15:00 PM,8:00:00 PM,8:45:00 PM,9:30:00 PM,10:15:00 PM
UNIVERSITY of TORONTO at MISSISSAUGA CAMPUS,8:05:00 AM,8:50:00 AM,9:35:00 AM,10:20:00 AM,11:05:00 AM,11:50:00 AM,12:35:00 PM,1:20:00 PM,2:05:00 PM,2:50:00 PM,3:35:00 PM,4:20:00 PM,5:05:00 PM,5:50:00 PM,6:35:00 PM,7:20:00 PM,8:05:00 PM,8:50:00 PM,9:35:00 PM,10:20:00 PM
MISSISSAUGA RD at DUNDAS ST,8:07:00 AM,8:52:00 AM,9:37:00 AM,10:22:00 AM,11:07:00 AM,11:52:00 AM,12:37:00 PM,1:22:00 PM,2:07:00 PM,2:52:00 PM,3:37:00 PM,4:22:00 PM,5:07:00 PM,5:52:00 PM,6:37:00 PM,7:22:00 PM,8:07:00 PM,8:52:00 PM,9:37:00 PM,10:22:00 PM
GLENGARRY RD at DUNDAS ST,8:11:00 AM,8:56:00 AM,9:41:00 AM,10:26:00 AM,11:11:00 AM,11:56:00 AM,12:41:00 PM,1:26:00 PM,2:11:00 PM,2:56:00 PM,3:41:00 PM,4:26:00 PM,5:11:00 PM,5:56:00 PM,6:41:00 PM,7:26:00 PM,8:11:00 PM,8:56:00 PM,9:41:00 PM,10:26:00 PM
